#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yecT//fecE//
FlhDC_pos	metA//yhhY//ybjC//sroD//pspC//tsgA//rnpB//purE//ppdB//wcaA//norR//hypB//gspE//yqjA//flgB//ygeH//sgbE//cspI//fecD//fliZ//glpX//hycG//srlA//dsdC//lsrC//wecC//nrfE//araH//lacY//idnD//malI//sroC//pspA//allS//ccmD//dhaL//rybB//phnJ//thiP//carA//mazF//hlyE//fabG//yhjX//gatC//cydD//fecI//lldD//lsrD//ydiU//malX//napH//gatZ//ibaG//pspF//gntT//tauA//argB//ada//purA//manZ//ribA//galS//yebG//glpT//micF//napF//tauA//rpsU//mdh//ydbD//pstB//gabT//citD//znuC//frc//hycI//tsr//
FliZ_neg	ssuE//sbcC//hycA//yhdW//malQ//gor//murG//truB//pepA//acrB//sgrR//aroP//atoE//rpmA//mhpA//emrA//dpiA//fabG//nfsA//rimP//fnr//
FucR_pos	paaB//caiC//moaE//rpoS//dapD//cusB//artM//
Fur_neg	baeR//leuA//yiaN//borD//ykgO//iclR//fbaB//glnH//prpR//nirC//ybdN//lrp//cysA//ynbC//csrC//sucC//rbsA//ybfE//nohA//yegZ//alsE//fliO//xylB//flhE//cydB//citF//pepA//aroP//ompN//napH//yhdZ//setA//ybbW//cspE//udp//galR//osmB//cpxR//torC//lyxK//ugpC//omrB//fliG//hyfE//sufC//tyrB//mgrR//dsdC//yfiR//nuoF//aroP//casB//phoQ//ompW//fixB//gltF//ulaF//fabH//fliM//astB//malM//purD//yjbH//caiA//glpB//oxyS//slp//ugpA//hns//glcD//ydfW//hmp//ftsZ//rpsO//ydiV//metI//cysK//fliS//envC//metJ//fliT//cydC//prpD//tyrP//fdnG//nirD//flgA//rimP//nfo//glxK//garK//hyfD//soxR//gadF//dapD//dps//trpR//recD//yecR//hipA//ykgO//ihfA//fdnI//sodB//yhiD//omrB//ompT//ssuC//napH//hyfI//mlrA//pstC//ptsG//glpT//wza//
Fur_pos	ftsW//argH//cusC//prpC//rhaR//tdcA//ycgZ//omrA//wcaB//omrB//wza//rbsR//exuT//yebG//leuA//ygiC//galM//narI//fepA//hdeB//feaB//
GadE-RcsB_pos	ygdB//mscM//ydjM//flgN//mglA//wecE//fliN//yhjA//recB//
GadE_pos	argT//waaY//nagB//arsB//gntK//nuoA//cysG//rybB//chbA//phoQ//ftsZ//fixC//fecC//ulaD//mdtD//oxc//ydhW//ykgO//gcl//patA//flgK//ssuD//melA//leuL//agaA//idnD//rimK//pheT//ygiZ//
GadW_neg	narI//agaR//bluF//dcuR//xapB//katG//glgC//osmC//relE//caiT//ydeO//
GadW_pos	rbsR//caiA//yaiA//nimR//ygdB//yefM//nmpC//purF//yeiB//murQ//argT//
GadX_neg	yqhG//relE//rffT//nac//yhdY//iscA//
GadX_pos	nanC//bdm//tauA//pgi//astE//hypF//ygeA//ogt//deoC//ulaF//fecE//soxS//glnQ//uidB//entF//nagB//gspO//argI//sfsB//csgC//rnpB//ddpD//rbsB//agaD//rutF//gor//mpl//
GalR_neg	cydD//flgJ//ppdB//ftsZ//tdcD//gspG//purL//cho//zinT//entE//
GalR_pos	rybA//rhaB//dpiB//ptsH//
GalS_neg	pepD//malT//prpB//pgm//allE//fadI//mzrA//emrY//sdhC//fliM//
GalS_pos	yaiA//spy//tam//lsrK//
GatR_neg	paaY//ydhU//gltI//garL//cynR//dmsC//
GcvA_neg	sucC//mqsR//adiA//purA//
GcvA_pos	fepE//fbaB//entS//pgaD//
GlcC_neg	gspD//
GlcC_pos	ynfH//malY//polA//oppB//yciG//ulaB//
GlpR_neg	ycjX//slt//omrB//yebE//hybE//fecC//slyB//tktB//metH//
GlrR_pos	dsbA//allS//cbl//napH//acnA//
GntR_neg	phoB//galT//psiE//hycD//sodA//metF//glgC//chiP//hyfH//yfbR//katE//ebgA//
GutM_pos	intQ//entS//yqjH//rclC//relB//hipB//paaI//
GutR_neg	katG//ugpB//epd//wzyE//hcaC//glgC//dacC//
HU_neg	hdeA//ibaG//hisJ//lsrC//cysC//pgaB//rffM//ptsH//
HU_pos	ompT//
HcaR_neg	purA//
HcaR_pos	dsbA//glcC//aroM//mgtL//cysP//
HdfR_neg	hypB//nfsB//
HdfR_pos	murE//insK//sucC//
HigA_neg	cusC//artP//
HigB-HigA_neg	dmsB//yccJ//
HipAB_neg	ldtB//gltK//tauA//murD//omrB//
HipB_neg	nuoJ//metJ//nrfF//casC//dinQ//mgrB//
HyfR_pos	ybhG//rfe//nikA//yqhD//poxB//agaV//gltD//hyaB//glcE//ddlB//ynfF//nimT//
HypT_neg	ycdZ//rffC//mngA//ydeM//glcC//
HypT_pos	fau//infB//ldtC//yfbR//gspM//znuC//fliC//flgE//
IclR_neg	gspD//betA//yhcH//glcF//
IdnR_neg	zinT//nrfB//
IdnR_pos	yiaK//nfo//bioF//umuC//ygaC//
IlvY_neg	gspK//
IlvY_pos	lsrD//
IscR_neg	ydhV//ydcV//gltL//zinT//erpA//creC//mqsR//ybhF//puuA//glmY//kdpF//purR//exuT//purC//hipA//gspO//malP//feoC//fliI//dsdA//glpD//
IscR_pos	hyfF//gltB//mnmG//pqiA//rcnA//fliF//yhiM//psiE//yeiL//glmS//nuoN//
KdgR_neg	glgC//dgcZ//
KdpE_pos	sgrR//oppC//fecE//rtcB//
LacI_neg	rybB//hypB//mngR//
LeuO_neg	ugpB//rhaA//gntK//
LeuO_pos	nrdA//aroP//cysU//fecA//sroD//fadM//hcaC//gspK//uidR//allB//prs//ygdB//dpiA//cydC//ybbY//sgbH//pepA//narI//
LexA_neg	fliF//iscS//nemR//ynbB//trxC//rhaD//nirB//deoA//ftsL//ygdB//mioC//yeaE//mcbA//fruK//infB//hyfJ//cecR//aceK//ynfH//arsR//bglG//puuR//fldB//caiC//ppiD//dsbG//waaZ//modC//fimE//lysA//crr//iscR//ahpC//znuC//mglB//xylH//argT//ribA//sgbU//citX//appY//ydhT//sra//murI//hisJ//tisB//ybdZ//fliZ//lysA//mhpC//amn//tnaC//fliP//gltJ//aldA//rarA//tyrR//metN//rbsK//
LldR_neg	argA//purB//ynfG//
LldR_pos	asnB//cspE//kdpF//
LrhA_neg	hyaA//flgJ//
LrhA_pos	sbcC//hyfB//
LsrR_neg	pheM//pspF//metL//garR//ycjY//malZ//narJ//fliL//feoA//
LysR_neg	ydcV//
LysR_pos	murF//
MalI_neg	fliP//phoP//ampC//
MalT_pos	ssuC//napC//srlA//lolA//purC//flgM//cadB//fdnH//fucU//napC//
MarA_neg	hycG//yqhG//recB//ygiB//ydcS//agaI//truB//
MarA_pos	wrbA//cadA//cusC//fliH//acrA//ftsQ//pykF//gntX//csiD//flgE//aceE//glmY//betA//prpC//entD//argA//sufC//trpL//rbsC//qseB//exuR//fadM//cadC//yhbT//fecB//entS//mlrA//cpxP//gltI//gnd//ptsH//
MarR_neg	dhaM//pheT//ydhU//
MatA_neg	lsrK//ndh//alkA//nrdH//bioA//argG//
MatA_pos	gfcA//recF//
MazE-MazF_neg	yjbE//yhdZ//yfaE//
MazE_neg	yhdY//rpoS//betA//
McbR_neg	dcuB//
McbR_pos	dcuB//lysR//yfiB//
MelR_neg	fimE//dsbC//wzzE//
MelR_pos	sroA//puuA//yccT//
MetJ_neg	gadX//ccmH//fliO//ybdZ//srlA//sulA//fimB//pspB//mepH//hisP//yeaD//hisJ//ybbY//purN//fdnG//
MetR_neg	sucC//grxA//
MetR_pos	caiD//slyB//ybaS//gatY//
MhpR_pos	moeB//osmC//mdtA//ssuC//citC//cirA//
Mlc_neg	yqjA//sucB//recC//leuB//efeU_2//glxR//nmpC//glxR//agaS//manY//
MlrA_pos	fucK//pheT//guaB//rbsC//nuoH//ulaG//slt//umuC//oppC//fliQ//
MngR_neg	rob//flu//ftsW//
MntR_neg	yecR//dgcC//deoB//metK//
MntR_pos	ynfG//
ModE_neg	kbp//oxyR//purN//csgB//cysJ//ccmD//ynbC//tdcF//sucC//dmsA//csiD//hmp//prpB//efeU_1//puuD//
ModE_pos	cas2//exuT//uspE//frc//agaC//nanS//malI//caiE//yrbL//yeaR//fliC//fabA//malP//cysG//ada//artP//mlrA//nmpC//ccmA//cusB//fepG//cspI//bacA//gspH//yiaK//purF//dgcZ//dcuA//cusS//gatD//potF//
MprA_neg	acrR//nirD//yeaE//trpL//nuoC//yeaH//
MqsA_neg	gutM//nuoH//atoB//hyaD//rnlA//rpiB//hemL//ttdA//
MraZ_neg	ddpD//xylB//feaB//atoE//gapA//gadX//tomB//glk//fimE//purL//araD//rpoH//lpxC//gatY//wzxE//moaA//gntU//
MtlR_neg	glnB//aspA//casC//
MurR_neg	wcaB//paaY//hypB//
MurR_pos	ccmH//
Nac_neg	fliS//hyfJ//ydeI//argE//tnaA//fucR//mraY//qseC//gatB//
Nac_pos	micF//yhiM//moaB//ruvA//trxC//feoC//dctA//prpE//artM//lsrR//motB//aroF//
NadR_neg	mdtE//cyoB//srlB//hisP//
NagC_neg	ccmA//mtlD//ulaD//ccmC//ydfH//ynfF//pspF//recN//sra//feoA//pstC//ptsI//wcaA//bluF//tdcG//tfaQ//metQ//gabT//trpD//sbmC//ldtD//rsmH//citX//flgL//hycH//ydfD//argH//ycjF//eno//uxaB//rbsD//dctA//rffM//
NagC_pos	ppiD//nimR//bioC//
NanR_neg	cyoB//melR//marA//sufD//modC//ygeH//mraZ//yaiA//mltF//ynfF//
NanR_pos	grxD//
NarL_neg	manZ//entA//cspE//dhaM//gntU//dnaN//pqiA//cra//malX//tonB//amtB//yhhY//malM//ruvB//paaX//flgJ//pspG//dgcZ//bacA//fliR//folA//caiE//xapA//hyi//galM//hybB//nuoM//idnK//hyfR//ssuC//phoP//cysK//uidA//ybhS//rybA//yhdW//nuoG//cysP//hcaE//potG//infC//insD//crp//fhuA//icd//osmY//nuoK//yhjA//bdcA//pgpC//gspI//ybdZ//chbC//phoA//dinF//gadX//yibQ//eno//rsmH//hybF//fhlA//glpD//rtcB//relB//mazF//napC//relA//napC//cusA//nrdH//napG//puuR//yjbF//ibaG//dctA//ynfF//melA//dmsB//yjbG//leuL//cysW//higA//xylA//yiaO//rdoA//mhpD//betA//
NarL_pos	tcyJ//gspC//glpF//malE//carA//pstC//dcuS//purM//flgI//nrdA//leuC//ppsA//ndh//hipB//nusA//gutM//cdaR//zwf//rffT//cyoA//fdnI//rpiR//symE//tolC//creD//metH//metN//dinF//gatD//mdtD//flhD//puuA//glpX//cbl//ygeA//tomB//mltF//yciF//fadJ//prs//uidA//napB//csgA//
NarP_neg	galK//citG//emrA//amn//recN//pyrC//gspK//dnaA//rcsA//tyrB//glpA//prpR//cyoA//hyfJ//ascF//ahpF//crp//cueO//hyaC//malP//carB//fadH//lacY//phnJ//rsmH//rpoS//umuC//rdoA//lacA//srlD//ynbC//slyB//puuR//
NarP_pos	nhaR//cyaR//gapA//metF//cydB//nikC//uvrY//sufE//ycgZ//ybfN//glcD//nadA//agaS//aceE//aceB//dcuB//waaH//trpD//glpK//potI//galM//argE//cysK//nrfA//ycjY//accB//phr//gapA//yccT//metY//fiu//ydcV//
NemR_neg	phoP//fixX//molR_1//
NhaR_pos	flgE//fabH//gltK//argD//sdhD//emrK//wzzE//
NikR_neg	uof//gloA//cho//paaD//wecE//cyoC//
NimR_neg	malG//fhuB//
NorR_neg	adiC//
NorR_pos	gudD//mioC//
NrdR_neg	gloA//garR//accD//truB//feaR//dinI//ecpA//bhsA//ompN//
NsrR_neg	flgD//nanA//wcaA//paaJ//purB//mtr//edd//ynfE//dkgB//prpC//uvrD//hyi//gfcA//rob//idnK//carB//fliC//acnA//fadI//tdcA//frc//cysD//artQ//gabT//fabI//yegH//metE//fumC//yebE//agaD//rhaB//ybhL//yagK//rutC//flgF//envC//ubiA//ogt//qseC//treC//ppdC//aceK//sodA//infC//cusC//mpl//gudD//ynbD//ssb//pgaB//napF//dgcN//katE//seqA//lgoR//ycjX//degP//fliG//tehB//pnp//ycjX//lysC//insK//nrdA//rffG//obgE//rbsK//hdeA//focB//hdeA//cas1//artP//astE//norW//iscA//sgrT//rhaA//manX//rnlA//caiD//napF//yrbL//ygaC//
NtrC_neg	hycB//marR//citC//phoH//trpB//mlc//
NtrC_pos	pstB//folA//entC//aceF//ynbD//yciW//manX//caiB//dsdA//metL//fhuD//purK//recA//mltF//exuR//hyfD//uof//mdtA//asnB//galS//gadB//dsbG//caiC//dinJ//gatD//fecE//ubiC//argP//galM//uxaA//purA//ssuA//tadA//seqA//hha//yqjA//trpC//sufS//iclR//phnI//bglB//tpiA//wzb//yjjZ//ulaA//ynfG//yiaN//phnO//uspA//
OmpR_neg	nuoC//grxA//ydfH//pstA//srlB//ptrA//hdeD//pdeL//cheA//hipA//creB//rbsR//
OmpR_pos	prpC//nlpA//mdtF//gspJ//sgbE//ynfH//nuoA//pspG//fliN//sufA//
OxyR_neg	emrY//hflD//tauD//fadR//ubiA//fldA//hflD//lacZ//lacA//fepE//araG//ybhR//
OxyR_pos	nuoK//ygeA//codA//hisM//cydA//tnaA//ddpF//pck//murE//casD//cysM//aceA//allE//napB//narX//wzc//agaI//mgrB//tyrR//nrdI//betT//hisP//
PaaX_neg	pstS//dcuD//htpG//mpaA//rutC//alsE//ydcV//cydD//ryhB//araA//leuD//ssuB//mhpA//casD//
PdeL_pos	cra//
PdhR_neg	pstC//lsrC//gltD//yoaC//flgF//hyaB//lldR//kbp//relB//dhaK//uxuR//yaiA//gatD//nimR//aceB//kdpA//citX//wzzE//gltF//dgkA//purA//rclB//phnD//frdB//mraZ//fadJ//uspE//glpQ//ptsG//ydeO//fecD//lon//caiE//cpxR//sgrR//ulaB//
PdhR_pos	agaS//mgrR//phnI//nanE//gspL//
PepA_neg	znuA//nfsA//ydfE//
PgrR_neg	rtcA//adiC//dkgA//patD//nrfE//deoD//allD//lldR//
PhoB_neg	mdh//rpiB//carA//hycD//ddpD//exuT//argE//malK//tam//yiaJ//ldtC//edd//
PhoB_pos	glgX//relE//fliK//eda//pgi//rutF//iscR//cvpA//nrdF//fliS//narH//lpxD//efeU_2//acrD//zinT//nagC//fadB//yciX//fhuB//cdd//mngB//fadL//ruvB//carA//ascF//mhpD//murE//gspG//malI//cvpA//argG//ynfK//pstC//lyxK//fliK//hcr//gltL//wzyE//malI//glpB//csgD//rpiR//appB//ygbK//galP//napG//ssuD//focA//mraY//malF//pnuC//gadA//purK//
PhoP_neg	yegH//oppD//araJ//talA//nmpC//sufC//yjbE//cspI//ccmB//wzxE//guaB//
PhoP_pos	ccmF//caiE//waaY//casD//malX//cydB//ttdR//galS//fiu//rseB//thrS//feoC//rnlA//ygeH//mglC//rpoE//flgA//phoQ//cysN//flgN//ybfN//ecpA//gspD//gcl//yafQ//fucO//fepG//cydB//ldtB//aroL//galM//dinI//hybC//mhpE//tauD//ubiC//astB//entF//nadA//rfe//yhdZ//phnM//gspD//galK//crl//gabD//glgA//amn//
PrpR_neg	mpaA//
PrpR_pos	yjbH//ybfN//mngB//yeiL//
PspF_neg	ygiC//
PspF_pos	asnA//purK//argG//ybjG//puuA//iraM//
PurR_neg	eno//hcaE//nagE//metE//metN//yhdX//feoB//alsB//mraY//hokE//glnK//katE//hybA//citC//potF//trpR//rhaS//ynfK//leuD//fdhF//mdtF//ahpC//paaJ//ynfE//pgi//nanE//agaV//dmsD//citF//ymiA//dmsA//
PutA_neg	flhE//tauD//
PuuR_neg	phnJ//fadD//hybG//lexA//hmp//ybjC//fes//
QseB_pos	argG//yciX//rimP//glnB//
RbsR_neg	rprA//cas1//sufC//lldR//metH//ulaB//emrA//dsdA//
RbsR_pos	nrdH//
RcdA_neg	gcvP//znuC//
RcdA_pos	tauA//nrdD//cusS//sufS//dgkA//nmpC//idnT//
RclR_pos	zraR//yeaG//ydcS//
RcnR_neg	nrfB//gapA//phoR//
RcsAB_neg	dinQ//ihfA//ugpB//napB//manZ//nfsA//
RcsAB_pos	cyaR//bglG//chbA//nikC//bglF//ygiA//hypD//mlrA//xylA//mraY//
RcsB-BglJ_pos	aroL//carB//mqsA//mzrA//patA//hyfC//ompC//mglA//udp//ydeN//argB//psd//tcyJ//fliF//yiaL//rpoD//
RcsB_neg	mcbA//cysH//
RcsB_pos	feoC//ompN//deoD//flhC//mioC//rnpB//ssuD//insD//dcuA//ftnA//fecB//btuB//ykiA//asnA//trpB//iraP//cpxP//sdhB//hybO//gspG//pgpC//flhA//yiaM//
RelB-RelE_neg	purD//nrfG//mqsA//
RelB_neg	thiQ//yhjC//purM//
RhaR_pos	sbmA//prpR//
RhaS_pos	dsdX//paaI//obgE//cadC//malG//yaiA//
Rob_neg	tynA//
Rob_pos	mhpT//gcvB//yecR//ydbK//tauA//fadR//idnD//tyrB//narH//fliE//fucA//ygaC//narG//gapA//torA//metY//paaH//decR//narL//hyfI//glcD//lysP//dcuS//nanM//yjhC//
RstA_neg	fabZ//adiA//dapB//cadA//psiE//
RstA_pos	malM//sroA//tdcB//hycH//rnlA//
RtcR_pos	xylF//obgE//
RutR_neg	lpxC//mhpD//iclR//gudX//mgrR//narL//tnaA//potI//yhbS//gltF//nrdI//nfsB//dcuR//srlR//hypA//
RutR_pos	cysA//gadB//
SdiA_neg	ubiA//cadB//glgX//
SdiA_pos	ulaG//purM//ymgC//
SgrR_neg	uspE//rffG//ulaF//hmp//rob//
SgrR_pos	metC//nadA//ssrS//hcaF//
SlyA_pos	flgC//
SoxR_neg	ddpC//
SoxR_pos	metF//phoQ//
SoxS_neg	rimK//gfcA//
SoxS_pos	guaA//malX//rpmI//gabD//rffM//hyfJ//allB//asnC//aceA//prpD//ftsI//malF//flgH//hypB//hcr//hcr//tonB//aroH//cueO//sgrR//cynT//molR_1//argH//yciE//cecR//fixX//osmB//oxyR//glcD//wecE//nuoE//yhbS//hisP//rcnR//cysA//dhaK//cho//hybB//
StpA_neg	fliD//cheW//feaR//oxyS//cheW//cspE//fabB//
SutR_neg	gadW//gudD//pitB//zraR//nirD//
SutR_pos	ompF//
TdcA_pos	creA//hyfF//ebgA//casD//frdB//betI//thiP//
TdcR_pos	ynjI//hyfC//yjhB//rarA//gadE//modA//sdhB//
TorR_neg	dapB//sgbH//tauA//
TorR_pos	hycC//chbR//sgrR//yiaO//ulaF//tcyP//gcvP//fixX//relB//
TreR_neg	dpiA//kdpC//
TrpR_neg	ybbW//appB//nrfD//yhiD//rimP//glmY//fucK//gatA//ybjG//cydD//rnpB//agaD//
TyrR_neg	tadA//hyfH//rbsD//gatZ//znuC//appA//dtpA//glpF//appX//phnO//
TyrR_pos	ydfE//bdcA//appC//
UhpA_pos	gpmA//
UidR_neg	gabP//ykiA//fhuD//ydeN//
UlaR_neg	ybaT//tpiA//ccmD//ynbA//glgB//cydD//flhE//
UvrY_pos	fecR//moaB//yhiM//gadY//hyfJ//
UxuR_neg	gltL//efeU_2//ftsI//citF//aspC//garD//malZ//ilvY//gspD//
XapR_pos	fadE//pdhR//
XylR_neg	manX//
XylR_pos	ydcT//moaD//rhaR//hyaB//ung//mhpE//
YdeO_neg	ompT//ftnA//
YdeO_pos	flhB//entC//tdcF//paaZ//pspB//nrfG//ycgR//fucU//oppC//glyA//pspE//napH//tehA//dinB//ydiU//cydB//araB//ydhY//cra//
YedW_neg	hcaB//add//cra//codB//flgC//
YedW_pos	ccmC//potI//bdcA//ppc//malI//feaR//metB//
YefM-YoeB_neg	decR//ppdA//
YefM_neg	napF//hybD//
YehT_pos	uidR//
YeiL_pos	rpoE//
YiaJ_neg	katG//rybB//tdcD//ybhR//nuoC//rhaA//argH//ccmF//argD//rnlB//
YjjQ_neg	ydeI//ydhW//arsC//emrA//rbsA//gpmM//artM//erpA//leuL//micF//
YpdB_pos	ulaE//
YqhC_pos	tomB//fumB//
YqjI_neg	fdhF//focA//
ZntR_pos	flgF//
ZraR_pos	amtB//hha//insK//
Zur_neg	tdcB//fpr//alsC//xylH//recA//cysA//
