#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rob//rnlA//
Cra_neg	gapA//nikC//argA//metI//ccmB//rsmH//rbsA//nuoK//ssuB//modA//hycB//ompT//nagE//exuR//cdd//sutR//cvpA//ampC//amtB//nadB//glpT//frdC//deoA//yegR//pstC//gadE//ftsZ//argB//lysR//alkA//leuD//nrfC//nirD//yjbE//lolA//gspD//caiT//garK//ilvC//flhA//sroA//infC//tktB//zinT//fadL//osmC//gpmM//lldP//ptsI//metH//thiP//skp//skp//yfaE//nrdA//feaR//creD//glpT//fucO//
Cra_pos	uidC//cyoB//gpmM//fbaA//nrdF//metB//yhdX//casE//acrB//sroC//thiQ//gcl//yiaL//uspA//cheA//moaB//hypE//yoeB//lldP//gntX//torR//mglB//moaD//
CreB_neg	tadA//higB//hypC//
CreB_pos	wecC//cpxQ//
CsgD_neg	mgtA//mglA//aceK//rutA//speA//ascB//tbpA//fliS//ogt//nimT//bioD//cirA//phoP//uidC//mprA//
CsgD_pos	murR//ppdB//yhhY//murE//xapA//ydjM//mprA//fadR//casB//modB//trpD//patA//rpoD//
CsiR_neg	btuB//sroC//ygiA//oxyS//ttdB//
CspA_pos	sodB//slp//
CueR_neg	ydhV//hemL//acnB//zraR//yhjA//
CueR_pos	ldtC//atoD//
CusR_pos	uxuA//ahpC//cynS//mazF//leuL//feaB//cpxA//glgA//ogt//gatZ//lldR//yecT//
CynR_neg	pykF//
CynR_pos	wzc//tyrP//ddpA//
CysB_neg	metF//thiQ//ydhY//ccmG//decR//flgA//paaY//
CysB_pos	ahpF//pgaC//cyoC//ssuC//dinB//erpA//malM//ppiD//agaA//eda//mgrB//artI//serA//carB//alsA//feoC//agaR//glgB//sucA//cvpA//yfdV//allA//mngB//glnQ//fixX//
CytR_neg	infB//rbsB//bioF//garP//galR//mprA//treB//alaS//pspF//yhbS//uxaC//malS//yjeV//
Dan_pos	fliO//yebG//narJ//obgE//
DcuR_pos	fumB//galM//hypA//hcaR//oppC//sgrS//hcp//cysI//truB//
DeoR_neg	rclC//idnR//pfkA//amn//mtlA//dhaL//
DhaR_neg	ccmH//
DhaR_pos	sbcD//iscA//qseC//
DicA_neg	ugpC//yiaJ//ybdN//araF//rutE//yqjA//mscM//rpiR//
DinJ-YafQ_neg	nupG//glnD//rseC//
DnaA_neg	ybjN//feoA//hyaB//tktB//yqjH//phnE_2//hyfE//nuoB//phnK//katE//frc//
DnaA_pos	srlB//eno//metH//fhuE//ulaD//serA//hypB//
DpiA_neg	hcaR//
DpiA_pos	flgM//aspC//puuD//soxR//fliA//yjbG//sufC//yidL//ruvB//tyrB//
DsdC_neg	mdtC//
DsdC_pos	deoA//agaD//
EbgR_neg	alaS//lysR//
EnvR_neg	nrfB//deoC//
EnvY_pos	dsdX//wcaB//
EvgA_pos	yecT//nagC//gspO//fecR//ybhF//rclB//ydfN//chbC//araG//allB//fadJ//caiD//fhlA//dkgB//trpR//mtlD//garK//narH//tauD//
ExuR_neg	codB//wzb//ydcU//astC//rhaS//tdcB//prpD//rtcB//argB//
FabR_neg	phr//caiT//
FadR_neg	astB//cydC//ddpF//csgD//uxaB//yeaG//hyaE//marR//uxuA//ccmH//hflD//
FadR_pos	nagA//motA//ccmA//hemL//ppsA//bdm//allA//srlB//galM//higB//entC//araH//
FeaR_pos	mdtA//ybhR//
FhlA_pos	cusA//ssuB//yecT//pstC//zraP//trpD//pgk//rbsC//fliE//omrB//argH//ycjG//btuB//kdpF//fecC//aroP//nuoB//tpiA//mhpC//acrD//nrdE//hycB//dhaR//trpB//gudD//fixA//malI//rutC//slyB//csgE//
FlhDC_neg	gcvA//mhpT//ydfW//grxD//
FlhDC_pos	galP//qseB//aidB//accA//gudX//patD//gyrA//sroA//oppA//cbl//allC//treR//ddpX//nikA//nuoA//dinF//ybjC//recN//marA//gapA//uxuB//ahpC//gcvP//dsbC//pgaC//cpxP//ydcV//lsrF//decR//fruB//rffT//kdpA//ddlB//uof//ompN//ftsZ//lysP//idnT//purB//umuC//yiaK//ftsW//xapA//yhbS//galE//nanT//ydbK//ydhW//glcB//araA//ybhS//nimT//ccmG//gatC//ruvA//prpB//uhpT//oppF//ruvA//mepH//entH//nuoB//gadC//gspC//ymgC//fau//waaH//casC//mglA//gatD//fepD//lpxD//malG//yjiY//pgk//ymjC//uxaB//nirD//
FliZ_neg	treR//murE//iscS//metQ//cheA//fliH//ldtC//fabB//fepG//iclR//cytR//fadR//rhaD//nuoJ//paaH//bioD//sbmA//paaH//ulaB//tisB//zntA//
FucR_pos	gspD//paaK//nuoL//patA//fliS//dinI//glxK//
Fur_neg	zraR//thiP//sbmA//edd//nanC//glcG//srlA//nikE//nirB//cysJ//rcnB//fliF//udp//chiP//hycA//yhbS//csgB//ascF//glnK//lyxK//wzb//ydcU//polB//ssuD//gltI//puuD//nrfD//hslJ//hyfH//exbD//acnA//creC//fadH//uof//norW//rseC//yiaJ//carA//rybA//phnG//ulaF//sucC//flgD//ybaT//entS//emrY//gatA//dinD//nirB//wzb//pgk//aceB//csgG//dacC//narX//tdcC//prpD//rplT//cas2//ygiC//ccmA//ynbC//gspL//leuB//ddpD//aroL//ulaG//nikA//ddpD//manZ//cho//fecB//cas2//csgC//flhD//metF//deoC//flgI//tyrB//iscA//gspD//nikB//cysP//hybG//gspE//hlyE//yafP//fliF//dps//citE//higB//ogt//ftsQ//yidL//hmp//casA//ytfE//fliJ//yciG//garK//fucP//focA//osmC//modC//xylR//ydfN//yrbL//flgM//frc//codA//yhjC//sdhB//fur//murC//mlrA//
Fur_pos	hcaC//rutC//chbB//uidC//cynT//gltK//rbsA//srlA//araE//bglB//hdeD//lon//flgC//feaR//aslB//hycI//lsrB//metI//ssuC//araG//gadA//
GadE-RcsB_pos	ttdT//dhaM//uidR//paaY//mhpC//fadI//rclA//dtpA//nhaA//
GadE_pos	frdD//talA//fdnI//rseC//glnQ//ccmC//metR//dgkA//nuoF//uidA//fliO//citD//bioB//prs//cas1//hns//ryhB//infC//modC//puuE//gspG//gudD//uhpT//ddpB//ssuE//yaiA//cadC//fucP//galM//
GadW_neg	osmY//epd//bglB//umuD//narL//osmC//yiaM//mscM//metI//feoB//srlA//
GadW_pos	rhaD//baeR//glgC//ogt//sulA//codA//bamE//exbB//hflD//lhgO//aroL//
GadX_neg	mntH//dnaA//aroM//ybaS//oppB//evgS//
GadX_pos	gadX//fabI//nac//flgH//arsR//phnJ//puuA//trpB//gadF//glnL//envC//ppsA//metB//fur//carA//edd//bglF//nanA//feaR//wzyE//folE//asr//hyfH//yeiL//znuA//paaH//rhaT//
GalR_neg	gspG//mdh//gcvB//csrB//oppA//dpiA//uxuB//decR//yeaD//slt//
GalR_pos	uvrC//hisQ//cysU//tcyJ//
GalS_neg	yedX//yhjA//galP//gntX//glnB//pdeH//grxD//kbaZ//pncB//potI//
GalS_pos	ndh//gcvH//rutR//rbsD//
GatR_neg	gspJ//icd//hisM//pepA//nikA//cadC//
GcvA_neg	yhbE//adhE//pqiB//alsC//
GcvA_pos	exbB//rsmH//cyoA//bluF//
GlcC_neg	csgB//
GlcC_pos	sgbH//dcuA//gadY//nfuA//nrdE//ycjX//
GlpR_neg	hisQ//fumC//ilvC//yidL//caiA//glpD//atoD//tnaB//frdB//
GlrR_pos	glxK//ybbW//fepA//argB//fliL//
GntR_neg	gltJ//puuE//bdcA//ddpD//napC//sufC//flgD//ttdB//casB//nikB//ybbY//putA//
GutM_pos	gatB//ycdZ//yfdE//yebE//cynX//ftsZ//phoP//
GutR_neg	fau//ycdZ//argC//galE//cusA//fecI//rbsA//
HU_neg	fimB//ugpA//lpxA//yiaK//mltF//ykgO//cysH//mdtE//
HU_pos	treR//
HcaR_neg	ampC//
HcaR_pos	phoB//dmsD//ampC//tbpA//lpxD//
HdfR_neg	yafO//tauA//
HdfR_pos	ygeA//fepG//rdoA//
HigA_neg	lolA//glpB//
HigB-HigA_neg	uspD//ssuA//
HipAB_neg	rcnA//srlB//tauA//cyoC//oxc//
HipB_neg	nuoE//zraS//yiaN//relA//baeS//napG//
HyfR_pos	gspI//fdhF//ulaC//yjhB//cysD//ynfK//ybhG//micF//nrdH//dcuB//nuoF//pyrD//
HypT_neg	ddpB//bioD//sutR//malK//ecpA//
HypT_pos	iscU//tdcC//symE//alsA//nuoE//mpl//bioF//sdhC//
IclR_neg	pqiB//gapA//nuoG//hcaF//
IdnR_neg	yccT//lldD//
IdnR_pos	arsR//purK//gspL//dkgA//artQ//
IlvY_neg	rnlA//
IlvY_pos	phoE//
IscR_neg	flgE//flgA//cusS//argB//hyfG//glyA//nikC//gltJ//nirD//fhuF//recX//nrdF//allS//mazE//flgF//sufA//rseC//csrC//ascB//umuD//nuoI//
IscR_pos	uvrY//sgrR//pspF//ydhU//wzb//rbsB//iscA//dsrA//gspC//betT//dicB//
KdgR_neg	ryhB//agaV//
KdpE_pos	yegR//ymjC//cydA//rimP//
LacI_neg	fhuC//mgtA//casC//
LeuO_neg	yiaO//hyaF//nanS//
LeuO_pos	purK//evgA//csrB//fadJ//hokD//nanT//hyi//ycjX//gspI//pyrD//ycjY//ygbK//motB//pnuC//paaA//cyoD//tehB//garP//
LexA_neg	patD//nikD//hycI//pepA//ybjN//sufE//icd//potG//iscA//chbC//nrfA//cusC//tsx//ydiU//glgC//pgaA//dinG//bioB//rffT//htpG//trpB//mcbA//uvrY//garL//lsrG//glcA//eno//rpsO//yccJ//gcvT//glnD//oxc//mcbA//add//uspD//casD//yaiA//ddpD//ppdA//metL//fecE//rbfA//metI//infC//purD//nadA//osmY//codA//fepD//gltK//yfiR//recF//garL//fecR//fliZ//trpC//puuC//rpmI//xylG//
LldR_neg	argO//paaJ//manX//
LldR_pos	fixC//nanC//lolA//
LrhA_neg	ykgO//marB//
LrhA_pos	creC//emrY//
LsrR_neg	psd//hypB//sroC//narJ//cyoC//yoaG//ygiB//yafN//xylR//
LysR_neg	mhpD//
LysR_pos	katG//
MalI_neg	recB//hycF//rutA//
MalT_pos	fadR//manX//lsrD//ompW//nagC//ecpR//creD//rstB//paaK//fhuA//
MarA_neg	fliN//grxD//hns//nuoJ//rbfA//potG//lacY//
MarA_pos	potI//atoA//nrdI//garR//hyaD//psd//emrB//ybhS//gnd//moaC//ftsQ//feaB//hha//cysN//mhpA//torR//ycjF//hflD//tpiA//galT//pspA//ppiD//mgrR//tyrB//ygaC//nuoK//hslJ//metH//betB//focB//fliH//
MarR_neg	rybB//zraS//ycjF//
MatA_neg	pncB//dps//napF//cysD//nanS//mdtC//
MatA_pos	ybbY//moeA//
MazE-MazF_neg	fes//cecR//lpxA//
MazE_neg	focB//astB//adiC//
McbR_neg	flgI//
McbR_pos	mtr//accD//sdhA//
MelR_neg	ydhU//malS//phnC//
MelR_pos	prpB//omrB//deoD//
MetJ_neg	flgM//fadL//purB//tauD//melB//flu//ccmB//entF//rbsB//acnB//nrdH//lolA//rbsD//lldR//tdcD//
MetR_neg	sutR//pykF//
MetR_pos	ydcS//rpiB//nlpA//gcvH//
MhpR_pos	phnO//fabG//galE//cheA//nrdB//ydjM//
Mlc_neg	yciX//adiC//rpoS//cpxP//evgS//ynjI//ecnB//dsbA//moaA//lacZ//
MlrA_pos	uvrD//cyoD//ftsL//hcaR//ydhW//qseB//katE//yidQ//oxc//cspI//
MngR_neg	lldP//skp//lrhA//
MntR_neg	nupG//casD//appY//nrdF//
MntR_pos	bdcA//
ModE_neg	glcA//cusS//fpr//rbsB//folA//mdtC//hypF//tdcB//rob//potH//fhuF//phnH//ydcS//sdhA//dcuR//
ModE_pos	ybhS//napC//napF//feaB//yhbS//yafP//mhpA//tauA//sdhD//relA//fruK//sroC//cydD//fucP//ybhR//ygiZ//hisP//fimE//pflB//gspH//hybB//ycjF//flhE//metC//hyfC//ssuA//malE//tnaB//fixA//fecE//gudP//
MprA_neg	galM//yefM//yciG//yneM//lyxK//metR//
MqsA_neg	mepH//nrdI//mglC//fabB//ynbB//ftsL//csgC//allB//
MraZ_neg	malZ//kdpA//yfiR//glnQ//carB//mpl//ssrS//gltB//argF//dpiB//wzxE//argG//nuoC//fecA//purA//gudD//mepH//
MtlR_neg	pstB//ftsA//kdpB//
MurR_neg	psiF//pgk//skp//
MurR_pos	sroC//
Nac_neg	cyaR//rffH//ptsG//dsbA//trpD//hisM//fhuE//gnd//zwf//
Nac_pos	moaC//nuoI//epd//yqaE//yeaG//asnB//ihfA//phnI//yjhB//micF//yjbH//infB//
NadR_neg	torC//ptsI//uspE//tpiA//
NagC_neg	cysM//fhuA//ldtB//dsbG//setA//glmY//purR//gltB//exuT//nikA//fucA//entD//moaC//oxc//nrdD//melR//sufD//iscU//sufE//hycB//purR//ubiA//astD//yiaN//nanT//fliL//flgE//asnC//hcaB//astE//uvrC//araA//cysK//
NagC_pos	fhlA//mgtL//manZ//
NanR_neg	hisQ//norV//leuC//fliA//srlR//cvpA//ssuD//rutD//mgrB//frdC//
NanR_pos	nikC//
NarL_neg	glgA//arsB//hycB//feaR//lacY//chiP//phnE_2//ykgO//glgA//xylA//caiA//purE//dnaN//agaI//rutE//cysN//ydbD//ftsZ//rplT//gabD//tdcC//rimP//pepD//metY//ulaE//argD//astE//higB//allC//alsE//gpmA//acnA//yhdW//nikR//tsgA//purF//phnK//flgD//glcA//cirA//glyA//hyfI//rtcB//mnmG//astC//fliA//mscM//lolA//gabD//tnaC//allD//crp//cyaR//phoQ//oppB//ppdB//fliH//manX//cusC//fhuB//metL//grxD//ilvC//yqjI//phoU//lyxK//eda//alsE//xylH//bglG//accB//ssrS//ulaB//ccmA//glgP//ndh//dcuR//lsrC//hdeA//pgk//rpsO//ftsK//alkA//potF//allD//nac//hmp//
NarL_pos	lsrB//glpA//hyi//gloA//ppdA//oppA//fliQ//entS//hypA//katE//nimR//prpE//argI//fruA//hypA//yfiB//gspI//uspA//grxD//rarA//folE//ttdR//garR//lsrG//puuE//iscR//puuB//dnaN//glpT//phnI//tam//cho//ygiA//nemA//chbB//flgC//hcaD//speA//ybjG//uxaC//ygeA//rarA//ppiD//
NarP_neg	mhpA//serA//ydfW//flgI//dhaL//ygiA//creD//pfkA//appB//artP//exbB//sdhA//pyrD//wzyE//emrY//csiD//cheA//agaD//wza//napC//epd//zraS//arsR//pflB//lexA//mnmG//napG//rbsA//argC//hyfC//dicC//copA//mpaA//
NarP_pos	murC//rcsA//hycB//argD//ddpA//ugpC//hyaD//gcvT//phnI//phoQ//mraZ//ydhY//ybfN//nrdF//purA//dcuB//flhB//gloA//cysW//srlR//dsdX//dsbA//hemL//rffH//appB//bdcA//alkA//gltI//nanM//xylH//tynA//ykgM//
NemR_neg	glmY//rbsK//treB//
NhaR_pos	hyfB//exbB//higB//bhsA//treC//ugpE//gspJ//
NikR_neg	ynfE//malI//lsrD//fliL//galM//slyB//
NimR_neg	cdaR//rseC//
NorR_neg	ynbB//
NorR_pos	ppiD//tsgA//
NrdR_neg	fliI//fruK//norR//flgI//modC//lldP//entS//gcvB//paaC//
NsrR_neg	dcuB//cyaR//frdD//nrfC//mpaA//hcp//yeaD//nirC//add//sroC//allS//aceK//yqhD//hycE//artJ//mdtA//cysD//recB//yqjI//ydhX//tdcA//fau//aceA//gltI//rhaA//mntS//fadR//sufS//araD//gatZ//tisB//lysR//metY//codB//rarA//hyfE//copA//fadJ//csrB//ppdB//fruA//ahpF//rcnA//glpD//hybO//symE//frdD//pepD//ybjG//bglJ//mepH//ybhF//pgaB//araH//fbaA//uspD//srlR//mdtA//cynX//ycjX//mglB//paaC//emrY//uxuA//yciG//pdeR//dcuS//glpX//purC//yfiR//fldA//manY//atoE//dapB//asnA//aceA//csgF//rpoE//yjeV//glpD//ydcS//napG//cyoE//
NtrC_neg	tdcA//rimK//ulaC//micF//fadH//accB//
NtrC_pos	sucB//pspB//rnlB//crl//metK//tyrB//hokE//mtlA//norW//ynfK//fdhF//astC//lsrA//iclR//cysD//ddpB//betT//rimP//argD//caiT//carA//norV//talA//dnaN//rtcA//gatB//rarA//wrbA//ytfE//oppC//dnaG//ydfN//uxuR//flhA//creA//mtlD//glcD//symE//pgaB//metY//nuoB//phoA//ugpB//ryhB//asnC//sbmC//mhpE//sgrS//rpsU//
OmpR_neg	cas2//gpmM//narG//yqjH//stpA//agaI//hns//nfo//ssb//ccmF//yciW//ydcU//
OmpR_pos	rplT//higA//rbsK//luxS//sdhC//ychF//yqhD//yjbH//ruvB//polB//
OxyR_neg	lsrA//entC//fadH//osmB//hisJ//fabA//tnaC//lamB//nuoC//hisM//moaA//guaB//
OxyR_pos	rcnR//lrp//ygaC//yfiR//artJ//recA//csgG//wcaA//frdA//infC//fliP//glpQ//prs//mgtL//rcnR//ppsA//cysE//lacA//hyaF//metL//glnD//creD//
PaaX_neg	glnQ//araA//argR//omrB//phoB//udp//nagE//mdtA//nrfD//exbD//ygaC//wzxE//atoE//phnO//
PdeL_pos	gntT//
PdhR_neg	rffT//codA//flgJ//fliS//phnH//trpE//nrdE//artM//yfdV//gatC//cpxA//ydiU//murD//galK//nac//tcyJ//hemL//rimK//tfaQ//ompC//yjbG//uidC//ybbW//sucC//osmC//nagE//ssuB//spy//agaC//infC//umuC//mtlR//tnaA//accA//polA//stpA//
PdhR_pos	dsdA//yegH//yhjC//cysN//osmC//
PepA_neg	asnA//nuoI//zntA//
PgrR_neg	agaB//yjjQ//omrA//mhpD//nrfF//isrC//ftnB//ddpD//
PhoB_neg	ftsL//mhpB//artI//aceA//narL//ugpB//napF//mazE//ybhG//lsrB//yneM//ilvC//
PhoB_pos	sgrT//hyfE//nrdB//mhpA//asr//hmp//ugpB//gloA//glcD//tdcF//fruA//flhD//pfkA//trxC//hdeB//wecB//flgF//artJ//hybG//dcuR//pheT//nuoL//yhbE//idnO//hyfD//fau//rybB//chbB//gor//pdeH//yeaD//rcnA//glcB//gcvA//cspE//paaY//dicB//appC//gcvB//flgN//aroM//tsr//rpoE//ompW//nagB//aroM//fhuF//ugpB//glpD//hipA//ugpB//dinD//srlE//
PhoP_neg	betA//yciG//ribA//glcA//purH//purN//hyfC//narX//mtlD//cyoD//dhaM//
PhoP_pos	nuoN//lacA//fliD//ydhT//citX//hisJ//rstB//atoB//ssuD//hycH//guaA//ompW//flgC//glgX//melB//glgB//gloA//phnI//fadI//malZ//mtlA//glmS//symE//cyoB//ilvC//hyfA//atoE//lpxC//glmY//ssuD//speA//rseB//rffC//marA//ddpB//nanC//nohA//lsrF//dinJ//aspA//sgbH//nupG//chbR//trpL//yhhY//ulaC//emrB//nrdG//
PrpR_neg	marR//
PrpR_pos	ulaE//hisP//glgC//ruvA//
PspF_neg	rutC//
PspF_pos	asr//fucA//hcaF//nanS//purE//ydiU//
PurR_neg	paaI//lpd//icd//nusA//insD//lysR//alsB//galS//ulaD//metK//rfe//ygiA//treB//bolA//efeU_1//znuC//emrA//ykgO//hycG//rpsU//tcyP//ulaD//ompC//osmY//sbcD//polB//nanS//metL//ulaG//galS//dinD//
PutA_neg	hcaD//caiF//
PuuR_neg	lsrF//higB//sucD//yhiM//chiP//yhhY//fepC//
QseB_pos	dgcC//rpsU//dinG//cadA//
RbsR_neg	artP//decR//appB//fliO//gspO//accA//yafN//pgm//
RbsR_pos	yeiB//
RcdA_neg	eda//ygdB//
RcdA_pos	mpaA//gadA//pdeR//ygiB//napG//caiC//galT//
RclR_pos	nanK//iscS//fldA//
RcnR_neg	chbG//malS//prs//
RcsAB_neg	caiF//fecE//ugpE//gspC//mgtL//ecpA//
RcsAB_pos	ycjX//cytR//flgB//argT//feoC//feoA//gdhA//rfe//nrfG//mlc//
RcsB-BglJ_pos	treC//gyrA//argE//ydcV//gcvT//ldtB//phnH//cueO//rbsA//rpsO//ddlB//nadA//ydeI//hisM//frc//envC//
RcsB_neg	asnC//asr//
RcsB_pos	murQ//kdpB//cvpA//allE//aroL//atoD//flhC//lacZ//sfsB//relB//fliA//polB//lsrK//phoR//lamB//tam//tnaB//csrB//phoP//gntP//tnaA//yiaM//cynS//
RelB-RelE_neg	yeaE//paaC//tdcE//
RelB_neg	csgG//yhjX//acnB//
RhaR_pos	flgM//alkA//
RhaS_pos	yfiR//lsrK//sroC//dnaA//yeaR//mscM//
Rob_neg	ubiC//
Rob_pos	nemR//luxS//garP//fruB//dinJ//ulaE//kbp//glpK//glgP//fldA//sodB//zinT//dmsD//hyfD//mpaA//araC//malQ//ftsZ//rpoS//hemL//ftsQ//aceF//oxc//yqjH//mtr//
RstA_neg	gcvH//betI//rpsU//nrfC//osmB//
RstA_pos	umpH//yhjX//hycC//asr//dhaL//
RtcR_pos	citE//hyi//
RutR_neg	nadB//entB//rpiB//araA//uvrA//alsE//ygiZ//rffC//ppiA//cysI//rtcA//mdh//gudP//mgtL//pqiA//
RutR_pos	oppA//ftsA//
SdiA_neg	caiE//bdcA//artP//
SdiA_pos	mntS//yfdX//dsdA//
SgrR_neg	feaR//gatC//gspO//fes//nrfB//
SgrR_pos	gatC//fadI//cas1//hisM//
SlyA_pos	gdhA//
SoxR_neg	glpB//
SoxR_pos	ddpD//ompT//
SoxS_neg	umuC//potH//
SoxS_pos	ssuE//dsbA//ompT//recX//tynA//rutF//glnK//fadR//gspO//fhlA//galM//fliG//crl//symE//artI//allA//ppdB//ydcT//znuC//cbl//modA//epd//ruvB//pgaB//moaC//ynbC//waaZ//oppF//micF//gspE//thiQ//uhpT//malI//fliT//aroG//creA//gpmM//leuC//
StpA_neg	thrS//ddpA//gspJ//gltK//xylF//creD//bioD//
SutR_neg	fadI//rhaA//rsmH//phnG//fabH//
SutR_pos	kdpB//
TdcA_pos	glgB//focA//dinQ//mhpD//sfsB//rutR//pheM//
TdcR_pos	rhaB//rbsA//ydbD//recA//uidR//atoD//nirC//
TorR_neg	sgbH//fadR//tyrP//
TorR_pos	ynfG//yjjZ//ftsW//treC//ompT//murP//argC//glnD//rbsB//
TreR_neg	gudD//acrB//
TrpR_neg	puuP//flgB//asnC//ybaT//cpxA//ynfE//ugpA//sbmA//katG//yccA//gadC//yhjC//
TyrR_neg	mazG//rclA//yeaR//ddpD//xylF//uxaC//phoH//frdB//alsC//nuoE//
TyrR_pos	fucA//talA//ppiD//
UhpA_pos	cydC//
UidR_neg	adiA//yrbL//envC//malK//
UlaR_neg	paaC//pykF//gnd//lsrK//sgbH//fliF//leuL//
UvrY_pos	wzyE//phnC//wzb//casB//ccmF//
UxuR_neg	csgC//cysC//fliF//ydfE//mazE//ppdA//pgi//pstS//gspD//
XapR_pos	fliD//fecR//
XylR_neg	cas1//
XylR_pos	glpX//metJ//sufC//mprA//mzrA//bioD//
YdeO_neg	dnaG//aspC//
YdeO_pos	ydhV//ccmB//fliG//adhE//phoH//pspB//csgD//hycD//sdhC//gntU//evgS//yafQ//hycG//cas2//fucI//fliG//atoA//cysG//amn//
YedW_neg	fhuC//yegH//atoA//galM//hyi//
YedW_pos	oppC//glcA//allE//mglB//lacZ//waaH//dnaA//
YefM-YoeB_neg	glgA//tauB//
YefM_neg	argE//hycA//
YehT_pos	acrB//
YeiL_pos	metK//
YiaJ_neg	fecB//yfiB//ecpA//exuT//nuoM//edd//yeaR//yjjZ//gcvB//tdcF//
YjjQ_neg	rbfA//ebgC//hisQ//malM//gcvH//nohA//araB//phoQ//nrfD//chiP//
YpdB_pos	glnG//
YqhC_pos	gcl//csgB//
YqjI_neg	casD//wza//
ZntR_pos	bioF//
ZraR_pos	edd//kdpF//tsgA//
Zur_neg	waaY//focB//tnaA//fhuA//pepD//fliS//
