#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	aceB//recN//
EvgA_pos	paaG//garR//creC//gatY//xylR//fbaB//ydhW//fpr//cvpA//accD//argO//nuoC//lamB//phnF//mqsA//yhiM//rffM//gadY//gatZ//
ExuR_neg	polA//glcB//mscM//purN//pnuC//uxaC//appA//pepD//hyfE//
FabR_neg	sdhC//ybfE//
FadR_neg	uxaC//crp//csgC//fliC//uxuB//dsbA//lsrG//napD//dmsA//hipB//mpaA//
FadR_pos	recA//rhaS//fucK//flgL//nrdH//yibQ//dinQ//uxaC//narI//gpmA//gltL//dhaM//
FeaR_pos	pfkA//moeB//
FhlA_pos	aroF//agaS//hisP//ydeM//fhuD//rcnB//ymiA//waaH//glnQ//rsmH//yebG//dgcZ//moeB//flgA//glnA//ynbD//uidA//rhaB//gutM//nemA//rhaT//fecR//fimE//insK//alsC//crl//murI//guaB//acnB//chbF//
FlhDC_neg	cdd//nrfG//ymgA//uidC//
FlhDC_pos	gudP//rimP//sufB//pnuC//gutQ//flgE//dicC//ccmE//ymjC//yegH//malZ//aroL//ptsG//atoA//yhjX//mhpD//asnB//cynX//fruA//galT//yeaG//grxD//spy//ompN//nadA//galR//fixA//dnaN//cusS//gltF//recC//mnmG//murE//phnJ//gspL//csgD//dicB//srlA//bglB//ppc//lsrK//yoaC//entA//argH//rutD//creA//fdhF//ddpA//ampC//fnr//marB//pgaD//psiE//adhE//ulaC//cusB//insD//glxR//ribA//pqiA//ptsG//yedX//ruvA//tsgA//acrD//prs//norW//sbcC//yegH//puuP//cpxQ//narG//ydeO//pgi//fliF//oppB//dcuA//umuD//
FliZ_neg	fabB//ariR//leuA//malI//rffT//dhaM//accD//hydN//cpxP//efeU_2//rbsC//phoU//fadH//malF//gspC//ulaD//creA//nuoM//cysI//grcA//nrdF//
FucR_pos	uof//phoU//phnI//yibQ//fau//xapB//uvrC//
Fur_neg	puuB//cra//tnaC//idnD//yhjX//soxS//iscA//torD//cysC//metN//ycjF//dctA//yafQ//ybfN//rutA//ecpR//treR//putA//glgC//yecR//hdeD//moaB//nac//rutR//nanM//ynfG//qseB//sucC//gapA//csrC//purD//ygbA//ydeN//yccA//yqjI//ahpC//mqsA//acnA//rnpB//murD//ynfE//ompF//rarA//paaG//osmC//recB//pepD//mhpC//tnaA//sulA//pdeL//kdpF//pdeL//ccmH//sbmC//modA//yqjH//araD//omrB//dps//chbF//bolA//bioF//yedX//lsrA//fruA//napA//rpsO//phoQ//uhpT//pagP//wzyE//ugpE//fabB//modA//yjhC//nohA//ccmC//entD//sdhC//yhdX//glpQ//ompC//lgoR//pspA//ccmA//torC//dkgB//glpT//chbC//adiC//efeU_2//hmp//rbsD//dmsA//yhbE//tehA//gltL//lacA//sra//argB//hycB//hycF//lpxC//envC//garL//rutC//csiD//eda//patA//gutQ//ihfA//leuB//recC//wcaA//
Fur_pos	yhcH//pitB//rnlA//yqhG//nlpA//tfaQ//kbaZ//rpsO//prpB//asnB//ynfG//narL//citE//cpxQ//gudD//fliL//mpl//hyaD//agaA//mprA//fecB//
GadE-RcsB_pos	betT//cho//yoaC//rbsK//yaiW//hyfR//manY//qseB//psiE//
GadE_pos	osmB//gltK//nuoE//entD//glnH//cynT//araE//yccA//flu//phnM//cadA//pflB//feoA//adhE//fliG//focB//fadE//sgrS//sdhB//borD//glpF//rutA//dtpA//srlE//norV//hisQ//yjjQ//ynfG//gatY//
GadW_neg	sroA//trpL//gspI//adhE//yefM//pspE//malE//caiE//hybE//glnG//hyfI//
GadW_pos	agaR//xylG//yiaL//btuB//paaF//marB//fabZ//paaY//dsdA//rbsC//fbaB//
GadX_neg	pstA//lpxA//bluF//idnD//lsrF//mhpT//
GadX_pos	ddpA//dcuA//pnp//flgL//ybjC//hypB//seqA//yccA//tdcF//glnB//rbsC//sucC//intQ//ccmC//safA//xylB//yhjX//cysD//phnL//accC//ddpX//lsrF//gatY//fadE//mtlR//poxB//nagC//
GalR_neg	wzxE//yaiW//soxR//aceE//galT//galS//phnP//nanE//garL//dctA//
GalR_pos	tcyJ//hisP//fpr//rcnA//
GalS_neg	ssuD//tdcF//hisM//lolA//nrfG//hyfJ//nuoI//recF//mhpD//rhaS//
GalS_pos	tdcG//ygiC//nac//hyaE//
GatR_neg	lacZ//garK//rpoS//xylA//emrY//lysP//
GcvA_neg	moaC//nirC//dinG//nirD//
GcvA_pos	ompF//gspM//glmU//glcB//
GlcC_neg	yaiW//
GlcC_pos	creD//ydcS//ynbC//leuO//cheW//flgB//
GlpR_neg	hycC//sodB//alaC//sbmA//csgB//frc//paaX//nuoN//agaA//
GlrR_pos	mdh//ruvB//yciE//gadF//lyxK//
GntR_neg	aceE//fucU//sbcD//waaZ//yegZ//rimP//dhaK//nrdB//gltB//tnaA//hyfB//znuC//
GutM_pos	gntP//cysC//malY//osmC//hycC//ybfN//hcaR//
GutR_neg	hyfG//atoB//gntP//lgoR//nanC//rbsR//cysE//
HU_neg	yeaG//chbC//trpC//araD//allA//metY//ygaC//allE//
HU_pos	yfiR//
HcaR_neg	sucD//
HcaR_pos	idnO//cysP//narX//yafQ//fldB//
HdfR_neg	nuoJ//fhuF//
HdfR_pos	cydB//ymjD//cpxR//
HigA_neg	cpxP//phnE_1//
HigB-HigA_neg	glcD//yqaE//
HipAB_neg	wecC//mdtA//appB//nrdI//glmU//
HipB_neg	murQ//dgcZ//iclR//dmsD//galT//yagK//
HyfR_pos	ybhR//glgX//moeB//nimR//aspA//purA//chbR//qseC//ybjG//pstC//lsrD//casE//
HypT_neg	uvrB//cspI//ccmB//flgA//galK//
HypT_pos	hyfI//fliN//wcaA//ilvC//mdh//ycgR//nrdD//glnD//
IclR_neg	evgA//hcaC//hisP//fadH//
IdnR_neg	tyrR//tomB//
IdnR_pos	cusS//nrdB//cydA//mdtF//nagA//
IlvY_neg	hybC//
IlvY_pos	csrC//
IscR_neg	rpoD//arsC//focB//puuB//gspH//hyaC//ygeH//fliD//katE//ftnB//mgtL//murE//pyrD//bglJ//agaW//ttdA//entA//ybaS//ttdB//rcnA//nmpC//
IscR_pos	phoU//alsE//hyfC//yagK//argO//betI//hflD//gltJ//ymgC//fadM//higA//
KdgR_neg	zwf//cyaR//
KdpE_pos	alkA//cbl//narL//pstS//
LacI_neg	uvrD//citC//sucB//
LeuO_neg	paaD//wzzE//gadX//
LeuO_pos	flgH//hycF//tdcA//katE//artM//epd//malT//ompC//sufA//uvrY//malT//torD//skp//rbsK//mngR//entB//uspD//prs//
LexA_neg	narI//araE//gcl//xylB//ybhG//ycgR//guaB//entC//lrp//tehA//rseC//cueO//gspJ//yccT//uof//gatD//serA//ada//uvrB//fimE//narG//uxaC//cusB//entE//murF//rsmH//rnlA//nfuA//yeaR//dcuR//ydcT//mazG//fliL//sdhD//nemR//ssuC//feoB//agaC//dacC//rutG//rpoE//ppdA//rdoA//fhlA//araE//gadA//metK//yjhB//tnaA//cecR//kbaY//ydhY//hycA//glnB//cysP//ung//ybaS//nuoE//erpA//
LldR_neg	focA//epd//alsE//
LldR_pos	trxC//appB//cusS//
LrhA_neg	yebG//recA//
LrhA_pos	borD//ftsZ//
LsrR_neg	fliI//mhpD//slyB//recC//pheT//oppB//potG//rdoA//tnaB//
LysR_neg	atoB//
LysR_pos	fabH//
MalI_neg	lpxA//zraS//nirB//
MalT_pos	lpxA//ecpA//ddpA//speA//uxaC//yiaL//argC//gspK//nanM//ygiC//
MarA_neg	nuoA//gspM//nrdD//aceF//wecB//hyaA//nuoH//
MarA_pos	frdB//rseB//alkB//mdh//betA//xapA//wcaA//fadI//arsR//mdtE//entB//sodB//hyaA//decR//allD//lsrG//lysC//mntS//nikC//acrA//yjbE//narL//alkA//cspD//gatA//gspD//rffC//malS//murF//ymjC//cynR//
MarR_neg	glgP//uspE//modC//
MatA_neg	rhaS//cytR//phnI//ydhX//yafQ//yhdY//
MatA_pos	betA//flgJ//
MazE-MazF_neg	tktB//paaZ//narL//
MazE_neg	hycE//astA//ulaG//
McbR_neg	uvrB//
McbR_pos	ybhG//yedX//araE//
MelR_neg	gadB//ydbD//lpxA//
MelR_pos	tynA//moaB//ynfG//
MetJ_neg	glmY//accB//hypC//entE//lldP//yfiB//gcl//ribA//cirA//exuT//hyfR//murD//ytfE//alkB//mntH//
MetR_neg	ompF//idnT//
MetR_pos	fimE//lsrC//ccmE//tnaB//
MhpR_pos	gatA//agaB//yhdW//melB//nanC//tnaA//
Mlc_neg	ttdT//ssuE//yoeB//hcaC//gcl//rarA//nuoE//fecR//ompW//motA//
MlrA_pos	focB//sdhC//ybjN//hflD//glcA//paaB//hcaD//fhuE//adhE//yafN//
MngR_neg	dmsD//hyaD//appX//
MntR_neg	ugpQ//oppD//qseC//aroL//
MntR_pos	tfaQ//
ModE_neg	fhuB//ynfG//chbF//gltB//gudP//osmY//feaB//frdD//katG//ppdA//allC//hyfG//nanT//psiE//oppB//
ModE_pos	fumC//recC//nikE//iscA//hflD//rutE//tauC//accC//omrA//yhbS//yjeV//pyrC//ynfK//phnD//oppB//entA//mhpC//dgkA//recD//ybfN//accB//fabI//fixX//araJ//yhdW//casE//cra//yciF//yebG//norR//fbaA//
MprA_neg	fpr//mdtC//rutD//fepA//nfuA//yaiA//
MqsA_neg	chbF//ynbB//lgoR//ldtC//aceB//fimB//dinI//entC//
MraZ_neg	rutA//fecD//agaB//bdm//hyfB//hipA//degP//copA//nrfB//wzzE//mntH//cysG//csiD//moaA//ulaD//kdpF//ybjC//
MtlR_neg	ftnB//glxR//lpxA//
MurR_neg	yciG//accA//fadH//
MurR_pos	dpiA//
Nac_neg	tdcG//modA//pgaD//ssb//tdcG//speA//phnK//deoD//rarA//
Nac_pos	gntT//cusR//ydfD//tfaQ//rffH//ftsW//yqaE//ycgZ//pdeH//sgbH//ydeM//pyrC//
NadR_neg	iscS//rffT//argB//murD//
NagC_neg	purK//bioC//kbp//mdh//sufD//rob//casC//wecB//murD//purN//xylH//hcaC//hns//mcbA//fadH//xylF//iclR//gcvA//guaB//ompC//agaB//uxuA//agaV//nfsA//hcaB//yeaE//sufC//ycgR//zraP//rnlA//paaX//metQ//kbaZ//
NagC_pos	casE//ftnA//fucU//
NanR_neg	yefM//nlpA//ulaG//tsr//sfsB//ptsG//napF//ugpA//astE//dpiB//
NanR_pos	decR//
NarL_neg	waaZ//sucC//iscA//fadE//rclA//torC//tyrA//dnaN//ugpE//hyfD//trpE//nemA//yaiA//csrC//phnE_2//cysK//yfdX//emrB//creC//creB//gntT//fliH//sbmC//purR//nrfF//rhaA//sodA//argH//tdcC//mgrR//casB//aroP//ddpC//cpxR//cas1//rob//yiaK//nuoL//artP//paaX//sgrR//melR//yaiA//deoA//phnP//nrdI//fiu//pspE//pgaD//hyfA//fliA//fucP//phnL//pepD//lldP//grxD//ybhS//betI//ompT//pgaD//glk//speB//aceA//fepD//ryhB//moaB//gspH//gudP//fadB//ygiZ//fliP//hyfH//rutC//yaiA//nirC//rutR//rcnA//csgD//uvrY//cyaR//dinI//yeiL//metC//yjiY//yeaG//malF//cyoC//
NarL_pos	creC//trpL//puuE//arsB//guaA//gcvT//serA//ynfK//murD//hyfB//yjbH//prpB//galM//fucK//waaH//wcaB//trpR//tfaQ//ydcS//csiD//fiu//thiP//crr//fixB//artJ//hypD//hyfG//yjbE//murR//mazE//rseA//phnE_1//hisP//cysN//yedX//rbsK//pgm//acrB//ygiA//dsbC//nrfE//aceK//ynfK//
NarP_neg	ydhT//ddpC//lysC//ftnA//gcvA//ydfH//dgcZ//hemL//tisB//chbF//uspD//dpiA//paaY//yhcH//pheS//creA//cysE//narI//torA//yeaE//fecD//tisB//metN//aroP//gcvH//pfkA//yeaE//argH//hcaE//csiD//cdaR//yjeV//cydB//
NarP_pos	nrdG//kbaZ//lsrG//gspF//sufC//yciE//ybdN//hdeD//narI//ascF//cynR//fixA//argE//mqsA//prs//malM//alkB//pqiA//potF//rob//fliI//hybA//appB//cra//speB//sufD//glgA//patD//hyfD//acrD//iscS//gspL//
NemR_neg	nrdI//fixC//ykgM//
NhaR_pos	argI//mqsA//oppF//flhE//nikD//aroH//nuoJ//
NikR_neg	gpmM//yccA//nuoM//add//ygiA//ybhS//
NimR_neg	yhdY//nirB//
NorR_neg	phnC//
NorR_pos	bioB//ybbY//
NrdR_neg	phr//flgL//aceE//glgB//fdnH//rclA//mhpB//potH//artI//
NsrR_neg	uvrA//dinQ//grxD//pflB//ydcU//pfkA//ung//hycA//dkgB//leuC//ycgZ//accC//mdtB//hycA//lsrD//focA//hisP//purH//gpmM//xapB//fucO//glnB//ssuE//udp//aroP//ygeH//purD//sgbH//cas1//fucP//sufS//tnaA//iclR//yhiM//prpB//lsrC//hydN//nanA//pgaB//aceE//yidQ//yoeB//recF//murG//pspB//acrZ//yiiS//hyaE//cra//gadY//mpl//pncB//rybA//narJ//baeR//lexA//nuoH//yfdV//puuB//hyfI//oppF//dapB//tadA//sfsB//hycG//patD//ompW//adiC//metF//rutE//hyaA//cysH//dsbC//nusA//waaZ//dhaM//fucA//phoU//patA//dctR//ccmC//creC//uxuA//
NtrC_neg	nrdI//wecE//malM//yccJ//sdhB//alsC//
NtrC_pos	phnN//cirA//wzc//yjbG//setA//hyfE//yjjZ//fliI//narI//qseB//argD//ftsA//galK//cysU//lexA//yiaO//kdpB//pck//cecR//patD//iraP//dsdX//cydA//tolC//fldA//fadA//sufD//rutF//yjbE//napD//truB//moaB//yaiA//yjjQ//napH//exbB//fucR//asnB//fixX//napC//tyrB//hcaE//sra//dgcN//ebgA//fepB//ompW//yeaH//sodB//
OmpR_neg	pgi//allS//ynfF//caiB//dgkA//gspI//rimP//ygiB//mhpD//purH//ymiA//nanA//
OmpR_pos	caiF//phoQ//nuoH//yhbS//xylF//sgrS//citF//argF//hybE//focA//
OxyR_neg	fliP//trpB//rimP//fumB//accA//hipA//fhuD//hypA//gspE//tauC//epd//tpiA//
OxyR_pos	iraP//aceE//srlR//hmp//citC//nrdI//arsR//tauD//malP//insK//pdeR//cysW//katE//nanC//flgK//yebE//yhiM//iraP//mdh//marB//pheM//trpD//
PaaX_neg	grxA//inaA//tfaQ//erpA//evgS//grcA//yhdZ//umpH//speB//malX//cueO//betI//ygeA//caiB//
PdeL_pos	katE//
PdhR_neg	infB//rpsO//mlrA//glpA//ulaA//gudP//narJ//deoD//puuD//oppC//pdeL//puuR//ybhG//rnlB//bolA//cusA//ptsH//deoC//alsB//fliH//cvpA//malM//nrfE//mipA//acrD//sroD//prpC//rbsA//yfaE//fliR//ccmC//pck//dcuB//dapD//dicC//truB//
PdhR_pos	mtr//feaB//paaK//crp//qseB//
PepA_neg	sgbE//nhaR//borD//
PgrR_neg	ycjF//btuB//mglC//cspD//uidC//feaB//yhjA//rstA//
PhoB_neg	hisJ//argP//lacZ//galM//edd//thiQ//ftnA//cytR//oxc//zwf//fliR//nuoA//
PhoB_pos	bluF//ddpC//cysU//phnF//mcbA//fepC//pdhR//xylB//nanC//cyaR//ycjX//accA//rbsB//kbaZ//iscR//nanC//gatZ//mhpD//cspI//tdcF//mcbA//gapA//galE//dsrA//artI//napA//ldtC//ompF//sgrR//napB//gspH//sdhA//ygiZ//amtB//cynS//norW//idnK//prpB//moeB//dtpA//dapD//yjbG//dsdX//treB//yeaR//ttdR//paaY//acrB//ymgC//gltK//galS//eda//glcA//
PhoP_neg	fur//yqhD//gpmA//cbl//tadA//mglB//phnJ//infC//tehA//dsbC//pepA//
PhoP_pos	leuC//bglB//sucA//rclA//tfaQ//torA//moeA//flgE//rstA//phnO//bioB//acrD//mprA//gadX//wecE//marR//accD//phnE_1//sufA//nanA//glmY//hcaR//mgtA//cusS//mhpE//sroD//rpsO//uidC//accB//astD//higB//rcnR//hyfA//fhuB//dcuA//ydeI//fdnI//deoB//hyaC//fepG//ydhT//ftsA//phnG//yfdE//purN//dmsA//pspE//truB//
PrpR_neg	gadC//
PrpR_pos	lsrD//paaX//pncB//nuoB//
PspF_neg	gutQ//
PspF_pos	pdeR//lysC//gabD//yqaE//trpA//epd//
PurR_neg	metN//cadB//hycG//fhuC//purM//yegH//purL//rffG//soxR//yciX//purB//yhbT//yegR//phnL//glnP//exbD//csrC//cydB//arsC//gspK//yoaG//sroD//kbaY//sgrS//mntS//rutA//puuP//nfsA//infB//rpiB//oppF//
PutA_neg	fliP//yafP//
PuuR_neg	dhaL//gudX//kdpA//cusR//ssuE//higA//napC//
QseB_pos	purL//frdA//malY//bioF//
RbsR_neg	mhpE//napH//wzzE//murI//fucK//lexA//rbfA//fldA//
RbsR_pos	rbsR//
RcdA_neg	gadB//astC//
RcdA_pos	wrbA//iraM//grxA//nirC//gabP//araA//mraZ//
RclR_pos	atoB//mdh//ugpA//
RcnR_neg	hybO//ftsK//mhpA//
RcsAB_neg	rseB//frc//potG//uspE//norW//fes//
RcsAB_pos	sucB//gapA//yeaR//napA//ygiZ//hyaB//pspC//mqsR//rbsK//frdD//
RcsB-BglJ_pos	nadA//cysI//omrA//crl//dcuS//purK//uspD//ybjG//galP//ydeM//glpX//sdhD//fabA//btuB//cheA//recB//
RcsB_neg	agaB//flhA//
RcsB_pos	fepB//phnK//ccmB//cytR//infB//chbF//gntT//astA//ebgA//ahpC//ulaC//astA//iraP//nuoN//hybG//nrfE//emrY//pspE//fecA//dapD//deoC//glnD//cyoE//
RelB-RelE_neg	rhaT//phnC//speA//
RelB_neg	polB//ssuE//moeB//
RhaR_pos	ssuD//malK//
RhaS_pos	lsrC//fepG//fau//hycD//ttdR//fabA//
Rob_neg	cysG//
Rob_pos	glgC//hypF//fadA//psiF//pck//zwf//accA//putA//gltD//fliA//fecA//katE//nuoK//rutC//ugpC//csiD//flgG//symE//ptsI//cysG//ydjM//skp//trpR//psiE//glnP//
RstA_neg	hisP//bacA//insD//zntA//hyfR//
RstA_pos	fucO//frdC//fliC//talA//murQ//
RtcR_pos	deoA//lysO//
RutR_neg	poxB//pagP//dapD//gatY//norV//mlrA//allS//malY//yagK//yncE//aceF//rutD//narH//trpE//fadR//
RutR_pos	hdeD//moaA//
SdiA_neg	motB//dctA//paaX//
SdiA_pos	sulA//gabD//glpX//
SgrR_neg	nac//rpoD//ccmA//glcB//treC//
SgrR_pos	ppiA//ydiV//gutQ//tbpA//
SlyA_pos	ybbY//
SoxR_neg	rbfA//
SoxR_pos	kbaY//dpiA//
SoxS_neg	tauA//pgpC//
SoxS_pos	bluF//glgX//ybjC//pspB//alsB//hypF//feoB//uspA//puuP//cusA//cueO//fbaB//ygbK//infB//murC//yfdX//mntP//hdeD//ygeH//yafP//dgcZ//safA//purR//dsbA//paaH//yaiA//gudX//argB//alkA//rhaR//fliE//leuL//yebE//nuoF//tonB//csgC//ydeN//flhA//
StpA_neg	hyfB//idnK//dapD//fdnH//pspA//uof//insK//
SutR_neg	artM//prs//pnp//higB//cysD//
SutR_pos	yidQ//
TdcA_pos	ung//pnuC//flu//gltK//flgD//rbsR//mqsA//
TdcR_pos	hlyE//gspL//yafN//psiE//hyaF//paaZ//nuoE//
TorR_neg	dinI//ttdA//cynT//
TorR_pos	wza//znuA//pdeL//bdcA//insD//araE//mglA//yiaO//thiQ//
TreR_neg	hyfE//asnC//
TrpR_neg	sdhD//fabZ//glnD//ftsI//norW//srlD//pspB//xylF//cysJ//flgN//infB//modA//
TyrR_neg	dicB//oppD//rhaA//borD//fruB//metE//mazE//soxS//lsrF//fadR//
TyrR_pos	leuC//paaF//melR//
UhpA_pos	arsB//
UidR_neg	rplT//malK//mhpD//gspC//
UlaR_neg	mtlD//ssuB//ftsK//zinT//glnG//fruA//yeaD//
UvrY_pos	cytR//puuC//ytfE//gspG//dcuB//
UxuR_neg	pqiB//agaR//dtpA//nadA//glcA//fldA//uxaC//yciG//araJ//
XapR_pos	dsbC//oppC//
XylR_neg	recB//
XylR_pos	argB//yciW//gudD//ynbA//fucR//hycA//
YdeO_neg	tcyJ//phoR//
YdeO_pos	ppdB//yfdX//dinJ//alsB//cysJ//phoQ//csgA//paaA//hycD//sgbU//leuO//ybbY//nlpA//agaI//mlrA//ftsK//tam//lsrF//prpD//
YedW_neg	srlR//fepD//pstB//cysI//tcyP//
YedW_pos	yfdX//narJ//fbaB//rcnB//treR//cysU//ssuA//
YefM-YoeB_neg	ompC//iclR//
YefM_neg	oppD//ryhB//
YehT_pos	creA//
YeiL_pos	tdcB//
YiaJ_neg	guaA//cysP//lysR//accA//araG//ccmF//wcaA//sucA//yhbE//lsrB//
YjjQ_neg	metE//ftnB//wecB//prpE//garP//yagK//glcB//hyfA//nanC//insD//
YpdB_pos	argB//
YqhC_pos	hns//yeaH//
YqjI_neg	ftnA//ybjN//
ZntR_pos	ftsW//
ZraR_pos	yqhD//tolC//sodA//
Zur_neg	hyfD//fliZ//sufC//gadC//casC//ldtB//
