#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	garK//yhdX//
Cra_neg	yccT//cho//safA//agaI//gabT//phnF//ydfW//ecnB//creC//tyrR//ftsK//paaI//yqjI//nagE//galS//caiC//sgrR//htpG//caiC//caiA//sodB//mngB//bdm//fliO//fixC//ftnA//cyoA//pheT//xylH//rffT//lrhA//wcaA//leuD//rbsA//hycG//tktB//nemA//flgF//ycjX//bdm//deoD//lacY//ppdA//cra//hybO//phoQ//mazE//potF//garD//gadX//ydcV//aidB//gspD//caiF//ugpC//chbC//hybD//tnaA//manX//
Cra_pos	creD//yqjI//entB//gntU//hyaA//yegH//pstA//sgrS//cpxP//icd//kbaY//yjbG//garL//lacA//glnP//chbC//fepD//hypD//udp//ecpR//rhaD//glcF//mngR//
CreB_neg	lamB//thiP//agaS//
CreB_pos	paaZ//emrY//
CsgD_neg	sufB//thiP//slt//osmY//yqjA//ulaF//ppdA//nagB//malT//trpR//fixC//dcuS//sucC//fabG//agaR//
CsgD_pos	phnC//ddpX//lsrK//rcnA//yjbE//fliF//tyrP//yjbG//chbG//nrfE//sufA//ddpF//osmB//
CsiR_neg	nrdI//fliK//yaiA//pspF//lexA//
CspA_pos	cpxR//tauC//
CueR_neg	yiaM//mdtF//astA//dicB//patA//
CueR_pos	ydhW//dgcC//
CusR_pos	xylF//znuA//fucA//ssuD//fabH//recA//uspA//sufA//mhpD//nrfF//yhdX//bioD//
CynR_neg	fadM//
CynR_pos	ybhG//acrD//mdtA//
CysB_neg	sra//nikC//sdhC//ybfE//fecB//hypF//flgA//
CysB_pos	ydhU//metN//mglB//astC//melB//ydcS//nemR//rcnA//flgC//rutD//fixB//ydcV//uvrY//hypD//glgP//pdhR//lsrF//yeaH//dmsD//murC//paaE//tam//dnaG//uxuA//mhpB//
CytR_neg	gspC//cvpA//fucI//entF//flgB//hmp//tcyJ//nikB//purM//tnaC//rhaT//nrdF//pspA//
Dan_pos	malM//tolC//uxuB//tdcG//
DcuR_pos	hyaE//hflD//xylF//flgM//dctR//phnM//umpH//ybdN//cysP//
DeoR_neg	nuoJ//metR//fumB//accB//ynjI//hycG//
DhaR_neg	gntX//
DhaR_pos	alkB//ahpF//adhE//
DicA_neg	sbmA//yefM//fepE//yciE//efeU_1//yagK//rffM//sodA//
DinJ-YafQ_neg	asnA//uidB//mntP//
DnaA_neg	frdD//gapA//hycG//ykgM//nrfG//dpiA//uspE//bdm//ppdC//puuP//fabB//
DnaA_pos	lsrG//pck//purA//gntT//rstB//phnN//hyi//
DpiA_neg	hyaB//
DpiA_pos	malY//evgA//rffG//tktB//pheS//htpG//creB//yfiR//rnpB//trpB//
DsdC_neg	yeiL//
DsdC_pos	ptsG//bluF//
EbgR_neg	flgN//rutF//
EnvR_neg	paaC//cytR//
EnvY_pos	cynS//torA//
EvgA_pos	yfbR//gcvH//ybhR//puuR//hyi//glnH//narX//ydeO//sulA//phoA//ftnA//csgA//acrD//fixX//fepE//allA//hycA//wzyE//glk//
ExuR_neg	ycjF//ydiV//copA//mgtL//murF//recF//hybD//cspE//nohA//
FabR_neg	lolA//codA//
FadR_neg	sulA//fhuE//recD//tauA//ydeM//nfsA//fabG//tcyJ//nmpC//gudX//psiE//
FadR_pos	tnaC//phnE_2//cspD//tyrP//htpG//dpiA//ynfG//ugpQ//emrA//aceB//pqiA//phnN//
FeaR_pos	tauD//hyaF//
FhlA_pos	ydcV//cra//glnA//ynfF//nanK//aroF//flgM//ppsA//purB//prpE//alsB//agaV//csgE//baeS//yciG//alaS//ybhR//emrA//uhpT//hyfR//ydfX//uvrB//phnL//cyaR//fliH//acrB//aroL//grxA//ogt//bdm//
FlhDC_neg	recF//mqsR//dctR//uxaC//
FlhDC_pos	idnR//oxyS//feaR//fhlA//dmsD//araC//lacZ//yhdW//dsbG//ruvB//nikR//nohA//artM//napF//xylF//insK//ynbA//hisJ//arsB//trpL//paaC//hyi//gadE//folE//murQ//uhpT//cysG//napF//pstA//purA//speB//cytR//entE//pdeH//recN//hemL//yhiM//fdnH//yncE//nrdD//hcaD//fepB//nrdB//tauA//skp//fliO//ydfE//nfuA//hyaB//rob//ytfE//gltL//sufB//hdeA//wzxE//modA//mdtA//ycgR//ydhV//glgP//yfaE//srlE//yjjZ//lsrF//ygbA//umuC//guaB//kdpA//frdC//tomB//sufC//mhpF//yccJ//glnG//pheT//tdcB//yqjI//deoD//
FliZ_neg	sbmA//glgA//hyfB//ybhS//glcG//dgcN//gspK//iraP//leuO//eda//gatC//gltI//artM//yiaL//prpE//agaS//csrC//glcE//tcyJ//ychF//fabA//
FucR_pos	wza//waaZ//ydjM//rbsC//rseB//yjhB//gabD//
Fur_neg	hyfE//mntH//ppc//dctA//fliP//atoA//nemA//waaH//glpT//flhD//phnG//nuoC//molR_1//phnE_2//cydD//uxaC//betT//bamE//allD//citE//hcaB//cynR//dpiB//yciX//ydhU//nanS//acnA//ssuC//leuL//relA//znuA//mprA//isrC//arsB//gadA//napG//ftnB//artM//gadB//ulaE//rtcA//flgH//obgE//ygiA//infC//ydiU//nmpC//atoA//glpC//fimB//yhiD//metN//cysW//gatY//hycA//lsrR//glgC//copA//artQ//pnp//tdcC//ycgZ//yjhB//osmB//mtlD//flgI//norV//accB//lamB//napH//betB//flhC//relB//ybjC//pgm//phnI//gcvA//cydB//sroD//fliH//fadL//fnr//csgB//paaZ//rpoS//ygiC//yidL//aslB//ompF//ubiC//mtlA//rfe//stpA//garK//polB//dmsD//paaD//narG//glcB//torD//pdeR//katG//dtpA//gltK//phoE//focB//yiaJ//sucA//ebgC//carA//sdhA//yaiA//leuD//ddpF//yhjX//
Fur_pos	puuP//micF//gyrA//yjhB//artP//purK//sgbH//lsrB//mepH//oppD//potH//sgbU//dmsB//tdcG//pgaB//talA//alsA//fadM//lldP//agaR//dgkA//
GadE-RcsB_pos	cadA//lysO//cynR//ascB//wzb//hcaC//motB//hflD//fepA//
GadE_pos	yciG//rseB//rybA//nemA//gpmM//lsrA//pheT//nrdI//ycjG//gspH//dnaG//mltF//idnO//dhaL//fpr//astA//cspD//narH//yhcH//fixC//mdtF//rpiR//glnB//malQ//ebgC//gabP//cysW//pstB//dps//
GadW_neg	mngB//oxc//tauD//ftsZ//crl//ribA//slt//glpF//uxaA//pgpC//fucR//
GadW_pos	phnH//lpxC//tyrR//nhaR//safA//tisB//fepC//rnlA//nuoM//nrfE//yiaN//
GadX_neg	aceF//csgF//rob//degP//tktB//yqjA//
GadX_pos	araE//mqsR//paaE//soxR//nrdH//narH//narK//gntX//leuB//sodA//fecB//ydbK//tdcE//zntA//exbD//ygiB//hcaR//ldtC//metN//fixB//dgcZ//symE//malY//grxA//fau//casE//ynfH//
GalR_neg	asr//fliQ//rpsO//udp//nuoJ//sgrS//csiD//aceE//nuoL//pyrC//
GalR_pos	rpoE//cadA//rbsD//hyfG//
GalS_neg	tsx//tsx//tdcG//yhbE//prpD//sgrR//flgD//tsx//yedX//wrbA//
GalS_pos	lamB//sufS//crl//fixC//
GatR_neg	metI//rbsD//emrB//hisM//ybhL//potI//
GcvA_neg	tdcB//pgpC//rstA//ruvA//
GcvA_pos	zwf//speA//rpmI//lpxC//
GlcC_neg	dkgA//
GlcC_pos	accD//envC//gcvB//fdnG//creC//nuoA//
GlpR_neg	phoQ//gapA//cysW//ymiA//recN//fldA//dkgB//glnQ//pspG//
GlrR_pos	metK//gcvT//ccmF//cdaR//lgoR//
GntR_neg	emrK//nhaA//yeaG//yfiR//lexA//argH//phnO//ruvB//rhaB//psd//pgaB//narI//
GutM_pos	motA//iraP//argB//ybdZ//paaH//kdpA//qseC//
GutR_neg	napC//srlD//mdtF//argI//nuoL//sgbU//nhaA//
HU_neg	allE//yciW//slp//lsrB//cadA//napG//ydcV//iscU//
HU_pos	bacA//
HcaR_neg	ptsG//
HcaR_pos	murR//acrB//puuD//cynS//pspA//
HdfR_neg	mqsR//nikA//
HdfR_pos	borD//ybaS//chbG//
HigA_neg	yhdW//yfbR//
HigB-HigA_neg	aspC//fliA//
HipAB_neg	ssuA//ebgA//ymgC//rtcB//rhaT//
HipB_neg	rtcB//putA//chbR//trpE//dnaG//aidB//
HyfR_pos	fimE//gnd//tauC//lysO//wza//dhaM//cyoD//ahpC//atoE//glgP//astA//hemH//
HypT_neg	nanS//rutD//yccJ//mgtL//murD//
HypT_pos	leuD//nikD//glk//rutE//ccmB//gltB//zwf//metL//
IclR_neg	ppiD//pdeL//kdpC//ynfG//
IdnR_neg	nrfA//aceK//
IdnR_pos	hcaD//ycgR//uspD//srlD//ybfE//
IlvY_neg	hydN//
IlvY_pos	uvrD//
IscR_neg	ccmF//gabT//yidL//glnB//deoB//lhgO//argD//rbsR//uxuA//hycI//fadR//ydhW//mraZ//safA//hybC//metE//nikD//wzyE//bglG//ydfX//fhuF//
IscR_pos	hycC//cysD//gapA//ascF//caiE//emrK//mraY//nrdB//idnT//ibaG//efeU_2//
KdgR_neg	cusA//ulaB//
KdpE_pos	ybhS//nuoA//fruB//oppA//
LacI_neg	purR//trxC//gpmA//
LeuO_neg	fabB//grcA//yafP//
LeuO_pos	caiE//ecpR//glpC//hyfG//yqhG//idnO//phoP//puuA//nemA//pncB//glpF//uvrA//flgN//ppsA//glnA//aroF//hokE//nanE//
LexA_neg	cspI//modB//gcvP//nimT//sulA//ugpC//yiaM//malK//moeB//ascF//glpA//lrp//argO//ydhV//flhD//ilvC//fhuD//carB//ybiT//ydfE//rffC//nagA//cpxA//wza//glpQ//yhcH//mraZ//malK//lhgO//gspG//yagK//pspA//fepB//yfiR//xylG//sucA//fliC//gabT//ytfE//tauC//codB//lrp//citD//hdeB//alaC//accC//cusF//folE//uidB//insK//ydfD//tauB//nuoK//uspA//asnA//trpR//prpC//ynfK//pdeL//
LldR_neg	rplU//fliH//lsrR//
LldR_pos	cysK//xylR//uidC//
LrhA_neg	relE//yhdZ//
LrhA_pos	napD//purF//
LsrR_neg	ygdB//gspM//adhE//paaA//yciG//tnaC//gadX//sgrS//hyfD//
LysR_neg	ascB//
LysR_pos	phoA//
MalI_neg	fliZ//malM//fliF//
MalT_pos	nuoM//infB//fumC//uxaB//cysW//ybdZ//yneM//sucD//atoB//fucP//
MarA_neg	osmY//sucD//accA//cysB//pnp//csgC//ndh//
MarA_pos	cynT//rpoE//rhaD//bolA//mntH//gadW//csgD//nac//emrY//dsbC//nrfE//glcA//fepB//ldtD//ariR//aroM//cysP//torA//tauA//ptrA//ppiA//srlR//atoE//phr//potI//lrhA//fiu//rplT//gspL//flgJ//intQ//
MarR_neg	codB//fliD//pheS//
MatA_neg	fepC//agaC//fhuB//casE//gutM//polB//
MatA_pos	cysE//casE//
MazE-MazF_neg	nanA//flgC//phoQ//
MazE_neg	fhlA//degP//ubiC//
McbR_neg	cysN//
McbR_pos	araB//nrfB//sufB//
MelR_neg	qseB//gnd//fecB//
MelR_pos	lsrK//hyfI//rutE//
MetJ_neg	murC//rpsO//acnA//yhjX//mpl//glcF//cusF//yeaD//fldA//yciX//puuA//relA//mazG//yjbF//dsdC//
MetR_neg	glnH//cyoE//
MetR_pos	yebE//acrD//cydB//envC//
MhpR_pos	ydcU//glnH//phnE_2//cas1//tolC//arsB//
Mlc_neg	glnD//cytR//manX//dpiB//fliO//cysM//fepE//hns//glcG//gpmA//
MlrA_pos	acrD//rpsO//fau//adhE//yafP//entC//hyi//rhaT//accB//nimR//
MngR_neg	yfdV//slp//ynjI//
MntR_neg	mgtA//psiE//yneM//artP//
MntR_pos	decR//
ModE_neg	purR//ccmC//ychF//fdhF//safA//galM//aspC//tktB//yqjI//paaF//nfsA//lldR//rpsO//cusF//rpsO//
ModE_pos	narJ//uidC//ftnB//iscA//fumB//phoP//nrfD//soxS//rbsB//frdC//pagP//molR_1//rhaB//nfsA//norV//hyfR//aslB//astD//csrC//phnE_2//garP//pdeL//rpmI//pspC//nuoN//mtlD//malS//edd//cpxP//gatC//ugpB//
MprA_neg	ydeI//ompW//moaD//dkgB//sufD//insK//
MqsA_neg	gntX//paaY//fepD//pqiA//ariR//gspD//rutR//artM//
MraZ_neg	ykgM//moaC//tnaB//rclB//omrB//rbsR//nimR//glpC//gapA//rarA//znuA//yhjA//pspF//purF//gcvB//amn//yqjA//
MtlR_neg	dicC//gntK//cysK//
MurR_neg	galR//marR//pspD//
MurR_pos	ppiA//
Nac_neg	wzxE//ycjF//fucA//rplT//fecE//pheS//caiA//paaC//fliL//
Nac_pos	cpxR//nrfD//argD//nrfE//nuoM//adiA//ddpA//oxc//hybA//lsrK//hyaE//pqiA//
NadR_neg	bglF//folE//fucR//cbl//
NagC_neg	putP//nirC//aroG//gadX//glcC//yhbE//ftsZ//nrdD//agaA//sbcD//rplU//pgk//sucD//fliD//flgA//ftnA//rnlA//cusR//mglB//fecB//ydfW//ynbD//yrbL//hslJ//nrfG//ompF//fixC//betT//tyrB//entB//fliF//cysD//gcvH//
NagC_pos	deoA//arsB//modC//
NanR_neg	cspE//pdeL//accD//fbaB//dpiB//tdcG//slyB//tdcF//sbcD//cspD//
NanR_pos	recF//
NarL_neg	yciE//ddpC//ydfW//hypC//cydD//yoeB//borD//phnK//accD//sulA//polA//moeB//alaC//bhsA//sulA//phr//phoR//ynbA//dicB//ygiC//phnK//chbB//leuC//tomB//thrS//ribA//gudD//sgrR//ybjN//hydN//oppA//yciF//evgA//cho//csgG//xylF//rbfA//aceK//garP//ydhU//safA//torA//pqiA//hemH//ygiB//ygiZ//dicB//oppA//yjbF//pyrC//glgC//cysD//paaC//feoA//fliS//ydeP//rbfA//treC//ygbK//flhD//nrfG//adiC//yciX//gcvT//purM//frdD//nikR//yebG//trpB//casD//hcr//ymgA//atoD//yeaD//trpC//amn//fliI//dinG//hisM//fliC//mglA//crr//mdtC//gcvB//dinF//gadE//lyxK//
NarL_pos	araF//sufE//phoH//flgJ//hybB//pgaB//flgJ//rtcA//glgX//ykiA//nrdH//nrdH//citG//iscA//purC//nfo//rcnR//cynR//glcC//pspE//yjhC//cadC//dsdX//ppdC//bdm//tdcC//gntX//carA//phoH//mntH//hcaC//yjbH//frc//fepB//uspA//spy//aroH//ttdB//tynA//entA//srlA//manZ//glnB//
NarP_neg	fecB//sdhB//entS//dinG//casA//metR//araA//glpK//murE//hyaC//nadA//phr//relA//flgL//nimR//aroM//asnA//thiQ//cysE//mraY//hypF//recC//ftnA//lsrF//pheM//fepD//gpmA//sufB//moaE//fldA//hmp//narK//hycF//
NarP_pos	bglG//flgJ//ascB//tehA//paaY//omrA//cydA//ybaT//nuoB//cspD//gadC//asnB//sra//idnT//pheS//wrbA//purD//crl//mdtF//nlpA//yfdV//cpxA//betI//mglC//mazF//mdtC//potH//yncE//kbp//fixC//flgL//zraP//
NemR_neg	ygiA//psd//dgkA//
NhaR_pos	sgbU//hipB//ynfF//gntT//narI//fimE//emrB//
NikR_neg	emrY//symE//yciE//seqA//evgA//fhuB//
NimR_neg	chbF//ftsK//
NorR_neg	entC//
NorR_pos	argF//srlR//
NrdR_neg	galP//argD//ddpF//yidL//rfe//yoaC//rcnA//hcaB//insD//
NsrR_neg	luxS//gspJ//hycH//cusR//treC//citC//dcuS//metA//yhbS//hypD//trpE//cydA//sroD//rtcA//metY//yegR//yqjH//ykgM//nlpA//nuoC//sgrS//lacA//rnlA//potG//yjjQ//dinB//entD//argD//gadE//fliS//mdtE//yhcH//flgK//cydA//malY//fhuE//rhaB//isrC//rclB//cdaR//tyrA//zntA//napB//yecR//lysC//ybfE//cysU//ftsA//hns//zraP//ulaG//argI//ybaS//phnD//potI//hybG//yafO//fucU//purR//entE//rpiR//agaB//fadH//cydD//dcuB//yeaH//murP//tnaA//napB//malE//hypB//htpG//lpxA//ybhL//dhaK//epd//hybD//paaH//rpmI//hyaC//dapD//phr//glnP//
NtrC_neg	cysJ//prpD//rclB//gcvB//recB//rfe//
NtrC_pos	soxR//lldR//garR//trxC//nrdH//tpiA//mqsA//arsB//nanK//yccJ//yhiM//nimT//psiE//ykgO//argA//mhpA//amtB//zraS//nrdA//alsC//rnpB//safA//ccmC//ulaA//cas1//hflD//fucR//potI//sdhC//nikE//phnJ//dmsD//nagA//dcuS//nrdG//caiA//puuC//ugpQ//yhcH//gyrA//pagP//yiaJ//fadB//ydfH//melR//dmsC//crp//fliR//flgD//
OmpR_neg	ybjN//phnM//gcvP//dmsD//cysM//yoaG//ydcV//glnL//baeR//ydhT//glgP//ybhG//
OmpR_pos	wzxE//yjjQ//ulaE//erpA//cysU//aroP//flgM//rclA//phnL//ulaA//
OxyR_neg	yafO//pyrC//ddpD//rbsA//dmsB//hcp//waaY//bglF//recA//sufB//hycG//yfdV//
OxyR_pos	fliG//pqiB//ruvA//csrC//hyaB//katE//fau//sodB//tpiA//pncB//dsrA//ycjF//ulaF//ygbA//lon//ulaC//folA//glpT//yafQ//fliQ//purD//ampC//
PaaX_neg	lolA//sroD//flgM//ugpA//grxA//marA//dapB//fliF//entC//hmp//tauD//dhaR//mdtE//ynfF//
PdeL_pos	aceB//
PdhR_neg	psd//pheS//tdcA//fepE//nagC//omrB//hyfD//ubiA//uxaA//mioC//tnaA//ydiU//gadX//ydcS//hypA//nikB//hipB//glxR//xylG//mhpB//gadA//fadE//ddpF//nikR//pitB//kdpA//alsB//flgC//citC//bioA//yccJ//metJ//tehA//galM//narJ//lysA//
PdhR_pos	chbG//phnG//znuA//ygiB//ygiA//
PepA_neg	patA//accB//pgpC//
PgrR_neg	aceK//ugpA//dsbC//rimP//ttdA//fadL//ydhW//fldB//
PhoB_neg	rfe//tktB//cusR//deoB//rpoD//cysN//creB//hybE//gatD//citF//idnO//ymgC//
PhoB_pos	feaR//hycE//malF//fepA//carA//tcyP//flhA//torR//phnM//flgI//fabI//entC//rhaT//recC//mtlR//potI//glcC//gatY//entE//torR//sroD//hslJ//pspB//cusB//dinF//metK//araA//argD//glnH//mazE//guaA//yhhY//alkB//poxB//cynS//ebgC//soxS//ychF//seqA//pspB//glpK//gabT//yedX//nrfC//rob//lysA//dsbG//malG//prpR//leuO//mdtA//oppB//yhhY//
PhoP_neg	wcaA//cysJ//mazG//znuC//psiE//yhbS//sra//nanA//chbF//nanM//cra//
PhoP_pos	bacA//citX//feoC//pspF//hypE//micF//creC//pspF//tehB//chbC//bhsA//cysK//accB//fumC//pstA//phnH//fimE//grxD//insK//rbfA//ycgZ//fixB//tauD//ulaF//dsdX//ebgA//fadJ//nuoK//yefM//serA//nrdH//sgbU//trpC//mhpE//galP//flgB//grxD//ubiX//nirC//purE//ppdA//uidR//rutG//agaW//phoH//agaV//garD//mscM//
PrpR_neg	higB//
PrpR_pos	glk//sroD//nuoE//nirC//
PspF_neg	moaC//
PspF_pos	speA//fepE//puuA//ybjG//hyfF//nuoI//
PurR_neg	hycD//rhaR//dinF//ycgZ//sgrS//argH//hisJ//fur//sbmC//chbR//yaiW//yiaJ//yhiD//rbsR//glpQ//ykgO//hdeA//tdcA//moaC//galE//mngB//tsgA//katE//pdeR//sucC//lldR//asnA//dcuA//nrfF//flhE//guaB//
PutA_neg	gspJ//moaE//
PuuR_neg	cbl//rcnR//citE//feaR//fliC//rplU//ybbY//
QseB_pos	glpF//slt//kdpC//mscM//
RbsR_neg	malZ//lpxD//fabA//yhiD//agaD//aldA//recC//dicB//
RbsR_pos	nanT//
RcdA_neg	cpxP//poxB//
RcdA_pos	bglB//fdnI//putP//nikR//tsr//aroL//agaR//
RclR_pos	fecD//baeR//yjbE//
RcnR_neg	nrdB//gspG//tdcA//
RcsAB_neg	gabP//mhpF//rcnA//tdcE//metA//feoC//
RcsAB_pos	gabP//ddpB//accC//uspE//cusA//ompT//gntK//acrB//lrp//yfiB//
RcsB-BglJ_pos	rpiB//purL//molR_1//ygiC//artP//lexA//allS//yeaR//argP//sdhD//nrdA//ydhV//sgrR//uxaA//patA//dsrA//
RcsB_neg	fdnI//gspH//
RcsB_pos	phoB//dapB//puuC//lpxC//alsE//sbmC//intQ//glnH//garP//ybhR//fliO//ssrS//glnL//ldtB//katG//yiaO//ssuE//rclB//xylR//aroL//fhuB//hdeD//ugpC//
RelB-RelE_neg	fecD//glgX//mhpF//
RelB_neg	lacA//dicC//amn//
RhaR_pos	ptsH//mngA//
RhaS_pos	appX//ftsL//ydhV//bioD//alaS//norW//
Rob_neg	atoD//
Rob_pos	hycE//asr//nrfB//rcnB//ugpC//sufA//safA//csiD//galR//relE//csgE//dsdC//malG//appY//allB//lhgO//puuD//pgpC//agaW//mtr//yhbT//napF//argO//nuoJ//fdhF//
RstA_neg	osmC//dctA//yhiD//treC//rffH//
RstA_pos	galP//yccA//glnA//fliT//yciG//
RtcR_pos	stpA//ccmE//
RutR_neg	acrR//relB//sbcC//cusS//mgrB//yqjH//efeU_1//hyaF//ygiC//mhpB//hyfR//frdA//ybaT//dinJ//fliT//
RutR_pos	argA//ymjD//
SdiA_neg	pheM//artQ//ydbD//
SdiA_pos	glmY//sucD//kdpF//
SgrR_neg	paaG//gspK//flgM//tyrP//entE//
SgrR_pos	malM//grxA//trpB//hcaR//
SlyA_pos	yecR//
SoxR_neg	nuoJ//
SoxR_pos	rutF//ybhG//
SoxS_neg	hypC//frdD//
SoxS_pos	pstC//uvrA//dinB//gutQ//potG//gdhA//safA//focA//pgaB//phnM//pyrC//nanT//hokE//znuB//dinB//phnM//oppC//rutG//thiQ//hyaC//cusB//dapB//mgrB//ldtB//yciW//lpxD//uxaA//hslJ//nhaA//pgaC//cdaR//yidL//fadH//ogt//hycE//rutR//sroC//pncB//
StpA_neg	mdtA//appY//fecE//ulaC//ygaC//tnaC//dsdA//
SutR_neg	nupC//kdpB//aroP//cysI//hycI//
SutR_pos	ydeM//
TdcA_pos	nikE//nrdE//rclB//ykiA//fecA//astE//ryhB//
TdcR_pos	ybbW//ttdB//garK//potG//gatC//nfo//cheW//
TorR_neg	dicB//marA//oxc//
TorR_pos	glmS//dhaK//envC//acrB//ryhB//argC//hybF//gnd//torR//
TreR_neg	artM//metI//
TrpR_neg	rffH//lpxA//hlyE//rhaR//argI//pgm//citG//ldtB//ygiA//hha//bglB//flgI//
TyrR_neg	prpC//citG//appY//rpmA//nrdF//ygbA//rnpB//acrA//yagK//gadY//
TyrR_pos	pyrC//yjbH//puuB//
UhpA_pos	torC//
UidR_neg	nanS//nfsB//znuA//safA//
UlaR_neg	flgE//sufD//sucA//gadY//cysE//aceF//phnG//
UvrY_pos	rffC//bhsA//ppiA//flhE//ung//
UxuR_neg	nhaA//mzrA//paaF//ybfE//tdcG//evgS//cyoB//ynbA//atoB//
XapR_pos	pspF//tdcF//
XylR_neg	trxC//
XylR_pos	idnO//casE//frdB//sbcC//marB//tcyJ//
YdeO_neg	astC//allC//
YdeO_pos	ftsK//ssuA//sdhA//hyfA//agaR//ybaT//sgbH//rfe//aroH//uvrD//yjbG//frdA//sufC//rfe//phnN//speA//nikR//ykiA//rybA//
YedW_neg	trpL//yhbE//nadA//argA//nfuA//
YedW_pos	nadB//wrbA//pflB//phoH//pspC//hyfI//fucK//
YefM-YoeB_neg	glnA//cusR//
YefM_neg	pqiA//mzrA//
YehT_pos	cheA//
YeiL_pos	dsdC//
YiaJ_neg	polA//ddpF//fliC//ccmH//ybhF//napB//tyrR//ssuE//fepD//fliR//
YjjQ_neg	rpoE//nuoI//yhjX//pgi//flgN//gutQ//ddpX//nirB//ptrA//appC//
YpdB_pos	alkB//
YqhC_pos	dinB//flgE//
YqjI_neg	crr//rutC//
ZntR_pos	fixB//
ZraR_pos	alsC//aroG//fabZ//
Zur_neg	dinJ//paaE//fumB//tauB//aceK//ubiC//
