#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ybhR//mdtF//
CynR_pos	ulaC//focA//higA//
CysB_neg	yiaK//hcaD//fhuF//glgC//iraM//fadD//ftsW//
CysB_pos	yafO//ddpX//puuD//aroF//yfaE//ybfE//yefM//pck//atoD//entF//ccmG//cpxA//phoQ//nrdI//yjbE//caiD//ulaC//yfiB//idnD//yoeB//baeR//hha//wza//dhaR//leuD//
CytR_neg	lyxK//sufB//wecE//glnP//tfaQ//zraS//dinD//allD//exbB//aroL//fliM//tfaQ//galS//
Dan_pos	yhbE//ybhS//trpB//argO//
DcuR_pos	hcp//rdoA//tpiA//ebgC//micF//nagA//focB//deoD//ddpC//
DeoR_neg	alkB//rimP//dsbA//emrA//hyfD//yjjQ//
DhaR_neg	artM//
DhaR_pos	gadE//gcvH//sra//
DicA_neg	trpL//ccmH//hyfA//pspG//napC//ppdB//ulaG//gatZ//
DinJ-YafQ_neg	rclB//hycB//tcyP//
DnaA_neg	appA//pspC//uxuA//fhuB//cysJ//chbF//ppiA//ftsQ//nikC//xylB//polB//
DnaA_pos	alsC//pstS//nusA//purK//cysN//mzrA//nuoJ//
DpiA_neg	fliA//
DpiA_pos	puuD//rplT//recD//tehB//ompN//yeaD//potI//hipB//fliF//hyfC//
DsdC_neg	pdhR//
DsdC_pos	mhpC//motB//
EbgR_neg	yfiB//lacZ//
EnvR_neg	ydcV//sulA//
EnvY_pos	acnA//dctR//
EvgA_pos	lacY//citG//psd//amtB//araE//cysP//sufS//intQ//uxaC//mazF//ptsI//yeaD//nuoL//erpA//fadB//ydeP//lsrK//mdtA//mdtF//
ExuR_neg	purL//puuE//modC//cysU//hydN//degP//pspG//gloA//wzyE//
FabR_neg	ubiX//glnH//
FadR_neg	purD//csgE//gabT//nuoM//dinB//rnlB//seqA//citC//phnO//rstB//narK//
FadR_pos	yoaG//pheT//tdcB//zinT//higA//exbD//crl//sgrS//ybjN//bglF//marB//tauB//
FeaR_pos	tdcB//agaW//
FhlA_pos	pstB//fhlA//fabZ//lpd//amtB//nuoH//osmC//ccmE//ydhY//dhaL//cydA//ygaC//gabP//malF//fruB//rutE//rpiR//paaA//tdcA//mdtC//asnA//zraR//nimR//hybO//nhaA//cysH//nagA//hokE//phoU//entE//
FlhDC_neg	malK//paaD//ydeP//mdtB//
FlhDC_pos	uspA//ldtB//chbC//yegH//murI//yafN//degP//araB//gabT//mntS//fldB//ubiX//napC//paaH//grxD//nrfB//fdnG//ldtC//ssuD//artI//fdnI//tdcB//metI//paaG//cysU//fadI//micF//yjiY//pspE//agaA//chbG//atoD//paaJ//moaB//malT//hcaC//rpmA//fixC//pflB//cysJ//rseC//hha//oppF//dcuD//wecB//sdhB//yfbR//gntX//mprA//ybaT//mntS//ugpE//degP//tcyJ//sbmA//fixC//fecR//tdcB//artQ//oppB//paaK//ynfK//lpxA//nanS//paaY//mdtB//fur//gadX//nadA//aceF//guaB//yagK//fucK//tynA//asr//tcyP//rtcB//ompW//
FliZ_neg	gspE//ftsQ//ybbY//rutR//paaA//pdhR//yciE//paaA//hypB//ydcT//cysP//ydhW//mnmG//fdnG//mipA//aspA//ddpB//lsrA//hha//yjjQ//wzc//
FucR_pos	ydhY//yibQ//malM//yeaH//hyaA//yqjI//ccmC//
Fur_neg	gfcA//flhC//galK//pheT//gadB//pqiB//yjeV//gpmM//nanE//acrA//aceE//aspC//sucB//yafO//napC//umpH//caiT//yebE//exuT//intQ//zntA//dkgA//degP//gpmM//glcE//uxaA//prpR//spy//hybF//yeiL//ybaS//obgE//araB//ytfE//oxyS//gltK//rbsC//iclR//ymiA//dtpA//cadA//fecB//fumB//iraP//hcr//alkA//inaA//lldR//moaA//sufC//cvpA//pgaB//betT//hypA//purA//trpE//caiB//gpmM//pheS//isrC//inaA//rhaS//fabI//csgD//ybdN//prs//gntU//tisB//hcaR//dsdC//artQ//potI//gntT//flhA//pdhR//nagA//potH//rarA//putA//efeU_2//artM//gadW//argB//fliF//pdeR//citC//rybA//thiQ//gatB//fadL//pdeH//cvpA//nikC//garP//rbsC//alkB//glmY//metH//mhpC//nrfC//znuB//efeU_1//ygaC//phr//yebG//ygbK//evgS//oppC//bdm//cspD//htpG//mazE//fdhF//ydiV//mgrR//
Fur_pos	xapA//caiB//rseA//dhaR//fadM//yhjA//lon//uspA//nagB//murF//hypA//napB//pck//ydfH//chbC//ybaS//ccmE//mgtL//ubiC//nrfD//gdhA//
GadE-RcsB_pos	tauC//dsbC//mlrA//ompW//hcp//cusB//malI//tsgA//nrfD//
GadE_pos	narK//malI//artP//gspK//yafO//yeaR//betT//yafP//glcB//dkgB//pncB//yhjX//emrA//cpxQ//hyfB//metB//relA//rpmI//atoD//rtcA//paaJ//dnaG//cysU//citX//yidQ//crr//yiaN//ubiX//tcyP//
GadW_neg	araA//yefM//fucI//araB//yfaE//ibaG//citD//yqaE//rpoS//glpK//rybA//
GadW_pos	pagP//dcuD//accB//safA//sufB//lysP//allA//cra//yhdY//rstB//alaS//
GadX_neg	uxuB//artP//hyaE//ycjF//lysP//gcl//
GadX_pos	ftsZ//dnaA//tnaB//ybjN//yccJ//asnB//mlrA//kbaZ//fadL//nanA//ubiX//nrfC//treR//sodA//allS//ldtD//aroF//flgJ//hyaC//dmsD//mpaA//yqaE//tisB//sulA//gntT//mntH//ybjN//
GalR_neg	ddlB//fliZ//flgA//nirD//asnC//fecB//yegH//potG//malI//nanT//
GalR_pos	ugpB//astD//fecE//galS//
GalS_neg	ugpQ//phoU//osmY//prpE//frdB//fliQ//sulA//tdcD//mngA//uxuB//
GalS_pos	mlrA//rutA//yfbR//sulA//
GatR_neg	entF//exbD//osmB//fruK//flhB//cdd//
GcvA_neg	agaR//gatA//rclA//treR//
GcvA_pos	dmsA//cysW//ftsK//tam//
GlcC_neg	araF//
GlcC_pos	gadF//prpD//hyaD//ydfD//leuC//yaiW//
GlpR_neg	cvpA//hyaC//phnP//nuoL//zraS//ybhL//sdhA//sgrR//fumC//
GlrR_pos	ompF//ydeP//rpiR//idnD//relB//
GntR_neg	sdhA//ygbK//sufD//prpR//kbaY//yidQ//creD//entH//yafO//puuE//cheW//trxC//
GutM_pos	fdnG//uhpT//gspD//pgpC//ddpC//argB//crp//
GutR_neg	paaF//hcaC//flgK//malS//icd//dacC//srlE//
HU_neg	nikA//ybhL//pyrC//yhhY//sulA//purC//ulaB//chbF//
HU_pos	puuR//
HcaR_neg	nrfB//
HcaR_pos	hyfJ//nrfA//ydjM//hyfR//efeU_1//
HdfR_neg	sodA//araC//
HdfR_pos	poxB//sucD//rarA//
HigA_neg	grxA//ihfA//
HigB-HigA_neg	nanS//mgrB//
HipAB_neg	argC//phoH//ribA//aroH//molR_1//
HipB_neg	napD//fucU//murE//nuoB//paaD//purC//
HyfR_pos	dicB//rffH//caiB//aroP//aceE//nrdG//sroC//lysP//murD//gspH//gabD//serA//
HypT_neg	glgB//idnK//paaJ//cydA//cytR//
HypT_pos	mhpT//yeiL//fliP//aceA//aslB//melA//tisB//fliE//
IclR_neg	cadB//gatZ//zraS//fabH//
IdnR_neg	nfo//ddpD//
IdnR_pos	aidB//relA//alsB//aroP//guaB//
IlvY_neg	rcnR//
IlvY_pos	ttdR//
IscR_neg	yhjX//mltF//mdtA//ubiA//nrfF//rybA//fadL//iscA//nuoF//rutB//fucK//adiC//flhE//decR//ssuC//fucO//cas1//garP//kdpA//hybB//phoP//
IscR_pos	bdm//mzrA//yaiW//phnL//betI//ydfH//hycA//emrY//cho//cusF//xapA//
KdgR_neg	narK//emrA//
KdpE_pos	intQ//rclA//ddpF//gntX//
LacI_neg	ulaA//cydB//ycgR//
LeuO_neg	dcuB//chbR//polB//
LeuO_pos	ihfA//deoB//yafQ//hycE//malQ//glxR//mazE//slp//pspF//ydcT//mtlD//rpsO//yfdV//yhdX//glnP//micF//hns//insK//
LexA_neg	lsrK//nirC//fadB//araC//lldR//ryhB//gspD//mngB//narH//ttdA//umuD//trpB//gadA//frdC//mhpD//lysR//pspE//crl//galS//marA//ymjC//ydbK//ftsK//pspA//fliF//bacA//fruA//sucD//chbC//yecR//pitB//nanS//glpC//hipB//envC//grxD//gcvT//potI//manZ//citG//nupC//fliS//ydfX//xapB//ybjG//yegR//lrp//thiQ//uxaB//gltL//fepB//setA//fliA//purK//thrS//flgB//cysN//caiF//ibaG//
LldR_neg	yhbT//arsB//purB//
LldR_pos	gspC//yiiS//ydcS//
LrhA_neg	appY//nagA//
LrhA_pos	wzzE//fiu//
LsrR_neg	cysP//glnB//tcyP//moeB//glgB//mhpT//uof//galP//ddlB//
LysR_neg	amtB//
LysR_pos	pheT//
MalI_neg	rseC//yfiR//nrdA//
MalT_pos	ompW//ulaD//murC//edd//sutR//asnB//fldB//fadA//gspM//ubiX//
MarA_neg	rimK//cusS//gfcA//betB//narI//sroC//ilvC//
MarA_pos	sufE//fdhF//guaB//xylH//ynbC//mdtA//feoC//umpH//yeaR//yafN//acrA//umuD//aldA//pheT//dsbG//phnE_1//ybbY//wcaA//mgrR//chbB//bdm//mioC//dsrA//rclA//asnB//gatY//yqjA//rpsU//pnuC//bolA//bglF//
MarR_neg	pdeH//ydfW//sdhA//
MatA_neg	argO//dcuA//skp//malX//yjhC//rhaD//
MatA_pos	hisQ//betI//
MazE-MazF_neg	alkB//allA//phoP//
MazE_neg	fldB//glcB//accC//
McbR_neg	nanM//
McbR_pos	yfiB//araA//mgrB//
MelR_neg	sodA//lhgO//feoA//
MelR_pos	hipB//paaJ//cpxR//
MetJ_neg	cheW//yfdE//ybbW//mglC//lpxA//ygiB//feoC//casE//isrC//ebgA//flgN//prpE//lysA//fliP//tauC//
MetR_neg	nirB//agaA//
MetR_pos	galP//yaiA//kdpC//higA//
MhpR_pos	rffH//ada//lpd//inaA//cydC//uxaA//
Mlc_neg	glmU//ydhW//waaH//nupC//rpoE//yhbT//entC//iclR//ada//focA//
MlrA_pos	gcvA//relB//sroC//rhaB//cpxP//csgE//murI//melB//dcuB//ymgA//
MngR_neg	rhaB//fliD//flgA//
MntR_neg	norW//trpB//torA//ydfD//
MntR_pos	asnB//
ModE_neg	ddpX//bluF//csiD//araG//mzrA//yfdX//uvrY//nrfD//tam//lsrG//kdpA//feaR//arsR//malK//aroM//
ModE_pos	nhaR//soxR//argP//mpaA//infB//narJ//mhpC//galK//lpxC//tdcA//zraR//flgK//yiaJ//mqsA//appB//melB//nikR//rhaD//glgC//wzzE//yhdZ//rhaD//nrfC//bolA//ilvC//mioC//glcD//hdeA//mglA//nuoF//nanM//
MprA_neg	allE//mpl//alsC//recA//grxD//feoB//
MqsA_neg	mhpT//bamE//ompT//ybjN//ssrS//oxc//emrA//fumC//
MraZ_neg	mipA//rhaA//citX//ubiA//rclB//rnlB//napG//modA//fau//dsdX//sucA//astA//ygbA//lsrB//glnD//yhdY//dnaN//
MtlR_neg	mqsR//glgC//aroL//
MurR_neg	rpiR//lldP//glnP//
MurR_pos	yidQ//
Nac_neg	sufS//yfbR//cadC//bioC//yafQ//sdhD//hisJ//rhaA//fixA//
Nac_pos	betT//trxC//rnlB//gcvA//chbF//atoE//lacZ//yfdV//ppc//znuA//phnF//dctR//
NadR_neg	leuB//dps//ybfE//sodA//
NagC_neg	fliO//phnP//yfdX//csrC//cysG//wrbA//btuB//argC//wecC//dinB//ahpF//hisJ//hyaA//paaF//agaC//feaB//yibQ//mqsR//gor//ptsI//zraR//guaA//ssuE//dgcC//frdD//sufA//ftsA//norV//treC//prpB//btuB//lysR//ynfF//
NagC_pos	fecB//casD//fldA//
NanR_neg	yhdY//murD//waaZ//phnL//ascF//dctR//adiC//gloA//fecD//nuoJ//
NanR_pos	dmsA//
NarL_neg	patD//aslB//ilvC//oxyR//argD//hha//hypB//xylH//fes//iscR//napF//fadA//flgD//gutM//ddpC//ygiZ//osmY//purM//glcF//fecE//aroF//amtB//crl//casA//nhaA//pheS//paaH//fabG//yoaG//ccmB//glnL//deoA//yhdW//ydfX//bacA//fliO//yfdV//nanM//aslB//malZ//tbpA//fliJ//dhaR//glpX//iscR//nusA//yjiY//eno//fecI//gadX//cydB//gfcA//rpsU//frdD//rclA//insD//sufA//ftnB//truB//argH//hflD//edd//yqhD//talA//argP//hlyE//mepH//pspA//ppiA//cbl//ftnB//hokD//hyaA//phoB//mdtA//waaH//yafP//gspL//garL//hyfJ//tsgA//fhuC//motA//rutF//decR//casA//aceF//
NarL_pos	mhpB//gntK//katE//dctA//ssuE//rhaS//sbmC//mtlR//tisB//htpG//aceF//rob//yjhC//narL//flhE//aslB//lpxA//zraR//uxaB//malQ//flgF//cysP//fruA//dsbA//yeiB//ddpF//argP//pncB//flgE//ynfE//dgcN//tktB//zraR//nfuA//dcuB//gcvB//lpxA//cusS//uvrC//cra//inaA//idnR//sufB//
NarP_neg	allE//yqjH//nupG//exbB//mscM//dmsD//gltF//bioC//ccmH//nimT//rpoE//pspD//tehB//hypE//ogt//argC//cusA//rseC//dps//hybA//rhaS//aceF//mdh//purM//envC//agaB//bluF//patD//sroC//mipA//glnA//ymgA//phnG//
NarP_pos	chbA//pfkA//creC//polA//ppiD//wzzE//cydA//mgtA//malK//glmU//metK//araF//dcuB//fepC//exbB//trpD//hns//sucB//metI//aspA//rffH//argT//oppC//dgcN//nohA//ppdB//rhaR//yhdX//artQ//nikB//ybhF//rybB//
NemR_neg	kbaZ//pheT//narI//
NhaR_pos	fimB//napC//yjiY//phoQ//nac//lacZ//appB//
NikR_neg	tnaB//hycB//wzxE//cysK//ssuE//uidB//
NimR_neg	fliR//alkB//
NorR_neg	relE//
NorR_pos	trpD//glpB//
NrdR_neg	xapA//hyfJ//fliI//rutC//puuP//yqhG//idnT//hisM//add//
NsrR_neg	phnF//ybhR//trpR//ssuB//lsrB//nuoA//uvrD//fhuD//pheM//nfsB//pnp//gatB//hyi//yfdV//appX//tdcA//gatB//cysH//pstA//atoB//csgB//fliF//hyfA//deoD//fixA//pagP//fixC//feoC//hisJ//metF//pspG//ynbD//murC//hipB//edd//znuA//mhpB//entS//modA//dpiB//yhiD//pgpC//argA//amtB//nrdF//sgrT//fliT//purC//rutD//rdoA//ybfN//dinG//mqsA//gatA//dacC//ddpB//casC//icd//gltF//slp//nrfC//garD//ftsL//dkgB//mgtL//trpA//phnM//flgA//fur//ulaE//dinQ//rhaT//purN//murQ//rfe//ygeA//yeiL//dcuR//btuB//nimR//ppsA//iscU//ahpF//
NtrC_neg	fecC//gltD//rhaS//entA//ycjX//rseC//
NtrC_pos	nfuA//bluF//phoU//dmsC//trpD//exbD//kbaY//yfbR//ppdB//polA//uvrC//malS//nuoF//ynbC//fecR//potI//efeU_2//dinQ//ppiA//glpB//oppB//recF//narI//ydeM//gspC//glpC//hflD//cusA//fnr//hcaR//umuC//sgrS//wecC//bacA//dicC//rseB//galP//fldA//pgaA//srlR//phnF//efeU_2//omrB//dsrA//ftsW//rimP//metQ//rbsK//tomB//
OmpR_neg	ftsZ//kdpC//uidR//gltJ//fliM//caiF//dmsA//rplU//gntK//casA//galM//glgP//
OmpR_pos	fdnG//araA//alsE//cusS//gadE//dcuD//chbG//guaB//bglB//pgaB//
OxyR_neg	mhpT//tehA//tpiA//treC//seqA//paaD//csgG//ecpR//cspD//epd//ydhV//cadA//
OxyR_pos	uspA//malM//deoA//ftsA//narX//waaY//sucB//tadA//pgpC//pflB//flgB//purH//ydeM//alsC//hcaB//gabD//cysI//glxK//ccmB//cysB//purR//fdnI//
PaaX_neg	gatZ//tdcE//exbD//iscA//sdhB//ydfH//nuoM//ahpC//wzzE//garR//rclC//gntP//pspE//glcE//
PdeL_pos	yhbT//
PdhR_neg	ruvB//phoP//iscS//feoB//bioB//idnT//cpxQ//mhpF//nuoB//asr//aroP//yegR//flgI//carA//ygiA//yiaN//dcuD//pdhR//acrD//nuoH//oppB//yjbG//hypA//purR//sucA//xylH//creA//hypF//grxD//cysJ//fucK//ftnA//fabH//ygaC//gltL//ugpQ//
PdhR_pos	poxB//purR//nhaA//dctA//mngA//
PepA_neg	phnE_2//casE//cusA//
PgrR_neg	fixA//ppdA//csgD//appB//bolA//sulA//agaC//dnaN//
PhoB_neg	iraM//nikD//cheA//sodB//sgrT//ydfW//entH//araC//fruK//yhdX//tolC//acrD//
PhoB_pos	rpoH//ugpB//fliQ//mazG//ulaF//alsC//folE//yegR//rnlA//torA//narK//gltF//emrY//cdd//pheT//ompW//rutC//glcG//araH//argA//ydcT//paaB//cueO//yfdE//csgD//nuoH//yhjA//yjbF//nrfC//bglG//araH//entF//ampC//mhpB//nikR//ydfW//hydN//yjbE//adhE//ssuB//malG//dinG//fpr//flgA//ygdB//hybE//fucP//ftsZ//hyaE//entD//rbsK//fdhF//wcaA//
PhoP_neg	aceK//ydbD//cyoC//narH//flgH//glmY//sucA//lysO//higB//ssuA//manZ//
PhoP_pos	fhuA//murP//rffM//mcbA//rpoS//mpaA//tdcG//cusB//sulA//hyfR//ppdC//nfsB//nusA//gltI//seqA//sgrT//paaG//fadL//idnO//yneM//hisJ//creB//oxyS//crp//purA//argD//ssuB//bglJ//hmp//yecR//citD//artQ//uidA//norV//appA//argP//napA//malK//lysA//sgrR//rbsK//tdcF//mlc//leuA//yfiB//qseC//bglB//agaC//
PrpR_neg	sutR//
PrpR_pos	fepA//fdhF//phoP//gspL//
PspF_neg	sgrR//
PspF_pos	feoA//mglA//cysJ//ddlB//zinT//rpmI//
PurR_neg	appB//moaD//fimB//potG//pgm//xylB//ycjG//gspJ//tcyP//glnG//caiB//sgrT//tdcC//csgF//thrS//phnC//hyfB//mtlA//acnA//manX//gatD//glnK//hyaF//yiaM//ynbB//mgtA//tdcB//wzyE//crp//frdC//fhuC//
PutA_neg	gatB//bglB//
PuuR_neg	ppiA//znuC//fau//aslB//aslB//ynfK//dsbG//
QseB_pos	gntT//bioC//dinF//ybbW//
RbsR_neg	norW//acnA//rbsK//osmY//dcuR//ppiD//bioB//carB//
RbsR_pos	alkA//
RcdA_neg	fucK//gadY//
RcdA_pos	mntS//nlpA//ydfX//mipA//wcaB//nanM//ndh//
RclR_pos	paaG//fhuE//cydA//
RcnR_neg	fecI//kbp//dnaN//
RcsAB_neg	artJ//chiP//hdeD//mdtA//ugpA//flhB//
RcsAB_pos	zraP//fecA//gntU//ulaG//ompF//slyB//umpH//paaI//ndh//araJ//
RcsB-BglJ_pos	lysP//fliF//yhbS//tktB//bglJ//putA//cysK//agaD//fhuE//gcvH//codA//yeaD//citE//tdcE//cydB//cysW//
RcsB_neg	tolC//ynfK//
RcsB_pos	wecE//ynfG//gspE//gltJ//prpE//murF//sbcD//hyaC//malS//ldtD//murQ//lsrF//ptsH//betA//yhjX//murD//mglB//ybjG//ampC//lpxA//xylB//deoD//katG//
RelB-RelE_neg	yiiS//rpsU//artM//
RelB_neg	mdtA//uidB//puuE//
RhaR_pos	ymgC//gltB//
RhaS_pos	bolA//fliR//hipB//aslB//fadM//marR//
Rob_neg	cyoB//
Rob_pos	nagC//hisP//ompW//tdcG//bglF//hcaF//yidL//tfaQ//trpD//kbaZ//hlyE//uxaB//ydhV//nemR//dsdX//appX//mdtE//malP//ydbK//rstB//lpxA//ruvB//bglB//feoB//hemH//
RstA_neg	polB//betI//speB//uxaB//sroC//
RstA_pos	fimE//araH//uxaA//cueO//hipB//
RtcR_pos	sdhB//emrK//
RutR_neg	insK//cysI//flgA//uidA//phnM//fumC//waaZ//rclA//fabG//rhaB//uidC//evgA//ybhF//ubiA//kdpA//
RutR_pos	lldR//hyfG//
SdiA_neg	inaA//aspA//citE//
SdiA_pos	zraR//creC//phoE//
SgrR_neg	dinJ//dcuB//yebG//fucP//gltJ//
SgrR_pos	idnK//hyfE//hns//rpmI//
SlyA_pos	flhD//
SoxR_neg	galR//
SoxR_pos	fucU//tbpA//
SoxS_neg	nuoC//flgE//
SoxS_pos	nrdA//bolA//tyrA//fliI//idnT//mnmG//gloA//tdcC//fucK//flgB//arsC//fhuB//gspM//dps//phnE_2//gspK//hyfI//rstA//cas2//guaA//gltD//guaA//hybA//fhuB//hydN//fliQ//puuE//ompW//cas2//lyxK//waaY//rhaA//cysG//lpxD//ydbK//caiC//yagK//mdtB//
StpA_neg	gcvP//hycH//csgD//agaD//agaR//fabB//yqjI//
SutR_neg	ygiC//glgX//asr//rpmI//yiaJ//
SutR_pos	ppiA//
TdcA_pos	mgrB//nrdF//sbcD//galM//gadW//dinB//cadA//
TdcR_pos	lysA//fadH//napH//yiaN//adiC//ftsL//acrA//
TorR_neg	chbB//dapB//phoH//
TorR_pos	pheT//aroH//cusS//ccmG//ptsG//casD//hycH//cirA//bioD//
TreR_neg	insD//tpiA//
TrpR_neg	tnaA//ttdA//napF//ftsK//motA//rseB//dsdX//cynT//ubiC//fecC//garK//citC//
TyrR_neg	hyfA//lsrB//nmpC//ybaT//fliC//leuL//ydhT//hyfD//gudD//yhhY//
TyrR_pos	hycB//ttdA//recA//
UhpA_pos	phnI//
UidR_neg	ynbA//cysM//aroH//gatB//
UlaR_neg	dmsA//gspG//pgaC//chbF//artJ//caiB//fldB//
UvrY_pos	galM//hybG//gnd//pqiB//fabA//
UxuR_neg	yciX//rprA//paaC//gloA//cysA//ydcU//gspL//nuoN//entC//
XapR_pos	hybE//fumC//
XylR_neg	molR_1//
XylR_pos	purB//rffT//iscS//higA//yeiL//dapB//
YdeO_neg	mgrR//gatB//
YdeO_pos	hisM//garL//fdnH//wecC//mgtA//adiA//yhjC//creD//idnO//fldA//adiC//moaC//dcuD//yqjA//purH//ychF//hcaE//nmpC//nikC//
YedW_neg	glpA//ssuE//nrdA//ygiB//iraP//
YedW_pos	cysH//feaB//purD//ybaT//fadM//nirD//cysP//
YefM-YoeB_neg	hcaF//pagP//
YefM_neg	ptsG//mngB//
YehT_pos	ddpF//
YeiL_pos	metF//
YiaJ_neg	tomB//pstC//cpxQ//seqA//cvpA//ssuE//tnaB//glnP//ccmH//baeR//
YjjQ_neg	fliC//ydbD//rutE//znuA//nikB//ppiA//ugpA//paaA//narX//dgkA//
YpdB_pos	araF//
YqhC_pos	idnK//gspJ//
YqjI_neg	ydeO//deoA//
ZntR_pos	ycdZ//
ZraR_pos	dapB//rclA//dsdA//
Zur_neg	aspC//hyfG//accC//fruK//hycH//dcuD//
