#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ptsI//cas2//
EnvR_neg	sodA//ydjM//
EnvY_pos	xapA//sgbE//
EvgA_pos	prpB//rseA//lacA//rffC//slp//nikC//ftsQ//argA//luxS//nrfC//fliD//ftsW//csgB//yhjC//umpH//dps//citE//glpB//phoP//
ExuR_neg	hypE//fdnG//ihfA//phnG//fnr//fhuF//rstA//betA//ybaS//
FabR_neg	tomB//yecR//
FadR_neg	yaiA//feoB//ynbD//csgC//baeS//accC//cysN//csrB//efeU_1//uvrY//fadB//
FadR_pos	appX//hydN//prpD//cysA//ydfE//yqjA//ybfN//mgtL//arsC//ydeO//purH//sufE//
FeaR_pos	metI//ygiC//
FhlA_pos	modC//hyaF//tauB//iclR//mgrB//ccmG//iraM//nohA//fliG//zntA//tdcE//argH//fpr//ruvB//nikE//mntS//yagK//yagK//atoB//deoB//uxaA//rseA//phnI//nmpC//mlrA//cydD//yiaJ//chiP//ynbB//hemL//
FlhDC_neg	hyaE//yoeB//csiD//napG//
FlhDC_pos	yfiR//obgE//trpB//sgbU//cysG//ftnA//hypE//araE//hypF//pheS//araG//norR//focB//ftsW//rbsK//glpF//nfuA//fliF//ryhB//deoA//dinJ//acnB//ybfE//galM//ascB//ydbD//insK//mqsA//nrdD//acnA//yfdX//ddlB//metF//cysJ//nuoI//ubiA//ydeI//aspC//ftnA//ychF//nrfE//ptsG//leuB//dpiB//mraY//flgG//asnA//leuO//exuT//hycD//ibaG//fixX//fadM//sufE//garR//gfcA//phnH//recD//tsgA//fadJ//fliP//yafP//lysC//ssuE//yhiM//citD//zraR//cysP//pncB//paaJ//xylF//argC//paaY//araH//fliP//napB//gadE//glgC//
FliZ_neg	psiF//wzyE//potF//ybfN//alaC//pdeL//lsrD//ulaG//fecE//glpQ//hybD//cynS//ppdB//pyrD//nfsB//lpxC//recC//malY//cadA//deoD//gltB//
FucR_pos	flhE//tyrP//xylB//tisB//ccmG//yfdV//gspD//
Fur_neg	glnP//lhgO//malE//wzxE//paaJ//znuB//ada//ydhW//nrdI//glmY//hycH//guaA//mngA//pfkA//pgaB//nhaR//acrA//dcuS//ybdZ//puuA//hypB//sgrT//metF//nikE//yiaN//tolC//murF//rstB//ssuB//lpxC//mdtB//hybO//mazG//ybaS//ydfH//mhpF//nrfG//sdhC//fecC//rffT//paaF//rbsD//amn//uvrY//sgbU//phnK//yiaJ//rpiR//hcaR//yiaK//gspO//argA//sgrT//flgI//metN//nrdF//ybiT//betI//napC//ulaB//flhC//deoA//asnA//infB//soxR//gcl//ldtB//gspD//garD//rprA//pheT//hlyE//ubiC//glnH//purN//ymgC//narH//ykgM//pspB//fumB//symE//hyfC//ydfN//napD//fliQ//idnO//ulaC//hemH//uxaC//argF//citD//yciX//artJ//mntS//tpiA//ygbA//galM//rffM//rybB//ahpC//insD//torA//aspA//ygiC//fabH//mnmG//lolA//hcaD//cysM//csgA//rpoE//hcaC//dgcN//sutR//argO//
Fur_pos	pnp//pgpC//yedX//srlA//rpoD//nuoN//baeR//hipB//rclA//yhbT//ppiA//sgbH//bglG//leuL//glxR//pstA//sgrS//yeiL//pdhR//fimB//flgJ//
GadE-RcsB_pos	purC//ahpF//ydcU//caiB//purL//cusC//wzc//fldA//puuP//
GadE_pos	ndh//slt//paaY//cdaR//rclB//metB//epd//recC//ftsK//fliG//caiA//argO//ydcS//mqsA//ybhG//allB//mnmG//gatD//umuD//ybhF//bioA//ybhG//csgG//murE//torC//citF//hcr//dsdX//mglC//
GadW_neg	leuC//acnA//hybO//yoeB//yfiR//glcE//araC//soxS//cysD//yfdX//nanC//
GadW_pos	dps//rbsA//nirB//gntK//nirC//prpE//mprA//nrdE//mazG//tdcG//rybA//
GadX_neg	yqjH//pflB//yfiB//aceE//pspB//gatY//
GadX_pos	fliO//wecB//hyfR//gspH//mazE//yhiM//fepE//cdaR//yfaE//nusA//deoD//argP//gabT//metY//yiaM//glnD//ynbC//bdcA//sdhB//narG//iscR//ycjY//glcE//decR//bioB//hipB//ssb//
GalR_neg	ftsZ//ccmG//lon//hyfF//yiaN//cas1//aldA//alkB//alaS//acrR//
GalR_pos	yafO//glcB//yedX//cysH//
GalS_neg	acrD//tauD//nirC//rutE//sufE//creD//melB//yqhD//hyaD//rhaD//
GalS_pos	arsB//dsdC//dnaG//rcsA//
GatR_neg	mazE//ybfE//yjbH//arsR//hcp//dps//
GcvA_neg	puuD//puuP//tnaB//sodB//
GcvA_pos	araC//yibQ//cusR//leuD//
GlcC_neg	ubiC//
GlcC_pos	pgaB//dmsD//citF//phoQ//tauC//ugpA//
GlpR_neg	gatD//ihfA//cysM//ilvC//yqjA//araE//mtlR//hycI//malE//
GlrR_pos	wzyE//yrbL//arsB//ftsL//flgN//
GntR_neg	rutA//gspH//nrdH//nanK//znuA//ykgO//cspI//gor//gspL//gadX//pitB//gspM//
GutM_pos	htpG//ompN//cysW//lolA//flgM//mdtC//rcsA//
GutR_neg	kbp//nuoN//purH//malG//icd//motA//insD//
HU_neg	rutB//astA//ynbD//ribA//araA//fabG//grcA//paaG//
HU_pos	nikE//
HcaR_neg	obgE//
HcaR_pos	ptrA//rutB//tisB//phoB//wzb//
HdfR_neg	dapB//fepA//
HdfR_pos	hycE//gntT//sgrR//
HigA_neg	ssuE//ssuD//
HigB-HigA_neg	gntP//lolA//
HipAB_neg	fadR//cho//lldR//isrC//relB//
HipB_neg	poxB//rarA//fixC//ychF//fabA//rpmI//
HyfR_pos	trpR//gloA//poxB//emrB//yhjX//tdcC//yegH//aidB//yfbR//hycA//cheW//glcE//
HypT_neg	nrdF//ygbA//lpd//hcaB//glcE//
HypT_pos	slyB//ybbY//ygdB//nrdG//allD//ariR//relE//nikB//
IclR_neg	nupG//gyrA//zraS//agaR//
IdnR_neg	wcaB//idnD//
IdnR_pos	rplU//fucA//ttdA//alsE//moaC//
IlvY_neg	mpaA//
IlvY_pos	malP//
IscR_neg	gspH//ymiA//fliA//fruA//flgE//oxyR//trpD//sbmA//gadB//yhcH//dmsA//mhpB//yagK//hycA//omrB//exbB//yhcH//safA//sgrT//ftsA//rhaD//
IscR_pos	pitB//csiD//dsbA//skp//casE//gltL//fixX//isrC//fliI//lsrG//ftsQ//
KdgR_neg	cyoA//ybfN//
KdpE_pos	guaB//creC//yjhC//recF//
LacI_neg	alaC//ecpA//allD//
LeuO_neg	focA//uspD//ydbD//
LeuO_pos	dinG//umuC//acrB//csgC//zraS//xapB//fecC//csgG//mngB//acrR//grxA//xylG//yedX//glnH//rutA//pncB//narJ//rbsR//
LexA_neg	ydeI//hisQ//prpR//lolA//mepH//gor//fecI//rhaR//mlc//uxaC//murC//rseA//tnaA//aroL//gudD//tehB//lexA//rutR//fumC//yeaG//pgi//modC//yccT//tsgA//ugpQ//fimB//yiaK//caiC//dsdA//yhjX//torD//flgC//csiD//ubiA//gatD//narJ//fruA//nuoM//pyrD//glcD//patA//fucA//atoB//ynbA//caiD//sbcC//argD//bioB//rpoS//eno//ydeM//gadY//crp//yafN//rpoH//cysI//modA//moaE//dcuD//
LldR_neg	ytfE//tam//argO//
LldR_pos	sdhD//yfiR//carB//
LrhA_neg	psiF//pgi//
LrhA_pos	prs//cas1//
LsrR_neg	arsB//hyfJ//fepA//malQ//nanM//yhdX//gcl//yccA//astD//
LysR_neg	ryhB//
LysR_pos	yhcH//
MalI_neg	hyfC//yhdX//lrhA//
MalT_pos	nuoF//appB//yoaC//fliS//hypC//hdeB//cpxA//yafN//nrfF//relB//
MarA_neg	evgS//hisJ//melA//srlB//hypF//prpB//murI//
MarA_pos	gspM//nanA//nagC//gcvA//rstA//trpD//lpxD//fbaB//fruB//pspB//moaD//glmU//caiF//sdhC//fepG//yqjA//cadA//araF//alsB//glnD//yedX//ydcV//icd//cysB//putA//kdpF//melB//hycB//pykF//dmsB//lhgO//
MarR_neg	narG//sufS//casE//
MatA_neg	csgA//cysN//hybC//lsrC//recX//fliF//
MatA_pos	yegZ//ynbB//
MazE-MazF_neg	tyrP//gadY//murE//
MazE_neg	dhaL//rpiR//gatZ//
McbR_neg	yqjA//
McbR_pos	ycjF//sodB//puuA//
MelR_neg	hycF//luxS//lldP//
MelR_pos	mdtF//yfiR//ssuA//
MetJ_neg	cdaR//ttdR//ubiX//casA//fucR//agaB//metK//dcuA//ppiA//ybhS//hybE//argT//glk//argE//appB//
MetR_neg	glgX//glk//
MetR_pos	cynT//leuO//uxaA//gspD//
MhpR_pos	gspJ//hyfB//ecnB//ftsK//creA//pgi//
Mlc_neg	uvrY//lsrK//lpxC//ynfH//glmY//nrdD//ybhF//agaD//prpC//accA//
MlrA_pos	fepD//alaC//ddlB//fadM//dgcZ//nuoK//melR//caiF//dsdA//malK//
MngR_neg	leuD//treR//marB//
MntR_neg	glgX//cynX//ndh//murG//
MntR_pos	ldtD//
ModE_neg	ykgM//norV//hyfJ//yfaE//cysE//fliN//trpC//yiaL//ldtC//rffM//ampC//fepE//ccmB//casE//yqhG//
ModE_pos	tam//ytfE//tauA//ynbD//ulaF//glpD//mnmG//sdhA//frdD//argE//exuT//spy//dpiB//fliE//dcuD//xapA//ygiA//lon//cysW//gadX//hyfR//nimT//glk//fdnH//spy//nirD//artM//nrfB//marB//cysE//ynbA//
MprA_neg	yoaG//fliL//rstB//dsbG//evgA//mgtL//
MqsA_neg	allC//ulaC//pgi//ydiU//glnH//bglJ//argT//prpB//
MraZ_neg	nrfB//lon//polA//idnO//thrS//ydcT//htpG//rutF//yhhY//fabH//tauB//hyfB//alkA//murD//dps//hyaB//higB//
MtlR_neg	argO//rarA//pdhR//
MurR_neg	glgA//ndh//rpoH//
MurR_pos	entS//
Nac_neg	yciG//nupG//fucR//rbsC//yfiB//fucA//emrB//gpmA//eno//
Nac_pos	bioB//bioC//sbmC//ompW//glmU//flgL//leuO//zraS//phnC//mngA//yeaH//recA//
NadR_neg	nikC//ccmE//hcaB//glnP//
NagC_neg	mdtC//trpD//fes//tehA//bamE//yeaD//ilvC//ytfE//dcuB//omrB//yeaH//ydjM//borD//inaA//ariR//mdtF//srlA//narJ//metJ//metI//flgE//hcaB//glnB//narI//lolA//fixX//chbC//bamE//chbG//uvrD//ynfF//nlpA//nikD//
NagC_pos	sgrR//yegR//ynbC//
NanR_neg	creB//rutC//pstS//hycG//ftsQ//nrfF//ycjF//cysH//ssuC//dinF//
NanR_pos	rhaB//
NarL_neg	gabT//mazF//ydhU//ugpQ//tpiA//fbaA//nrdA//cysB//sgrT//napB//pyrD//yecT//uvrA//fecC//oxyR//hyfD//lacZ//fliD//psiE//tolC//potH//acrB//ydeO//treR//ftsK//citX//fucA//glnB//kdpB//psiF//moaC//psiF//yhdY//yqjA//phnD//sufA//skp//phr//sucB//hyfE//fpr//ssuE//phnK//uxaA//xapA//chbG//asnA//rpiB//aroF//trpC//rffM//oppB//puuE//bglF//rcsA//purB//argA//napA//mqsA//cysB//acnA//gfcA//oppB//pgm//casA//pspC//ulaB//fecC//uof//puuD//ynfG//fliN//fhlA//dinJ//cysN//mdtA//wza//flgH//artQ//yoaC//glcG//lpxC//aspC//iscR//uspD//yqjI//melA//
NarL_pos	phnF//ygbA//gcl//spy//fliT//tehB//nrfE//fecA//glpC//baeS//add//flgC//safA//yqaE//appB//fliD//srlD//nirD//cyoA//nrdA//mdh//caiB//fucU//mtlD//sufB//ddpF//lamB//rpoH//dnaN//yagK//rffG//bioA//nuoB//nanC//ydeM//mpl//creA//treB//murQ//narX//cpxQ//argI//omrB//
NarP_neg	garD//fepE//pnuC//ynbC//ptrA//fliE//yqaE//glnA//ydeO//ppc//pgaB//ycjX//yqjA//hyfC//appC//bdcA//pncB//zraS//glcC//cpxR//oxyS//betA//csgA//cysB//pspE//moaE//gspL//acrB//arsC//fepE//ynfK//leuD//leuD//
NarP_pos	codA//wzc//yfdX//tomB//ulaD//rybB//sucA//fabD//rprA//dgcN//sulA//mdtA//adiA//tyrB//tauD//gntK//ynfH//flhE//mtlA//mcbA//flhE//efeU_2//fecR//deoB//dmsB//gpmA//gltI//rseC//lldD//dpiA//ydfH//yqjI//
NemR_neg	leuA//mdtD//ttdT//
NhaR_pos	dmsD//znuB//agaC//napH//ynbD//cusF//baeS//
NikR_neg	moaD//dtpA//fliQ//argB//mglB//katE//
NimR_neg	norV//nirD//
NorR_neg	fliO//
NorR_pos	bacA//hycE//
NrdR_neg	zraS//accB//uvrY//argH//phoA//uvrD//fecR//dsdX//gspM//
NsrR_neg	potF//safA//malF//appA//manX//rpiR//ygeA//mglC//ydfN//lsrR//sdhA//casB//sroD//melB//nikA//fadM//mhpT//uspE//icd//pspB//hycI//nuoA//udp//cysA//feoB//idnO//ssuA//relA//emrA//cysU//sgbU//narX//ymgA//ybjN//dpiA//fdhF//rffM//murG//alsE//acnA//rpoH//efeU_1//glcD//nrfG//fur//slt//znuB//fliQ//iscR//rbsR//dkgB//spy//fadJ//nrdG//rpoH//fhuB//cysD//hypB//glcB//yidQ//fhuF//citD//malI//fecC//caiB//mpl//ydeN//acrR//cysK//cyoC//flgL//katG//lysO//ynjI//pgm//idnR//gutQ//fabA//nupC//cysD//prpB//bglB//caiB//
NtrC_neg	mioC//trpA//yhdW//ssrS//lamB//cysN//
NtrC_pos	oxyS//purA//hycF//phnL//atoA//atoA//gudP//infB//yjjZ//citD//fdnH//ugpE//nrdG//fabI//sgbH//nuoL//ydhW//cysG//gnd//udp//ydhW//pdeR//aidB//nohA//purA//cspI//wzzE//flu//ydeN//purL//aroF//purE//fhuD//feoC//slp//glgA//nemA//ulaF//kdpA//malX//yafO//murE//idnO//lexA//dinI//dtpA//codB//gntT//glmY//
OmpR_neg	yaiW//ecnB//galR//flhC//gudX//ulaG//gntU//pspE//rhaA//cyoE//yoaC//yeaE//
OmpR_pos	sroD//tam//hisM//malM//nrdH//pflB//flgA//nemA//dpiB//rimP//
OxyR_neg	nlpA//erpA//fepD//cpxA//pagP//hlyE//nirD//nrdD//tdcE//ldtD//entH//napH//
OxyR_pos	lyxK//yfiR//ymiA//entE//narL//uvrY//pgi//sbcC//arsB//hcaC//rnpB//fdnG//murQ//fau//fepA//argB//aidB//caiT//uvrB//ulaA//phnL//ydhW//
PaaX_neg	hyaB//wzxE//ftsQ//yebE//phnE_1//napB//rfe//glnG//hycF//recB//metQ//nrfA//hcaR//hyaA//
PdeL_pos	dcuR//
PdhR_neg	ugpE//murF//degP//metL//purN//gadC//mntP//yjbH//dgcZ//evgA//srlB//tyrP//degP//pdeL//wza//agaB//mzrA//prpD//ydeO//cusB//glpX//pflB//metE//nrfG//alaS//caiA//hycD//amtB//gpmA//prpD//ruvB//xylB//alsE//gadE//bdm//exbB//
PdhR_pos	nuoE//uvrY//fixA//sdhD//hdeA//
PepA_neg	idnD//araH//trpC//
PgrR_neg	narK//idnO//emrY//ecnB//motA//purC//phoA//fimE//
PhoB_neg	ycgR//metQ//hcaF//sroA//cvpA//gspO//gcvH//potF//rbsA//metA//mdtE//wzb//
PhoB_pos	ssuD//purH//purA//idnR//alsE//hyaD//infC//emrK//dapB//ydfH//gadW//hyfA//cysI//nhaR//ydjM//yibQ//nuoB//allB//gcvP//nirB//tdcB//waaH//chbG//ymjD//frdA//yegZ//rseC//rpsU//alaS//gadE//srlE//metH//bioD//cvpA//ydfD//ddpB//rpoH//cysK//fepB//rybA//fecA//gadA//ptsG//fucA//betI//ariR//yefM//flgL//aceA//phnF//leuA//dsdC//casD//
PhoP_neg	argF//torC//ppc//emrA//prpC//yafO//paaB//uhpT//leuD//napF//putP//
PhoP_pos	fliT//glpD//uxaC//fabI//flhE//bioB//yeiB//argG//pyrC//aroP//paaF//zwf//lsrD//ccmE//mdh//yqhD//cysI//fadI//narX//hyfC//fhuC//ydcU//appA//yneM//narG//folE//fhuD//alkA//argE//entA//manX//uhpT//gltL//yegH//manY//moaA//rutG//gltD//tsr//rpsO//fecA//astB//phnD//mpaA//chbR//ruvA//oppC//fixA//
PrpR_neg	hyfH//
PrpR_pos	hybF//sucD//ydiU//ybdZ//
PspF_neg	uidA//
PspF_pos	ynbC//nanM//garP//ugpE//manZ//cho//
PurR_neg	bioA//mhpB//fecE//caiE//ydfX//crl//lhgO//gudD//nanE//cysI//sutR//aldA//pstB//yhhY//mgrB//tcyP//argP//nagE//tynA//ccmH//zntA//betI//mhpC//zntA//hokD//recX//malF//araF//caiB//citX//efeU_1//
PutA_neg	gspC//glnD//
PuuR_neg	marB//mntP//hyfR//glyA//oppF//sroC//nuoL//
QseB_pos	nohA//rseC//ssb//metQ//
RbsR_neg	fepE//csgE//cyoA//aroL//oxyS//araE//pyrC//rplU//
RbsR_pos	yhjC//
RcdA_neg	argR//kbaZ//
RcdA_pos	allS//flgG//moeB//fiu//tisB//pgaA//moeA//
RclR_pos	tcyJ//puuC//fliR//
RcnR_neg	tauA//patA//ygiA//
RcsAB_neg	alsA//nohA//ppc//frc//emrA//melA//
RcsAB_pos	emrY//fucK//malI//argE//nanS//hyfF//ydjM//nagB//mltF//leuD//
RcsB-BglJ_pos	gcvB//argE//pstC//citE//pdeL//nrdG//hcaD//phnG//pstS//yqjH//cyoE//phoB//zwf//purF//ydfE//lamB//
RcsB_neg	leuD//wza//
RcsB_pos	yhbT//napD//purL//acrA//oppB//casB//agaA//murG//nhaR//umuC//gspE//gcvP//lpxA//glcD//deoA//yhiD//rffG//mlrA//lsrC//oppD//ygiB//glpB//citC//
RelB-RelE_neg	yibQ//glnK//araE//
RelB_neg	melR//murG//ycdZ//
RhaR_pos	fliN//lgoR//
RhaS_pos	ccmE//rbsC//dcuB//mhpB//cytR//ykiA//
Rob_neg	ydhW//
Rob_pos	crr//yjiY//ccmG//glcE//entB//ydeN//yaiA//leuC//astE//malY//decR//ybjN//lsrF//garL//caiF//creD//yfiR//lldP//nupG//hyfH//atoD//murC//caiF//ydeN//ribA//
RstA_neg	hisJ//purB//fixA//seqA//tdcC//
RstA_pos	xylR//gspE//malF//purR//yidQ//
RtcR_pos	dinF//erpA//
RutR_neg	ddpF//uvrC//ulaG//hybA//csrC//lpxD//ssuB//ynfE//hypD//phnH//hyfR//pck//alaS//glcD//nfsB//
RutR_pos	ydbD//fecE//
SdiA_neg	accA//tfaQ//malG//
SdiA_pos	omrB//hyaC//rutF//
SgrR_neg	efeU_2//dapD//cynX//nmpC//tnaB//
SgrR_pos	napA//rbsA//ompC//pepD//
SlyA_pos	aldA//
SoxR_neg	flgI//
SoxR_pos	cyoB//ycjG//
SoxS_neg	metK//flhB//
SoxS_pos	hycB//yfdE//ttdR//yiaM//lsrA//mepH//artI//sgrR//fabB//cydA//csgB//appY//yeaR//mglC//fucR//pepD//hcp//fepC//mglB//nimT//napC//ygaC//sgbU//yeaD//galT//wza//ddpX//hypF//pstS//citG//ykgM//yciG//allC//qseB//iscA//purK//pdeL//moeA//
StpA_neg	evgA//narH//yjeV//ycjX//dsrA//phnC//cadA//
SutR_neg	ptsH//ihfA//leuL//gadY//moaA//
SutR_pos	recN//
TdcA_pos	ycjG//glgX//xylG//motB//focB//rnlB//moeB//
TdcR_pos	hyfB//sodB//cysK//mdtF//ddlB//pgi//codA//
TorR_neg	fucU//nanK//lsrB//
TorR_pos	mdtF//rutC//hybO//pgaD//cpxQ//ompW//casE//hyi//fliM//
TreR_neg	narJ//higB//
TrpR_neg	fliF//yjiY//yibQ//mgtL//nrdD//relA//cynR//araE//znuC//hslJ//purR//btuB//
TyrR_neg	puuR//glmY//bioD//fhuE//hyfR//glcB//nohA//leuA//ilvY//znuB//
TyrR_pos	gspF//rutG//cadA//
UhpA_pos	fabB//
UidR_neg	glnQ//pepD//fabH//cas1//
UlaR_neg	yhjX//trpC//mdtC//relA//cynR//rtcB//gloA//
UvrY_pos	cysH//yhjC//glnL//hybD//murQ//
UxuR_neg	dinI//csgB//hycB//tyrP//aroG//nimT//ybbW//fadD//ydeO//
XapR_pos	moaA//allD//
XylR_neg	tyrR//
XylR_pos	putP//flgJ//hokE//bglG//tktB//gspD//
YdeO_neg	hycF//nhaA//
YdeO_pos	entA//nupG//osmY//fadD//ccmD//lsrF//oppF//gcl//acnA//manY//mlc//gutM//ydfW//hycE//ppiD//rplT//ydeN//aceF//hycI//
YedW_neg	hybE//gutQ//uxaA//phoR//torR//
YedW_pos	pspB//ldtD//agaD//rbsA//atoA//ykiA//gspF//
YefM-YoeB_neg	allB//malS//
YefM_neg	cspD//galR//
YehT_pos	ssb//
YeiL_pos	ygbA//
YiaJ_neg	ftsK//lldR//ssuD//flgM//argE//cysU//flgJ//cyoB//dsdX//gltF//
YjjQ_neg	glpD//tsx//nmpC//uof//citG//ybiT//hybC//bglF//phnC//pykF//
YpdB_pos	nanA//
YqhC_pos	fnr//tyrB//
YqjI_neg	nuoC//hcaB//
ZntR_pos	sgbE//
ZraR_pos	puuD//rutR//slt//
Zur_neg	agaA//nfo//uvrC//argD//carA//ydeI//
