#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argI//phoA//
GadE_pos	csgE//ddpF//ynfF//paaH//fadJ//sufD//artI//dsbC//cysW//wecE//prpR//tauB//hybB//csgE//bdcA//nirC//qseC//nfuA//ftsK//yjbE//yqjA//yfdE//rstA//carB//fecR//hyaA//ygiB//lpd//yciX//
GadW_neg	ydbD//sulA//asnA//cadB//allD//cydC//fixA//yncE//gudD//fumC//phnN//
GadW_pos	tsgA//glk//kdpF//ascF//ygaC//hokD//gcvA//hcr//ccmA//rhaT//yqaE//
GadX_neg	rplT//nusA//pspE//chiP//agaD//katG//
GadX_pos	accD//flhC//cysE//yhiM//mtlA//allB//narI//trpC//ydhW//narK//ttdA//phnE_2//potH//rffG//xylH//tdcB//purA//malZ//recA//hokE//gadB//prpR//fucI//fbaB//glpT//mdtB//sdhA//
GalR_neg	yhbE//cdaR//sdhA//manZ//ompC//yafQ//nrfF//mglC//citG//fdhF//
GalR_pos	mgrR//yebG//baeR//cyoD//
GalS_neg	zntA//malM//pgaA//pdhR//ccmE//hisJ//fhuD//tonB//sufB//fepB//
GalS_pos	ahpC//luxS//agaA//pstA//
GatR_neg	wrbA//patA//hyfC//purN//ulaE//fdnH//
GcvA_neg	ydbD//hcp//qseC//ygeH//
GcvA_pos	rob//gatC//acrA//lldD//
GlcC_neg	cynR//
GlcC_pos	ybdN//nikD//fimE//phnP//hybA//tauB//
GlpR_neg	thrS//purF//rutR//torR//cbl//cynS//pnuC//ydfW//dctR//
GlrR_pos	metA//malY//hyfR//nrdB//stpA//
GntR_neg	hcp//aspC//agaI//entB//glcA//srlD//sucC//glxR//gcvH//mhpA//rclA//oxc//
GutM_pos	grxD//yfdX//bacA//nrdB//hcaF//dapD//narX//
GutR_neg	ribA//hycD//mcbA//ybdN//yfbR//bioB//bioC//
HU_neg	hypC//rcnB//puuP//moeA//yhjA//wcaA//hycG//modA//
HU_pos	kbaY//
HcaR_neg	fadJ//
HcaR_pos	pspD//glgB//cysK//yhdZ//metF//
HdfR_neg	fepD//ftnB//
HdfR_pos	fhuB//sroC//glcD//
HigA_neg	bioB//hypA//
HigB-HigA_neg	puuE//ttdB//
HipAB_neg	moaD//puuP//wzc//mhpF//creB//
HipB_neg	iscS//tdcB//yncE//puuR//rutA//yoaC//
HyfR_pos	mgtA//aceK//lldP//astE//malQ//gcvH//ybhR//ycdZ//putA//norW//aroH//tauB//
HypT_neg	tnaA//dinD//degP//ppiD//uxuA//
HypT_pos	ygbK//csgE//wza//iraM//gltJ//glgC//yfiR//ynbB//
IclR_neg	asnB//wzc//entA//gpmA//
IdnR_neg	pheM//dsbG//
IdnR_pos	chbA//sdhB//nanA//dsbA//dacC//
IlvY_neg	uidB//
IlvY_pos	gcl//
IscR_neg	ynfE//nirB//fau//yfiB//kdpA//xylA//oppB//bioA//nuoG//purD//rclB//purL//nagA//mngA//mlc//yiaJ//flgG//crl//yagK//yfbR//metQ//
IscR_pos	csgG//garK//ccmF//fliA//lpd//modB//sutR//argC//nagA//baeR//cysU//
KdgR_neg	cynT//acrA//
KdpE_pos	acrZ//allA//csgE//lon//
LacI_neg	cpxP//sbmC//fecD//
LeuO_neg	gntX//yfdV//ssb//
LeuO_pos	rnlB//fadR//glnD//fadE//frdC//ymjC//phoB//yeiB//yqhG//murP//uvrB//mcbA//araD//ssrS//ydbK//moaC//waaH//rcsA//
LexA_neg	borD//gltI//efeU_1//sgrT//tsgA//gntP//ykiA//ddpA//ydfX//ldtC//cusF//nrfD//glmY//uvrA//dps//ykgO//nuoA//astA//hyfR//chbG//agaR//mazF//fabI//flgA//napF//ssuC//hycI//accA//hisM//murE//mgtA//nrdG//nagE//cbl//dcuA//nrfG//mntH//ldtB//rarA//zntA//flgI//ynfE//ada//flgK//wzxE//appB//gcvA//sroC//hyaF//rtcA//ycjX//cyaR//rbsB//phnE_2//adiC//eno//uidB//accA//nanC//
LldR_neg	pck//paaF//uxuB//
LldR_pos	ugpE//mprA//yjjZ//
LrhA_neg	fepB//betT//
LrhA_pos	phoE//codB//
LsrR_neg	ahpC//yhiD//trpD//ldtC//entD//fliG//phoU//gltB//leuO//
LysR_neg	rfe//
LysR_pos	arsB//
MalI_neg	malM//yjbF//mpl//
MalT_pos	purC//ydiU//bglG//malS//slt//prpB//argT//gspE//osmY//gspM//
MarA_neg	arsR//mtr//napG//artI//pgaA//argA//uxaC//
MarA_pos	hybD//ydfW//fadD//rtcA//hcaR//hydN//yhdX//fadM//accB//csgF//purH//nrfB//rutA//rob//glnA//seqA//dnaA//mglC//melR//yefM//sufA//metQ//fdnG//nirB//phr//fecE//fliI//hycH//hycA//cyoE//tktB//
MarR_neg	eda//pgpC//flgK//
MatA_neg	hypF//tyrR//gspH//aidB//araC//zraS//
MatA_pos	ygeH//nirC//
MazE-MazF_neg	ynfF//hypC//flhA//
MazE_neg	nuoA//spy//fliZ//
McbR_neg	hybG//
McbR_pos	degP//csgE//asnC//
MelR_neg	lpd//fadJ//cadC//
MelR_pos	ulaA//rffT//alkB//
MetJ_neg	erpA//prpE//aroG//pgi//garK//flgA//dpiA//tdcA//hydN//mhpE//ycgR//leuB//lon//ynjI//tcyJ//
MetR_neg	wza//norW//
MetR_pos	iscS//ryhB//ygiB//glgX//
MhpR_pos	artM//dmsA//cynR//fliQ//purK//dnaA//
Mlc_neg	lysP//yhiD//caiC//pgpC//cvpA//gudX//paaE//gltL//sbmC//ulaD//
MlrA_pos	putP//murC//modC//phoB//psiF//creB//phnK//ecpR//ompF//caiB//
MngR_neg	ssuC//ppiA//rffH//
MntR_neg	ruvB//gcvH//pstS//kdpB//
MntR_pos	cpxR//
ModE_neg	evgS//aroG//dsdA//tktB//acrA//dsrA//araD//paaG//ycjG//nuoM//purD//deoD//purH//ybhF//xylB//
ModE_pos	hcaR//paaF//mhpB//ybhG//fliK//mngR//cysB//cecR//accD//gadB//zwf//yiaK//uidA//rffT//araC//ychF//ldtC//cysG//relB//allA//garK//ttdA//paaK//caiE//mqsA//metI//cyoA//ydhX//feoB//ydfW//fepE//
MprA_neg	zwf//phnJ//glcA//yafO//yibQ//purF//
MqsA_neg	rstA//fliE//malY//rffC//crl//poxB//glnK//fhuF//
MraZ_neg	pnp//rpoD//agaS//exbB//fabZ//fecB//nrdG//csgE//sfsB//nimR//torC//uxuR//rpoH//exbB//fliH//gltK//cysA//
MtlR_neg	rimP//pdeL//hybD//
MurR_neg	uidC//eda//cas2//
MurR_pos	uidC//
Nac_neg	puuE//gloA//dhaL//astC//phoQ//paaB//yfdX//umuD//dsbG//
Nac_pos	galE//tisB//lyxK//adhE//norW//mngR//nrfG//add//rclC//emrY//argE//ddpF//
NadR_neg	fliQ//glcF//fliJ//rybB//
NagC_neg	feaB//gnd//dgcC//nohA//paaH//mnmG//ompF//tadA//mdtC//cpxQ//ydeP//flgB//dkgB//casB//dgcZ//mngB//glnQ//yqhD//fumC//ldtB//pspC//paaA//bacA//dapB//nadA//ybhG//hcaC//rpoD//tisB//nlpA//qseB//ydfX//ogt//
NagC_pos	sodA//pgaA//paaG//
NanR_neg	ycgR//wrbA//ppdA//cysM//hyfD//bhsA//yiiS//chbF//yhjX//sufB//
NanR_pos	iraP//
NarL_neg	pqiA//insD//mhpA//sbmC//agaD//lysP//hisQ//nuoE//pspG//ddpX//glpC//mglB//nhaA//mdtE//arsC//adiA//tolC//kdpA//dcuD//bglJ//ytfE//cyoD//ddpF//rfe//gadE//yhjX//baeR//metN//gltL//murR//ydhV//dsdC//metY//glyA//gabT//garD//casD//omrB//pqiB//glmS//dsbC//pspF//fabI//paaB//rbsR//cytR//deoC//rutR//iscU//yidL//hcr//dicB//sroC//astE//gcvP//sodA//flgN//dhaK//mepH//srlA//hmp//ptsI//fixA//crr//pgaC//hyfJ//moaE//tsr//mazF//argB//dsbG//chbC//yecR//trpR//ccmB//acrD//flgI//ulaC//modB//sbmA//cysK//kdpA//rimK//ydeN//efeU_1//betI//sufA//
NarL_pos	aroM//mdtF//phoA//yhjX//tomB//yagK//yhbS//yjjZ//creB//ybfN//purB//aceA//paaD//ssuB//feoB//sufE//xapB//slt//murG//glmS//araE//nadB//asnA//srlA//ccmD//yeaH//ycjX//chbF//ulaB//alaC//rarA//wza//murC//murP//purN//norV//gabT//rpmA//fucP//tcyP//ppdB//argB//frdD//
NarP_neg	rffM//uhpT//cusF//gatD//emrB//dinJ//allC//csgB//ymgA//yhjA//nikR//aroH//yfbR//glnH//lyxK//pck//citG//ydeO//yeaG//osmC//add//nirB//cusF//cysM//atoB//flhE//entC//nirC//hypF//argO//sroA//rcnB//argR//
NarP_pos	pqiA//bioD//appY//asr//mntS//malZ//hycB//csrB//ydjM//ybaS//gdhA//malP//araG//rffG//poxB//cydD//recB//narI//umuC//gfcA//chbB//ygeH//phnL//hypD//hipA//appX//nohA//phnH//paaI//cysC//pstA//yhcH//
NemR_neg	aspC//yiaJ//oppC//
NhaR_pos	caiT//ccmG//mhpE//tpiA//gltJ//bglJ//phoP//
NikR_neg	relB//fabZ//narJ//mpaA//fadR//caiT//
NimR_neg	mazF//murQ//
NorR_neg	recC//
NorR_pos	polA//purB//
NrdR_neg	yfaE//pdeL//tsr//tolC//chiP//fhuC//gnd//ybhS//citG//
NsrR_neg	sucB//gpmA//cpxP//rffT//treB//wecE//ydcU//ybaS//fdnI//sucC//hha//fliD//paaB//crl//xylG//tolC//sucA//flu//hyaE//wzxE//puuD//creC//araF//dnaN//argC//fimE//ygeH//aroM//garD//ybjG//hcaB//csrB//idnR//prpB//yhiD//argO//puuC//rtcB//atoE//yecR//ompF//rcnB//seqA//murQ//gspJ//potI//cpxA//mtlR//nrfE//ftsI//bamE//entC//nac//yhiD//hypA//yafQ//tnaB//accC//metQ//fau//rob//fliE//araB//fecD//rutB//fliD//metN//ygiZ//fadR//yqaE//uxuA//ygdB//mhpE//efeU_1//glgP//ydeO//zraR//hemH//ompF//exuT//nuoM//yqhD//mioC//
NtrC_neg	cysW//nuoB//patA//manY//nrfA//hyfR//
NtrC_pos	ttdT//fnr//fucR//paaZ//hycC//oppB//glcA//hydN//bolA//nhaR//gcvB//narJ//ftsK//ibaG//cusR//torA//gltK//iscA//nrdA//nanM//cpxA//prpR//glnG//spy//galE//acrZ//fruA//rseA//yjhC//phnE_2//dhaR//dsbG//xylG//higB//uspD//rseA//rpiB//ptsG//dsbC//recF//cysB//sdhB//hycG//tonB//phoR//sucC//csgA//kdpA//fbaA//
OmpR_neg	nrfE//yebE//fliQ//nrfD//gadX//sroA//tnaC//putA//ulaG//aroP//yqaE//acrZ//
OmpR_pos	rffG//frdD//ddpB//ompT//fucO//fabG//rpoD//gabT//pgaC//seqA//
OxyR_neg	rbsC//accC//bioD//aroG//idnO//insK//erpA//paaG//ydcT//bioA//cdd//mhpB//
OxyR_pos	gpmA//cecR//ybjN//ynjI//nuoE//murD//leuA//lon//wcaB//malF//fabI//dsdC//fabD//glgC//nikA//ccmD//mraZ//mgtA//ybhS//potH//ydeN//glnA//
PaaX_neg	moaE//obgE//add//ppdA//nupC//ogt//rutE//fucP//fadL//hdeD//paaI//ynbB//caiD//cdd//
PdeL_pos	yafN//
PdhR_neg	ssuB//norV//cbl//nanT//pck//hycG//cynT//nrfB//ydfX//umuC//fhuA//glmS//napH//deoB//torR//fucK//mgrB//asr//fur//yaiA//feoC//manX//cysI//rtcB//ung//adhE//mnmG//gcl//flhE//cadA//cvpA//oppF//recC//hyaA//fhuA//emrY//
PdhR_pos	hyfF//gadY//rnpB//higB//manX//
PepA_neg	borD//nanT//yqjA//
PgrR_neg	tam//uxuB//nagC//hns//appA//ynfG//flgF//ariR//
PhoB_neg	cusS//cpxQ//chbF//glnK//thiQ//lacA//feaB//fixA//gpmA//alaC//hypE//nadB//
PhoB_pos	yfiR//btuB//hdeD//mngR//lacZ//trpE//yafO//wecC//pspD//guaB//gadW//phnE_2//treB//flhB//phr//tfaQ//gntU//fdnH//zntA//amn//yecT//hisQ//yccA//ybbW//arsB//cynR//tehA//ydeI//ompC//dctR//caiB//sufC//nagA//chiP//glnP//ybbW//gfcA//iraP//aroG//ascB//yebE//dpiA//xylB//psiE//fadM//sgrS//ydeM//cysE//hycE//ilvC//hcp//cysG//uidB//
PhoP_neg	rnlB//malY//allD//manZ//soxS//garD//yhdX//cysU//rutF//zntA//uspA//
PhoP_pos	fliR//lamB//ybiT//bluF//glpD//ybhS//slyB//nuoB//ssuD//rpoS//ydfW//hybD//malE//rffH//ybiT//cusC//malG//fepD//recN//zinT//fhuA//yccJ//mdtD//fiu//glnH//fadA//fadR//fucP//fliL//pgi//ydiU//hdeA//gapA//pspG//nimR//yoeB//yafO//malM//focA//evgS//gadE//iscU//ynbC//carB//mscM//paaY//waaY//flgF//
PrpR_neg	aceA//
PrpR_pos	polA//fixA//pstB//ilvC//
PspF_neg	dcuR//
PspF_pos	ydhV//cynX//norV//ssuD//ydjM//rpoD//
PurR_neg	dgcN//bdcA//flgG//fecI//ftsK//acrZ//entC//lexA//paaH//symE//yjbH//hemL//ascB//napF//pfkA//fecC//yhdY//zraS//argP//puuP//ydiV//cysU//sbcC//uxaC//ugpQ//aspC//hcp//gadF//glnK//hcaF//flhB//
PutA_neg	cusF//appX//
PuuR_neg	rnlB//waaH//argG//glyA//rimK//deoC//aspC//
QseB_pos	nfsB//phoU//dsdX//acnB//
RbsR_neg	hycD//fabI//wzzE//csgB//osmY//gltI//ydeN//oppA//
RbsR_pos	gltD//
RcdA_neg	rutC//malS//
RcdA_pos	rhaB//hycA//argC//prpR//fabB//sufS//dsdA//
RclR_pos	ugpC//focB//uspE//
RcnR_neg	stpA//cspE//puuD//
RcsAB_neg	relA//ybhR//cysG//alkB//tnaA//csgC//
RcsAB_pos	kbp//udp//malQ//thiQ//nuoF//amtB//iraM//rbsA//aspC//dctA//
RcsB-BglJ_pos	hyaD//hcaR//araE//ulaF//trpC//udp//pfkA//fepC//fldA//fliI//htpG//dhaM//ydhT//gspL//ycjF//argF//
RcsB_neg	purN//gutQ//
RcsB_pos	cydD//nikR//ychF//deoC//yefM//tisB//lacZ//mntS//atoE//wrbA//moeA//frdB//pstC//uxaA//fabH//pspF//nuoL//poxB//rpoS//hybF//sgrT//ydfN//prs//
RelB-RelE_neg	ccmF//frdD//ompC//
RelB_neg	mnmG//hybB//hisP//
RhaR_pos	rutG//grxA//
RhaS_pos	ybhR//hypD//caiD//kbaY//gntP//bolA//
Rob_neg	cueO//
Rob_pos	qseB//efeU_2//ydfD//sroD//cdaR//manX//pspC//cysI//pdhR//deoA//guaA//ilvY//hcaF//entC//fhuC//pck//atoB//sucB//adiC//mlc//phnI//rutG//appC//marR//pgpC//
RstA_neg	zraP//gabT//mngB//mhpT//lpxD//
RstA_pos	setA//hyfA//psiE//nuoI//ptrA//
RtcR_pos	gatD//znuA//
RutR_neg	dinF//tyrA//fixX//mdtE//dacC//ecnB//hyaF//hyfG//nuoK//yciW//crr//purR//entF//ppdA//ribA//
RutR_pos	omrA//cusB//
SdiA_neg	cas2//napB//hybE//
SdiA_pos	prpR//nuoL//narX//
SgrR_neg	gntP//zraR//inaA//pstA//garD//
SgrR_pos	murP//cytR//mnmG//slt//
SlyA_pos	betI//
SoxR_neg	hcaB//
SoxR_pos	sbmC//glnK//
SoxS_neg	glk//glnD//
SoxS_pos	yecR//ecnB//qseB//hybC//ydcU//oppB//nrfE//patD//phoE//idnR//nemR//gltI//mhpB//nanS//rffT//mepH//phnI//gadB//rutA//amn//aldA//decR//fabA//gcvT//tsx//nikB//rbsA//entC//hlyE//dinB//kbaZ//paaH//ydiV//spy//melR//nuoN//ynbB//flgI//
StpA_neg	truB//uxaC//nrdB//hypC//creA//metN//srlB//
SutR_neg	hybF//yqhD//nirC//agaB//ydhX//
SutR_pos	dinD//
TdcA_pos	caiD//galM//gatA//focB//ppiA//fixA//acrB//
TdcR_pos	nrfF//fbaB//fliI//phnE_1//pdhR//ssrS//fadB//
TorR_neg	leuC//nagE//udp//
TorR_pos	pgm//napG//fadR//mglA//rbsB//lsrR//fepC//arsB//ppdB//
TreR_neg	glpQ//bioA//
TrpR_neg	cysU//crr//pstB//cydD//emrK//ynbB//rpoE//gatD//recA//nanM//mltF//hdeA//
TyrR_neg	hycI//cas2//slp//phnC//mntH//ompT//murI//pheM//wcaB//ygbA//
TyrR_pos	gntX//cusR//uxuR//
UhpA_pos	rhaA//
UidR_neg	paaB//norR//ecpR//fucP//
UlaR_neg	paaX//gatZ//pdhR//waaZ//betI//uxuB//glpC//
UvrY_pos	ssuE//lsrD//rstA//phnE_1//dapB//
UxuR_neg	narH//sdhB//fepA//accB//yhhY//lysR//dsbC//pheT//glpQ//
XapR_pos	metR//sucB//
XylR_neg	gcvB//
XylR_pos	ynfK//phnM//paaJ//uidC//umuD//psiE//
YdeO_neg	poxB//recX//
YdeO_pos	nrdI//fepB//srlR//leuL//rpiR//lysR//ptsI//mqsR//hcaC//dkgB//ymjC//lacA//yqjA//rutA//uspD//sbcD//acrB//accC//cho//
YedW_neg	flgI//idnO//frdD//narX//hokD//
YedW_pos	agaW//fucO//tcyJ//gapA//appY//gatB//fliM//
YefM-YoeB_neg	poxB//fliA//
YefM_neg	fadJ//lrp//
YehT_pos	argO//
YeiL_pos	dacC//
YiaJ_neg	yiaK//ygbK//lsrG//chbF//melB//fabB//fliG//hyfD//cysK//fruB//
YjjQ_neg	astD//yebE//tcyP//lacZ//dsbG//bglG//mdtD//nanE//dinJ//flgH//
YpdB_pos	hyfE//
YqhC_pos	hybB//aceE//
YqjI_neg	entA//purD//
ZntR_pos	rutR//
ZraR_pos	fhlA//cysJ//wzb//
Zur_neg	iraP//dgcC//rutC//bacA//pspG//fecI//
