#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	mepH//flhD//
Cra_neg	cho//fadM//phoQ//ybdZ//pdeR//oxyR//tnaB//higB//ydhV//lldR//deoD//mioC//galM//ptsG//yjeV//pspE//rutE//oxyR//cusB//ulaA//hyaB//argT//srlE//iscU//puuP//fixC//ccmB//talA//phnE_2//artQ//aspC//argH//agaR//malT//potF//cpxR//gspJ//ybjC//lsrB//fliT//cra//mdtD//sufC//mdtF//crl//rybB//lsrK//hybC//lpxD//fumB//pflB//fadR//artJ//cyoA//putP//mngR//wzb//cheA//safA//
Cra_pos	ygbK//uidA//pspD//fes//paaD//fliK//rhaA//fdnI//cvpA//xapB//hns//yafN//chbB//pepD//mtlA//fliF//narG//sufS//tauB//oxyS//hycI//gyrA//casA//
CreB_neg	paaX//recF//gspI//
CreB_pos	fepC//uidA//
CsgD_neg	purC//deoA//rffH//yccA//dsbG//flgB//ydeP//fiu//pgaB//hdeA//srlE//mgtL//murR//ttdT//aslB//
CsgD_pos	relA//agaI//glnK//nrdB//phnH//bioB//glnP//gnd//paaF//feoB//flgH//idnD//ydhX//
CsiR_neg	cysN//zntA//ftsK//qseC//ybhR//
CspA_pos	sroA//phoE//
CueR_neg	fliE//htpG//argF//cirA//ubiX//
CueR_pos	cpxR//sroD//
CusR_pos	nadA//hybG//sgbU//feoC//aspA//rplT//wrbA//fucA//ddpD//paaI//fhuB//hns//
CynR_neg	malX//
CynR_pos	chiP//rcsA//hcp//
CysB_neg	iscU//hdeB//gutQ//glpT//araC//yfdV//rhaB//
CysB_pos	ydeI//symE//pdeL//wza//ccmC//wcaB//rclA//fruK//talA//paaI//rclA//hycI//ygeA//lldR//argO//fecC//ykiA//glgA//araC//mglA//flgC//fadA//csgC//aroH//flhB//
CytR_neg	ddlB//phnG//alkA//nlpA//ykiA//ybjN//hybE//bioA//fadH//dicC//bamE//glnK//appX//
Dan_pos	polA//ymgC//ygiA//nfo//
DcuR_pos	araF//ynbC//znuA//slyB//xylB//putP//omrB//glxR//tauD//
DeoR_neg	mhpE//dinB//exbB//hyfB//sucA//rclB//
DhaR_neg	potI//
DhaR_pos	cydA//flhC//melB//
DicA_neg	gpmM//fliH//chbR//nagE//glpC//fliO//ydhX//lexA//
DinJ-YafQ_neg	oxyR//tauB//gspC//
DnaA_neg	malY//wecC//yneM//garL//fucA//mdtE//ftsI//ygiB//nrdF//nhaR//nlpA//
DnaA_pos	ccmF//znuA//nadB//mnmG//tyrA//lsrG//dcuB//
DpiA_neg	pgpC//
DpiA_pos	rplT//bioC//metA//sgbH//prpR//dhaM//putP//waaY//crl//yaiA//
DsdC_neg	yeaH//
DsdC_pos	paaX//aroP//
EbgR_neg	caiB//purB//
EnvR_neg	fliS//paaD//
EnvY_pos	soxR//glgA//
EvgA_pos	mipA//sgbU//mltF//ybdZ//fhuE//carA//cpxA//ycgZ//tam//ybaT//hypD//fldA//ompW//mhpE//nuoI//nadB//argG//hisP//galS//
ExuR_neg	uxuR//cysJ//pgk//ykiA//cdaR//sgrS//evgS//cheW//pncB//
FabR_neg	accC//artI//
FadR_neg	tsr//gutM//murF//yedX//bioC//fpr//pdhR//dtpA//yfdX//patA//gudX//
FadR_pos	frdB//gcvB//purK//cysJ//paaI//fucA//gspF//glxR//paaY//serA//glgB//dcuA//
FeaR_pos	fliJ//uxaC//
FhlA_pos	glgX//nuoG//hyi//fbaA//lpxC//dsdX//yjbH//bhsA//dinQ//astC//sgrT//acrR//glpD//fimE//glpT//oxyS//araF//yneM//marA//prpE//phoH//glgA//gntT//idnD//cirA//nikD//gpmM//ybfN//citX//hyaB//
FlhDC_neg	agaD//nlpA//puuC//argP//
FlhDC_pos	hcaD//ybaS//rhaR//hipA//napC//betA//srlE//ycjY//kdpB//iscA//srlD//feoA//sufA//glpK//lsrK//pepD//speB//gspG//modB//fadB//yrbL//cydD//gatZ//ugpE//phoP//yeaD//pdeH//tdcC//purK//tauB//bioD//ndh//moaA//entE//cyaR//lyxK//betA//ttdB//pitB//fucA//phnK//yjhC//marB//sgbE//dgcZ//cysC//pstA//ycgZ//argC//argI//mnmG//gadY//hipB//purH//flgK//ompF//lldD//ecpR//mdtA//folE//cho//znuB//accD//ahpF//putP//lsrK//fliC//ulaA//napB//ydhW//ascF//ada//yagK//ydfE//slp//rhaR//recN//sulA//
FliZ_neg	xylB//mgtA//treB//moaB//fabA//hyaD//bamE//ulaE//xylF//mcbA//mzrA//glpK//rffM//fucA//emrB//ynfF//malM//gcl//phoH//copA//garP//
FucR_pos	cysJ//yedX//araA//sufS//polA//ydhU//gadF//
Fur_neg	copA//creB//slt//ttdR//pgaA//zraP//mioC//pitB//cynR//lpxD//ddpD//phnN//oppF//dsbG//ssuB//lgoR//leuO//nikC//ada//pnuC//dcuB//yneM//cpxA//pgk//hflD//glnD//dcuS//rcnA//qseB//cydA//sdhC//fldB//yebE//feaR//malQ//ydhT//malK//qseC//metC//btuB//idnR//guaB//tnaB//gcvP//dicC//tauC//rpoH//agaR//ykgO//rpiB//napF//rutG//fliC//glnL//casE//ompN//nagE//icd//rbsA//galS//ddpX//dkgB//manX//cusF//prpB//flgJ//rseC//nikD//narK//nrfB//psiF//omrB//hcp//yhiD//rutF//cusR//flgG//malP//focA//dnaN//fucK//pgpC//nrfF//mhpC//envC//sucB//fliN//yfiR//wzb//phnO//sufB//nuoK//bglF//gadE//ulaE//ydhY//ymjD//fucK//ygiC//uspE//ulaC//ilvC//leuO//omrB//mlrA//aceA//murI//yiaN//phnK//purK//arsR//psiF//sufS//rprA//fepD//
Fur_pos	csgB//flgH//argD//lsrB//appC//malP//wzzE//serA//citE//mngA//wzb//znuB//nrfC//rpiR//ppiA//ynbA//rffG//phnD//tauD//sgrS//phnC//
GadE-RcsB_pos	ybfN//oxyR//pflB//argI//yhdW//rclC//ldtB//feaB//safA//
GadE_pos	galM//mscM//argH//flu//cheA//yebG//paaD//artJ//napH//lacY//mhpC//cysP//poxB//pheT//appY//psd//hyaA//hyaB//ppc//mngA//metY//fliH//aldA//hybC//ygiA//hypC//glnD//gcvP//dinQ//
GadW_neg	ruvB//ycjF//gadE//mqsR//lon//dsdC//malE//cheA//galR//cydD//ftsI//
GadW_pos	purA//moaB//murP//hyfJ//emrY//puuC//phr//lysA//flhC//yiaO//tauD//
GadX_neg	rimK//phoU//ttdA//yaiW//focB//fepE//
GadX_pos	yibQ//ddlB//glpA//rutC//mdtE//flgA//gspF//malP//aldA//alaS//hycG//nadB//yafP//fldA//fdnH//tsgA//rob//ssuC//ugpQ//rob//fliD//ccmE//dpiA//ascB//mglC//sra//tehA//
GalR_neg	pnuC//yhdW//gspI//ybiT//srlA//fucR//gltL//yhbE//lhgO//lsrG//
GalR_pos	nrdE//ynfK//uvrD//araE//
GalS_neg	tcyJ//bglF//ddpA//deoB//malE//ydcU//rpoH//cyoD//recC//tdcD//
GalS_pos	cysD//nuoC//baeR//asr//
GatR_neg	fimE//mglC//cpxA//rseA//degP//phnJ//
GcvA_neg	yecR//rdoA//napC//agaD//
GcvA_pos	fadD//nirB//rybA//fliO//
GlcC_neg	leuB//
GlcC_pos	marR//wrbA//ynfK//yeiL//lsrD//ynfG//
GlpR_neg	bioF//copA//ppc//leuB//ulaG//galK//paaF//seqA//ybhG//
GlrR_pos	feaR//nagE//ymjC//ykiA//trpR//
GntR_neg	uxuA//dps//gadY//dinB//ynfG//glmU//zwf//hyi//rclB//fhuC//wcaA//argI//
GutM_pos	gor//yfiB//rbfA//mqsR//rclC//malQ//ariR//
GutR_neg	asnB//nrfE//sbmA//nusA//flhB//bhsA//ynfF//
HU_neg	fadB//sucC//tsr//rbsC//agaR//rseA//dinB//yqjI//
HU_pos	rfe//
HcaR_neg	paaH//
HcaR_pos	sucB//asnB//dinF//pheT//hycH//
HdfR_neg	ydeM//murF//
HdfR_pos	yjjQ//nrfD//tcyP//
HigA_neg	dsdC//tsr//
HigB-HigA_neg	uxaC//yiaL//
HipAB_neg	kdpF//sufA//fecE//idnK//nhaR//
HipB_neg	csgE//accB//accD//phoP//gudP//waaY//
HyfR_pos	frdD//aroM//motA//ydhX//modA//fes//mgtL//alkB//udp//patA//wecE//nfsA//
HypT_neg	nfuA//uspA//yccJ//fadH//fabH//
HypT_pos	cysW//metH//katE//ecnB//sgrR//dicC//truB//lrhA//
IclR_neg	rutG//nikE//pgi//fadD//
IdnR_neg	cynR//setA//
IdnR_pos	wzzE//garD//argB//dpiB//fliS//
IlvY_neg	accD//
IlvY_pos	hyfD//
IscR_neg	lexA//galS//nuoH//yoeB//agaA//ycjX//katG//ydfE//sulA//zraS//dpiB//hyfE//tdcD//ydfN//aceE//yoeB//sdhA//ydbD//hipA//argE//cdaR//
IscR_pos	aceB//alsA//tehA//ymgA//fhlA//ygiA//rimK//pgk//fadI//pnp//xapB//
KdgR_neg	ccmD//pgaB//
KdpE_pos	ydfD//mprA//sucD//rhaT//
LacI_neg	umpH//dhaK//zraS//
LeuO_neg	truB//atoA//carA//
LeuO_pos	hha//astB//bdcA//hisQ//oxc//dctA//torC//cydA//mioC//glnH//dsrA//fliK//hmp//phnE_1//artI//metQ//feoC//artP//
LexA_neg	cirA//moaC//dinJ//emrK//dinJ//hypE//fimE//cysA//ycdZ//sufD//fhuD//wecC//waaH//ubiC//srlD//hyfC//hycE//ccmA//phoP//dicC//sufA//chbC//glcB//iscR//polA//pgi//lrp//glnG//manZ//flgF//yrbL//ddpF//fliE//lamB//ygiB//fruA//yagK//infB//manY//yrbL//gltI//rtcA//cas2//nadA//flgD//dgcN//rpmI//gcvB//gudX//ppdB//idnR//ecnB//yqhG//nikA//murD//xylB//puuD//creB//stpA//
LldR_neg	mioC//lgoR//rutF//
LldR_pos	citF//cynT//uidA//
LrhA_neg	agaA//artP//
LrhA_pos	ydfX//ulaA//
LsrR_neg	sodA//dinG//aceK//ppiD//yccJ//paaJ//ybfE//waaH//pyrC//
LysR_neg	hycI//
LysR_pos	sdhA//
MalI_neg	rbsB//alsB//murP//
MalT_pos	waaZ//ccmE//hns//fabI//chbF//gltF//marA//hyfI//yecT//gltJ//
MarA_neg	gadF//murD//rutB//pdeH//agaD//chbB//bglG//
MarA_pos	ruvB//glpQ//ccmB//dctA//nikC//fhlA//glpA//srlE//thiQ//nikD//pdeH//yfiB//hycE//fixA//tyrB//uhpT//codB//lldP//arsC//tktB//fhuE//efeU_1//ribA//pgm//bhsA//hdeB//yjjQ//gor//ssuA//paaI//ydeN//
MarR_neg	xylH//rarA//pstS//
MatA_neg	yeaE//wzyE//acnA//molR_1//mdh//ibaG//
MatA_pos	hyfF//mazF//
MazE-MazF_neg	fliD//prpE//gapA//
MazE_neg	putP//phoE//gcvT//
McbR_neg	pagP//
McbR_pos	phnP//fucR//nusA//
MelR_neg	yfiR//oppC//hyfI//
MelR_pos	phnI//nuoC//uhpT//
MetJ_neg	phoE//murG//dcuD//zraS//gatZ//rbsA//nrfG//nanA//pdhR//ugpE//fliI//zraP//fabH//lsrC//gadA//
MetR_neg	yqaE//cdaR//
MetR_pos	fpr//osmY//mhpC//ccmB//
MhpR_pos	casA//pdeL//dinQ//glmY//narX//adiA//
Mlc_neg	btuB//arsC//ydcT//prpB//rseC//motB//nrdH//cueO//paaF//fliF//
MlrA_pos	hycA//pstC//hdeD//csgA//yhdX//yibQ//pheS//rybB//metN//ddpD//
MngR_neg	pgm//mazF//xylG//
MntR_neg	mdtA//yagK//acnA//eda//
MntR_pos	gudP//
ModE_neg	metK//cysH//betA//dmsA//chbR//rtcA//gntX//hyaA//tsgA//yecT//fumB//yjbF//malQ//agaI//psiE//
ModE_pos	osmC//gcvA//ybbY//ftsW//kbaY//fabB//wza//uidC//argR//ppsA//deoD//mhpB//hokE//carA//ebgC//xylF//hycC//ybjN//modA//ptsI//rutG//purB//ydiV//fliI//bglJ//dpiA//rffM//motA//pck//dacC//malX//
MprA_neg	guaB//mdtF//ssuC//hns//exuR//pdeH//
MqsA_neg	mipA//artQ//ubiC//cho//symE//ada//fur//kbaZ//
MraZ_neg	amn//ptrA//yafO//ssrS//ilvC//znuB//ybdZ//galE//citX//sgrT//flgC//accD//potH//nfsA//accB//ygiA//nfsB//
MtlR_neg	dhaM//tbpA//talA//
MurR_neg	feoB//sgbH//dhaL//
MurR_pos	nanE//
Nac_neg	seqA//iscR//rutC//creB//pncB//ecnB//wecC//dsrA//nrdA//
Nac_pos	glpQ//pstA//ymiA//sufE//rutF//phnE_1//paaX//nuoM//mraZ//nrdE//glgX//galP//
NadR_neg	crp//fepG//caiB//hypE//
NagC_neg	ybhL//hycB//fliD//fecI//tdcA//creD//nemA//ccmA//manZ//mntP//tynA//paaA//hcaB//fadB//cdd//pykF//uof//dmsD//serA//mtlD//flgK//tnaA//waaY//rutG//feoA//tktB//narG//yidQ//slt//ybhG//araG//ompT//cysC//
NagC_pos	mzrA//nanE//paaX//
NanR_neg	treC//dinI//rimP//btuB//wzc//metH//uvrA//citG//ydhY//murG//
NanR_pos	flgC//
NarL_neg	amtB//mhpF//emrY//pfkA//leuC//ubiX//pnuC//nlpA//marA//murE//nrdE//rplT//nemA//creB//nfsA//cysP//metH//ccmG//rutF//polB//ynfF//araE//manZ//prs//allC//ulaE//mnmG//uspD//nuoK//psiF//dnaG//fadI//fhuF//nupC//garL//argD//fadE//yjbH//cpxA//gabD//rffH//fliG//gnd//hyaB//seqA//uspE//ygaC//flgA//hyaF//gspC//cydC//rseA//aldA//evgS//puuR//feoC//fur//gspJ//mngR//phnE_2//tdcG//ampC//ygbK//yhdY//ryhB//flhD//glpC//purN//cirA//argB//ugpE//mngR//recN//add//bamE//umpH//sufD//recC//fecC//torD//rcsA//glgC//rplT//cydA//srlD//aspA//ttdT//
NarL_pos	aroG//trpA//paaB//metR//yoaG//tcyJ//creD//psiF//ybiT//yqjA//potF//folA//bhsA//cspD//lysR//hybE//leuC//fdnI//csiD//lysP//caiT//hyfD//yjhC//gcvH//glnD//phnL//phnE_1//rplU//marR//iscR//puuR//fliZ//chbC//csgF//hisQ//oxc//caiT//dinB//sucA//rhaD//ndh//yccJ//bioC//
NarP_neg	ynfF//ompT//grxD//tomB//fur//rhaA//pspG//uspA//mlc//bacA//ccmD//hycB//mglA//glxK//waaY//nuoA//entH//uspE//dcuB//uxaB//chbB//citE//mhpA//cpxR//fhuF//fecE//ubiA//oxyR//trpB//yecT//xylF//bglG//yjeV//
NarP_pos	gcvH//caiF//ahpF//cheW//argF//mazF//flhE//crp//mhpB//ynfF//fecB//adiA//lysA//aceE//yegH//katG//cynT//flgH//dgcC//focB//idnK//setA//paaI//dinD//emrY//yiaN//nikB//chbF//puuC//dsbG//bacA//paaE//
NemR_neg	tyrB//arsR//ydfW//
NhaR_pos	norR//tauC//yiiS//ybhR//fecE//hdeA//ydfN//
NikR_neg	ybdN//focA//moeA//flgK//purR//ssuA//
NimR_neg	ahpF//ppiA//
NorR_neg	rhaD//
NorR_pos	motB//tehB//
NrdR_neg	ydfH//metE//leuL//ydeI//creA//ftsI//astB//gspC//mhpT//
NsrR_neg	rffH//fadB//tsgA//hha//hybC//ydfD//uidC//ydcT//torA//astD//nrdB//phoP//ygiB//cysD//cspD//paaY//pheT//murP//galK//malZ//gatY//fadH//hlyE//gnd//rybA//sgbU//dsrA//pspF//yhbT//poxB//rpoE//sucC//tolC//accB//nrdH//alaC//ygeH//rplT//aroH//allE//tdcG//exbD//galE//ygdB//hlyE//tcyP//paaD//nrdH//baeR//bdcA//csgG//rclC//xylB//sodB//dinF//yjiY//yccT//fliJ//uidC//yafO//dkgB//feoA//dsrA//ssrS//flgI//cysU//argC//fliO//paaC//narI//fucI//cysH//phoR//rffM//hybE//dmsC//gpmA//ybfN//yafN//yfaE//pgaA//tyrB//aslB//
NtrC_neg	ftsK//dkgB//yciG//hemH//cyoB//bhsA//
NtrC_pos	gspL//acrZ//gcvB//nikE//lsrR//agaI//obgE//oppF//murD//hdeD//ygiC//dcuB//leuL//entB//fiu//oppF//fadB//lsrD//phr//purK//flgG//caiB//hybG//gadX//entF//wecB//phoP//mazG//lpd//obgE//yeaH//tbpA//metI//xylG//ydbD//iscA//gntK//rclC//lacA//alkB//aspC//pgk//gadF//hcaB//dhaM//sufD//cirA//slp//gpmM//
OmpR_neg	betT//leuL//dsbC//nrfB//dcuA//atoD//trpC//pspE//uspA//argC//hypE//hyfG//
OmpR_pos	uxuB//gltB//metE//ybhR//katE//recD//yiaK//cra//idnT//hcaC//
OxyR_neg	araC//tdcG//ulaD//guaA//glpA//dcuA//nanM//pspA//ygiA//tktB//hokD//fecD//
OxyR_pos	phnF//yfaE//fadM//fucP//pspF//accB//idnO//sra//exuT//glcE//fadB//hyaB//fliE//fdnG//metC//puuC//rffT//gltF//fliO//ydhU//relB//exuR//
PaaX_neg	mzrA//fliE//fhlA//sra//wcaB//modC//pspF//yciX//trpE//iscS//ascF//ynbA//recF//bioD//
PdeL_pos	ydjM//
PdhR_neg	dcuB//mgrR//psiF//lamB//murR//mntS//yhdW//yegR//speB//rpoS//napH//ydfW//agaD//paaK//ccmH//hisJ//mdtC//cusB//tcyJ//nuoM//ynbA//rhaT//gpmA//rcnR//nadA//potF//glgP//ruvA//rffT//xylG//argH//putP//oppC//efeU_1//omrA//hokD//
PdhR_pos	ssuA//gdhA//nfo//ynbA//nrfF//
PepA_neg	yagK//thrS//uvrD//
PgrR_neg	rclB//rpiB//tsx//fimB//rhaR//aroG//nagC//ugpA//
PhoB_neg	rarA//tdcC//flhA//cysW//phnF//ydfW//yqjH//astB//yiaN//puuB//rnpB//hdeA//
PhoB_pos	fucK//tnaB//paaA//gadF//cysK//fliT//araC//gatA//hisP//gspO//ugpQ//araH//marB//yhjX//rutR//pstB//entB//recF//dtpA//ulaG//mioC//feaR//tnaB//rimP//fepE//talA//paaK//nmpC//caiB//asnB//gspO//crr//ecnB//hemH//cysG//moeA//yhbE//mlrA//mdtB//znuB//gpmA//fabI//ptrA//appB//uidA//glnL//thiQ//lsrA//glmU//agaI//xylA//sucB//ybjC//
PhoP_neg	astE//rpsU//tpiA//fliC//ydiV//pstB//ptrA//thiQ//malP//ulaD//icd//
PhoP_pos	evgA//ptsI//tam//hybF//yfiR//ribA//uxaC//flgJ//oppA//cysH//yfdX//ugpE//uspD//alsA//fadE//ddpD//modC//tsgA//melR//micF//focA//appB//yhdY//cyaR//psd//fepG//folA//mprA//ftsW//uidB//araF//pgaC//lsrK//bamE//chbC//sodA//bluF//sgbU//ulaG//fruA//ulaE//pgm//lldR//hns//caiB//allS//nagA//cysP//
PrpR_neg	citF//
PrpR_pos	rimP//ybhS//dgcC//fadA//
PspF_neg	ftsL//
PspF_pos	yhdX//sdhC//sucC//galE//aroP//yfdX//
PurR_neg	casA//fadE//ccmC//flgA//paaI//uidB//fdnI//norR//purK//fepC//trpL//ytfE//artI//ygiA//ymjD//metN//bhsA//btuB//yiiS//sgrR//oppF//thrS//ascB//ssuA//cysU//atoA//flu//dmsC//deoC//astB//flhC//
PutA_neg	fadL//metC//
PuuR_neg	gadW//glk//argO//rbsK//dctR//phnN//pspE//
QseB_pos	rbsA//accA//accC//dinF//
RbsR_neg	pstS//alkB//fumB//gcvH//mdtF//nupG//caiE//pagP//
RbsR_pos	hns//
RcdA_neg	narL//yhiM//
RcdA_pos	ygiB//lsrB//ygeH//cysN//mgtA//yjjQ//fucI//
RclR_pos	edd//uidA//add//
RcnR_neg	tonB//tnaC//yebG//
RcsAB_neg	appB//yfiR//yqhG//metR//phnE_2//nikE//
RcsAB_pos	yhjC//pdeR//betT//dgkA//fecA//cdaR//hyfG//metB//argG//malY//
RcsB-BglJ_pos	crl//leuD//ldtC//ulaG//higA//murI//arsB//argC//udp//malM//hybB//cysC//rpsO//mazE//alsE//ybhF//
RcsB_neg	cysA//hdeD//
RcsB_pos	dinD//phnN//ygiB//dkgA//glmS//putA//trpD//xapA//uxuR//cysC//iscA//aslB//ybhF//gspL//tauD//oppD//gltD//dgcZ//rffH//ybjG//torA//fabG//cra//
RelB-RelE_neg	entS//rnlA//uspD//
RelB_neg	rsmH//srlA//manY//
RhaR_pos	argH//uxaB//
RhaS_pos	dsrA//fucA//cyoC//nrdH//ssuA//exuT//
Rob_neg	lolA//
Rob_pos	torD//motA//hyaE//rimK//zinT//aceA//tdcE//cydD//ydbD//sgbE//cas2//rbsC//gadY//csgC//mtlR//garK//ascF//fiu//purK//rsmH//hypD//mntH//fliN//pgaB//metF//
RstA_neg	modB//rutD//casC//feoA//tauA//
RstA_pos	nirD//asnB//modA//rstB//hybD//
RtcR_pos	isrC//accD//
RutR_neg	glcC//creB//mtlA//pdeH//csgF//araD//araA//ygaC//trpE//glpT//bdcA//glnQ//nhaR//yhjA//yccT//
RutR_pos	ymgC//rstA//
SdiA_neg	wecC//fadH//yhiM//
SdiA_pos	dinB//thiP//sroA//
SgrR_neg	ybhR//alsE//argH//malM//ilvY//
SgrR_pos	ynfK//glgP//hyaA//insK//
SlyA_pos	gcvP//
SoxR_neg	znuB//
SoxR_pos	narK//artQ//
SoxS_neg	idnO//mlrA//
SoxS_pos	gatB//paaY//sdhC//allS//ung//paaY//malS//poxB//gspL//nikB//relB//gntU//nrfE//artQ//nhaA//fadE//fucA//sbmA//gspE//micF//yccA//trpL//yegR//dsbA//nanA//ssuD//marA//nagB//rpiR//emrY//fldA//fimB//ynbA//hyi//malE//hmp//yjjZ//ssuB//
StpA_neg	idnR//oppD//mdh//ompW//hyfR//cspE//tomB//
SutR_neg	rimP//cynT//dinQ//acrB//glnH//
SutR_pos	aroG//
TdcA_pos	hypB//srlA//yjeV//hcaD//mhpA//bioB//hyfH//
TdcR_pos	flgE//frdA//phoB//rob//nanE//mglC//trpR//
TorR_neg	araD//hisP//relA//
TorR_pos	yafN//metE//glnP//modB//add//edd//hyfB//fur//rnlA//
TreR_neg	lrhA//allS//
TrpR_neg	ftsL//dacC//ddlB//gspC//ugpC//trpE//yciW//mraZ//yagK//phoR//eda//fadR//
TyrR_neg	nrfB//uxuB//ydiV//murG//argT//dmsC//glpK//phnC//fecC//creA//
TyrR_pos	infB//pgpC//yhjC//
UhpA_pos	bamE//
UidR_neg	higB//ybhG//exuT//mpl//
UlaR_neg	hdeA//bdm//gpmA//mpaA//hisJ//rplU//ptsI//
UvrY_pos	agaS//gspL//aspC//fabB//flhE//
UxuR_neg	lolA//ddpF//gspE//nohA//caiC//ddpA//argB//phoE//focB//
XapR_pos	metK//fecI//
XylR_neg	rbsC//
XylR_pos	pspB//zwf//cyoA//fldB//pflB//galT//
YdeO_neg	ulaG//rimK//
YdeO_pos	pspF//ymiA//fbaA//rpoH//znuB//deoC//yafQ//wrbA//ddpA//creC//glgP//glnK//molR_1//feaB//hcaC//cpxR//mraY//rutR//ldtC//
YedW_neg	fadE//dsdC//garP//hycF//yfaE//
YedW_pos	oxc//glpB//gntP//mraZ//pgi//atoB//cspD//
YefM-YoeB_neg	gloA//cysK//
YefM_neg	flgK//yciG//
YehT_pos	caiA//
YeiL_pos	appX//
YiaJ_neg	yafP//cspI//hydN//sodB//trpL//phoB//rffC//fumC//bdm//ygaC//
YjjQ_neg	mhpF//fdnI//pheM//sbcC//narH//yiaJ//trpE//fabB//allC//uspE//
YpdB_pos	gadF//
YqhC_pos	hypF//tcyJ//
YqjI_neg	yiaN//metK//
ZntR_pos	nirD//
ZraR_pos	ung//fucU//glnD//
Zur_neg	hycA//ydhT//mtr//potI//malY//fucR//
