#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pheS//rplU//
CsgD_neg	bglB//fliF//metL//gcvA//znuC//envC//znuC//hdeD//gcvH//cyoC//alkB//acrZ//mazE//marR//cheW//
CsgD_pos	phnD//nikC//zntA//uspA//mgrB//srlB//ymjD//ybfE//cyoC//pagP//aslB//yqaE//allE//
CsiR_neg	gadE//paaH//potG//ydfH//dicB//
CspA_pos	napC//pncB//
CueR_neg	puuC//rclB//ynfF//yegH//pyrD//
CueR_pos	yhdX//hyfH//
CusR_pos	rplT//phnO//paaK//glnP//recA//fdnH//rcnR//sufE//hyaA//borD//ydhW//pncB//
CynR_neg	feaR//
CynR_pos	umuD//nanE//dinB//
CysB_neg	melR//cytR//citE//gdhA//mgrR//yhbE//fecB//
CysB_pos	aroM//kbp//recD//lyxK//citC//sgrS//dicB//tcyJ//yhbT//relA//envC//psiF//tdcE//btuB//deoD//motB//yegR//flgB//ssuD//ecpR//yhcH//malG//aceE//pspE//motA//
CytR_neg	yhcH//chbG//gadC//tdcD//yjjZ//sroC//hypB//hypA//marA//srlR//ccmB//rcnB//ldtB//
Dan_pos	cyoD//katG//guaB//iclR//
DcuR_pos	ihfA//dapB//aidB//napB//aceB//yafN//wecB//araG//yciW//
DeoR_neg	baeS//gcvT//cyoD//nagE//rprA//ynbC//
DhaR_neg	paaC//
DhaR_pos	ung//soxR//zwf//
DicA_neg	motB//aspC//sbcD//dapB//yhhY//asnC//fdnH//gspF//
DinJ-YafQ_neg	pqiA//napG//ynfH//
DnaA_neg	dgcZ//lsrF//ftsA//uspD//ybjN//yqjH//cydA//fliG//gspD//sbcC//prpE//
DnaA_pos	yiaN//rclA//glcF//ydfH//ecpA//gatA//phoQ//
DpiA_neg	fadM//
DpiA_pos	ymiA//murQ//mtr//hcaF//metB//lon//cysA//norW//flgJ//feoB//
DsdC_neg	phnK//
DsdC_pos	tehA//ada//
EbgR_neg	ssuE//exbB//
EnvR_neg	metR//asnB//
EnvY_pos	fpr//csrC//
EvgA_pos	fabD//ydeN//glcB//ybhR//tauC//tam//ydcT//ascB//tehA//rbsK//sgrS//feaR//gfcA//mtr//ynbD//ydeM//uidA//hflD//astE//
ExuR_neg	ydbK//hypF//mntH//cirA//cysD//narH//fixB//gdhA//fliM//
FabR_neg	rpsO//ptrA//
FadR_neg	metY//srlD//napG//hyaC//hypE//mhpC//zwf//ftsQ//dmsB//fes//ftsQ//
FadR_pos	ybaS//malM//glnP//tdcC//rprA//emrA//metJ//treC//pdhR//leuC//fecB//tauA//
FeaR_pos	mazE//hemH//
FhlA_pos	flgG//yfdV//casE//cysE//pepA//ldtC//ygiB//codA//omrB//entS//cysE//ydfE//pheS//narG//ydeP//argR//fdnH//ttdT//glmS//cyaR//iclR//agaI//dsdC//wcaA//fhuC//ddpD//yqjI//agaD//pgaB//hycA//
FlhDC_neg	thrS//lon//yafP//artJ//
FlhDC_pos	ddpA//chbB//phoR//yfaE//entE//metQ//cusF//nfsB//infC//lsrK//fadE//amtB//uof//crl//arsR//modC//hycG//rimP//cysB//ybjC//dacC//tam//emrK//purR//flhC//eno//cysW//dacC//srlR//tyrB//puuC//ygeH//dnaN//yjbE//hemL//leuD//tyrA//ugpE//ybbY//exbD//creD//aroL//ubiX//entD//yhdZ//cecR//astC//prpR//fabH//speB//nac//flhE//agaI//ydiV//entF//fliE//yfdE//mhpF//sufS//nimR//feaR//purB//pspB//accC//bioB//ppdB//fdnG//cysC//yebE//ptsH//cusS//cirA//sroA//glpK//betT//gspM//fliZ//norR//
FliZ_neg	ybhG//ryhB//gspI//ftsQ//melB//znuA//tsx//mpaA//phoE//pdeH//phnK//dgcC//evgA//cyoE//rutE//bioA//mgrB//nirD//glgB//mnmG//slt//
FucR_pos	pyrD//dctA//udp//cysB//yeaE//malQ//glgP//
Fur_neg	yefM//metR//ecnB//galK//tadA//xylF//gapA//zinT//ompW//kdpF//ybhL//fruB//micF//cyoD//dctR//hyaC//ycjX//mdtE//slt//motA//cysB//iraM//dsrA//adhE//torC//malE//citD//sulA//yidQ//pheT//fes//psiE//ftsI//rdoA//mhpA//mgrR//rffM//hcaF//hisM//ybhF//lysA//guaA//sutR//malQ//agaD//uspE//mngR//ssuB//idnT//feoC//gltB//acrR//phoU//tyrP//mraZ//pgaC//appC//glnQ//ybhF//aceF//puuB//argC//fbaA//ecnB//rsmH//yiaO//flgI//inaA//katG//waaZ//dps//chbB//yciX//sdhD//wzzE//moaC//relB//frdD//napA//uhpT//ompC//glk//decR//uidB//chbA//modC//nrfC//cas2//hycB//ssuB//lacY//focA//ccmE//caiT//cirA//recN//nfsB//lysC//csgA//cytR//agaC//sgrS//gspE//nadA//yqhD//fliZ//paaH//hokD//astC//ybfE//ydeP//ddpX//fecI//cusS//yoeB//
Fur_pos	caiE//acrZ//alsC//ftsK//patD//cyoE//wzyE//hisM//nuoB//metB//ompC//dhaM//galE//purB//skp//dnaA//murP//ugpQ//glnG//grxD//tyrP//
GadE-RcsB_pos	nrdF//gcvT//ycjY//purN//mltF//dapD//yciX//creC//glmS//
GadE_pos	cysI//mdtD//garR//glcD//xylB//casA//grxA//glxR//tadA//carB//paaI//tam//hyfA//uvrY//adiA//ycgR//hybE//polB//rtcA//entB//rffM//yegR//gadB//yjeV//hyfE//citE//cysH//cysA//dgcZ//
GadW_neg	fucP//purK//oppB//glcG//fliK//mqsR//kbaZ//cysJ//ddpB//tnaC//rstA//
GadW_pos	yiaO//napF//mdtE//yidQ//cysA//bioC//ttdR//nimT//purL//treB//fdnG//
GadX_neg	glnG//putA//nikD//metE//uidB//sucB//
GadX_pos	prpR//dinB//gspF//rtcB//ddpB//galS//astB//csgE//rcnA//sroA//lldR//csgF//xylH//thiQ//treR//lsrG//yhhY//glnH//gatC//fabD//ompF//ompN//rseB//purB//aceK//yecR//hlyE//
GalR_neg	uspE//nikB//murE//nupC//entC//trpA//fadL//ulaF//hydN//yafO//
GalR_pos	lsrC//bglG//dsbG//glcF//
GalS_neg	nrdA//artP//ugpQ//aroF//phnE_2//mhpE//hipB//gcl//lacY//icd//
GalS_pos	chiP//hypD//tdcF//ddpB//
GatR_neg	tdcE//uxuR//crp//ynbD//gltD//sdhD//
GcvA_neg	glk//metF//gltL//glxR//
GcvA_pos	torD//metH//ccmE//waaZ//
GlcC_neg	tam//
GlcC_pos	ssuE//uxaA//ulaA//fhuF//ecpA//mazG//
GlpR_neg	ptrA//grxA//ygaC//lsrF//hcaF//ycjY//tyrB//entA//symE//
GlrR_pos	feaB//symE//iscA//paaC//decR//
GntR_neg	sbcC//yiaO//ddpA//ydeI//nanM//ydeP//fepB//accC//nhaR//nuoA//yqaE//fpr//
GutM_pos	tdcE//aroP//frc//pheM//ybfE//prpD//betI//
GutR_neg	hemL//nemR//deoB//nikR//yhbT//ccmA//dmsC//
HU_neg	hns//ymiA//cysM//treR//yoaG//rclB//deoB//narX//
HU_pos	mgrR//
HcaR_neg	caiE//
HcaR_pos	gudD//hypD//yhbS//waaZ//hyfR//
HdfR_neg	ydbK//garD//
HdfR_pos	dinB//arsB//yfdV//
HigA_neg	ycjY//ldtB//
HigB-HigA_neg	gltL//pflB//
HipAB_neg	cyaR//flgN//bluF//osmY//fepB//
HipB_neg	artJ//gatA//cas1//dctR//dinD//srlB//
HyfR_pos	znuC//moaE//prpE//ybhG//ugpQ//rimP//pgaB//lsrA//flgH//mipA//hybE//nuoH//
HypT_neg	ybiT//rffG//uxuR//hyfB//nagE//
HypT_pos	citC//dkgB//nmpC//relE//rsmH//cydB//stpA//ygiZ//
IclR_neg	nrfF//nikB//moaD//yeaR//
IdnR_neg	uspE//pgk//
IdnR_pos	hyfF//rcsA//yegZ//fimB//fecI//
IlvY_neg	adiA//
IlvY_pos	kbaZ//
IscR_neg	lolA//malG//gcvA//gabD//allS//ddpF//prs//fadH//manZ//dnaA//appB//fecA//dinI//mdtE//yfiB//nuoB//tehB//hyfH//leuO//cydB//micF//
IscR_pos	flgC//nrdE//dmsD//hisJ//nimR//agaA//fldB//mazG//ptsI//bolA//prpD//
KdgR_neg	gpmM//mioC//
KdpE_pos	cas1//fadR//gadX//cysH//
LacI_neg	mpl//srlB//cysG//
LeuO_neg	yhdW//uidA//glpB//
LeuO_pos	ascF//ulaF//uspA//wecC//fepD//tdcC//fucP//yeiB//yhhY//mtlD//puuP//hns//flgI//fecC//glpK//psiE//lysC//yeaH//
LexA_neg	bluF//allD//uof//dctR//fur//exbD//cspI//gudD//deoD//cusB//gabD//fur//aldA//uvrA//degP//caiD//rhaS//nfsB//phoE//ynbA//ihfA//lsrG//zinT//cyoA//hyfG//murC//moaC//hyfH//slp//nikE//ynjI//artQ//lpxA//nagA//napD//araJ//fliO//gspH//dsbA//nimT//bioD//creC//sutR//gspL//dctA//obgE//melA//mgtA//fepB//pnp//narG//arsB//ccmD//yebG//narX//potH//feaR//fliD//alkB//
LldR_neg	ydcS//fecB//ybaT//
LldR_pos	fpr//inaA//entB//
LrhA_neg	higA//melA//
LrhA_pos	fumB//fliI//
LsrR_neg	sulA//oppF//mgtA//malG//dinB//fabI//trpR//ftsI//pdeH//
LysR_neg	cysW//
LysR_pos	sulA//
MalI_neg	iscU//cadA//lysP//
MalT_pos	caiB//ybaS//nrdF//murR//uvrC//dctR//potF//hybB//nadB//yiiS//
MarA_neg	pfkA//ibaG//trpE//nmpC//mdtA//yiaM//cirA//
MarA_pos	tdcA//nohA//micF//sufE//wecC//yciF//umpH//yhjX//astE//tisB//ydbD//moaB//glnP//gspG//paaB//iraM//pgpC//fliF//rcnA//uvrY//tnaA//galM//yeaR//gspI//potF//yfiR//paaI//caiC//mngB//pgpC//ascF//
MarR_neg	dnaA//pqiB//agaD//
MatA_neg	uxuA//amtB//aroF//paaI//ogt//phnI//
MatA_pos	fadA//flgH//
MazE-MazF_neg	moaB//sdhD//polB//
MazE_neg	wzc//katG//ptsH//
McbR_neg	ugpA//
McbR_pos	ydiV//rutA//exuR//
MelR_neg	metJ//znuB//manZ//
MelR_pos	cueO//fadB//mtr//
MetJ_neg	astD//cysH//pykF//potF//yciW//rpoE//uxaC//xylH//cysU//ptsH//mglB//allD//gpmM//phoE//glgC//
MetR_neg	yjbG//dinQ//
MetR_pos	nrfG//ldtB//nagE//gltJ//
MhpR_pos	agaI//sutR//dapD//slyB//osmY//yeiL//
Mlc_neg	hipA//cysH//trpE//fabH//cpxQ//asnA//metN//cas2//malI//manZ//
MlrA_pos	bglG//gatD//ubiX//ydhU//ssrS//gatY//hyfB//yjbH//pdeH//ygiA//
MngR_neg	rclC//dmsD//glnD//
MntR_neg	yoaC//nanM//pdhR//uxaC//
MntR_pos	ynbD//
ModE_neg	mglA//agaV//sdhD//yegH//emrB//ubiX//moeB//fepD//pstC//glgC//oppC//lolA//rob//accC//mntP//
ModE_pos	ygiZ//metK//mdtF//uxaC//ygbK//rcsA//motA//kbaY//tonB//hyaB//trxC//rob//uvrB//nhaA//ymgA//ybaS//ompF//feoB//mazG//bamE//epd//cysJ//metB//pstS//gspE//fucK//tonB//uvrA//dinF//lpxD//gltJ//
MprA_neg	flgK//tauA//agaB//ydcS//norR//cdd//
MqsA_neg	nuoE//umuC//phnC//entD//phnP//trpB//argH//cynX//
MraZ_neg	tolC//katG//gpmM//fecD//dcuR//argF//galE//gapA//hdeD//moaD//phnD//umuD//rclA//ulaD//rclB//fdnH//murR//
MtlR_neg	dsrA//fucR//gadB//
MurR_neg	ftsI//malF//kbp//
MurR_pos	fldA//
Nac_neg	frdB//tdcG//murD//deoB//flhE//manX//napG//kdpC//slyB//
Nac_pos	recD//moeA//paaE//metA//rffC//rutC//pck//wza//argC//entF//guaA//glpK//
NadR_neg	hypF//lysC//allS//pspA//
NagC_neg	yidQ//yncE//flgA//nohA//xylB//fadI//nanA//hemL//talA//trpL//entB//dicC//tnaA//yjhC//cspE//uspA//osmB//mgrR//purA//caiF//pfkA//entH//gadC//iscS//yhbT//exuR//bioD//yegH//murE//putP//gspL//slp//gspD//
NagC_pos	nrfB//sbcD//cecR//
NanR_neg	cusF//carA//nrdB//fabA//sucB//galP//tyrA//hyfF//uvrA//mqsA//
NanR_pos	ssuD//
NarL_neg	gcvB//gltK//idnR//mprA//yfiR//dctR//ynfE//infB//hdeD//malZ//rplT//paaX//mhpE//rcnA//mdh//thrS//ilvY//cusS//fliH//ybdN//ydfN//ptsG//murG//phoR//ycgR//cusS//stpA//ydiU//waaH//mpaA//hdeB//cyaR//metB//fnr//ybaS//glpX//rarA//nanM//aroP//fhuD//dhaM//gadY//gatD//fbaA//paaA//glpB//tdcA//fliS//ycgZ//edd//yjeV//iscS//mgrB//fixC//dsbA//focB//eda//modA//emrB//mzrA//fhlA//rtcB//hyfF//oppB//yiaO//hyfG//cbl//nanK//slt//appY//lpd//yhhY//frdB//nrdD//mzrA//rclC//fau//puuE//entF//gadE//glgP//csgB//cas2//trpC//gltB//rarA//bglB//
NarL_pos	amtB//yidQ//hypF//caiA//ydeI//ascF//dhaK//murE//hyfC//ymgC//moeA//edd//glnL//safA//higA//fecA//entC//fadI//hyfA//gpmA//hlyE//betA//dicC//bglB//gspL//fecR//rcnR//aceB//aslB//moaC//gspK//ldtB//yibQ//inaA//rutD//malK//aspC//tdcE//leuL//yafQ//phoQ//hcaC//torD//
NarP_neg	ttdT//cysJ//atoB//osmY//pstB//pyrC//rseC//agaW//atoA//trpE//rhaS//fixB//ccmA//gadF//caiE//recC//artM//cysM//yegR//fruK//flgG//paaA//yoaG//nirC//bolA//rffT//feoA//crr//xylR//acrR//yeiB//folA//yhiD//
NarP_pos	rpiR//narJ//cecR//cas1//rbsD//umuC//sroD//tdcE//creA//argF//leuD//mgtL//citD//yiaL//iscS//fadI//cyoD//gspD//oppF//slt//flgJ//fliL//wcaB//puuC//uvrB//dkgA//ccmD//fdnI//dgcN//ydbK//fbaB//gatC//
NemR_neg	fucR//dcuS//ydiU//
NhaR_pos	rcnB//fadL//yiaO//pqiB//zraR//gspE//psd//
NikR_neg	aroH//cspI//arsR//cysI//bamE//pnuC//
NimR_neg	cyoB//csiD//
NorR_neg	fldB//
NorR_pos	sufB//ugpC//
NrdR_neg	ygiC//gntP//hycG//rbsB//rutC//xylF//fadA//cynS//codB//
NsrR_neg	phnM//moaD//mhpE//glgP//tdcB//ydeM//agaB//spy//ydeM//gntU//rstB//tnaB//cyoA//nanT//omrA//narI//wzc//lrp//hyfE//umuC//ynbB//metB//nuoK//omrA//cynS//lsrC//malQ//yqaE//cadA//folA//trpL//nrfB//nrdH//ldtB//hyaC//inaA//gdhA//dcuD//rclC//yfdX//csgD//acrD//lhgO//ssuE//purC//speB//fadI//adiA//araD//phr//nagA//sufE//cysC//argB//nagA//gspF//fepE//katG//sbmC//purL//appA//yqaE//xylG//pgm//dsrA//rplT//lldR//tnaC//fliJ//nikA//speA//rclC//dnaG//phoH//uidR//ynbA//ymgC//lysA//ugpC//hha//entA//ssrS//yeaG//
NtrC_neg	cyaR//melR//aceF//ybhG//prpD//ynbB//
NtrC_pos	bdm//gltI//fecI//ymiA//idnD//napF//sdhA//ldtB//sroD//ahpF//phoU//ttdT//cysN//fnr//ftnB//sdhB//phnP//kdpF//fnr//hcaC//citD//sufB//hyfF//cytR//ibaG//ugpQ//fucI//ydhV//bamE//tomB//yqjH//nirC//rob//creD//fliA//tehA//mtlD//ycjX//yciX//paaD//ssuD//flgJ//potG//ddpC//puuE//hcaB//flgL//mpaA//metJ//
OmpR_neg	cas2//flgK//appA//ymjC//metY//flgJ//micF//nanC//lpxC//lamB//ybhR//hybG//
OmpR_pos	xylR//baeS//lhgO//zwf//lsrA//ascB//ilvY//bglJ//ibaG//fhuA//
OxyR_neg	fliP//cusA//sufB//glcB//yjbF//agaR//iscS//idnR//argE//gspE//ybfE//cusF//
OxyR_pos	nuoE//cho//aceB//aceA//gltB//emrB//hybC//ada//xylF//cspE//fadM//cusA//gspM//decR//phoR//ycjF//yiaL//flgF//uof//focB//fadI//lsrK//
PaaX_neg	sroD//pflB//feoA//phnI//lsrG//puuA//ulaD//napF//uspE//ulaG//sra//gspJ//glgC//oxc//
PdeL_pos	flgB//
PdhR_neg	phnJ//yhjC//katG//gapA//pstC//nrfG//dacC//ryhB//murD//ibaG//appB//nrfC//malS//mntP//pdeH//lldD//nikA//mntP//tonB//cirA//pyrC//csgA//nuoN//paaK//cadC//napG//phoP//micF//treB//ldtD//nfuA//putA//phnE_1//yebG//ygiZ//cspE//
PdhR_pos	ybfE//ycgZ//cysI//purC//ymiA//
PepA_neg	gadA//nfsB//narL//
PgrR_neg	murI//rpoE//fdnH//decR//alsA//hyaF//purA//glcG//
PhoB_neg	sroC//pspG//fecI//sroA//exuT//malI//tyrP//exbD//nrdA//sroD//galK//mntS//
PhoB_pos	psiE//lrp//cirA//uspA//osmB//mzrA//hflD//dcuA//hybB//modB//fabD//hyfF//dgcZ//rybA//gapA//malI//tyrP//cpxA//hemL//manX//fimE//casE//thiQ//hyaA//fadE//narI//trpD//ycjG//flgK//hybF//yfdE//yaiW//entC//allC//phnO//cysI//dsdC//grcA//uspD//pagP//xylH//ybjN//dctA//fadE//yibQ//yhjA//gspJ//fhuA//uspD//ulaG//gspJ//ilvC//yjiY//
PhoP_neg	gatC//cysC//mzrA//flgN//norR//glpF//yhdX//mdtB//ydhW//lrp//hns//
PhoP_pos	paaI//dsbC//fliC//idnK//ftsZ//metC//gutM//xylG//tdcE//nirC//kdpF//hisQ//hemL//dinJ//fepA//rhaR//idnK//argT//ubiX//ybfN//mltF//dsdC//mraZ//glcG//lldP//asr//ybhG//fixB//ecpR//manY//moeB//uspA//acnB//ydhT//polA//tbpA//sdhA//carA//murI//paaJ//glk//mazE//fixB//glpD//zntA//dgcC//malY//mcbA//
PrpR_neg	eno//
PrpR_pos	iclR//fliI//ygeA//rdoA//
PspF_neg	mazE//
PspF_pos	speB//ssb//glpT//gcvH//aroM//fliP//
PurR_neg	ihfA//nanK//cusS//creA//gspJ//arsR//yccJ//nikA//hybB//purM//glpB//pspA//entS//modB//pflB//dsbA//argD//nfuA//ccmD//fruA//sufB//nrfB//flgH//cydB//nrdI//glpD//csgG//ihfA//yidL//yibQ//dsdC//
PutA_neg	yhbS//caiD//
PuuR_neg	higB//ygeA//aroP//ccmH//yidQ//purN//nadB//
QseB_pos	rpiR//ygeH//leuO//sbmA//
RbsR_neg	leuD//yebG//sgbE//mzrA//ycjY//pheT//yjjQ//gor//
RbsR_pos	polA//
RcdA_neg	ccmE//patD//
RcdA_pos	galP//agaV//lhgO//cysC//oppD//pspG//recB//
RclR_pos	leuC//fucP//potH//
RcnR_neg	ftsW//feoC//hycF//
RcsAB_neg	fliL//dctR//dkgA//ruvA//rpmI//alaS//
RcsAB_pos	malQ//glcG//hypB//dgcC//uidA//napH//uspE//gntP//ydiV//hyfI//
RcsB-BglJ_pos	yegH//garD//ahpF//glmU//bolA//glxR//metK//lacZ//trpL//paaI//entA//ynbA//mngA//glnP//cueO//pspB//
RcsB_neg	aspA//ydhY//
RcsB_pos	rbsA//phoA//isrC//galP//lpxC//fpr//ogt//gapA//yqjH//zraP//oppF//fixA//entS//mzrA//caiC//ddlB//hyaF//emrY//serA//alsA//trpC//accC//nuoL//
RelB-RelE_neg	csgA//fdhF//zraP//
RelB_neg	hcp//mhpD//ynfH//
RhaR_pos	marR//putP//
RhaS_pos	micF//napA//fadJ//ptsI//ftsW//fruA//
Rob_neg	murQ//
Rob_pos	talA//casB//fepB//hyaD//aspA//glcA//cpxR//ybbW//add//ascB//mraY//mhpB//ascB//dinF//gadW//ulaE//fepB//phoA//galP//pheT//yhjX//rcsA//rarA//fes//sucB//
RstA_neg	yqhD//deoC//ubiA//gyrA//gspG//
RstA_pos	ygaC//idnO//rarA//ompT//argR//
RtcR_pos	rffC//tsgA//
RutR_neg	dhaL//tisB//metJ//lsrD//infB//fes//hisJ//dcuR//yciE//prpE//zinT//araA//pncB//pspC//fliM//
RutR_pos	fecA//yhbE//
SdiA_neg	entH//cdd//pdeR//
SdiA_pos	tam//lacA//lhgO//
SgrR_neg	yhdW//hyaA//aceB//cysK//torD//
SgrR_pos	hisP//cysB//ascB//grcA//
SlyA_pos	ymgC//
SoxR_neg	gnd//
SoxR_pos	fecE//efeU_1//
SoxS_neg	grxA//fadI//
SoxS_pos	moeA//norW//borD//speB//agaR//tam//eda//fucU//lsrK//argP//nanK//gltB//bglF//infB//dpiA//kbaZ//tsx//lhgO//pdhR//pflB//zwf//wza//nimR//puuD//emrB//csrB//moaB//cheA//rseA//ybdN//asr//ldtB//gltK//hipB//gatY//casE//hybB//gadA//
StpA_neg	deoA//phnH//omrA//flgD//sucB//dinF//zinT//
SutR_neg	fliH//hokE//pepA//fdnG//cynX//
SutR_pos	pspD//
TdcA_pos	aroM//grxA//rhaR//allB//cusS//acnA//baeS//
TdcR_pos	ppsA//treC//yegR//tauB//yhjA//hyfC//sgrS//
TorR_neg	ilvC//gspE//lrhA//
TorR_pos	rnlB//rseB//hemH//fadH//idnT//allS//cydC//astE//srlB//
TreR_neg	yegR//lldP//
TrpR_neg	gspL//uxaB//mnmG//ygiZ//trpC//nrdA//hybB//leuL//icd//cysI//allB//napB//
TyrR_neg	gpmA//yjbE//gspH//pyrD//glcG//ulaA//fadI//pheS//casE//fhuB//
TyrR_pos	nfuA//fepE//artJ//
UhpA_pos	yjbH//
UidR_neg	xapB//cysN//mazE//manZ//
UlaR_neg	malQ//ftsQ//cysG//fdnI//phoB//yciF//lgoR//
UvrY_pos	fadE//rplU//nanA//ddpC//dpiB//
UxuR_neg	yeiL//rob//fabD//deoC//purN//ttdB//ytfE//fur//metH//
XapR_pos	glpD//allC//
XylR_neg	frdB//
XylR_pos	borD//flgE//nuoK//yidQ//iraP//astB//
YdeO_neg	fabA//lsrR//
YdeO_pos	malZ//recX//moaA//hyfF//malM//rutE//cusF//purR//ppc//rutF//gadE//ascB//ubiX//cynT//fepG//recX//xylH//rutC//fiu//
YedW_neg	lamB//ascF//uvrD//yhdY//pepD//
YedW_pos	lldP//wzc//prpB//pstA//sdhC//mtlD//yafN//
YefM-YoeB_neg	yiiS//galE//
YefM_neg	kbaY//nuoA//
YehT_pos	ompN//
YeiL_pos	flgA//
YiaJ_neg	fdnG//mazE//hcaB//oppA//yfiR//hisP//betT//ppsA//gatZ//entF//
YjjQ_neg	yfdV//cysM//fadE//ecpA//aroF//dnaG//obgE//hns//narX//lexA//
YpdB_pos	znuA//
YqhC_pos	cvpA//slp//
YqjI_neg	yeiB//yhbS//
ZntR_pos	astD//
ZraR_pos	fliR//cysC//ydeI//
Zur_neg	wzc//gspM//ubiC//sgbH//cpxA//rob//
