#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	aroH//mcbA//
CsgD_neg	fliI//ariR//murC//murE//wcaA//luxS//ugpQ//mlrA//ubiC//casA//casD//yjhB//cspI//ydeI//waaH//
CsgD_pos	sufA//agaB//bolA//mhpC//efeU_2//flgH//ecpR//frdA//glgA//prpC//nmpC//glpD//bioB//
CsiR_neg	fepD//malQ//mdtF//ribA//pspA//
CspA_pos	luxS//gloA//
CueR_neg	puuC//nrdD//stpA//ldtC//ygbK//
CueR_pos	fldA//flgJ//
CusR_pos	envC//relE//metC//recF//sdhB//rbsD//ppiA//dmsB//bolA//leuO//ulaB//pheS//
CynR_neg	puuR//
CynR_pos	puuP//feaB//creC//
CysB_neg	accC//evgA//yhjA//trxC//zraS//manX//znuC//
CysB_pos	uxuR//dcuA//rpsO//phoQ//malM//mprA//gltL//rtcB//rhaS//rbsC//treR//creC//psiF//emrA//bioD//phnM//pgaD//fepG//gudP//galE//galT//treB//tauA//emrY//ccmE//
CytR_neg	glnP//waaY//tauB//nrfE//osmC//gntK//fbaB//malF//moaE//ccmC//yncE//yfiB//fepG//
Dan_pos	appB//malS//manY//flgA//
DcuR_pos	gatC//waaZ//puuE//hycB//yagK//hycB//mtlA//ybiT//rffG//
DeoR_neg	hybD//paaK//aroM//pepA//norR//gspJ//
DhaR_neg	pagP//
DhaR_pos	paaE//araE//ydbD//
DicA_neg	puuA//fucA//ydiV//narJ//fucU//ygiA//cysE//fhuC//
DinJ-YafQ_neg	glcC//aroM//alsB//
DnaA_neg	phnH//hybO//ykiA//tfaQ//tdcG//mngB//ydbK//cadC//gspI//entS//phnC//
DnaA_pos	nuoM//uof//sra//nuoB//caiF//nuoK//hyi//
DpiA_neg	lsrA//
DpiA_pos	lon//yciF//rpmA//dsdX//nhaR//dnaG//recB//psd//sgrR//cysP//
DsdC_neg	fruA//
DsdC_pos	exbD//ulaC//
EbgR_neg	hyi//hcaB//
EnvR_neg	rstB//acrR//
EnvY_pos	flgN//fbaB//
EvgA_pos	ugpQ//lpxC//cdaR//ddpA//hokE//araG//purR//srlD//lsrF//fliA//ymjC//yhcH//cadC//kdpA//relA//napG//uidB//metF//carB//
ExuR_neg	argB//sdhC//paaC//glpA//nuoN//gatC//acrD//citC//phnF//
FabR_neg	ddpA//araH//
FadR_neg	yqhG//sufE//srlD//cysG//fur//lysC//sucD//caiF//nuoH//mtlD//rcnB//
FadR_pos	recB//tsgA//torD//glpK//gspK//bioF//yciE//pspD//ydcT//fabH//baeS//cecR//
FeaR_pos	malM//mcbA//
FhlA_pos	mzrA//ttdA//oxc//icd//ilvY//bioC//narG//fliP//srlE//gspK//hokE//pdhR//nagC//caiD//hns//ariR//sdhD//exbB//marB//borD//nirB//metC//rimP//ycjY//rclC//dnaG//bamE//acnB//ldtD//ynbD//
FlhDC_neg	leuD//acrB//yiaK//rutC//
FlhDC_pos	yegZ//nanS//napF//gspC//aceE//garL//galP//gadX//mgrR//fliO//mhpC//flhA//hyfA//fumB//uxuA//nfo//alsC//flu//mazG//gltD//yeaE//add//csrB//cydC//ftsA//frdD//yafN//tdcC//glcC//yoeB//paaA//nikR//deoB//phnG//phnF//gatZ//feoC//idnO//gspF//znuB//rcnR//uxuB//gcvB//rtcB//ptsH//agaD//nrdD//ubiC//cyoA//dctA//ydiU//caiA//oxyR//mhpA//nuoI//acrR//araG//nanM//ydiU//dinI//yhbE//moeA//ldtD//accD//nikE//guaA//phnK//rclB//bglG//poxB//mglA//pspC//pyrD//bdm//nirB//atoB//paaZ//fabZ//
FliZ_neg	pgpC//purH//modC//pepD//aroP//yqjA//poxB//alaC//phnD//lpxA//moaE//ybhL//cydB//ttdA//recF//csgF//umpH//mdtB//mdtE//crp//rfe//
FucR_pos	ynbC//malI//gcvP//moaB//asnB//ybbY//gudD//
Fur_neg	ydeN//glcC//acnB//yeaG//htpG//yaiA//phoU//cysW//lsrK//ybhS//leuO//casE//potI//acrB//phnM//ytfE//creB//glpF//flhA//gltJ//hisM//glnD//fliJ//gor//garD//rimP//rnlB//patA//gabT//gudP//araD//agaV//nfsA//nuoC//appB//cvpA//recA//hyfC//accB//chbR//bdcA//hycB//sfsB//yiaK//chbR//cyoB//agaI//torA//kbaZ//murG//gadC//yiaL//phoP//pncB//atoA//gatC//ftsZ//metR//prpE//metB//ccmH//phoU//argF//aceB//uxaC//ompT//rbsR//yqjH//hyfB//paaJ//znuA//pqiA//nuoK//ubiA//xylB//yegH//tnaC//ydfD//dhaR//leuD//ptrA//pgaB//acrB//hdeD//htpG//ldtD//yaiA//nac//cspD//iscU//nrfF//bolA//seqA//ulaA//nrdA//nagE//nuoC//yafO//ynbC//cusB//potH//manX//polB//nuoA//rbsD//flgD//lhgO//yneM//ycjX//thiP//fhuD//hcr//ybhR//hycI//safA//
Fur_pos	bioD//alsB//erpA//metN//ybdN//malF//ahpC//fliP//flhD//nuoB//insD//fruK//recD//rprA//glnB//fldB//ppc//caiT//dgcC//cheW//artM//
GadE-RcsB_pos	prpB//waaY//cysG//srlA//tauD//fecI//adiC//phnI//crr//
GadE_pos	sra//dhaK//recA//erpA//glpX//dapD//yjjZ//metK//fecD//yecR//evgA//fabA//malQ//yhhY//feaR//ycgR//nrdE//sucB//fliN//mscM//allB//purN//ybiT//ybbY//torD//allA//dsdA//flgM//dmsC//
GadW_neg	astD//dinF//rpiB//flgH//gspF//gadB//hybA//betI//adhE//hyfA//aspA//
GadW_pos	emrY//fliS//yiaO//idnK//fldB//yncE//purR//ogt//mazE//prs//purE//
GadX_neg	yjbG//phnD//yafP//pstB//glpX//oppF//
GadX_pos	ydfE//hyaA//sgbU//csiD//ugpE//eda//ftsA//cbl//ihfA//folA//nirC//ydjM//araA//fdnH//galE//fadM//mioC//prpR//rpoE//rhaD//pgaB//adhE//rhaT//gpmM//ulaE//ttdA//ftsA//
GalR_neg	nfsA//ssuC//nikC//chiP//nikB//putA//accD//tolC//nrdH//potF//
GalR_pos	pgk//potH//araB//iscR//
GalS_neg	codB//ygbK//potF//recA//lamB//qseB//nrfF//yebG//arsB//rplT//
GalS_pos	fabZ//hyi//ddpC//idnK//
GatR_neg	ykgO//wecE//polA//hycB//nikD//argG//
GcvA_neg	csgF//fabI//garD//yiaJ//
GcvA_pos	ftsL//tdcC//fabD//artI//
GlcC_neg	garP//
GlcC_pos	yjhC//chiP//nrfG//ttdR//fhuB//fumB//
GlpR_neg	prpC//bioC//casE//murF//rhaT//gatC//gadF//srlE//ybaS//
GlrR_pos	aroG//phnI//trpD//feoC//phnC//
GntR_neg	betB//idnT//rpoH//ydcT//mngR//ubiX//fliF//gnd//glmU//ubiX//mtlD//astE//
GutM_pos	murP//tnaA//mhpB//cysH//osmC//exbB//melA//
GutR_neg	cysK//fau//rutR//fecR//fabA//csgB//fecI//
HU_neg	paaX//mntS//oxyR//caiF//nuoM//flhC//patD//phoA//
HU_pos	mtlR//
HcaR_neg	prpD//
HcaR_pos	ynfF//rob//araC//safA//gadF//
HdfR_neg	glpX//citC//
HdfR_pos	eno//fldA//malX//
HigA_neg	mhpB//creB//
HigB-HigA_neg	lrp//nuoH//
HipAB_neg	ldtC//flgA//cyaR//fliH//pqiB//
HipB_neg	nanE//yegH//ydhY//caiF//uhpT//yecR//
HyfR_pos	cysK//flgK//sdhB//fucO//osmB//cusS//dmsB//nagC//nikA//yagK//pagP//hypC//
HypT_neg	oxyR//ssuD//hyfD//ldtC//purA//
HypT_pos	hyaA//nikC//nuoN//cysI//yccT//nanS//pgpC//hycG//
IclR_neg	cspI//oxyS//lsrC//pykF//
IdnR_neg	rstB//ppiA//
IdnR_pos	ynfF//murE//mpl//sfsB//flgL//
IlvY_neg	bacA//
IlvY_pos	glnA//
IscR_neg	lldP//lysR//citC//nrdD//yhbS//kdpB//gspK//fliL//mdtA//lacY//yqhG//hycB//uspD//cysB//hycE//cusR//tdcD//trpA//dkgA//entC//intQ//
IscR_pos	yjhC//yhiD//fixB//yhbT//hypC//hdeD//ybhR//recB//ppiA//uvrB//ubiX//
KdgR_neg	thiQ//puuB//
KdpE_pos	kbaZ//ydhW//ascB//glyA//
LacI_neg	hycA//nikD//rffT//
LeuO_neg	yfdV//ydbK//glcB//
LeuO_pos	prpR//yciX//glcD//fiu//mpl//tdcC//hemL//wecB//fau//cadB//prs//fixX//yciE//recC//uvrY//dnaN//flgB//dapD//
LexA_neg	alaC//lpd//ybhF//gltK//garR//mgtL//hybG//cas2//csgD//hdeB//hycD//iscA//exbD//hemH//tolC//fhuE//lrhA//yeaD//argO//gcvT//chbB//tyrA//yjiY//nimT//norW//fepB//yedX//glpF//pflB//idnT//slp//mraZ//garP//argO//atoA//prpR//hyfJ//citF//nrfB//mdtC//deoC//mnmG//ldtD//rpmI//frc//rutF//pnp//fliM//csgE//dinF//appY//chbB//hokE//nuoL//hybA//gltB//fadB//chbG//fadI//
LldR_neg	cynR//ybbW//uvrC//
LldR_pos	garD//pspE//adiC//
LrhA_neg	torR//gltB//
LrhA_pos	yjhC//dcuR//
LsrR_neg	yeaE//nagC//uvrY//arsB//exuR//glgP//gltB//edd//glpF//
LysR_neg	trpB//
LysR_pos	eno//
MalI_neg	nrfB//folA//xylF//
MalT_pos	dcuA//flgN//ibaG//bglG//paaE//ccmB//ebgA//phoP//caiT//fepA//
MarA_neg	ptsH//rbsC//metB//ugpE//isrC//kbaY//ung//
MarA_pos	purM//dcuD//yagK//dgcC//cusC//ptrA//artP//srlB//ppc//puuB//argI//sodA//envC//hemL//napC//tktB//gloA//rplT//atoB//ahpF//napD//pspE//nanM//phnO//yjhB//phoQ//yibQ//entC//hyfC//phnG//ldtC//
MarR_neg	mdh//yjhC//crl//
MatA_neg	torD//hokE//ompW//citX//fecC//phoB//
MatA_pos	ybjG//degP//
MazE-MazF_neg	fabG//rbsK//rutF//
MazE_neg	feoB//recC//hybF//
McbR_neg	ydhV//
McbR_pos	mraY//mpaA//gntU//
MelR_neg	cspD//aroF//tdcE//
MelR_pos	gutM//rhaT//metB//
MetJ_neg	purK//yjiY//cdd//guaB//sbmA//tsx//nanM//pdeL//pqiA//gntX//agaS//putP//gabP//dsbC//dinI//
MetR_neg	rbsA//fnr//
MetR_pos	flgM//mhpC//flu//fadA//
MhpR_pos	mdtE//yhbT//emrK//ulaB//murP//pnp//
Mlc_neg	hipA//ygaC//cas1//creB//allS//psiE//gadX//puuE//metC//aroF//
MlrA_pos	marA//fadM//dctR//yeaE//yeaH//hybO//prpE//accD//arsC//dicB//
MngR_neg	aspA//ydiV//fadB//
MntR_neg	dhaK//rplT//mhpF//mngB//
MntR_pos	hypD//
ModE_neg	srlE//gyrA//recA//nuoJ//gcl//nikC//ynjI//cpxP//garD//galK//rclC//glmS//nemA//mhpT//yncE//
ModE_pos	ybfE//ddpX//argO//zntA//lsrK//thrS//nrfD//artI//tyrA//fpr//ydbD//carA//mgtA//ahpC//rsmH//ubiC//fadL//nikD//dcuA//idnR//fabI//lyxK//yfiB//lysC//ecpA//dcuD//modB//aceE//artI//caiC//ydfN//
MprA_neg	bamE//focB//paaB//yjbE//hcaR//rbsB//
MqsA_neg	adhE//pqiB//aceA//trpL//mprA//phnJ//pspA//xapB//
MraZ_neg	lldD//inaA//ccmG//yhdZ//lpd//eda//fliN//malP//recA//mazE//fruK//ddpD//malP//fliQ//pgaC//tfaQ//flgF//
MtlR_neg	dtpA//waaH//metQ//
MurR_neg	mgrR//yagK//nrdF//
MurR_pos	flgB//
Nac_neg	gutQ//pfkA//atoE//cysA//hipB//yjhB//nikB//nlpA//sufS//
Nac_pos	carB//nirB//rseB//ygeH//fecB//nikC//frdC//yhcH//ydfN//sfsB//pgk//gadY//
NadR_neg	mtlR//qseB//rhaS//puuC//
NagC_neg	fliI//prpC//ddpX//ybfE//emrA//yhjA//mzrA//dacC//hyfJ//decR//ada//yfiB//galP//cynR//fadJ//alsC//ybbW//paaC//yjiY//phnN//glmS//ttdR//gadW//torC//truB//cpxR//aidB//appY//pepD//cirA//gltK//leuL//ryhB//
NagC_pos	oppF//ybhS//gabD//
NanR_neg	nanM//ynjI//sulA//wcaB//appA//yneM//artQ//yegH//uof//bolA//
NanR_pos	dsrA//
NarL_neg	gspK//phoP//hflD//sufS//gudD//ybbY//gfcA//yciE//hcaE//fhuE//puuD//aceB//evgS//ugpE//srlA//flgC//metR//phnG//rpoS//cyoD//csiD//torR//purN//gatC//galT//glgB//cysP//oppC//glmS//aroF//dcuA//zraS//grxD//yjeV//fepB//cysE//gapA//ydhU//relE//yccT//xapB//purL//yeaE//torR//bioB//alaS//nemR//talA//csiD//malE//allC//fecA//rffH//ygiZ//ugpQ//araC//hybC//pdeH//asnC//sutR//oppA//gltL//yeaG//paaY//ydhX//bioD//gntK//yedX//ycjY//mdtA//flu//nikD//lpxD//cysI//argT//iscA//nfsA//pyrD//dps//glnQ//ydcV//rimP//fixX//ybhG//pgpC//mntH//gatZ//
NarL_pos	nrdI//gspE//ybhS//dhaK//uvrC//creD//yneM//ynbA//ydfE//gspD//ihfA//sufA//malF//fliN//mcbA//dhaM//sufA//nikE//znuB//ddpC//micF//argA//sbmA//cysB//sfsB//purL//thiP//dapD//glnK//add//glmY//nrdF//mhpF//murI//sfsB//yhcH//putA//cysE//ycjF//yhdX//araE//dicB//modB//
NarP_neg	ftsZ//glmU//dgcN//idnD//ccmF//tbpA//rutG//hycG//hypE//hcaB//rbsK//sroA//mqsA//appX//ftsZ//soxR//ykgM//tsx//trpL//tonB//yciG//glcB//malM//norW//wecB//evgS//xylG//narI//ulaE//ftnB//glyA//yebE//mqsR//
NarP_pos	fadA//ynfG//sufB//dinB//gspF//nanS//nadA//rpsU//ydbD//hcaF//exbD//rhaT//putP//idnT//tdcC//argT//exuT//malS//dinB//metH//cysD//metI//ftnB//guaA//ykgO//hisP//rbfA//argB//uvrY//fliO//sodB//tdcB//
NemR_neg	hybA//appY//metA//
NhaR_pos	dicB//nrfC//ttdR//csgE//nanK//cusC//fliG//
NikR_neg	yjjQ//rprA//fixB//frdA//ada//infC//
NimR_neg	srlA//napF//
NorR_neg	mdtA//
NorR_pos	csgG//oppC//
NrdR_neg	gcvA//cusC//fepC//bglB//mazE//sbmC//atoD//malP//glmY//
NsrR_neg	paaK//nrfA//galT//iscU//ybhL//flhA//betB//artQ//moaE//malI//purA//gntT//ygbK//allC//chiP//purE//gutQ//fucP//bioC//lysA//ftsA//gabT//gntT//pdeL//pgaB//ybhG//tyrR//ygiA//bglG//melB//glcF//zraP//molR_1//galS//gabP//dicB//argG//dpiA//sdhA//gatD//uvrA//yqjI//argE//glcE//nrdG//ompF//nfsA//ugpC//uspE//yccA//inaA//flgN//symE//hmp//betT//yiaJ//rarA//feoC//nfuA//appC//dapD//tfaQ//fimE//nanK//gspG//artJ//argR//citG//ompN//ttdB//pstA//pncB//metQ//ydhT//qseC//argR//recD//yhhY//rcnB//sbcD//hipA//hypD//glpF//
NtrC_neg	putA//argG//pspG//argO//yiaO//murP//
NtrC_pos	malZ//yfdX//ybiT//amtB//fhuF//yjjZ//arsR//modA//araH//pepA//yidL//fumB//cheW//putP//fadA//ugpC//mcbA//soxR//yhdY//flgA//atoA//fepC//aroF//pgk//acrR//dinQ//cysH//uxuA//paaB//rimK//ydcU//metN//tisB//napH//uvrD//fucA//sra//argP//napG//ybfN//pflB//relE//nmpC//metC//glgA//cbl//mraY//aidB//bglJ//
OmpR_neg	ytfE//pqiA//melB//atoD//nuoF//nupC//argC//yiiS//iscR//fumC//ubiC//yjbE//
OmpR_pos	chbC//yccT//flgK//deoA//nuoH//sdhD//murF//hyfD//hybC//nuoA//
OxyR_neg	xylF//aspC//aroH//glpA//allE//ptsG//ccmF//yeaD//manZ//arsB//flhD//glgP//
OxyR_pos	yjjQ//rhaD//flhB//cueO//cusS//ynfG//yciX//feaB//potF//fruK//araH//gatY//dgcZ//artM//marA//omrA//cysI//aldA//yhdZ//ymgA//xapA//ydfW//
PaaX_neg	ynjI//cysP//cynT//pgm//puuR//sbmC//fixA//prpD//higB//dmsA//entB//mraZ//sgbU//mzrA//
PdeL_pos	allC//
PdhR_neg	nmpC//phnE_1//aidB//hdeD//murD//fadI//melR//sbmC//nanS//yhdY//carB//yncE//chbB//yjbF//fucK//puuP//fhuE//emrA//tyrP//caiA//sdhA//sodB//ccmA//dpiA//fadR//sutR//nikC//ybhR//exbD//thiQ//fliQ//bamE//rffM//glnA//hyfB//fruA//
PdhR_pos	fecB//baeS//tdcC//acrR//skp//
PepA_neg	allB//safA//feaR//
PgrR_neg	dinJ//fabA//fadH//aroP//pstS//gadB//hycG//ulaD//
PhoB_neg	hycC//adiA//nhaA//moaE//yjbF//lsrF//gspE//ulaF//trpD//pspF//mpl//mdtF//
PhoB_pos	aceF//ymgA//murF//nuoI//ung//aceF//marR//yciX//dgcC//tdcA//rpiB//leuA//cysD//fucR//ada//nemR//kdpB//cysP//rimP//xylB//hipA//nikA//rybA//ompW//glpC//cpxR//rarA//lamB//frdB//nemR//ynbA//yaiW//ihfA//cydB//recB//ahpC//rpoD//wcaB//gabT//hdeB//ldtD//aldA//wza//qseC//hcaB//recC//ada//nikC//agaI//qseB//yciE//ssrS//gcl//
PhoP_neg	hypF//ebgA//yeiL//hisJ//rbsD//xylH//rutG//decR//phoA//yjbH//fliF//
PhoP_pos	csiD//rhaD//araH//rutD//ydeI//yafP//yafP//leuL//ppiA//dsdX//tsgA//puuA//sdhA//ppiD//ugpE//moaC//pfkA//rhaB//udp//gadB//atoE//recN//tam//iraP//ydeP//ydeI//ynbD//creA//zraS//malM//argB//fecI//fliA//pstS//galE//hyaE//gntT//yaiA//rpoD//napD//glcF//caiC//acrR//gcl//focA//entC//yhiM//glnH//
PrpR_neg	ycjY//
PrpR_pos	prpE//ugpQ//ihfA//fruK//
PspF_neg	mglB//
PspF_pos	gltI//recX//glmY//copA//cra//entB//
PurR_neg	yqhG//emrB//nagC//dinI//marR//rimK//tomB//entE//artP//astA//recA//ygiA//xylR//tauD//hcp//nupG//mcbA//ychF//hcaD//fadA//phoP//nrdA//higB//wecB//pck//nanE//fabG//tdcG//cvpA//lsrF//borD//
PutA_neg	casA//cspI//
PuuR_neg	ccmF//recA//fepE//cysA//ilvY//ydcV//srlA//
QseB_pos	cusS//tsr//phoP//dcuS//
RbsR_neg	lolA//fur//araE//ldtB//phoU//galS//moeB//lpxD//
RbsR_pos	aceA//
RcdA_neg	glyA//cynX//
RcdA_pos	zraS//slt//tyrA//fecE//acrA//uvrD//yafP//
RclR_pos	add//agaC//hcaE//
RcnR_neg	flgF//aceF//uidR//
RcsAB_neg	nanK//osmC//cadC//fliK//flgK//galM//
RcsAB_pos	nirD//casD//yiaL//hyaC//ppc//mdtD//idnK//ykgO//lon//tyrB//
RcsB-BglJ_pos	cysM//flgF//erpA//atoA//baeR//glnB//kdpC//ybjC//creA//lldD//metA//sbmC//yfbR//gntX//sgbE//cpxQ//
RcsB_neg	rpoE//mgtL//
RcsB_pos	copA//gspM//iscR//chbF//garL//rutR//agaV//pgaD//treB//lacA//rpoD//aroP//psiE//mscM//ynjI//cysP//rbsC//argA//iclR//leuA//cadA//mhpD//glxR//
RelB-RelE_neg	glxK//flgI//moeA//
RelB_neg	yqjA//rpoE//hisM//
RhaR_pos	mcbA//moeB//
RhaS_pos	purR//rstA//pncB//wecE//fau//flgC//
Rob_neg	purD//
Rob_pos	fliP//phoE//lexA//patD//omrA//cspD//mlrA//uidA//rimK//sgrS//hypA//napD//tdcF//flgI//spy//torR//paaI//kdpC//uvrB//ymjC//trpC//sdhA//fliH//yjbH//fecR//
RstA_neg	mlc//ygbK//rtcA//frc//cpxR//
RstA_pos	slp//tfaQ//napA//rcnB//nhaR//
RtcR_pos	rutA//puuE//
RutR_neg	tsr//cysG//yrbL//cyoD//gcvP//araC//ccmC//galP//infC//moaA//xylF//gadW//csgE//ybfE//tauA//
RutR_pos	yccJ//fadR//
SdiA_neg	glcD//ycdZ//hokD//
SdiA_pos	ybhF//dnaA//rbfA//
SgrR_neg	ilvC//pyrD//sucD//lrp//argA//
SgrR_pos	nadB//murD//pgaC//flgI//
SlyA_pos	baeS//
SoxR_neg	cvpA//
SoxR_pos	glcD//creD//
SoxS_neg	fecB//tdcF//
SoxS_pos	gadC//rcsA//hyaA//trxC//pspE//hybG//yqhG//manX//dicB//cspE//dicC//ssuC//pdeL//mscM//cusR//narI//ribA//rffH//adiA//nuoM//pspA//trxC//kdpB//nac//puuA//ydhX//narL//ydcS//leuA//malE//aspC//yidL//creA//cas2//hcaE//glpB//ydhX//mntP//
StpA_neg	napA//phnL//hmp//pdeL//prpD//pdeL//dinD//
SutR_neg	tdcB//ycdZ//prpD//purF//nanK//
SutR_pos	cydC//
TdcA_pos	lsrC//lysP//artP//gspF//xylB//lpxD//pncB//
TdcR_pos	pgpC//aroH//alsA//katE//dinG//insK//glxR//
TorR_neg	micF//hypC//gudD//
TorR_pos	uspE//puuB//iscA//yqhG//pagP//cra//uspA//hyfA//uvrD//
TreR_neg	fadE//phoE//
TrpR_neg	astD//glpQ//ybbW//lldP//cusB//astE//cysG//fliP//emrA//nfsB//isrC//rbsB//
TyrR_neg	alsC//gntU//flgB//ftsL//puuR//tauB//lexA//fabI//citX//gutM//
TyrR_pos	ihfA//puuC//glmY//
UhpA_pos	hisM//
UidR_neg	ygiB//csgC//cecR//pheM//
UlaR_neg	sucC//mltF//rpmI//cysI//eda//ddpB//fixA//
UvrY_pos	tauB//pstS//rbsC//fepC//relB//
UxuR_neg	ariR//frdA//gadY//fhuF//mscM//bioB//speA//lgoR//nagA//
XapR_pos	flgK//moaC//
XylR_neg	galK//
XylR_pos	fixX//ulaA//katE//ahpC//citF//appX//
YdeO_neg	mipA//pspF//
YdeO_pos	sutR//entD//ybjC//fliN//rpmI//yafP//ugpQ//sufA//udp//ydfW//ynjI//fumC//hslJ//phnM//gspG//manZ//ydhV//ruvA//araH//
YedW_neg	wzb//narG//trxC//narH//gltD//
YedW_pos	flgM//rhaT//alsC//flgN//fes//fucU//hcaR//
YefM-YoeB_neg	agaA//allC//
YefM_neg	fimE//puuD//
YehT_pos	lsrR//
YeiL_pos	infC//
YiaJ_neg	metE//yafP//rutC//glgA//recB//icd//hemH//yqjA//umuC//eno//
YjjQ_neg	argC//rybB//speA//rbsA//dinJ//mipA//metA//luxS//feoA//dps//
YpdB_pos	mdtE//
YqhC_pos	mntS//uvrD//
YqjI_neg	ryhB//htpG//
ZntR_pos	cysP//
ZraR_pos	srlR//gspM//ttdB//
Zur_neg	yfdV//pck//ydcS//trpB//slyB//appX//
