#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	eno//nrfG//
CysB_neg	glcC//cpxP//caiD//speA//yciE//micF//gcvB//
CysB_pos	fau//ydbK//fliO//nrfD//acnB//gspI//nikD//sgrR//fumC//sdhA//puuE//rpiB//yedX//nrdA//pfkA//torR//narI//flhC//ynfH//malG//malI//accA//ygeA//murP//betI//
CytR_neg	rbsA//ycgZ//fliJ//cyaR//hyaE//ymiA//ppiD//tolC//lsrR//insD//relA//iclR//hycG//
Dan_pos	galR//gadB//cdaR//rcnR//
DcuR_pos	caiT//creB//glcA//iclR//uxaC//fabD//bdcA//yncE//iraM//
DeoR_neg	trpD//efeU_1//ugpB//mgrB//lexA//chbA//
DhaR_neg	glpA//
DhaR_pos	gutM//fliE//cysI//
DicA_neg	glgA//cas2//yhdX//rimP//gltJ//wzzE//tdcG//ubiA//
DinJ-YafQ_neg	glmY//ppiD//ycjX//
DnaA_neg	phoH//yiaM//rpiB//sbcC//creC//wcaB//rstA//recA//cas2//purA//asnB//
DnaA_pos	ycjG//xylB//metK//rclB//yhbS//galP//bolA//
DpiA_neg	nrdD//
DpiA_pos	gpmA//mdtE//kbp//yeaH//pgm//tam//tdcA//phnG//rbsC//rnlA//
DsdC_neg	pspC//
DsdC_pos	arsC//ymgC//
EbgR_neg	melR//nuoG//
EnvR_neg	acrR//oppC//
EnvY_pos	metF//hcaF//
EvgA_pos	puuE//emrK//pgaD//ydfD//sufA//chiP//yhdW//focA//fadB//amn//artP//hybB//nikA//flhB//ompF//yidL//melR//ycgR//fur//
ExuR_neg	glcG//gabP//iscS//ydfE//csrC//gudX//wzzE//fliJ//creA//
FabR_neg	dacC//chbA//
FadR_neg	xylG//uxuA//motA//sulA//glmS//fucO//gatB//artP//argT//ydfE//hisJ//
FadR_pos	feaR//cusF//ccmG//nrfE//tsgA//fabA//fabD//mdtD//pepD//hmp//pheT//agaV//
FeaR_pos	argT//ccmD//
FhlA_pos	ybjG//rtcB//modC//dmsB//relB//deoC//fliR//ynfG//accD//glnD//inaA//prs//carB//trpR//pgk//pspA//leuD//fadE//prpB//pspF//malQ//hyaB//iscU//asnB//fepC//carA//fepB//flhD//betI//paaY//
FlhDC_neg	fabB//treR//leuL//malY//
FlhDC_pos	allA//hyfF//acrZ//yjbH//pgaB//ydeP//mlrA//caiT//uspD//idnO//ssuA//rarA//nikA//metL//envC//ydeM//argT//glcD//cysG//norW//fldA//mntH//hyfA//moaB//allA//ttdT//dgcC//gatA//tdcC//yhbT//iraP//fucO//cyoC//hcaF//rob//araJ//dhaK//ybhL//yfiB//acrD//fadI//ssuE//fabH//exuT//hha//araB//modA//nac//mprA//bioC//agaC//flhC//sufC//purR//baeR//citC//ynbD//ycjF//yccT//yhbT//chiP//ddpC//ariR//mscM//hypA//yhjC//glpB//glgX//fabH//hycE//ydfN//emrA//gadY//gntU//frdD//ygiB//agaA//micF//
FliZ_neg	gspI//cyoA//wza//nanA//melB//sbcC//mioC//mhpB//garL//glgA//yhbS//cpxP//lsrA//stpA//alsA//glgA//lysR//fdnI//ydhV//murP//malY//
FucR_pos	yefM//yidL//spy//pdeH//caiD//dmsD//hdeB//
Fur_neg	agaV//garD//rnpB//nanT//glmS//aroL//ycjG//yqhG//astB//sroA//mlc//gspJ//tadA//mdh//gntP//gcvA//nmpC//bhsA//glcC//appB//argT//gdhA//cusR//argE//mlrA//sodA//gpmM//setA//cytR//marA//oppA//oppA//cvpA//hybG//rffH//phoR//hyaE//entH//cdd//tauB//rimP//emrK//fimE//ddpC//ydhW//ftsA//lsrB//yjhC//purR//glpK//tdcD//garL//lldD//ydfH//purE//deoB//exuR//mlc//mtlD//nmpC//murP//trpD//narI//xylH//hyfB//dinD//poxB//cirA//osmY//uspD//gnd//casE//tynA//bioB//agaS//focA//patA//mraZ//nanA//rutD//narI//idnD//nhaR//hycG//sdhD//fucR//purN//creA//nmpC//garK//hemH//rpoH//hybO//ydeM//ydfH//amtB//pitB//cusC//ydfX//ariR//sucC//ompN//gadF//recC//exbD//mscM//hcr//tam//fau//ftnA//phnE_1//torR//uhpT//nemA//uidC//
Fur_pos	rutR//norW//fixB//lpd//lsrR//nrfC//ynbD//mqsA//ftsI//tisB//prpB//artQ//ahpF//flgC//yhjA//fabH//bdm//cydA//yqjA//polB//hyfH//
GadE-RcsB_pos	cysC//gcvP//hcr//gabP//wzyE//pdeR//asr//fepD//glxR//
GadE_pos	acnA//lsrB//nanA//uidB//lysA//pheS//fhuF//acrD//appX//amn//gpmA//sdhB//hypB//rcsA//ariR//metY//higA//metN//pgaB//yaiA//hycG//fbaB//glxK//glgB//thrS//ccmC//artQ//yqhG//ybfN//
GadW_neg	rcsA//asnC//cusA//ccmE//patD//rffH//gudP//idnT//nuoG//fliM//fabB//
GadW_pos	hypC//bglJ//carB//puuA//accB//pspG//ydcV//rpmA//gadE//ygeH//cyaR//
GadX_neg	hyaE//ssuC//nrdF//ybiT//yhjA//fruK//
GadX_pos	nagE//creB//cytR//fliP//osmC//hcaR//rhaD//murR//fabZ//moaC//yfiR//ftsI//sbcD//gntT//hcr//mlc//hyfH//flhD//hemL//mltF//argG//sulA//ykgO//paaB//xylH//yaiA//fruA//
GalR_neg	hycD//pheS//ynfF//pheT//uof//yidQ//dapD//argO//flgK//rimK//
GalR_pos	hcp//tnaC//hybO//uspA//
GalS_neg	purK//casD//agaR//lrhA//ftnB//cusA//hypA//gadF//hyfI//mhpC//
GalS_pos	lldP//insD//glnL//rutG//
GatR_neg	lpxC//hycB//cpxQ//ymiA//agaR//hipA//
GcvA_neg	seqA//zntA//gltB//lpd//
GcvA_pos	aroH//aroH//norV//creB//
GlcC_neg	ynfF//
GlcC_pos	ppdB//zraS//pnuC//ydfW//hyaA//fucI//
GlpR_neg	deoD//ccmB//oppD//glnP//ecpA//uvrY//narL//csrB//mdtF//
GlrR_pos	murF//mipA//cyoB//ulaD//hycD//
GntR_neg	ybjG//chbB//acrB//ddpB//serA//rpsU//ompC//phnL//rhaT//phnJ//aslB//ompC//
GutM_pos	kdpC//cysW//fabG//crp//creC//malY//tpiA//
GutR_neg	rimP//ttdB//mazF//melB//allD//fliO//yeiB//
HU_neg	phoH//galM//carA//ttdT//yciW//ulaD//uhpT//ruvA//
HU_pos	pspC//
HcaR_neg	psiF//
HcaR_pos	nanA//citG//napA//glgX//hycA//
HdfR_neg	uvrA//metC//
HdfR_pos	frdB//hdeA//sgbH//
HigA_neg	nuoA//uspD//
HigB-HigA_neg	fliQ//dnaA//
HipAB_neg	rffG//tdcD//nuoE//dhaM//yqaE//
HipB_neg	srlE//casC//ubiA//cysU//ygaC//metB//
HyfR_pos	metK//bioA//yhiD//nusA//aroM//adiC//ddpB//setA//yhcH//astE//argC//murE//
HypT_neg	moaE//lsrD//dnaA//dnaG//ulaG//
HypT_pos	fabI//alaS//nrdH//sucB//ynfG//srlE//malM//hyfA//
IclR_neg	emrY//umuD//cynS//metK//
IdnR_neg	dpiA//putP//
IdnR_pos	purD//patA//mdtE//nhaR//yiaK//
IlvY_neg	araF//
IlvY_pos	thrS//
IscR_neg	nfsB//mgtL//alkA//rpsO//citD//argA//hyaA//bdcA//artQ//yccA//tyrA//araA//nrdD//trpL//yqjA//uidB//nikC//cyoC//garR//zraR//xylF//
IscR_pos	ssuD//ydbK//yagK//flgJ//infC//nemR//manY//yccT//rpmA//mglB//sgbH//
KdgR_neg	sucC//ompT//
KdpE_pos	erpA//setA//phnE_1//alaC//
LacI_neg	tehB//cysC//ynfF//
LeuO_neg	csgB//tdcF//gltF//
LeuO_pos	adiC//cadA//aroP//phnC//yjbF//symE//nanT//hns//lsrB//ygeA//rstB//yiaJ//mlc//purE//fabZ//pgi//fliR//sutR//
LexA_neg	fabH//serA//ccmC//crl//sgbH//flgM//hycC//ulaF//rutF//hycC//kdpC//fabD//leuD//moaE//puuC//hyi//dsbC//fhlA//purC//oppF//rffH//dicB//xylA//envC//mscM//feaB//ruvA//ydcU//chbF//argF//yqhG//ptrA//prpE//wecB//motA//yqhD//nfo//tehA//uxaC//gltB//putA//eda//tyrP//mltF//tolC//fliD//nuoG//cpxR//folE//gadX//cysB//mhpC//mipA//oppA//araE//entS//ccmB//isrC//gspF//
LldR_neg	evgA//gapA//rpsU//
LldR_pos	nirB//ampC//yhcH//
LrhA_neg	potH//rpmA//
LrhA_pos	rutE//accC//
LsrR_neg	fadE//sufC//rfe//glgB//fumC//srlE//casE//yhbS//glnK//
LysR_neg	ycjG//
LysR_pos	ygiZ//
MalI_neg	malE//tyrA//bglF//
MalT_pos	chbF//rob//wrbA//allB//dinF//cspD//fabH//fepA//rsmH//napF//
MarA_neg	ugpB//ompC//betA//yeiB//phnG//glcG//napG//
MarA_pos	tdcE//pyrC//nrfA//cho//fabH//ssuA//argC//fepB//speA//uxaB//allE//paaI//yfdX//galT//fabG//fabG//ibaG//xapB//gspI//ynbA//aldA//cydB//aidB//trpR//mazE//rarA//mhpD//ppiA//glxR//ydfW//mhpD//
MarR_neg	iraM//phnL//fbaB//
MatA_neg	cas2//ygiC//fliG//appY//cysC//adhE//
MatA_pos	sdhA//yhbS//
MazE-MazF_neg	rbsB//astA//agaV//
MazE_neg	dacC//glcG//ecpA//
McbR_neg	pagP//
McbR_pos	dgcC//xylA//ynfK//
MelR_neg	glnG//rutC//lrhA//
MelR_pos	hokE//tyrA//narL//
MetJ_neg	inaA//acrD//fecD//torA//gadX//gltI//tcyJ//nuoF//flgC//mdtC//focB//gcl//ydiV//trxC//adiA//
MetR_neg	nuoH//cadC//
MetR_pos	ompW//phoA//paaZ//yidQ//
MhpR_pos	pgaD//metJ//fliE//casA//dctR//zraP//
Mlc_neg	amtB//ydcU//ftnA//narG//csgA//allE//hypD//ubiC//mpl//patA//
MlrA_pos	ygeA//allC//umpH//yciG//codA//gntP//amtB//fecI//rclC//ydbD//
MngR_neg	aldA//glpD//fepB//
MntR_neg	ymjD//tadA//lysO//flgK//
MntR_pos	allB//
ModE_neg	ptsI//bolA//fbaA//hyfH//yhbS//dhaR//asnA//fadR//nuoJ//tyrR//rffT//caiF//ybhF//mlc//truB//
ModE_pos	wcaA//hycE//mdtF//wzc//nanK//fixB//uhpT//csgE//malK//appY//uxaC//sodA//galS//phoE//mpl//pagP//wzxE//dsbA//argP//cyoB//malZ//mazG//fumB//paaG//cyoA//xylB//marR//ttdR//yhhY//gntK//agaA//
MprA_neg	cho//ssb//phoQ//speB//tnaA//glcF//
MqsA_neg	hycE//gadX//hypE//gabD//rbsR//deoC//sutR//hokE//
MraZ_neg	ccmE//ompF//lpxC//cynS//fabB//cusS//rdoA//malS//ybjN//uvrB//katE//nac//grcA//ebgC//hycF//hybE//iscU//
MtlR_neg	gntX//betA//fhuC//
MurR_neg	fabZ//gabT//fepE//
MurR_pos	yecT//
Nac_neg	alsC//nrdD//lacY//dhaM//asnC//tehB//mhpT//chbR//frdB//
Nac_pos	puuP//fdnG//fbaB//phr//yjbG//cysK//rfe//serA//pdeH//ddpD//entC//gudP//
NadR_neg	murI//acrZ//dmsD//mprA//
NagC_neg	yjjQ//stpA//wzb//yhiD//ynfH//yhdY//bioB//ompN//fadL//kdpC//dhaM//mipA//lsrA//cheA//fadB//nikB//ykgM//waaY//metB//fliL//rbsR//pdeR//adiC//paaZ//rnpB//entF//wza//fixB//yjhB//acrZ//torA//ydhV//gcvT//
NagC_pos	insK//cbl//purN//
NanR_neg	yqhD//osmB//argF//ygaC//nmpC//araG//artI//pheS//gntT//caiE//
NanR_pos	nimT//
NarL_neg	xylG//hipA//glyA//glpC//mhpC//ptsH//nuoB//ecnB//kbaZ//flgH//citD//tcyP//pheT//yafO//seqA//hyfE//allE//purK//gcl//dnaA//hybG//accB//crr//tolC//fadE//crl//metK//accD//fau//csgA//torR//dgcN//ybhL//glnK//insK//nfo//malS//sroD//fpr//tfaQ//focB//metA//fliL//ydfH//nrdI//fucR//phoQ//glcC//dctR//agaD//ykgM//feaB//gatY//nanA//yoaG//fruB//recX//ssuC//pgi//ymgC//trpR//ftsZ//ahpF//ftsK//acrD//metE//pgaA//talA//hybG//gpmA//gnd//zntA//yjjZ//pnuC//emrB//nikA//dhaM//narJ//nrfG//pgaB//malE//lpxA//frdD//crp//glcB//rsmH//fadM//
NarL_pos	napB//bioC//mhpE//fepD//prpE//hyfG//metR//mhpT//xapB//molR_1//nuoI//purH//hdeD//ymgC//borD//tfaQ//uvrA//yiiS//pstA//agaB//wzyE//fucR//ttdB//argA//fliR//dapB//dpiA//gspM//galT//ygbA//araF//phnD//glyA//sucB//cysP//csgE//csiD//ldtC//dinQ//mazF//ulaB//gadA//fabI//
NarP_neg	tpiA//recD//aceK//allB//trpA//baeS//nanE//arsR//glnK//recX//pstA//leuB//rutD//hycG//glmS//srlR//ydbK//citC//accA//dapB//cspD//fliP//yefM//treR//cyoB//caiT//artP//gcvP//purB//hslJ//nrdG//appB//glnH//
NarP_pos	ddpC//pheT//mscM//tnaA//patD//edd//potH//potF//nanS//artM//focA//rybA//argH//rpiB//yfaE//glnQ//betI//hycI//tdcF//argH//gatC//ygbA//dcuB//deoD//astB//allC//torA//rhaR//iscA//murE//fnr//gspI//
NemR_neg	ddpX//glpX//lldP//
NhaR_pos	alaC//creD//hisQ//ubiC//feaB//lsrK//nanA//
NikR_neg	ycjX//carB//nuoL//mdtA//fdnG//fecE//
NimR_neg	isrC//ydeI//
NorR_neg	alsB//
NorR_pos	citX//rprA//
NrdR_neg	malS//ugpE//glnH//nuoE//allS//dapB//mgtL//moaD//emrB//
NsrR_neg	ydiV//yiaK//prpD//tynA//xylH//ssb//glcG//murC//gadX//inaA//gltK//ccmB//ftsL//ychF//fpr//hybG//ppsA//rffG//sroA//glpB//intQ//nuoL//araG//bioD//ttdT//cadB//gspC//potF//nuoE//yhcH//cysD//bioB//insD//glpK//gutM//lolA//ppdC//fecA//tcyP//fabG//gltK//bioF//ftnA//dhaL//mdh//ygeH//atoA//ccmE//metE//ihfA//fixA//ssuD//yjbE//putA//murD//aroP//gltB//mazE//ulaB//yagK//dcuA//intQ//feaR//kdpA//rpiB//cdd//xylB//pepD//yneM//tdcA//glgA//tdcA//fucO//mhpD//ompC//bluF//fepA//paaY//ryhB//pstA//ydfD//katE//nupG//
NtrC_neg	recC//gspC//malI//cynR//dicB//puuE//
NtrC_pos	phnJ//dicB//ybdN//hokE//agaI//potH//nrdH//ssuB//mhpC//yhbT//fliS//astA//agaV//frdD//glxK//cysM//pepD//ycjX//uspA//lsrA//mazG//astA//caiT//phoQ//modB//dapD//xylH//ubiA//purN//araB//mhpF//zraR//tsgA//ppiD//emrA//tdcE//acrR//yoaG//ftsW//ybhR//fiu//gcvT//yneM//yedX//flhB//phnF//pgi//mhpE//nrdF//
OmpR_neg	fixA//yoeB//ompN//hyfA//tolC//ddpF//rhaR//accD//hyfJ//rseB//cecR//csiD//
OmpR_pos	evgS//frdD//yiaL//astC//hypF//fnr//rclC//nrdG//fumC//ygiC//
OxyR_neg	glnP//ilvC//pheT//hyfB//phnI//relB//hyaF//nuoJ//ddpB//napG//casE//grxA//
OxyR_pos	yaiW//lsrB//bioB//sufA//ydfD//flgI//hycI//relA//dsdA//nanM//cheW//ugpC//nfuA//fliQ//cyoD//lamB//mltF//bioA//tcyP//ssuE//tbpA//pdeL//
PaaX_neg	cysH//rutE//creC//prpC//ycjY//rstA//cysK//uidA//gcvP//hycI//sodA//moaC//fruB//potI//
PdeL_pos	bioC//
PdhR_neg	slp//metQ//cpxQ//ubiX//ribA//mhpA//pyrD//ydhU//adiA//crr//ccmD//garD//mdh//fadM//dcuB//rutR//nhaR//sulA//cadA//lldR//metF//yiaL//fliH//torR//tsr//uxuR//nusA//yiaJ//ppdB//asr//fliJ//polA//yciF//araC//allC//ydjM//
PdhR_pos	ydhU//yebG//talA//ygeA//metL//
PepA_neg	rbsK//fliJ//nanK//
PgrR_neg	agaB//entH//ygeA//gcvP//hyfE//lamB//srlE//aslB//
PhoB_neg	norW//ppc//slyB//baeR//metE//lsrF//ftnA//fliQ//malT//araE//xylB//flgB//
PhoB_pos	ydfX//creC//yhbT//hybG//hypE//cheW//emrY//yafO//ydeP//gfcA//mhpA//uxuB//csgB//flgM//treB//lsrB//rfe//tdcB//alsE//dhaM//trxC//cydD//leuL//motA//hdeB//paaJ//hypC//rybB//trpE//yncE//nuoE//yidQ//tnaA//crl//osmY//glcF//gor//creC//flgE//gltJ//sgrT//emrA//hyaA//glpK//soxS//ftsL//cbl//recD//cas1//erpA//leuC//nrdD//glgP//
PhoP_neg	sgrT//insD//lpxC//ahpC//rhaS//glgP//nrfB//mnmG//nrdD//acnA//cusR//
PhoP_pos	tomB//agaB//ascF//pdeH//fucO//hisP//grxA//aceK//lysC//bacA//add//higB//mhpF//ybjN//tynA//oppB//iscS//yiiS//pheM//metF//ychF//fruK//idnT//dinI//phnI//emrB//fau//ldtD//fbaA//rob//rhaS//sra//yafP//accD//yciX//cyoE//csgA//entH//speA//fliL//fecB//lexA//yebG//sucD//ydhU//potH//yqaE//purD//
PrpR_neg	yneM//
PrpR_pos	ttdB//soxS//bdcA//znuA//
PspF_neg	nimT//
PspF_pos	rffM//hyfB//grxD//yeaR//rpmA//prpD//
PurR_neg	accC//potG//yiaN//yjbE//recD//stpA//uidA//csgA//agaC//argT//uxaB//gltK//glnB//puuR//pspE//waaH//fliK//glgC//mzrA//fimE//sucA//codA//gspE//slt//higB//ascF//nanS//sucB//prpC//lysA//bioD//
PutA_neg	tsx//ulaG//
PuuR_neg	sulA//rob//cydC//metF//gadE//mnmG//gatY//
QseB_pos	ykiA//hypC//uxaB//modA//
RbsR_neg	lgoR//purM//hycH//hcaF//fldA//cho//metK//fes//
RbsR_pos	yciG//
RcdA_neg	nrdH//argF//
RcdA_pos	oxc//chbC//fadB//paaE//ndh//mipA//ygiA//
RclR_pos	speA//fadA//yjbG//
RcnR_neg	ebgC//cynT//ynfG//
RcsAB_neg	yafO//rseB//mhpE//gudX//nuoN//phnJ//
RcsAB_pos	ybjG//csgD//cadA//prs//cusC//flhC//ogt//malX//ugpC//gpmM//
RcsB-BglJ_pos	lrp//puuE//nanC//ynjI//tolC//ycjX//fliP//ybbY//mpl//umuC//pstS//cysD//gltI//paaY//recF//ddpF//
RcsB_neg	ybjN//gadB//
RcsB_pos	ttdR//hdeB//hybF//ibaG//cvpA//pgaA//omrA//gloA//tdcE//gspG//rclB//dsdC//dsdX//nmpC//dcuB//znuA//yciE//glpB//setA//purF//rpiB//hyaA//cas1//
RelB-RelE_neg	nhaA//wcaB//mdtD//
RelB_neg	yjiY//osmB//fhuF//
RhaR_pos	ttdB//oppC//
RhaS_pos	ydfD//glcB//glxR//codA//mltF//pgi//
Rob_neg	nhaR//
Rob_pos	pepA//yaiA//moeA//moeB//dpiA//citD//dgcC//gcvH//codB//tauD//hycH//zinT//pepD//glcA//lhgO//phnK//htpG//entF//glnK//recC//sdhB//pgaC//artM//leuC//sufC//
RstA_neg	crr//rutR//dsdX//zinT//gfcA//
RstA_pos	yjhC//rnpB//tktB//guaA//phnF//
RtcR_pos	metF//cysU//
RutR_neg	ydfD//gspK//ssb//hcaB//torD//nuoL//hyfG//ftsK//hyaA//flhB//rsmH//fliL//sfsB//wcaA//alkA//
RutR_pos	yjbH//guaB//
SdiA_neg	cusF//acnB//fepG//
SdiA_pos	kbaY//yhjA//mioC//
SgrR_neg	napD//ybfE//yjeV//aroG//pstS//
SgrR_pos	uidA//decR//sdhA//hyfC//
SlyA_pos	dinI//
SoxR_neg	dpiB//
SoxR_pos	galP//ssb//
SoxS_neg	yhjA//paaA//
SoxS_pos	aroL//gspM//slt//nfsB//trpA//gspK//fliS//efeU_2//deoA//ssuC//fepB//ymgC//phnJ//pheM//exbB//frc//nanA//mazE//ftsK//psd//poxB//znuC//idnD//mhpC//efeU_1//gspF//lpxA//zinT//nanC//aceF//pspG//mlrA//yeaE//yaiA//qseB//mdtC//xylG//nac//
StpA_neg	rnlA//recD//glcD//csgG//adiA//melB//hypC//
SutR_neg	malZ//rbsA//gspG//ppiD//hypF//
SutR_pos	rhaA//
TdcA_pos	psiF//amtB//glpB//bioD//speA//hcr//ybbW//
TdcR_pos	znuC//rffC//yedX//hycC//uxaA//ttdT//fliR//
TorR_neg	fadR//evgS//nuoI//
TorR_pos	mtlD//cusF//gspL//sbcD//csgF//uvrY//pdeR//csgF//gcvB//
TreR_neg	flgI//ycgZ//
TrpR_neg	gspM//gdhA//hyaA//yfbR//yibQ//napC//gspE//bolA//tbpA//uidR//gspK//rffG//
TyrR_neg	astA//rimK//ydhV//recA//fliP//alsE//ubiX//nfsB//nuoL//ynbC//
TyrR_pos	prpR//cysG//phnF//
UhpA_pos	phnM//
UidR_neg	paaF//hyfH//tdcB//crr//
UlaR_neg	ddpA//ugpA//dcuR//nuoG//rtcB//gatY//crl//
UvrY_pos	pspD//rtcA//exbD//katG//ydeI//
UxuR_neg	hdeB//metE//chbG//lysA//treB//gudD//ascF//appB//glgX//
XapR_pos	puuP//wcaB//
XylR_neg	umuC//
XylR_pos	nanC//yhjA//tomB//rimP//degP//ykiA//
YdeO_neg	rbsA//pfkA//
YdeO_pos	lysC//tauB//paaE//rybA//leuL//yjbH//mltF//chbF//glcD//nrdE//ecpR//gspM//adiA//glnD//ydiV//modA//ccmD//ynfK//cirA//
YedW_neg	insD//thiP//dsbA//citG//tolC//
YedW_pos	nemA//rseA//cadB//yccJ//gntP//cpxA//ampC//
YefM-YoeB_neg	ydfN//nohA//
YefM_neg	purB//dctA//
YehT_pos	lsrR//
YeiL_pos	ymjD//
YiaJ_neg	metC//entE//hisP//gatZ//ynjI//fepA//dhaL//ygiC//fepE//slyB//
YjjQ_neg	ydjM//paaI//purE//sufE//rclB//hisJ//hemH//chbB//tyrB//kbaZ//
YpdB_pos	yeaE//
YqhC_pos	moaA//nemR//
YqjI_neg	sra//zwf//
ZntR_pos	fadI//
ZraR_pos	marA//argE//lsrD//
Zur_neg	dsdX//pnp//yoaG//fucI//ydbD//glnQ//
