#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	mdtD//ecnB//
CreB_pos	fepD//ygaC//
CsgD_neg	pgk//agaI//fecC//aspA//hcaE//mhpC//appX//gspH//yciE//araB//ygiA//lsrR//ycgZ//ynfH//rbsA//
CsgD_pos	hybA//dmsC//flhA//fhuB//purR//fliP//yjjZ//phnE_2//nikD//infB//rbsD//ugpQ//ompC//
CsiR_neg	cydC//omrA//rplU//aceF//katE//
CspA_pos	gcvH//hisJ//
CueR_neg	metN//gspC//leuO//yciG//leuL//
CueR_pos	purN//caiE//
CusR_pos	alsC//idnT//nmpC//ecpA//aceE//nikE//pspC//pgaB//hyfI//gloA//csgD//ptsH//
CynR_neg	metF//
CynR_pos	wzc//acrA//potG//
CysB_neg	nikB//xylR//ynfF//ybhF//acrD//gabD//accA//
CysB_pos	caiC//sroD//ftnB//yeaH//psiF//gspJ//nikA//hybG//csgF//pgaB//gudD//caiE//rprA//yhbT//relA//ycgR//mdh//znuB//prpR//rhaR//metF//mngR//entS//argI//metJ//
CytR_neg	ascB//glnG//araA//ydhT//ldtB//purL//glxR//adiA//cysE//xylG//wzc//pheT//ynbB//
Dan_pos	hemL//fecE//argG//cysA//
DcuR_pos	paaA//agaC//tdcA//oppD//alkB//hisM//ybhS//decR//csiD//
DeoR_neg	galS//rseA//paaX//ugpC//mtlA//yegR//
DhaR_neg	aceB//
DhaR_pos	pgaC//adiC//rybA//
DicA_neg	fucK//fliD//metY//relE//moeA//yeiL//wzxE//ada//
DinJ-YafQ_neg	ydcU//nuoI//exuT//
DnaA_neg	aceA//pspE//grcA//yegR//torC//cadB//yfdX//metA//hyfH//gntP//aspC//
DnaA_pos	glpK//caiC//ung//glnB//ymjD//ddlB//ssb//
DpiA_neg	idnR//
DpiA_pos	yeiB//erpA//ynfE//flgJ//slp//gabT//yegZ//pdhR//ftsQ//hycE//
DsdC_neg	mraZ//
DsdC_pos	dpiB//hcaF//
EbgR_neg	yhdY//fliM//
EnvR_neg	sgrS//thrS//
EnvY_pos	galR//pagP//
EvgA_pos	metR//ycjY//gatY//flgC//lsrR//fliJ//ygdB//hflD//tyrA//ygiB//ydcU//pck//tcyP//narI//rpsU//oxyS//marA//tonB//codA//
ExuR_neg	phoE//gadF//rnlA//trpB//nuoM//ydfD//ygdB//hyfG//moaE//
FabR_neg	eda//spy//
FadR_neg	cspD//folE//hydN//ynjI//polB//thiQ//gltB//cdaR//frdA//frc//dnaA//
FadR_pos	appY//waaH//puuR//phnI//yiiS//deoA//caiB//mhpF//ybhR//acrR//rseB//allA//
FeaR_pos	hdeB//galS//
FhlA_pos	fhuC//yjbF//zraR//pdeR//nuoA//paaB//nanM//ychF//garL//argA//norW//frdC//cysN//envC//hcp//phnC//yeaD//chbR//norW//setA//nfsB//pheS//dmsD//sgbU//cyaR//hyaB//ppsA//wrbA//yeiL//yjhC//
FlhDC_neg	rob//flgM//argE//fliK//
FlhDC_pos	tonB//pstB//recB//ycjF//fimE//ccmD//yfaE//purK//ydjM//nrfA//rutF//lysR//potG//rffH//wza//yciX//gadF//omrA//yhbS//agaW//yqjH//mdtA//cydA//tehB//tauB//nimT//relA//fhuC//rutE//tam//ygdB//dinQ//yciF//csgD//metE//hyfD//rutD//torC//argB//pheS//lpxA//glk//ompF//marR//ydhV//tynA//yiiS//bglG//flgN//ygiZ//yncE//fdhF//yegZ//insD//malS//yidL//ydiV//dsdA//nrdE//ygeH//xylA//araJ//galK//nanS//entS//fliK//ydeI//hybG//gudX//ugpE//yhcH//potF//gatA//uvrY//ydhW//chbR//rnlB//safA//
FliZ_neg	ftsK//pspB//hyfF//ada//leuB//gadE//frdC//tomB//atoA//asnC//caiF//caiA//rhaS//creA//yncE//napB//entF//gspI//rpmI//pstC//glpF//
FucR_pos	rpiB//osmB//bioD//alaC//pncB//glpT//ribA//
Fur_neg	spy//ugpE//ldtD//tsx//ccmH//glgA//yciX//gspG//flu//cyoA//tyrB//tnaA//pitB//murR//fliF//glmS//araJ//pheS//rnlA//puuD//alkB//gadY//nemR//alsE//uxuA//flgJ//agaB//ptsI//aceA//moaE//ryhB//tehB//ccmD//ompW//iscA//gloA//metY//hisM//arsR//cusA//fliR//poxB//pspG//argC//glpC//rstA//aceF//phnH//alsA//fdnH//paaB//murD//cpxP//rffT//tolC//cdd//caiD//atoE//ynjI//wrbA//cynS//mdtC//dsbA//iscU//fixC//fecA//cusF//chbC//frdD//fes//glpQ//ahpC//aldA//moaC//pdeR//alsA//omrA//yiaJ//norR//phnN//gatC//argH//erpA//casE//yhdW//mgtL//ecpR//gadA//mhpB//araJ//feaB//atoD//uidB//ptsI//rplU//kdpF//glxR//paaE//yeaR//napH//csgB//tpiA//accC//nuoI//ulaG//rpoS//ftsL//srlE//ybbY//yfbR//pspF//glmS//hybF//flhA//yfdX//
Fur_pos	nanM//nuoL//ppsA//yjbH//feaR//yqaE//ttdT//xylH//fadB//mdtE//micF//rplT//hyaA//ulaC//purD//cusA//umuD//sdhD//crr//purF//gspC//
GadE-RcsB_pos	glgC//paaH//modA//decR//moeB//gadE//rbsB//pdhR//manZ//
GadE_pos	ygiB//pitB//yhdY//hycD//gspK//mglA//cecR//isrC//yafO//nuoI//fadR//nanS//yeaG//hdeD//fumB//fepB//ydbK//mtr//ftnB//bioF//hycA//decR//tomB//purK//moaA//ppdA//garK//yjbF//yiaJ//
GadW_neg	mtlA//hyfC//yccT//mhpT//gntT//yegZ//prpC//arsB//oppD//znuC//dgcZ//
GadW_pos	yqaE//znuC//rbfA//glcG//yccA//ybfE//yebG//lrhA//flhB//ubiA//puuA//
GadX_neg	treR//ssuC//ddpF//pgaC//rutG//feoB//
GadX_pos	dsdX//cydB//citC//mgrB//ybjN//nimT//yiaO//ycjF//pgaD//ddpX//sufC//appY//dcuR//thiQ//murP//flgK//cusB//metN//ydhY//ydfD//cysD//obgE//nupG//malG//ybhS//acrD//add//
GalR_neg	hmp//nanT//paaI//garK//hdeA//araG//flhD//yafO//ymiA//recD//
GalR_pos	hcaD//rob//gpmA//mqsA//
GalS_neg	speB//dapD//moaB//lpd//mioC//yafP//fhlA//lldP//citX//paaC//
GalS_pos	modA//wrbA//caiC//serA//
GatR_neg	rnpB//setA//ftsW//ybbY//hypF//sgrT//
GcvA_neg	cysH//uvrC//oppF//glcC//
GcvA_pos	recA//alsC//cydA//hyfR//
GlcC_neg	yidL//
GlcC_pos	rutB//phnL//manX//torC//phnD//yefM//
GlpR_neg	rimK//ycjG//bhsA//fecD//rsmH//katE//nrfF//norR//pgpC//
GlrR_pos	glpB//dmsC//tcyJ//dapB//oppA//
GntR_neg	nrdE//epd//yiaN//alaC//gcvP//lpxC//lsrF//sufA//yjjQ//rpmI//nfsB//fabH//
GutM_pos	accC//tdcC//purK//dgcN//rbsR//ccmB//pitB//
GutR_neg	yhbE//acnA//dinQ//rbsC//focB//ydfE//cra//
HU_neg	yqhG//rybA//ykgO//rbsB//rhaT//isrC//gnd//fliQ//
HU_pos	pck//
HcaR_neg	dpiB//
HcaR_pos	nirC//nhaA//gadY//nuoJ//arsB//
HdfR_neg	infC//gadY//
HdfR_pos	aceE//molR_1//nagA//
HigA_neg	dcuR//dsbA//
HigB-HigA_neg	wzxE//folA//
HipAB_neg	glcF//ccmD//slt//lpd//baeR//
HipB_neg	sra//ybjG//dinF//araG//allD//argH//
HyfR_pos	motA//mazF//ybhS//zraS//fdnI//csgD//pyrC//hyaA//hypD//fliE//kdpA//lysO//
HypT_neg	gabD//puuR//nrdH//bioD//lysC//
HypT_pos	fliP//gspC//cysH//yneM//csgG//paaY//fucO//tynA//
IclR_neg	cysM//yqjI//oppF//melA//
IdnR_neg	gcvP//dinQ//
IdnR_pos	xylG//yhcH//rplU//dinJ//yfdV//
IlvY_neg	hcp//
IlvY_pos	chbG//
IscR_neg	yjbE//murE//yfiR//citE//ruvB//lysR//yhdZ//leuD//acrA//csrC//ssuD//hyfE//torR//hcaC//fadE//cyoE//potG//hisP//lpxC//amtB//mntP//
IscR_pos	pgi//ugpQ//yebE//malI//emrA//ascB//fabG//zraS//fadD//mepH//ycgR//
KdgR_neg	zinT//ynjI//
KdpE_pos	purK//caiE//lldP//ilvY//
LacI_neg	ydfD//argD//rcnA//
LeuO_neg	ycjF//araG//ydeP//
LeuO_pos	gudP//evgS//nfsB//bglF//rpoS//yciW//yhbE//slyB//luxS//fepA//aceB//ubiX//psd//spy//ttdA//lysP//ygaC//prpE//
LexA_neg	uidA//dhaM//sgrR//melR//gspO//gltD//fucR//tauD//metJ//hybF//fepE//icd//moaC//ugpA//cyoD//purK//putA//chbB//malZ//ydfN//yjhC//nusA//purR//guaB//cvpA//fliZ//dgkA//sucC//rutR//gdhA//csgF//ftsA//moaB//hdeB//ulaE//mazE//asnA//uidA//purM//cysK//galR//crr//cynR//tdcD//pspF//sufA//ppdC//hns//tdcE//phnE_2//nfo//ydeI//yeaH//marA//mglC//hslJ//tauA//yafQ//yefM//
LldR_neg	nuoL//narG//puuA//
LldR_pos	ycjY//hyfB//citD//
LrhA_neg	deoC//gspE//
LrhA_pos	srlD//yhbS//
LsrR_neg	mhpC//putA//fliH//cirA//ybfN//aspA//gabD//metF//rsmH//
LysR_neg	ybaT//
LysR_pos	norW//
MalI_neg	talA//talA//tehB//
MalT_pos	ybhR//rsmH//glcF//mhpF//hcaF//uvrY//tnaA//rutB//hycF//znuB//
MarA_neg	nadB//ebgC//nhaA//aslB//sra//mntH//lysC//
MarA_pos	glgB//pgk//fliJ//araE//ymiA//metC//uxaC//znuC//phr//rclB//fabB//ymiA//tauC//idnD//ynfH//napA//ykgM//cyoB//rbsR//lexA//rpoS//waaY//zraS//ada//nrdI//arsC//ybdN//carA//ampC//flgJ//dtpA//
MarR_neg	murI//rhaB//hcaE//
MatA_neg	feoA//cyoE//araG//pstS//sbcC//ybdN//
MatA_pos	bglF//allC//
MazE-MazF_neg	xylA//phoQ//ydhX//
MazE_neg	cra//leuA//btuB//
McbR_neg	nirD//
McbR_pos	recB//yiaM//rnlA//
MelR_neg	waaZ//ydcU//dsdC//
MelR_pos	kdpA//acnB//ydeI//
MetJ_neg	fliH//wecC//ybjC//phnL//purN//sfsB//paaE//fadJ//hflD//lsrD//mgtL//yiaL//torA//ptrA//malT//
MetR_neg	rpmI//nfsA//
MetR_pos	hyfI//entC//pgaA//bioB//
MhpR_pos	umuC//metB//glcD//decR//gspK//efeU_1//
Mlc_neg	ygiC//mdtF//oppA//tauC//ulaE//ykgM//hybB//higB//ssuC//narH//
MlrA_pos	ompN//hcaE//pgi//ubiA//trpB//lpxA//alkB//tsgA//ada//ymjC//
MngR_neg	slt//hmp//hybB//
MntR_neg	ycjX//asnC//yciE//puuD//
MntR_pos	hycB//
ModE_neg	wzc//pstS//rffM//hypA//tauC//agaA//qseB//oppF//flgI//purE//fau//ppsA//symE//hycE//galT//
ModE_pos	ldtD//ccmE//hflD//insD//alsE//mtlD//rpiR//torR//nikE//ybhS//entC//hdeB//fumC//mngB//gadA//rffC//mazF//hydN//ymgA//sufC//glpT//cysU//skp//csrB//exuT//xylA//cas2//cysU//ynfH//dnaA//deoC//
MprA_neg	slt//rseC//tynA//fhuA//asr//phoH//
MqsA_neg	argH//yhbE//aceB//yecR//nohA//ykgM//cusA//oppA//
MraZ_neg	gutQ//acrB//dctR//yjjZ//narI//astD//oppA//hcaR//ppiA//arsB//fruA//tadA//ihfA//fepG//gutQ//moaD//galE//
MtlR_neg	cysW//appB//ydhW//
MurR_neg	sbmC//metB//ydbK//
MurR_pos	glnH//
Nac_neg	ydbD//fliK//gspE//fldA//nuoJ//nrdD//gpmA//fimB//deoC//
Nac_pos	nrfC//cysM//dnaG//tnaA//fliR//crr//rpsU//ogt//mscM//purF//hyfB//oppB//
NadR_neg	yrbL//phnF//mntH//dsdX//
NagC_neg	glnQ//argA//leuB//chbG//ymjD//fnr//tdcE//soxS//sulA//idnO//aslB//ydcS//ydhU//uxuB//metL//purC//cydC//sbcD//chbB//pqiA//astA//bluF//rprA//murD//phoP//phoP//kdpB//moeB//prpE//efeU_2//flhD//ynbB//cadC//
NagC_pos	ptsG//emrA//exuT//
NanR_neg	yhdX//putP//dinF//pdeL//hycF//narG//galM//betT//lpxA//yegR//
NanR_pos	cysA//
NarL_neg	lldP//bluF//nlpA//ddpF//ebgC//fadA//omrA//ynfK//mdtB//ptrA//sdhA//potF//hemH//bglG//murI//rprA//uidC//galR//nuoA//dgcN//gltD//fhuC//pstB//recF//rseA//ygiZ//gpmM//fucI//phnM//paaK//ompN//tauC//xylB//fumB//ssuA//mglB//molR_1//galK//argA//ydeM//deoB//hydN//higA//csgB//nuoF//focB//phnE_1//prpB//appY//cysH//iscR//argF//tdcA//pflB//lysR//higB//lrhA//cadB//phnO//pitB//ygeH//torA//mscM//flgM//nikD//hyfR//fliF//glgX//dinG//bluF//allA//agaA//nfuA//argG//iscU//motA//lsrF//cvpA//hcaB//moaA//fucO//fur//srlR//purA//yeiB//glcC//yjeV//
NarL_pos	hemH//ytfE//nfuA//allS//ynfG//exuT//psiE//yaiW//tdcE//slp//infB//yeaD//trpA//cynX//oppB//ddpB//flgG//ymjD//infC//umuD//mtlD//lysR//malZ//nuoK//ppiA//ompT//gntK//lon//mpaA//pgi//fhuE//dnaG//murR//evgS//pdeL//phnI//metI//yccA//metJ//zwf//qseB//ynbB//allD//
NarP_neg	borD//sfsB//yeaD//cysE//nrdD//metY//xylR//ynfG//ykiA//fliJ//fhuE//rutE//micF//fliF//arsB//ugpQ//mhpC//gabP//pspB//ydiV//treR//moaB//ulaE//sufE//fucU//rbsB//flgI//frdD//flgE//wecB//ycjG//murP//phoH//
NarP_pos	fadA//rpmA//ulaD//aroF//cydC//fruB//dtpA//mdh//dgcN//gloA//gspO//nrdE//glnL//infB//waaH//fhuB//norW//sdhD//pitB//bioF//cusC//cusC//napA//appY//paaE//glcG//prpE//csrC//rutR//yhcH//cysC//puuA//
NemR_neg	sufD//dnaG//fdnI//
NhaR_pos	sucD//purB//alsA//uxaC//tktB//bioC//bolA//
NikR_neg	pnuC//hycA//ompW//fabH//rplT//fliA//
NimR_neg	agaI//iraP//
NorR_neg	exbB//
NorR_pos	ulaD//chbF//
NrdR_neg	napC//fhlA//symE//gnd//treC//galE//ascF//phnM//yeaH//
NsrR_neg	gntK//pflB//nemR//araD//exbB//mazF//speA//puuB//napG//fhuE//slp//puuD//yeaD//torR//entE//gltI//nrdA//ubiC//dhaR//gadY//dsbA//talA//pepA//hyfH//cdd//hypD//malM//yhcH//znuB//ryhB//nuoF//gspJ//fimE//dsbC//spy//tnaB//mntS//fabI//ftsA//yciG//narH//ariR//fhlA//trpD//ydeN//sroC//tdcF//fadJ//modA//mglC//rbsB//flgG//manZ//trpD//malZ//ynbB//xylB//trpR//srlE//ung//napB//phnD//efeU_2//cspI//glpF//ubiX//flgN//cysJ//cysJ//sucB//murF//ecpA//yjhC//idnO//focB//hcaF//nrfF//insD//uspE//hcaF//rpoH//ssuB//ascF//
NtrC_neg	kbaY//allC//aroM//appC//torR//yhiD//
NtrC_pos	entB//dpiB//gatY//yiaJ//ddpA//ydeP//ddpC//rhaD//aceA//cyaR//caiA//cusR//ilvC//ccmE//gfcA//garP//gspJ//mgtL//ycjX//paaJ//malS//glnB//mntP//rcsA//cpxP//hypA//yiaO//gor//hipB//uidB//cpxQ//phnD//ddpX//betA//zwf//sulA//alkA//citC//borD//mglB//paaE//focB//hcaD//tomB//pyrC//paaB//glmY//yciW//mdtA//
OmpR_neg	mntH//trxC//dcuS//sgrT//appA//lysP//nrfB//nikB//gadF//malF//pspA//ftsK//
OmpR_pos	fixB//nmpC//mazF//rcnR//ptrA//rnlB//soxS//paaG//oppD//ydiU//
OxyR_neg	bioF//sroA//nikE//glcA//paaA//cysC//ydfD//atoA//tdcE//tcyP//uvrC//dsbG//
OxyR_pos	hipB//paaX//ubiX//purR//yciF//flu//icd//lsrF//recB//phnL//tsgA//ddlB//sgbH//insK//uspE//leuA//deoB//glk//dsbC//fdnI//tonB//gltF//
PaaX_neg	sufB//fes//dps//insD//ugpQ//gudD//nfsB//sgbU//murD//ftsQ//qseC//gspL//nimR//cheW//
PdeL_pos	sbcD//
PdhR_neg	napA//serA//symE//xylG//accB//mgtA//hyaF//pfkA//ydiU//tdcF//polA//ynbA//rnpB//hyfH//appX//pspG//mprA//crl//accB//bolA//pflB//cysP//tktB//uxuB//cytR//murG//purN//znuC//malM//fabI//rpmA//gloA//grcA//hyaB//ydeN//fhuD//
PdhR_pos	yiaK//uxuR//glnQ//lexA//gabP//
PepA_neg	nimR//lsrD//agaD//
PgrR_neg	norV//fepA//mlrA//asr//cysI//leuA//pspF//idnT//
PhoB_neg	chbR//yhcH//csgG//ycgR//chbB//dpiA//hycD//glcB//fdhF//lpxD//nanC//pdeL//
PhoB_pos	mhpD//nirB//ulaD//ccmE//tdcF//recD//yfiB//nuoK//ycjX//wzxE//alaC//gapA//lgoR//yjbG//higA//araH//bioA//casB//hdeD//yidQ//rybA//trpA//dpiB//mpl//tcyJ//gntP//ybbW//galM//argP//moaB//mdtC//dcuD//hmp//fliF//lysC//fur//manX//pspD//fliA//rclA//cysI//hycA//astB//appB//hybO//sbmA//srlB//murE//galS//sufD//phnE_1//cysJ//fhuE//
PhoP_neg	fbaA//hcp//yhjX//putP//dps//fhuE//ybfN//gabP//crl//pagP//ilvC//
PhoP_pos	slt//mhpC//purK//tdcA//argT//mpaA//bglJ//gutM//mhpF//cdd//oppC//ttdB//hcaF//gpmA//tomB//yhdW//yiaN//ccmB//yiaO//purF//glgB//soxS//fliJ//mdh//iscU//sra//rclC//araA//aroL//fliH//fadR//csgA//zinT//hyaE//yhjX//caiA//amtB//metQ//mdtF//uvrC//glmU//malZ//yhbE//yciG//yhjC//deoD//glpK//yibQ//
PrpR_neg	agaI//
PrpR_pos	potH//alsC//nirD//gadF//
PspF_neg	fhuD//
PspF_pos	rfe//ccmG//artJ//ydhV//fecC//modC//
PurR_neg	mhpD//sgrS//gcvP//rtcB//hycH//fucI//erpA//cas1//mhpC//idnT//fecI//lsrD//ppc//narG//entC//ftsQ//focA//nrdF//moeA//dctA//ybhR//fdhF//ftsI//metA//puuE//ccmA//lsrD//fiu//rbsR//ygbK//rbsD//
PutA_neg	nupC//srlE//
PuuR_neg	speA//yfaE//cusC//gcvP//agaW//ykgO//fliI//
QseB_pos	lysA//purM//nuoJ//yaiA//
RbsR_neg	ygeH//hycC//yagK//pck//pflB//fdhF//rutR//cyoC//
RbsR_pos	garL//
RcdA_neg	hyfD//dctR//
RcdA_pos	narH//ttdT//focB//fruA//tisB//trpR//mglC//
RclR_pos	ppc//puuB//paaB//
RcnR_neg	rbsK//lsrA//gspK//
RcsAB_neg	rbsK//nanT//hyfJ//hybF//yeaH//leuB//
RcsAB_pos	glnP//ccmC//idnT//dinF//sdhA//ccmB//ssuD//metB//rpmI//ldtB//
RcsB-BglJ_pos	hlyE//nfsA//mpaA//fliI//ydcT//ygiB//murC//phnK//artQ//fixA//ycjF//hyfD//amtB//rclA//tnaC//casB//
RcsB_neg	yegZ//lacA//
RcsB_pos	glnH//hisP//baeS//ynfK//phnO//tdcG//frdA//evgS//ygeH//lexA//mcbA//yaiW//cra//prpE//csgA//fixA//decR//hyaD//mgrR//rtcB//argB//entA//pgaD//
RelB-RelE_neg	nikB//idnD//malX//
RelB_neg	gntP//araJ//symE//
RhaR_pos	puuR//hyaE//
RhaS_pos	rstB//cysU//agaA//yjhC//argR//fadH//
Rob_neg	pspA//
Rob_pos	csgE//metF//ydeP//pspC//hdeB//nfuA//atoE//puuC//ugpB//cysC//rclB//cdd//asr//aroM//gntT//purH//flhD//rarA//nuoE//rcnR//atoA//hcaR//yrbL//hcaR//leuL//
RstA_neg	gatY//yiaO//glnA//dinJ//purB//
RstA_pos	rob//idnD//dnaN//yecR//nrdB//
RtcR_pos	glnA//sufD//
RutR_neg	hycB//yfaE//ompN//galT//sroA//pyrD//bhsA//ugpE//ompN//tcyP//cdd//ihfA//rcnB//ssuA//pgaD//
RutR_pos	ftsW//oxyS//
SdiA_neg	yeaG//cyoE//ycdZ//
SdiA_pos	mazF//nikC//frc//
SgrR_neg	ydiU//caiF//nmpC//glgP//astA//
SgrR_pos	isrC//nuoM//sucD//nanS//
SlyA_pos	fucO//
SoxR_neg	ygeA//
SoxR_pos	ptsH//yidQ//
SoxS_neg	rclC//dnaG//
SoxS_pos	ykgO//ynfF//ssuE//dcuS//btuB//ydcU//nuoC//hflD//rpmI//fabB//yhjX//rutE//ttdR//relE//fliD//lysR//psd//fnr//melR//pgk//waaY//tyrR//ecpA//purK//caiE//lysO//caiF//cspE//acrA//murI//ccmF//citD//csiD//lrp//csgC//mdtF//rplT//bluF//
StpA_neg	gltL//uxaA//recC//treR//ybfN//osmB//hokD//
SutR_neg	pitB//phoP//gcvP//mtlD//argP//
SutR_pos	malG//
TdcA_pos	ldtB//napH//ftsW//casC//nikA//cra//bioC//
TdcR_pos	yccT//dnaA//waaH//micF//nrdH//fepE//bioB//
TorR_neg	gntK//glpC//hdeD//
TorR_pos	ptsH//rutD//iraP//wrbA//ppc//fimB//ndh//nikR//fliH//
TreR_neg	gcvA//araH//
TrpR_neg	acrZ//tsx//ibaG//dsbA//metR//nirB//malT//xylB//argG//agaW//add//tsgA//
TyrR_neg	purA//pstS//guaB//argO//gspC//marA//omrB//chbB//phnH//metE//
TyrR_pos	ygbK//ssrS//pncB//
UhpA_pos	ybiT//
UidR_neg	ykiA//hycI//hybO//polB//
UlaR_neg	gltL//casB//gadC//ulaC//idnD//gutM//hlyE//
UvrY_pos	cynT//mhpA//flgE//mdtF//nanK//
UxuR_neg	mngB//narK//mhpE//tdcE//hyaA//znuC//agaS//sroA//fhuA//
XapR_pos	nagA//eno//
XylR_neg	yfdE//
XylR_pos	ymjD//hybG//dnaN//ydcU//uidB//tauB//
YdeO_neg	yhdY//mhpD//
YdeO_pos	allD//nuoF//phnJ//gabT//paaG//tnaC//nuoM//yfdE//fimB//mepH//ppc//sdhA//citE//nagC//galK//ynbA//cusS//yefM//entB//
YedW_neg	cusR//codB//cysG//qseB//cusR//
YedW_pos	aroP//glnH//paaH//dsdX//fucK//exuR//paaD//
YefM-YoeB_neg	rpiB//yneM//
YefM_neg	ddlB//rbsK//
YehT_pos	hyfC//
YeiL_pos	lsrG//
YiaJ_neg	ftsQ//hyfI//rstB//nimR//phnE_1//purA//nrdI//yhdY//paaK//exuR//
YjjQ_neg	yhiM//nuoE//trpA//uspE//waaZ//hcp//tdcB//purR//cheA//wzc//
YpdB_pos	wzb//
YqhC_pos	rffH//sulA//
YqjI_neg	soxR//rcnB//
ZntR_pos	gcvA//
ZraR_pos	cirA//uxaC//hypA//
Zur_neg	ilvY//rpoS//exbB//fpr//tyrP//csgE//
