#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nemR//lsrG//
FlhDC_pos	alsE//dhaR//baeS//gadA//yiaN//hslJ//ulaA//cusC//ttdB//galM//flgH//paaF//casA//fucU//dinG//waaY//nrdD//zntA//artQ//appA//wcaB//trpA//iscR//tolC//mraY//dacC//yqaE//fdnG//flgJ//cpxR//astC//dsbA//gabP//fepE//ygiC//ybaS//trpC//asnA//uhpT//ssuD//ykiA//cusA//glcA//dctR//hyaB//recA//yoeB//fur//fabG//ydhV//citX//tdcB//hdeB//nuoJ//gdhA//nadB//ruvB//gdhA//casD//citC//evgS//garK//sdhA//infC//malS//fadD//dnaG//phnE_2//gspI//napB//hipB//araA//argI//cecR//cpxP//baeR//udp//ahpF//
FliZ_neg	kbp//pstB//norR//agaR//galR//moaC//ydcU//cynT//ftnB//mhpT//fau//xylB//paaB//ydfW//srlB//hycH//paaD//gntT//grxA//dacC//cynS//
FucR_pos	fruK//hycG//betT//yciW//rybA//phnM//gspO//
Fur_neg	ugpE//lrp//malY//creA//ybdZ//rpsU//entD//xylH//ddpB//araB//polA//kbp//napC//yegR//hypE//fliP//araB//napD//acrD//glpB//ubiA//ycgR//bdcA//iraM//gutQ//hybC//aidB//phoB//ycjG//ppdC//ymgA//grxA//ydiU//emrY//rnpB//galE//hypB//acrA//cusC//idnD//nrfF//uxaB//glxK//atoB//hcaR//mtlA//creA//cadB//nhaR//rcnA//lhgO//patD//metL//fucA//hyfJ//feaB//uspA//ydfX//dacC//flgH//glcB//nuoA//yaiW//rpoE//yiaJ//metC//lgoR//uvrY//fepC//hisM//idnT//gspD//pnuC//evgA//ssuB//dnaN//fliH//ydbD//dapD//ulaC//fimE//ttdR//puuC//oxyS//lysO//fepG//srlB//lacA//nrfC//yoaG//glnB//ttdT//fliH//fliQ//caiT//gadA//flhD//folE//fecB//cecR//rdoA//recD//galK//mdtE//phr//mtlA//fhlA//mtlD//recX//metQ//nuoC//rffC//sodA//uxaA//fadE//
Fur_pos	uxaC//ebgA//frdD//ygbA//ycjY//pitB//metF//yrbL//uidB//sdhA//ttdA//bdm//nrfB//dtpA//yiaO//gltD//cysU//idnT//entS//envC//ftsL//
GadE-RcsB_pos	yeaE//rbsD//yeiB//purB//rhaA//cho//aidB//galR//xapA//
GadE_pos	nuoK//yciG//fumC//ybiT//fliT//mgrR//norV//ydeI//hypE//dmsD//envC//tnaB//slp//casA//napH//rbsA//envC//kbp//fixX//ogt//wzb//ccmA//fdnH//hypB//fhuF//ulaE//hyfJ//ftnA//rbsK//
GadW_neg	ahpC//purE//gltI//hcaD//rbsD//ccmG//cyoA//rtcA//betT//bacA//fecC//
GadW_pos	cytR//asr//astA//yhbT//phoH//nrfD//fimE//soxR//yfdE//mipA//hybO//
GadX_neg	ygiC//tyrP//ssuB//astE//tauB//nusA//
GadX_pos	bdm//dmsB//relE//sucB//sucC//pnuC//rffG//glnQ//folA//fecR//fixX//yfdE//tnaA//patA//hipB//iscA//degP//nrdF//hcaD//glcC//csrC//hypE//mdtA//idnT//yjeV//hyfG//iraP//
GalR_neg	ygeA//narI//zraS//ykiA//fliH//rseB//chbC//sufE//malE//dhaK//
GalR_pos	idnR//araC//mraZ//atoB//
GalS_neg	bacA//fhuA//pgpC//fecE//lsrC//mntP//lldP//aceK//mglC//flgD//
GalS_pos	pqiB//ftnA//torD//metE//
GatR_neg	argH//puuB//pykF//dmsD//ygiA//ssuC//
GcvA_neg	ykiA//gpmM//katE//fliA//
GcvA_pos	pepA//ugpA//tyrB//cadB//
GlcC_neg	sulA//
GlcC_pos	oppB//csgF//mdtE//yqaE//ydfH//glpQ//
GlpR_neg	amn//ycdZ//metR//feoA//uidC//ascF//sbcC//intQ//rseB//
GlrR_pos	fdnG//acnA//ftsQ//nanM//yjhB//
GntR_neg	yecR//torC//ddpB//crr//dsrA//rybA//yfdX//yhjX//cusA//narX//nlpA//fliI//
GutM_pos	lon//phnE_1//tnaB//waaY//mntP//cra//lldP//
GutR_neg	insK//torR//lldD//kbaZ//nanM//entA//ribA//
HU_neg	trpE//glnG//tcyP//pepD//yhdZ//ydhY//fumC//lpd//
HU_pos	pqiB//
HcaR_neg	safA//
HcaR_pos	nanS//pdhR//sodA//mgrR//ftsZ//
HdfR_neg	ulaG//glgA//
HdfR_pos	nimR//csgD//frdA//
HigA_neg	trpD//yecT//
HigB-HigA_neg	osmB//ymjC//
HipAB_neg	aslB//tnaA//melR//casE//aroM//
HipB_neg	hmp//ycjX//bglF//entC//rutC//ompF//
HyfR_pos	pyrC//modC//aspA//nrdD//hybD//norV//arsC//tdcF//puuD//hyaD//mglA//mdtF//
HypT_neg	prpC//pheS//recC//putA//sucB//
HypT_pos	fimE//pnp//rffG//hyfF//malS//wrbA//flgG//mhpE//
IclR_neg	yfbR//xylG//gntU//flgF//
IdnR_neg	ddpA//fhuC//
IdnR_pos	sdhB//cysK//nrfB//mdtF//dmsC//
IlvY_neg	tomB//
IlvY_pos	tdcG//
IscR_neg	ahpF//torD//yciX//hypF//glgB//sufA//fliI//napA//puuC//nirB//yhbE//acrA//glnL//ynbC//melB//znuC//rbsK//nrfC//feaR//iclR//guaA//
IscR_pos	glnP//fucU//gcvP//csgC//sbmC//bglG//ompW//waaH//malG//paaE//evgA//
KdgR_neg	hyfI//relB//
KdpE_pos	ybjG//glpA//yjbH//hcaE//
LacI_neg	amtB//ybhS//mpaA//
LeuO_neg	osmY//bioC//degP//
LeuO_pos	marB//fumC//fliG//ycgR//gspM//hcaB//caiC//ahpC//nfsB//rffG//betA//sbcD//yeaH//ydhW//hokD//leuB//oxyS//nikB//
LexA_neg	acrZ//pspD//gor//oppC//rseA//dicB//galT//wza//araB//lsrK//nupG//ygiC//fabA//nrfG//ccmC//wrbA//omrA//fliN//mtlR//frdC//paaY//cas2//dacC//yhdY//ydcU//creA//adhE//relB//recB//baeR//norR//fecC//uvrA//cysJ//alsA//fucK//thiP//gspE//uvrA//nanS//gspM//hycB//sufA//ydhX//phnL//fruA//garL//yhdZ//fadR//lysA//yaiW//hyfA//crp//narI//yjeV//narL//ssuA//add//osmY//
LldR_neg	sfsB//flhA//alkA//
LldR_pos	sbcD//srlE//gdhA//
LrhA_neg	dpiA//prpE//
LrhA_pos	hipA//gspO//
LsrR_neg	nikC//sgrR//purB//mltF//folA//agaC//gspG//lsrB//bioD//
LysR_neg	murQ//
LysR_pos	ssuA//
MalI_neg	ompW//frdD//mntS//
MalT_pos	recX//ybhF//nrdG//lsrB//cusB//nikR//fliD//ppdC//glnD//rob//
MarA_neg	fucO//nirB//gabP//rybB//csgC//tynA//ccmG//
MarA_pos	dcuS//focB//znuB//dhaK//rhaT//flhE//pnuC//phoE//yciX//norR//tdcD//argD//uvrD//fbaB//galT//wrbA//mgtA//nirC//glmU//obgE//pgpC//rcnA//phnH//yafQ//argD//sufA//relA//dinG//accD//dsbA//dinJ//
MarR_neg	glnD//ydhV//katE//
MatA_neg	ompC//fliM//dapD//rbsD//yaiW//lsrA//
MatA_pos	hcaB//gatB//
MazE-MazF_neg	bioB//aidB//yiaK//
MazE_neg	mdtB//yfiB//mpl//
McbR_neg	creB//
McbR_pos	nikD//cysP//ymgA//
MelR_neg	rbsK//hcaD//ygiZ//
MelR_pos	rob//garR//hycF//
MetJ_neg	cecR//marB//rpsU//dapB//cysE//gltD//iraP//relB//bdm//cusR//phnP//hslJ//pgi//hokD//lysR//
MetR_neg	ynfE//murQ//
MetR_pos	mraZ//hybA//prpC//glnD//
MhpR_pos	malI//insD//bdm//uxaA//galM//napF//
Mlc_neg	mgtA//ycdZ//rybB//yhdZ//ssuD//dsdX//ygaC//ybiT//flgC//ygiC//
MlrA_pos	add//nuoK//spy//garK//argF//pnuC//rnlA//gutQ//rutE//hycF//
MngR_neg	araB//thrS//fadD//
MntR_neg	artI//malQ//garL//baeS//
MntR_pos	rpoS//
ModE_neg	sbmA//pqiB//dmsA//murP//gntP//uidA//yebE//ymjD//prpE//udp//pgaD//garP//ugpC//rhaB//nuoJ//
ModE_pos	tnaA//yiiS//fliG//nrdD//ppsA//flhB//tsr//idnK//ymgC//pgpC//luxS//ubiC//fecC//araD//tolC//amtB//hns//psd//thiP//dcuD//nadB//amn//wecE//lacZ//ompN//hypB//kbp//yhbS//feaR//fadE//ybiT//
MprA_neg	emrY//rutE//rnlB//tnaB//fliC//rnpB//
MqsA_neg	hokD//artI//nimT//rsmH//pspC//ompF//ftsI//xapB//
MraZ_neg	citX//ugpE//fumB//prpD//ydjM//ynfE//tktB//rpmA//cysA//ecpA//flgI//moaA//idnR//rhaA//lysC//purL//zraP//
MtlR_neg	mgrR//atoE//guaB//
MurR_neg	dcuB//csgG//cueO//
MurR_pos	cspE//
Nac_neg	lhgO//fur//galE//putP//alsA//argI//cas1//glcD//srlR//
Nac_pos	tyrA//flgJ//fucU//oppF//ygiZ//wzb//tnaC//yebG//nfuA//alsA//yjhB//fruA//
NadR_neg	rhaR//flhC//bacA//ccmH//
NagC_neg	rbsR//pqiB//umpH//paaD//rhaD//accD//tdcG//sucD//rpsU//gadW//ccmA//murP//ydfX//mngR//mdtF//aldA//zwf//gntT//nimT//bioA//malK//ftsA//fliE//norW//flgA//kdpF//lpxC//putA//ompN//kbaY//napB//oxyS//adiC//
NagC_pos	rbsK//nuoG//nikB//
NanR_neg	moaE//fhuC//mntS//wza//galR//caiD//asr//acrR//crr//astE//
NanR_pos	ydeP//
NarL_neg	patD//gspD//ygeH//bioD//serA//folA//nikE//ampC//pheM//nuoB//yrbL//copA//ycjF//dps//fliG//malP//ydfX//gcvH//fimB//nfsB//sufA//hcaR//phr//ybiT//hokE//sufS//flgE//uidC//psiE//ymgC//artI//gspJ//ldtD//phnL//argH//gltB//artM//ymgC//paaI//uspA//purM//feoB//ugpB//cpxQ//puuR//fdnH//fecR//gabP//fliF//dsbG//tyrA//ymiA//nuoC//mglA//ygeA//ygiC//kbaY//ycgZ//fabI//fadR//fecB//uhpT//hypF//moaA//nrdH//cydB//ygiB//pyrC//yebG//wza//cysW//cas2//cspE//fimE//iscA//gudP//znuC//pstA//bglG//nupC//nikD//prpB//dpiB//cadB//rbfA//cbl//xylF//
NarL_pos	prs//ecpR//pstS//chbR//xylG//sucA//csrC//fliR//hyfD//nrfG//gcvH//yeiL//codB//flgF//hyaC//bglF//motB//baeS//purD//ecnB//gcl//nrfC//grcA//argR//araE//tauB//trxC//yafN//allA//cpxR//patA//pheS//sroC//gloA//cusB//nuoA//hdeD//rsmH//recA//hybG//pstB//nemR//ftsZ//
NarP_neg	mhpF//infB//flgM//waaZ//ldtB//sucC//rarA//feoC//nagE//fliT//glcB//galK//yhjX//yccT//prpD//sufS//wecE//fimE//bluF//fau//hdeD//ybhG//garR//fabI//pgaA//zraS//rcnR//glgX//ycjX//aspA//fadE//ccmA//dicC//
NarP_pos	asnA//nanS//ascF//araB//dpiA//cpxA//fixA//pgpC//hokE//moeA//lexA//kbaZ//pgaA//creA//arsC//gabP//glgB//purA//dgcN//prpR//flgE//dcuB//nrdG//nfsA//paaF//frdB//citX//aroM//creA//ebgA//xylH//ibaG//
NemR_neg	bioD//tauC//agaB//
NhaR_pos	gspL//dcuR//crr//ubiC//ynbB//astE//glnL//
NikR_neg	narJ//mhpF//pspA//artI//rpoH//rbsR//
NimR_neg	ddpX//fhlA//
NorR_neg	yiaO//
NorR_pos	micF//metI//
NrdR_neg	rpiB//gadA//phnC//mdtF//ulaA//allS//feoA//sdhA//appB//
NsrR_neg	ccmB//metQ//yncE//tnaC//nikD//pgaB//prpE//ybhG//alkB//metK//ccmC//ttdR//mzrA//xapB//gpmM//gspH//gspH//yhdX//sgbE//argG//bioD//dacC//entS//ppdA//fadB//ynfG//flgI//uidC//glnQ//ynfG//yfiB//phnG//phnG//casA//adiC//nrdD//ydeN//hypD//glcG//astB//iscA//csgC//sodB//fixC//purM//araG//ftnA//hybF//malI//pepA//lsrF//paaB//zinT//ynfK//bglF//recN//fliM//inaA//gpmA//ompC//cysW//lsrK//atoA//yiaK//bioD//argO//cysC//phnJ//kdpB//lpxD//astA//ykgM//bdcA//osmY//metJ//wcaA//wecE//paaF//casD//citX//mgrR//hcr//ydfX//
NtrC_neg	mngR//wzzE//flgB//malM//acnA//luxS//
NtrC_pos	aceB//dnaG//accD//araF//polB//ppc//citE//yeaE//yhcH//cadB//iraP//napH//psd//rbsD//yibQ//ygbK//psiF//gltD//nrfA//paaJ//fbaA//casA//crp//pheS//ppsA//sdhB//micF//alaS//sgbH//carB//caiA//metL//ilvC//aceB//tdcC//sbcC//nrdH//ompC//argE//lpd//pgm//artM//caiD//mprA//bioB//malK//nrfD//fpr//gntP//
OmpR_neg	setA//ugpQ//bluF//mhpC//lexA//dps//nfuA//pgk//nac//cynX//safA//relB//
OmpR_pos	ybaS//malQ//rhaB//fliA//paaG//sgrT//atoB//lsrB//paaE//flgB//
OxyR_neg	glcD//fliT//cas1//ycgR//ppdB//dapD//rpoS//mtr//ampC//tomB//rhaD//glpC//
OxyR_pos	murR//yafP//atoB//frdC//phnK//glgC//dcuS//nuoK//gabP//tauB//rutD//fliA//yrbL//aceE//hns//chbA//folE//hcaE//hisJ//acrB//add//ynfE//
PaaX_neg	ndh//grxD//cspI//lsrK//pspA//oppD//flgM//dicB//tcyP//iclR//yiaL//symE//argB//cynS//
PdeL_pos	sufS//
PdhR_neg	gcvB//ynfG//ptrA//hybA//soxR//edd//yagK//eda//oppF//ddpX//accA//creB//sodA//rnlB//cysK//gspG//cadB//gadA//osmY//gadB//baeR//murF//hyaB//dhaR//yjhB//cynX//envC//argC//fdnI//argG//gcvP//wzzE//napA//iclR//paaK//guaB//
PdhR_pos	tdcC//metB//fliP//nikR//malI//
PepA_neg	lpxC//nuoN//trpC//
PgrR_neg	ftsL//leuB//fhuB//alkB//ybiT//kbaZ//glpB//mhpF//
PhoB_neg	feoC//gudD//ydhX//paaG//mtlR//nrdI//mtlD//araE//tadA//gltF//speB//sodB//
PhoB_pos	rarA//pspA//lldP//hcaE//pagP//zraP//glgP//dsdA//fabZ//paaF//purM//flgN//ugpA//citX//atoD//rpsU//tyrA//manZ//murC//gcvA//pspC//nrfC//ulaB//nuoB//garK//trpL//glcD//bdcA//gltB//lsrF//yciF//nrdH//atoA//glcA//argP//ybhS//astA//nemR//nuoE//nadA//glnP//argG//bluF//purB//ynbD//ulaE//dinD//aidB//hcaC//nrdH//fadM//ubiC//soxR//
PhoP_neg	hycF//metC//yeaR//hha//ccmG//yciG//puuD//ilvY//csgF//exbD//focA//
PhoP_pos	frdD//cysM//gnd//cusA//glcC//eno//yfiR//glpQ//relA//agaI//nuoC//metB//ykiA//ulaC//tyrB//fliQ//argI//srlD//fliM//narJ//rpoH//fepA//rhaB//araA//allD//sulA//caiC//dcuS//prs//gltK//dcuB//ydfN//rhaT//sdhB//mgtL//torC//cydB//ilvC//metA//lsrK//murE//ybiT//evgA//rutB//hslJ//fucP//cueO//gntT//
PrpR_neg	ppdA//
PrpR_pos	alsB//phnE_2//btuB//ybjG//
PspF_neg	ompW//
PspF_pos	paaZ//hycD//garL//feoB//sodA//rpoE//
PurR_neg	phnO//fadD//araE//xylB//nadA//insD//mraZ//lacZ//xylB//allD//ydeI//xylF//moaC//hycE//lsrC//potI//astD//torD//rffG//patA//hipB//envC//chbB//ldtD//lhgO//mhpB//xylF//qseB//mraZ//argF//csgA//
PutA_neg	fliH//ynbC//
PuuR_neg	yjbH//tdcA//wza//rpoD//trpE//glxR//creA//
QseB_pos	ruvB//ftsA//fruA//argF//
RbsR_neg	yeaR//rpsU//tpiA//lysO//ftsA//gltK//ydcV//napB//
RbsR_pos	cpxQ//
RcdA_neg	btuB//lsrK//
RcdA_pos	tam//potH//ydfN//flhA//ynbD//cadA//flgE//
RclR_pos	cheA//yqhD//lsrK//
RcnR_neg	cheW//eda//fdnG//
RcsAB_neg	phoH//ndh//phnI//ygbA//oxyS//pfkA//
RcsAB_pos	yfdX//hns//ibaG//aspC//malI//crp//nuoI//hybE//casD//cyoB//
RcsB-BglJ_pos	fliF//sgrR//ynfF//baeS//lsrD//rhaB//nanK//sucC//bglF//agaW//murQ//nmpC//baeS//kbaZ//efeU_2//araC//
RcsB_neg	garR//cynT//
RcsB_pos	fliF//yfbR//ssuD//hyfC//galK//gltL//ompC//glyA//ydhX//ulaE//ulaG//fliO//modA//ymjC//casA//nikB//ybjC//mhpT//gloA//ptsH//caiA//fliP//yhjX//
RelB-RelE_neg	fadE//phnD//fadJ//
RelB_neg	baeR//cheA//waaH//
RhaR_pos	wecE//lpd//
RhaS_pos	rffM//nadB//cusR//uxuB//zraS//mazF//
Rob_neg	eda//
Rob_pos	bglF//bglF//arsR//ykgO//slt//mtlD//ydeI//yafO//pspD//potI//decR//bolA//ptrA//fhuE//tdcE//fabD//pqiB//rcnA//agaA//glgA//gatZ//ygiA//cusS//sufB//argB//
RstA_neg	guaB//ycjF//tdcA//hcaE//cyoB//
RstA_pos	gutQ//osmB//fbaA//puuD//fadM//
RtcR_pos	fixC//phnO//
RutR_neg	mhpD//glmY//mhpC//ynjI//ynbD//melB//yqhD//nikE//rhaR//aroL//mtlD//pgaB//mngB//bolA//araG//
RutR_pos	phoA//fixA//
SdiA_neg	fes//rbsR//galK//
SdiA_pos	aroP//nikB//xylH//
SgrR_neg	ccmD//rob//argD//ddpB//rpoE//
SgrR_pos	chbA//gcvP//glnA//fldA//
SlyA_pos	phnP//
SoxR_neg	prpE//
SoxR_pos	carA//gyrA//
SoxS_neg	modA//yegZ//
SoxS_pos	wzxE//speA//nanC//gcvT//bglB//prpB//motB//hybO//phoP//napG//caiB//treR//casC//cysJ//rhaB//yidQ//uspA//lolA//malF//ydeI//glgC//cysG//yqjI//mngB//ptrA//norR//fdhF//aslB//flgK//ydfH//iscA//fecE//gspJ//ibaG//frc//phoA//hisQ//cydB//
StpA_neg	caiT//ttdA//moaD//ftsK//srlD//rclC//manX//
SutR_neg	fepB//spy//yccJ//chbF//frc//
SutR_pos	flhC//
TdcA_pos	srlA//rhaA//tam//yeiL//yfaE//melA//gntP//
TdcR_pos	uidA//frdB//dsbA//ybhG//pspA//ycjX//rbsD//
TorR_neg	moaD//fepG//rtcA//
TorR_pos	lsrC//eno//omrA//talA//fliC//nmpC//gcvA//potF//norW//
TreR_neg	fecR//rpsO//
TrpR_neg	metB//ykgO//metA//ygaC//iraP//rpoS//ada//osmB//entH//hybE//glnL//murP//
TyrR_neg	citG//lsrK//gntX//yccJ//yciG//tsr//gntU//exuR//tam//tktB//
TyrR_pos	putP//omrB//moaB//
UhpA_pos	caiF//
UidR_neg	garD//fucU//ybjG//ccmA//
UlaR_neg	ymjD//pgpC//malF//bioB//rfe//gpmM//yhbS//
UvrY_pos	sdhA//purL//phoP//tomB//ydfE//
UxuR_neg	yafQ//dinD//deoA//entS//nhaA//dctR//mprA//trpE//tsx//
XapR_pos	tauA//fecA//
XylR_neg	agaI//
XylR_pos	fhuE//ydiV//lacA//fliJ//gltL//ykiA//
YdeO_neg	cydD//manY//
YdeO_pos	ariR//ycgZ//xapA//fbaB//psd//napF//ddpX//pnp//dnaG//metR//metK//cirA//dsrA//cusB//ppsA//molR_1//srlA//agaD//metC//
YedW_neg	ndh//pstA//rplU//srlB//osmY//
YedW_pos	xylH//nirC//phoQ//ycdZ//ldtD//efeU_2//hyaF//
YefM-YoeB_neg	leuB//narJ//
YefM_neg	rbsA//aceF//
YehT_pos	yhjX//
YeiL_pos	fabZ//
YiaJ_neg	ddlB//glgX//grcA//polA//rbsC//astA//nupG//sufD//prpD//modB//
YjjQ_neg	nuoK//gltL//flgB//wzc//fhuC//trxC//nanT//ydcV//citD//glnP//
YpdB_pos	ssrS//
YqhC_pos	ydfX//hemL//
YqjI_neg	dcuD//fabI//
ZntR_pos	ubiX//
ZraR_pos	narX//ibaG//chbG//
Zur_neg	mhpC//dsbC//dkgB//mtr//flgC//bioB//
