#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	betA//ulaF//
CpxR_neg	manZ//yqjI//sgbE//nuoM//fadA//bglF//acnB//nusA//cysD//prs//gspK//fiu//evgA//epd//bacA//btuB//pdeH//nikA//oxyS//dsdA//yecR//nhaR//entH//ynbA//
CpxR_pos	hyfF//gspH//amn//dgcZ//hisJ//lysC//fucP//allS//dgcZ//ompN//fadJ//wecC//mnmG//glpC//cysG//atoA//nlpA//metC//fhuC//wzxE//argB//glpF//rclC//slp//puuA//recN//nadA//hycC//gyrA//agaC//mcbA//pspA//ymjC//tadA//putA//wecC//aceA//yedX//hycD//cyaR//ydbD//yedX//aroL//rtcB//ddpA//yhdX//
Cra_neg	gntU//aroL//yeaH//phnM//exuT//pstA//chbA//paaK//wzb//argI//agaD//yegZ//bioF//rtcB//nrfA//ykgO//luxS//entA//uxuA//mntP//rpoE//ptsG//hyfR//dinF//ada//flgK//hycD//yfdE//carB//psiE//dmsA//ftsW//ascB//ycgR//srlR//gcvP//rhaA//idnD//ybjG//gpmA//murQ//rnlB//cyoB//hemL//fliE//glnG//flhB//iscA//pstB//psiE//aceF//ydhW//cdd//lrp//rpiB//isrC//xylA//allA//aroM//
Cra_pos	nuoF//lolA//qseC//ttdA//fucK//yefM//qseC//yiaN//pgpC//rstA//mpl//narK//paaI//uxuR//obgE//rutA//tauB//yebE//hipB//grcA//ryhB//ydhY//phnH//
CreB_neg	molR_1//bioD//ecpR//
CreB_pos	ptsH//ydeI//
CsgD_neg	norW//nuoI//cusB//ecpR//ugpE//cspD//metL//oxyR//oppD//nuoJ//ygbK//prpB//pgaA//tadA//rhaD//
CsgD_pos	zraS//crl//ycdZ//glnB//ccmF//nanC//bacA//kbaZ//ptrA//dsdC//ygeA//nuoM//fau//
CsiR_neg	ppiA//zraR//tdcC//molR_1//bioF//
CspA_pos	yoaC//metB//
CueR_neg	cysE//sdhA//sucB//dacC//yqhD//
CueR_pos	fepB//purB//
CusR_pos	mhpC//recN//nrdG//cysA//treR//cas1//malQ//malS//aroG//gntK//xylB//rutC//
CynR_neg	norW//
CynR_pos	dsdA//slt//csgA//
CysB_neg	gcvA//potG//glgB//rutF//pnuC//betB//potI//
CysB_pos	ompF//xylG//yjjZ//lsrK//dinG//malQ//uvrY//yaiW//idnT//ycdZ//yqhD//gyrA//nikR//glmS//mlc//ecnB//murI//cysA//patA//hybA//potH//glcA//pdhR//glk//ydeP//
CytR_neg	lsrF//kbaZ//symE//fhlA//idnD//glgB//iscR//gudP//relB//ddpX//araG//serA//zwf//
Dan_pos	deoB//paaD//wzxE//cpxR//
DcuR_pos	fliG//dmsC//mtlA//phnJ//agaV//ssrS//pstA//pdeH//yhjX//
DeoR_neg	hdeA//gntU//lsrR//uxaA//prpB//tdcE//
DhaR_neg	ydeP//
DhaR_pos	glcC//phnP//fepE//
DicA_neg	dps//dsbA//hcaR//mgrR//iraP//galS//yjiY//cvpA//
DinJ-YafQ_neg	napH//yeaD//ddpC//
DnaA_neg	sufS//yfdV//fadE//polB//dhaL//fabI//nuoI//iscR//rbsR//malE//ymjD//
DnaA_pos	flgF//ymjD//yedX//ygaC//mpaA//hcr//dsdX//
DpiA_neg	ddpF//
DpiA_pos	ssuB//hyfJ//narH//yoaC//dmsD//rimP//dkgB//emrB//yebG//yhcH//
DsdC_neg	argR//
DsdC_pos	yiaL//yciE//
EbgR_neg	ulaC//narJ//
EnvR_neg	cheW//fabD//
EnvY_pos	flgJ//manX//
EvgA_pos	dcuS//ppiA//yciE//metN//nuoA//ubiX//fucK//cyoB//molR_1//sufB//yagK//argA//malS//malP//casA//pnp//flgL//ryhB//cysC//
ExuR_neg	purC//malK//purB//fecA//ybbW//ompT//motB//cynR//nfo//
FabR_neg	pspD//ybaS//
FadR_neg	gadA//trpD//erpA//flgA//yhbS//ybjG//gspM//gatC//sbmA//yfdE//glmU//
FadR_pos	entD//zraS//rutB//cvpA//ppc//dsdX//hyfI//lpxA//flhB//astB//puuE//phnD//
FeaR_pos	fadL//bacA//
FhlA_pos	pgm//gltL//fecI//hypE//lsrA//dps//yhbE//yhjX//potI//metH//relE//moaE//argA//cynX//sufB//yiiS//garD//cydD//murC//paaB//bioB//uidC//gltJ//ulaE//puuR//uxuB//lpxD//mioC//sucC//ymgC//
FlhDC_neg	aidB//uidR//aroP//malE//
FlhDC_pos	dinQ//rfe//creB//fliL//ecpA//gudX//deoA//glmS//oppA//ygbK//feaR//sufS//yhjA//pheM//rhaS//motB//ydhW//fldA//ryhB//sbmA//lysP//gspH//nrfF//rtcB//ptsI//yhdZ//cysI//ompW//ybiT//glnH//spy//wzxE//paaG//appB//mngA//flgJ//fepB//hyfE//cyoD//umuC//fecR//argO//uof//gatZ//fabG//artI//gutM//ptsH//lpxA//grxA//kbaY//rtcA//sgbE//yafO//dcuB//cspE//dhaM//bdm//appX//oppB//mlc//accB//mgrB//hipB//pepD//leuL//cusF//asnB//emrK//allA//aidB//dinF//malK//frdD//yjhB//galT//wcaA//ddpD//
FliZ_neg	lsrA//napF//lsrB//wzxE//sutR//fucI//ynfK//manX//fimE//citX//ppiD//tktB//asnC//ydiU//yjjZ//aroG//rcnR//alaC//gatA//sodA//cysM//
FucR_pos	araA//tynA//flgM//uvrA//dsbC//dinJ//ygiB//
Fur_neg	dgcN//casC//araD//paaE//lldD//hokD//cadA//slp//nuoF//pnuC//cas2//caiB//purK//sgbE//tehB//entD//nfuA//metC//gadF//mpaA//ppc//nrdG//moeA//entF//cydC//nuoA//cysJ//ascF//murP//znuB//omrB//mepH//murC//pstC//yciW//dgcZ//cpxR//srlR//nagB//ydcS//yhdW//ompW//sufD//yjeV//hypB//fau//yfdV//yagK//leuD//cydD//nagC//fadD//kdpC//sbmC//ftsL//ygiC//trpE//flhE//yhdX//idnK//dsrA//pagP//glgB//ygiZ//nrfE//ydfW//sdhA//idnD//prpE//xapB//fepA//ptsH//entC//argR//ycdZ//bglB//sbcD//malM//nuoJ//mscM//ubiX//aceB//cusA//rhaD//lldD//fruK//ubiC//crr//ybiT//cyoB//alaC//nanK//galM//ycjF//tdcG//patA//metB//ybiT//ygaC//hyfI//hyaE//yhbE//slt//glpB//garL//yegZ//purB//yccJ//cydC//iscR//yafQ//phoH//moaD//bamE//sgbE//
Fur_pos	csgC//ycjX//borD//rhaS//nanS//rbfA//gspJ//fimE//frdC//puuE//soxS//sgbE//pstS//trpL//caiD//pstC//yjjZ//micF//nanT//ddpA//fbaA//
GadE-RcsB_pos	mhpC//gcvT//ychF//rnlA//fldA//cusF//ybhG//copA//hypB//
GadE_pos	galM//yegZ//dctA//frdB//gspO//cysW//dapB//dhaR//rybB//gspD//insK//puuC//yiaK//glxK//fimE//sodA//pgpC//tauB//ydeP//kbaY//ariR//cbl//chbA//gatZ//xapA//nagB//sufC//glcB//yhjX//
GadW_neg	mscM//hypD//phnM//tomB//xylH//znuA//rutE//ptsG//frdC//fabD//sbmC//
GadW_pos	moaD//rutE//uvrY//add//napF//wzb//ttdR//pspB//entA//kbaZ//fepE//
GadX_neg	nimR//xapB//galP//ldtC//wecC//nuoK//
GadX_pos	dsdA//dhaR//paaB//lrp//flgF//yefM//agaS//allC//ptrA//ppsA//nimT//argE//argE//katE//gcvH//galK//manX//yqjI//cyoC//rutC//aroM//prpC//cpxP//betI//fliA//cusF//yjbF//
GalR_neg	gntU//glmU//motB//fhlA//yccJ//hydN//trpB//nusA//phnE_1//sucA//
GalR_pos	ldtB//icd//rstA//narI//
GalS_neg	lysP//puuD//aceA//adiA//gltL//sufA//fucK//nagB//ssuC//allA//
GalS_pos	oppB//dsbA//nirD//ybjG//
GatR_neg	uvrB//puuP//fucP//phr//ydeP//fliI//
GcvA_neg	nemA//sulA//rpsU//gspL//
GcvA_pos	mazG//higB//ydfE//paaE//
GlcC_neg	kbaZ//
GlcC_pos	argE//glmU//lyxK//cusB//hypE//lon//
GlpR_neg	tyrA//rpsU//ndh//ydfH//fldA//bdm//ybfE//tolC//guaA//
GlrR_pos	ulaF//ecnB//ydeM//rstB//poxB//
GntR_neg	dmsA//fimB//glk//rstB//yciG//yoaG//hyaE//acrD//galP//malG//ybfN//dpiB//
GutM_pos	nrdA//ydhV//uvrA//fepC//waaZ//paaJ//trpD//
GutR_neg	patA//omrB//insK//talA//appB//hybD//rcnR//
HU_neg	feoA//casA//dinG//nuoA//sgrS//dsdC//ftsI//gspE//
HU_pos	puuB//
HcaR_neg	phnD//
HcaR_pos	yciG//fixB//entS//ycjF//adhE//
HdfR_neg	nuoG//ydcT//
HdfR_pos	fhuD//fhuA//gspF//
HigA_neg	fnr//tyrR//
HigB-HigA_neg	aceF//bluF//
HipAB_neg	metC//thiQ//dacC//sdhA//chbA//
HipB_neg	yhjA//tsx//metY//gspL//tehB//marB//
HyfR_pos	metL//aslB//ygeA//nanE//dpiA//hyfC//yjjZ//fepE//gadF//cydD//higA//lacZ//
HypT_neg	mazF//emrY//flhA//wzyE//agaC//
HypT_pos	hyaF//nrdA//wzb//galM//narK//nimR//uxaA//rffM//
IclR_neg	rseC//nemR//gatA//sroA//
IdnR_neg	tfaQ//flgL//
IdnR_pos	ybhG//phnO//paaI//fdhF//lrp//
IlvY_neg	rutC//
IlvY_pos	ycdZ//
IscR_neg	metL//yncE//hokE//hcaE//setA//yeiB//rbsR//rprA//sucA//zraP//hypD//leuA//ftnB//nrdA//csgF//mgtL//znuB//oxc//yhjA//ftsA//ilvY//
IscR_pos	yjjZ//argA//acrB//bioA//leuC//ydhU//uvrB//fliR//cynS//betI//tsx//
KdgR_neg	rnlA//araA//
KdpE_pos	fldA//recD//puuD//nirB//
LacI_neg	purM//lsrK//sulA//
LeuO_neg	metC//adiC//zraP//
LeuO_pos	malP//mprA//nanC//bamE//malF//zwf//psd//rnlA//ribA//purM//aroP//lldD//dnaA//decR//bluF//ddpD//fhuF//lgoR//
LexA_neg	paaK//exbB//napF//cyoD//glcD//rutD//ydbK//yfiB//tcyJ//yccT//rpoD//mgrR//gpmA//nuoJ//dtpA//wzyE//pqiB//kdpF//rnlB//aceA//entB//ygiC//purN//hycD//tyrP//lsrC//melR//relA//ttdR//sufS//tauB//mtlA//fucU//yafQ//rffG//ybdN//ugpC//gntP//sdhD//lacY//ydeN//glpT//purC//sbmC//marB//metI//tcyJ//yciF//gltL//fixC//pepD//psiE//nhaR//deoC//cirA//pgm//argI//rbsC//hmp//
LldR_neg	tktB//glnH//pykF//
LldR_pos	rutA//hcp//waaZ//
LrhA_neg	nlpA//yeaH//
LrhA_pos	dhaK//pspB//
LsrR_neg	ykgM//fucA//btuB//fhuA//dgkA//frc//flgG//hemL//fhuD//
LysR_neg	ugpB//
LysR_pos	ugpQ//
MalI_neg	deoC//nupC//ftsI//
MalT_pos	dinD//yhbS//ytfE//yecT//hcaB//hyfC//tnaA//agaR//mhpC//galM//
MarA_neg	exbD//ydeM//cynT//paaB//pnp//xapB//nmpC//
MarA_pos	modA//mazF//ascF//ymjC//yiaM//cydA//allS//fiu//mhpE//murG//yhdZ//aspC//tomB//gapA//dkgA//tdcB//gcvP//psiE//garP//glnK//ascF//phnC//hycD//ppc//flhC//yebG//udp//glgA//fabA//agaA//glmU//
MarR_neg	prpB//thiP//flgH//
MatA_neg	fepG//pdeR//mntP//hyaA//tsgA//yhbE//
MatA_pos	pykF//ogt//
MazE-MazF_neg	hcaE//ccmB//ydeN//
MazE_neg	flhE//speA//fucU//
McbR_neg	fdhF//
McbR_pos	rbsR//yrbL//stpA//
MelR_neg	nrdB//udp//rutR//
MelR_pos	cusF//asnB//flhB//
MetJ_neg	paaK//aldA//potH//cra//astD//cra//nusA//hyaD//infC//fimB//paaA//idnR//creC//trpB//glmS//
MetR_neg	nuoH//malE//
MetR_pos	rffG//alaS//rprA//caiT//
MhpR_pos	cysN//allA//yefM//gudP//narL//soxR//
Mlc_neg	rutE//ccmD//glpB//cbl//alaC//aroH//fur//metY//fepC//torD//
MlrA_pos	dinD//flu//fliF//cspD//wrbA//marB//marR//gntX//gudD//ynfE//
MngR_neg	pdeL//ptsG//moaA//
MntR_neg	hybG//gntK//nanE//hyaD//
MntR_pos	degP//
ModE_neg	psiF//gnd//cynR//csgE//borD//citG//bioF//ung//fliR//gcvH//mglA//araH//rffM//nuoC//fhuB//
ModE_pos	pstS//pitB//yhdZ//hycA//rimK//ccmD//deoB//insD//phnM//tauA//nuoH//rffH//aspA//agaI//ompW//flgH//fhuA//nrdE//yqjA//appA//gcvP//hokE//infC//fucU//umpH//gcvP//trpD//speB//rffH//ppdA//kdpF//
MprA_neg	oppD//ttdA//lexA//ugpA//ynfG//envC//
MqsA_neg	metJ//caiD//mnmG//acnA//yhjX//glpF//nikB//tadA//
MraZ_neg	bglG//flhA//ftsQ//sroC//yoaG//cysW//flgG//lldP//flgK//cirA//ompC//aceB//purB//hha//polB//fixX//cheA//
MtlR_neg	flgK//ftnB//prpR//
MurR_neg	chbF//sufE//srlB//
MurR_pos	erpA//
Nac_neg	rsmH//feoB//spy//rpoE//ptrA//hycI//pspE//nrfB//emrY//
Nac_pos	cysW//hcaC//hyfH//manZ//argE//hybF//hyfH//rbsC//murG//citF//nuoG//alaS//
NadR_neg	cho//trpA//gspJ//nanK//
NagC_neg	wecE//ftnB//fabB//ygeH//sgbE//agaS//rnlB//pck//phnE_1//dsdX//cadB//casE//metJ//guaA//pspF//phnI//speA//atoA//potG//gntT//mcbA//ulaD//rhaB//gatY//dsbC//araA//rplU//flhD//yebG//narI//garP//argE//feaB//
NagC_pos	fliZ//paaK//pstC//
NanR_neg	motA//nlpA//gutQ//ygiB//caiF//chbC//cusS//nuoJ//nikR//dicC//
NanR_pos	yfaE//
NarL_neg	rutD//argG//phoQ//aroH//ymjC//dnaA//ydjM//rpoD//bglG//chiP//metQ//isrC//tbpA//malZ//cyoC//rprA//malS//modA//fadD//gadF//stpA//tyrR//ybhR//fliG//thiP//fldB//glgB//csiD//mhpA//fbaB//moaE//ydjM//cspI//borD//gspD//truB//fliL//fhuE//citE//srlE//spy//bluF//ryhB//fruK//fadE//paaF//bluF//fadL//deoD//iscR//gyrA//hcaE//uof//nrdF//gadB//mscM//puuD//gspE//lsrR//uvrD//nuoA//frdA//pheT//ybhF//araB//araF//argO//dacC//iscA//rfe//hyfE//norR//flgD//narH//thiQ//glgA//csrC//frdC//adiA//xapA//dinF//cas2//fepD//katE//mntP//yaiA//uidR//
NarL_pos	allA//ybjC//oppA//pdeR//nuoJ//xylA//flhC//hypE//nagE//hemL//ptrA//casC//puuE//ariR//xylB//gutM//ydhW//deoC//hcaC//citC//csrB//nrdE//aroM//osmY//tyrA//xapB//nuoG//nuoI//ynbB//accA//gadX//cas1//zraS//gudP//uspE//kdpC//grxA//ydfX//ruvA//entC//fadE//paaJ//potF//
NarP_neg	gadW//ulaE//spy//dkgB//mgrR//exbD//phoR//rfe//dps//prs//nanK//ariR//lacA//glnH//dps//rcnB//ybbW//gcvB//ydbD//marA//copA//gcvP//efeU_2//luxS//pqiB//ynbD//nuoB//kdpB//lsrB//gatD//ydfN//poxB//mazF//
NarP_pos	pgaC//grxD//putP//mntS//setA//sufE//phnK//ydbD//casA//pepA//iraM//bglB//insK//trxC//mlrA//deoB//fldB//chbG//tktB//tnaC//purB//mtlD//aceA//ecpR//citE//recN//bacA//yfiR//cyoA//rbsB//csiD//purE//
NemR_neg	prpE//pqiA//recF//
NhaR_pos	kdpA//zwf//yqjI//fldB//ecpA//fliQ//mgrB//
NikR_neg	fecR//lacA//tdcD//dnaA//melA//fimB//
NimR_neg	narJ//rutG//
NorR_neg	uxaC//
NorR_pos	waaH//glgP//
NrdR_neg	gcvA//fhuA//flhC//ssuB//frdA//sgrS//nikA//glxR//ybbY//
NsrR_neg	gspO//gcvA//yccT//torR//ynfF//fucR//entH//ydfE//ftnB//nrfC//fabA//bioC//ariR//nuoL//mhpF//yjbH//flgA//erpA//iraM//glnL//tyrP//gudP//entE//chiP//ygeA//trpL//fhuF//icd//gadW//nusA//murC//ribA//rtcB//znuB//uvrD//lexA//ydcT//znuC//flhD//bglG//qseC//tdcE//omrA//ebgA//iscS//appA//paaH//ycjG//nfsB//asnA//rclC//allA//rpsO//hycI//ybjG//pqiB//argP//metE//yiaM//narI//galR//glk//fimB//citX//fliM//ulaG//rpsO//tsx//srlB//dapB//mglC//agaW//gloA//ybdZ//waaZ//nuoN//pheM//carA//nanC//fumC//pheS//yhbT//glcA//
NtrC_neg	mngA//nohA//glcG//agaC//ulaE//wzc//
NtrC_pos	lsrD//chbR//relB//ydbK//uxuB//gabT//garL//ybhL//rcnA//casE//narI//sroA//mtr//ddlB//mtlR//grxD//mazG//recF//glmY//ddlB//cysN//lysR//ydcU//flgE//dapD//entS//seqA//yjhB//argC//dhaR//wecC//gutQ//mgtA//napH//crp//lysO//infC//ecnB//hipB//phoR//gatB//glxR//hycI//znuC//lsrK//znuA//btuB//bioF//tdcG//
OmpR_neg	kdpA//ynfF//sucA//omrB//motA//hyaC//casB//acrA//motA//tnaA//citX//glpA//
OmpR_pos	gspG//sodA//argB//rutG//ybjG//galP//hypF//ulaB//epd//yhdW//
OxyR_neg	leuC//nrfA//trpC//eno//puuP//hcaE//cysH//btuB//pepD//dinG//oppB//osmY//
OxyR_pos	yhdZ//accA//glpQ//fhuF//iscU//yhcH//infB//allE//pgi//nuoG//osmC//prs//moeA//fliS//ompC//hydN//alaS//tynA//oxc//fdnH//rffC//ompW//
PaaX_neg	yfaE//gadW//rfe//csgD//srlR//frdB//fecR//fliQ//moeB//rdoA//acrR//malF//fliF//pflB//
PdeL_pos	phnP//
PdhR_neg	hycH//argR//yidL//glxR//treB//prpD//argB//cytR//hyfC//citG//cpxP//appC//stpA//poxB//fepD//flgM//ugpQ//potF//mdtC//qseC//metN//putP//csiD//pitB//ybaS//metA//ycdZ//add//mepH//mhpD//csrC//wzc//gloA//flgD//obgE//nemR//
PdhR_pos	bioB//caiB//yafO//gcvA//nusA//
PepA_neg	pck//infC//pnuC//
PgrR_neg	guaA//psd//gntX//hyfD//fliD//rbfA//katE//hybE//
PhoB_neg	murD//pdhR//paaK//ccmB//glpF//uxaA//ihfA//metL//puuP//epd//yafP//ompC//
PhoB_pos	creD//znuC//fruK//phr//manX//paaA//yiaJ//fiu//ydfW//malZ//yhbS//ftsA//flhC//ddpB//uidB//metI//malG//nanE//aspA//zntA//dps//gpmA//yciX//allS//cysG//wzyE//deoD//dicC//agaD//fucK//hisM//recC//malX//rclA//ymiA//mtlD//ydcT//fliN//ubiA//malM//ydfX//glgP//astB//fadJ//yaiA//ppdB//tomB//metK//fhuA//hybG//rpoS//glcA//argD//
PhoP_neg	sufD//oppB//accB//nirB//astD//yiaO//potG//waaH//glpT//garP//recD//
PhoP_pos	mlrA//casB//tpiA//gadW//napD//pheS//norW//sodA//purK//astB//napF//mglC//rpoH//znuA//ulaC//nuoC//dcuS//moeA//nanM//srlR//tsx//talA//yeaG//baeR//allS//fdnG//yegR//ybhF//hcaC//cueO//ydhW//yiaM//gudX//lhgO//obgE//kdpA//ampC//aceE//dmsA//ugpB//gatD//nlpA//garP//yhbT//tnaA//tyrA//fhlA//agaW//
PrpR_neg	garD//
PrpR_pos	glpD//purB//metC//fabZ//
PspF_neg	pgaA//
PspF_pos	hybO//nikR//argT//cynX//fliS//waaH//
PurR_neg	chbF//motB//phnK//ybjG//xapA//yqhD//nanM//hyfD//nuoM//glxR//ilvY//idnR//asr//fliO//dinG//ftsW//nuoB//nirB//cynX//nrfB//agaV//deoD//idnT//moaB//tcyJ//glnH//eno//fabG//glgA//nrdD//ydeO//
PutA_neg	sroC//accA//
PuuR_neg	thrS//galT//bioC//glnK//pdeH//guaA//murF//
QseB_pos	ynbA//ydhY//tauC//allC//
RbsR_neg	sroD//gadX//phoE//tauB//dsdX//ebgA//rbsB//fau//
RbsR_pos	allA//
RcdA_neg	narL//gltJ//
RcdA_pos	mzrA//ycjF//mhpF//ftsA//ydfN//fliI//pdhR//
RclR_pos	mazF//bglB//aldA//
RcnR_neg	rseA//nanM//modA//
RcsAB_neg	flhA//ymiA//hyfC//gspH//araB//norR//
RcsAB_pos	ribA//glnQ//ddpA//caiB//fucR//cas2//mglB//tktB//gntT//ynbC//
RcsB-BglJ_pos	rpoD//sbcD//glcA//nrdB//aroG//acrZ//wcaB//puuC//phnO//caiB//fhuB//fliH//ilvY//entE//sulA//rimP//
RcsB_neg	gltD//deoC//
RcsB_pos	pstC//mhpF//flgM//mazF//mcbA//idnT//cheW//mntP//iscR//aldA//dcuA//ftsW//ycjF//ybiT//ynfF//glpX//rseC//araE//narG//ygiA//ycdZ//dinD//sdhB//
RelB-RelE_neg	dgcC//ftnA//murC//
RelB_neg	argF//mdtF//stpA//
RhaR_pos	artP//yccT//
RhaS_pos	fecA//ftsK//kdpB//nrdG//ccmB//amn//
Rob_neg	lacZ//
Rob_pos	paaC//fliE//decR//hyaA//hybB//gadX//grcA//fepE//argI//purM//hcaD//cysI//soxR//argT//rseB//hypD//casD//ascF//aceA//paaZ//cynS//ubiC//ycjF//aroM//frdC//
RstA_neg	trpR//galR//cysB//uxaA//ibaG//
RstA_pos	ugpC//dacC//lpxC//glgX//tsr//
RtcR_pos	moaD//murQ//
RutR_neg	ygbA//rfe//argH//puuR//gltL//dsrA//purK//hypA//fixX//nrfB//fadI//patD//cspE//atoB//yciX//
RutR_pos	ecpR//cheW//
SdiA_neg	sgbU//envC//psd//
SdiA_pos	frdB//fabH//rhaS//
SgrR_neg	wzc//glpA//ydfN//bioD//fadR//
SgrR_pos	sutR//narH//ftsA//mngR//
SlyA_pos	atoA//
SoxR_neg	fdhF//
SoxR_pos	ahpC//pstB//
SoxS_neg	metK//manZ//
SoxS_pos	argI//cpxA//napG//hyfD//sgrR//melR//ynjI//pepA//fnr//copA//fhuA//gor//yhiM//hdeD//fliA//ogt//ssrS//iscR//mscM//entE//flu//glmS//argG//pck//fimE//emrB//tehA//yegR//glpT//ybdN//rpiR//rdoA//pgaC//tolC//hypD//narK//trpR//inaA//
StpA_neg	fnr//hyfB//cusR//motA//cyoB//gpmA//puuP//
SutR_neg	cusF//cpxA//ymjD//phoR//cusC//
SutR_pos	hyaE//
TdcA_pos	cysC//mdtE//evgA//dgcN//ydhT//dhaL//ugpQ//
TdcR_pos	yhdW//glcB//manZ//entB//fimB//aidB//mtlA//
TorR_neg	rpoE//ybbW//astC//
TorR_pos	csrB//caiA//yhdW//pepA//dgkA//ygeA//chbB//fecA//yfdV//
TreR_neg	mtr//nimT//
TrpR_neg	gpmA//yhdZ//ugpQ//oxyR//hydN//gadA//asnC//cueO//glnA//iscU//yhiM//sgbH//
TyrR_neg	phnI//poxB//pstA//degP//rpsO//glpT//yqjI//psiE//ssuA//luxS//
TyrR_pos	ydfX//garK//tdcF//
UhpA_pos	ykgO//
UidR_neg	entF//gadX//ccmC//ccmD//
UlaR_neg	cusF//idnO//bioC//uspA//bacA//mltF//arsB//
UvrY_pos	ynbB//ydbD//tisB//puuA//gspJ//
UxuR_neg	evgS//ccmH//mngR//hycH//frdB//carB//pyrC//phoE//betT//
XapR_pos	yeiB//ftsA//
XylR_neg	iraP//
XylR_pos	sufC//ulaE//yqaE//umuC//rhaR//modB//
YdeO_neg	moaB//stpA//
YdeO_pos	ompN//tnaA//yfbR//nrdB//tdcG//grxD//oxc//borD//yjbF//acnB//asnC//ulaF//gntK//yidQ//xapB//dpiB//caiE//cydA//fadI//
YedW_neg	fadD//kdpA//gadE//acnA//fhuB//
YedW_pos	appC//lpxA//glgA//lhgO//murP//hypB//uvrY//
YefM-YoeB_neg	ppdA//pdeR//
YefM_neg	cpxQ//dnaA//
YehT_pos	csiD//
YeiL_pos	adiC//
YiaJ_neg	tdcG//lsrK//entD//nmpC//sbcD//znuA//pepA//cysM//yeiL//metN//
YjjQ_neg	yafP//nuoM//gdhA//glnQ//nlpA//rpiR//narI//fadM//caiD//gapA//
YpdB_pos	paaB//
YqhC_pos	fbaA//mglA//
YqjI_neg	fadJ//fucK//
ZntR_pos	hmp//
ZraR_pos	tdcE//ydfE//gadE//
Zur_neg	malY//prs//phnD//phnC//obgE//yjbG//
