# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	lacZ//waaZ//
GlcC	nirD//fabA//ppiA//
GlpR	zwf//cynT//paaG//atoD//ung//yedX//ulaF//
GlrR	
GntR	frdD//aceA//codA//torC//murC//
HU	icd//umuD//poxB//malQ//
HcaR	ulaE//argH//
HdfR	
HigA	feaB//
HigB-HigA	acnA//
HipAB	frdA//rimK//
HipB	galE//ulaD//phnM//
HprR	hemL//paaY//
HypT	purH//fadD//
IclR	moaC//sbcD//accA//
IlvY	garR//
IscR	gadA//bioB//torA//ulaE//hycE//aroF//entH//
KdgR	purD//
KdpE	lpxC//
LacI	puuE//glcE//phnN//
LeuO	nanK//lsrK//ftnA//
LexA	atoB//ynfH//patD//bioD//gapA//fabH//icd//hcaC//gcvH//
LldR	astC//udp//
LrhA	
LsrR	caiA//hemL//uvrB//phnH//fumC//
MalI	argC//hemH//
MalT	ascB//uxuA//hcaE//nagA//
MarA	yqjH//glcB//bioA//fabD//paaB//pnp//tdcB//hypF//nemA//argB//hcaC//hcaC//
MarR	
MatA	rbsD//
MazE	hyi//
MazE-MazF	uvrB//
McbR	
MelR	murG//argG//
MetJ	tauD//pflB//truB//melA//udp//
MetR	moaE//katG//cysE//
MhpR	hemL//nrfA//entC//puuB//relA//iscS//
Mlc	trpB//argF//pgaD//
MlrA	caiC//
MngR	phnO//ulaG//
MntR	moaD//
ModE	nrfA//murF//ilvC//paaK//fadE//mhpA//uxuA//paaB//aroG//eno//fabA//paaZ//mhpC//hcp//fumC//
MprA	atoD//
MqsA	mngB//nrdA//
MraZ	mpaA//deoB//trpE//xylB//fumB//tam//lpd//astC//adhE//glcE//
MurR	udp//ascB//slt//
Nac	murG//mhpF//acnA//rnpB//
NadR	accA//
NagC	yfdE//caiB//epd//nagA//nrfC//nrdE//nanA//rbsK//entH//tauD//adhE//pyrC//frdA//dgcZ//
NanR	purF//fabH//hyi//ssuD//dmsB//rhaD//
NarL	garK//galT//argE//phnM//alaC//feaB//hcaF//murF//ynfE//garK//trpA//araB//metF//accA//nagB//glxK//malP//pgaD//rbsK//poxB//citG//murF//nrdE//pflB//
NarP	ppsA//dmsB//wrbA//udp//hycD//zwf//gdhA//glmU//paaH//
NemR	dmsA//metF//
NhaR	mhpE//feaB//mpaA//rutD//fabH//
NikR	murG//
NimR	gltB//
NorR	rnpB//
NrdR	dkgA//citC//glpC//ftnA//
NsrR	relA//ribA//citG//cueO//cysM//tnaA//
NtrC	narI//wrbA//ilvC//phnM//astD//metE//ttdA//gloA//
OmpR	ruvB//recD//cadA//pnp//cynT//napB//bioF//uvrB//
OxyR	nfsB//nanE//murQ//galT//uvrB//rhaA//puuE//metC//aceB//katG//dapB//cadA//kbaZ//
PaaX	ttdB//nrfA//dgkA//nanK//dgkA//codA//mhpC//tyrB//trpE//
PdeL	bioB//
PdhR	adiA//atoB//purB//purA//astA//ogt//cadA//putA//nanM//cadA//pck//argD//cysE//pfkA//glcD//wrbA//gltB//cynT//deoD//ulaG//ribA//ilvC//
PepA	adhE//mhpB//
PgrR	dgcZ//ccp//
PhoB	slt//glpQ//trpD//glpB//ung//ppsA//eda//bioA//citG//fadJ//rhaA//puuB//nrfC//adiA//araA//
PhoP	frdA//glxR//sbcC//
PspF	guaB//
PurR	ada//paaY//garK//dmsB//ddlB//phoA//galK//xylA//argE//napA//tdcE//entA//
PutA	ogt//entA//
PuuR	tyrB//phnG//gltB//wzb//phnP//paaI//
QseB	
RbsR	umuD//dgkA//paaJ//gntK//purH//cyoE//
RcdA	hmp//
RclR	
RcnR	chbG//
RcsAB	dmsC//truB//
RcsB	fadI//dgkA//
RcsB-BglJ	kbaZ//malY//
RelB	paaC//
RelB-RelE	allA//
RhaR	
RhaS	ribA//entB//gcvH//iscS//
Rob	argG//ahpC//udp//bioF//
RstA	deoC//
RutR	iscS//appA//ttdA//aldA//pflB//puuD//gcvT//gcvP//galK//arsC//
SdiA	
SgrR	ygeA//lpxC//phnG//
SlyA	ccp//paaB//katG//citG//poxB//caiA//glcD//folE//uvrB//
SoxR	argC//
SoxS	fabH//ubiX//rnpB//bioC//adiA//nrdE//paaA//ulaE//hycF//nrfA//tdcE//deoD//deoD//ulaE//mtlD//phnM//
StpA	purD//
SutR	moaC//glpK//
TdcA	mtlD//putA//metA//pdeR//paaF//
TdcR	purF//atoB//chbG//entH//purM//
TorR	dmsC//nrdB//caiD//ynfF//
TreR	hycD//aceF//
TrpR	purM//add//icd//ssuE//purN//sodA//moaD//hmp//tdcB//
TtdR	gloA//purH//
TyrR	alkA//dgcZ//icd//dapB//ppsA//rutE//relA//mdh//hcp//
UhpA	rbsK//
UlaR	pyrC//polB//glpX//entF//ahpF//
UvrY	pdeR//murG//
UxuR	caiC//nrdB//recD//
XylR	mdh//paaG//hycD//
YdeO	argB//arsC//nanA//
YefM	citD//
YefM-YoeB	frc//
YhaJ	
YjjQ	
YpdB	
YqhC	codA//dmsA//
YqjI	ruvB//
ZntR	ndh//
ZraR	
Zur	pdeR//
