# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	aceB//recF//
LrhA	
LsrR	ttdB//umuC//ruvA//arsC//entA//
MalI	nfsA//hycB//
MalT	deoD//fabB//trpC//adhE//
MarA	nanM//gpmA//lpd//dmsB//galE//moaA//paaZ//nirB//argI//melA//gadA//hypF//
MarR	
MatA	tam//
MazE	fumC//
MazE-MazF	ddlB//
McbR	
MelR	kbaY//phnO//
MetJ	ndh//melA//nfsB//puuE//frdD//
MetR	truB//yedX//polB//
MhpR	lysC//purC//paaK//aceA//phnH//murE//
Mlc	fadD//puuA//astA//
MlrA	slt//
MngR	garR//trpB//
MntR	gltB//
ModE	ddlB//glpK//cysM//glxR//patD//hycE//rsmH//rutA//pnp//glpQ//rutC//ulaF//bioF//ung//mngB//
MprA	malQ//
MqsA	recF//citG//
MraZ	ccp//entE//metC//fbaA//mhpF//trpE//hcaB//citC//ulaE//citC//
MurR	rsmH//aceF//puuE//
Nac	pgaB//lacA//ndh//hycD//
NadR	narI//
NagC	hcp//glcE//rutE//wrbA//murQ//ruvB//mtlD//mtlD//atoA//tnaA//guaB//pgk//murI//rhaA//
NanR	yfdE//paaC//cynS//puuC//tdcB//entF//
NarL	glpC//narH//mazG//gcvT//trpB//nagA//cysG//mdh//argC//lsrK//fbaA//acnA//moaD//ppiA//iscS//atoD//fau//dgcZ//astC//moaE//metA//pgk//hypF//tauD//
NarP	torA//hyaA//ldtD//ynfH//dmsA//gltD//polA//hycC//murF//
NemR	paaY//iscS//
NhaR	tdcE//glpC//galE//ssuD//accD//
NikR	fadE//
NimR	cysE//
NorR	deoD//
NrdR	pnp//phnL//argI//citD//
NsrR	napH//ynfE//lysC//araD//mtlD//pflB//
NtrC	fadI//fadE//tdcB//ahpC//hypF//waaZ//citE//nrdD//
OmpR	sufS//feaB//mdh//rsmH//fabG//citE//purC//aldA//
OxyR	accC//argD//nfsA//hcaB//oxc//ahpC//purB//yqjH//fabH//gloA//wzc//waaY//ugpQ//
PaaX	pgaC//glmU//pyrC//ynfG//lacA//alaC//citX//polB//astB//
PdeL	cadA//
PdhR	citE//glcE//umuC//citD//astD//tdcD//murQ//fadI//argB//ribA//pgaC//entF//dgcC//yqhD//allB//argG//purH//katG//cueO//atoB//nanK//glpC//
PepA	melA//eda//
PgrR	cynT//paaG//
PhoB	sodA//bioD//mhpD//paaJ//frdB//nfsB//oxc//aroF//hyaB//aroH//bioA//purF//lsrK//xylB//dgcC//
PhoP	lldD//deoA//pykF//
PspF	aroL//
PurR	murD//bioD//ribA//ubiX//accC//gltD//gloA//hycE//glmU//napH//mhpD//fbaA//
PutA	hcaC//feaB//
PuuR	nanE//dkgA//argD//glpQ//phnG//hypB//
QseB	
RbsR	ynfG//caiB//uxuA//frc//tam//cynS//
RcdA	aroH//
RclR	
RcnR	hyaA//
RcsAB	pgk//atoA//
RcsB	paaH//hyaC//
RcsB-BglJ	nrdD//aroL//
RelB	rsmH//
RelB-RelE	nrfC//
RhaR	
RhaS	lsrK//argH//astA//glpC//
Rob	argI//glyA//hycC//phnN//
RstA	trpD//
RutR	hycD//accC//glpB//ndh//lysC//uxuB//rutD//ssuE//nanK//pyrC//
SdiA	
SgrR	xylA//paaA//pflB//
SlyA	puuA//polA//nfsB//caiA//phnL//ldtD//recB//ssuD//lldD//
SoxR	sbcC//
SoxS	ynfE//ung//paaZ//metF//polA//wzb//caiC//puuE//cysM//ttdA//hyaC//pflB//citX//argA//moaE//polB//
StpA	argA//
SutR	caiB//nanA//
TdcA	kbaZ//purM//nanM//rimK//nrdA//
TdcR	ynfG//moaE//phoA//uxuB//torC//
TorR	ssuD//waaY//rutB//dmsA//
TreR	rbsK//mhpC//
TrpR	murQ//ulaF//melA//puuE//wrbA//wrbA//cyoE//fau//aspA//
TtdR	trpB//murQ//
TyrR	nemA//melA//galE//nagA//trpC//eno//rhaA//mazG//hycD//
UhpA	cynS//
UlaR	trpD//fabB//fau//rimK//recF//
UvrY	allB//cysM//
UxuR	nrdB//ynfE//moaE//
XylR	nemA//glmU//aceA//
YdeO	hcp//purA//waaY//
YefM	narG//
YefM-YoeB	gloA//
YhaJ	
YjjQ	
YpdB	
YqhC	nfsB//ahpF//
YqjI	rutA//
ZntR	hyaB//
ZraR	
Zur	bglB//
