# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	chbG//mhpC//
NarL	mraY//ydcS//hycF//yfdE//add//lpd//polA//feaB//pyrC//glcF//astB//phnM//ssuE//glcE//puuE//nagA//pdeL//aceF//tauD//murD//hyaB//hycD//mhpD//galE//
NarP	nrdE//pnp//ulaF//mhpC//deoC//add//trpD//treC//araB//
NemR	tam//katG//
NhaR	atoA//citF//rnpB//frdD//ccp//
NikR	uvrB//
NimR	fes//
NorR	nfsA//
NrdR	purB//dmsA//codA//hycF//
NsrR	nanM//bioD//murC//poxB//lsrK//ubiX//
NtrC	aceE//garR//sbcD//nfsA//pflB//fabD//fbaA//phnO//
OmpR	araA//purF//cynT//srkA//aceE//lysC//astA//hcp//
OxyR	entB//purB//mhpE//mhpE//chbF//aceE//gltD//pgaB//rnpB//pspE//accC//phnH//eda//
PaaX	arsC//torA//cysG//tyrB//hycB//murQ//gntK//frc//moaE//
PdeL	ynfH//
PdhR	glpB//deoD//pdeL//purB//lsrG//argH//frdB//caiC//cysG//folA//trpD//rutB//gltB//glcF//ribA//ppsA//rhaD//waaZ//dapD//ahpF//rutC//astB//
PepA	cysE//glpD//
PgrR	aroL//mhpB//
PhoB	paaG//mhpC//putA//cdd//ldtC//trpD//cynT//nfsA//dmsB//aceB//ppsA//araD//fadD//sodA//waaZ//
PhoP	glcF//rsmH//phnN//
PspF	zwf//
PurR	murD//epd//puuD//folE//hycC//citE//glyA//ftnA//cdd//moaD//ruvA//fadI//
PutA	umuC//paaI//
PuuR	fadJ//tynA//glxK//lpd//nirD//pfkA//
QseB	
RbsR	lacZ//frdD//rsmH//wrbA//tdcD//fabA//
RcdA	astE//
RclR	
RcnR	phnL//
RcsAB	paaB//fabI//
RcsB	pgaD//gcvH//
RcsB-BglJ	lsrF//hyaB//
RelB	nfsA//
RelB-RelE	entC//
RhaR	
RhaS	tdcE//citC//paaZ//lpd//
Rob	ada//tynA//fes//glpC//
RstA	mpaA//
RutR	lsrF//mhpE//fdhF//aldA//phnH//tdcB//murF//paaG//phnO//ynfG//
SdiA	
SgrR	puuC//dmsC//wzc//
SlyA	entC//mazG//hycE//paaF//nrdD//metF//hemH//gadA//pgaC//
SoxR	ribA//
SoxS	purN//phnJ//purF//umuC//nfsA//pdeL//fabD//bioA//aceF//nrfA//allA//gdhA//pgaD//dgcZ//hycD//waaZ//
StpA	fabG//
SutR	fadH//dapB//
TdcA	cynS//bioD//nrdD//dgkA//napB//
TdcR	ppiA//nanM//fadD//pdeL//deoB//
TorR	nrdD//glcE//citE//pdeL//
TreR	entD//galK//
TrpR	gloA//wrbA//ada//glcD//cysG//glpC//frdB//nanA//pflB//
TtdR	kbaZ//folE//
TyrR	atoA//zwf//fabD//ftnA//nanM//add//pnp//phnH//ldtD//
UhpA	phnP//
UlaR	gntK//pgaD//rimK//glcD//ulaG//
UvrY	argH//puuC//
UxuR	ruvB//frdC//ygeA//
XylR	tdcG//caiD//rutA//
YdeO	ychF//rutE//nagA//
YefM	paaF//
YefM-YoeB	edd//
YhaJ	
YjjQ	
YpdB	
YqhC	eno//argD//
YqjI	paaB//
ZntR	glmS//
ZraR	
Zur	rutC//
