# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fabA//ulaD//
ModE	hypB//pgaC//glmS//tyrB//hyi//polA//guaB//cysE//fadE//lsrF//hemH//sufS//gltB//phnL//fbaA//
MprA	deoB//
MqsA	ynfE//ftsI//
MraZ	atoD//dmsC//mhpB//pspE//purB//rhaB//araB//paaG//paaC//fes//
MurR	murF//nadB//hemH//
Nac	nagB//nrfA//sbcC//rutC//
NadR	bioD//
NagC	hcp//torA//rbsK//tam//hcaF//caiD//lldD//allB//paaB//tdcD//murF//melA//murC//nrdD//
NanR	pgaC//truB//entF//folE//chbG//paaC//
NarL	appA//paaF//gntK//edd//astC//lpxC//nrfC//nanM//atoA//argF//trpD//hemL//paaJ//deoB//cyoE//oxc//gltB//hcaD//murD//ndh//yqhD//paaZ//mhpF//torC//
NarP	argC//ung//fadE//nagB//gcl//metC//astA//nirB//fabD//
NemR	ulaD//lsrG//
NhaR	nemA//lacA//tdcD//ynfF//mhpC//
NikR	napG//
NimR	lldD//
NorR	nirD//
NrdR	pyrC//treC//tyrB//cadA//
NsrR	gadB//lacZ//aroF//adiA//fumC//xylB//
NtrC	malQ//cysM//aldA//ubiX//recB//nrdA//glpD//glpK//
OmpR	puuD//napA//aceF//hcaE//atoB//gcvT//ssuE//rhaA//
OxyR	aroL//napA//pspE//caiD//pflB//ldtC//atoD//guaB//pdeL//melA//recF//udp//malP//
PaaX	nagB//metE//purB//narH//iscS//fadD//bioA//deoD//argE//
PdeL	gcvT//
PdhR	paaB//ldtD//puuA//tdcD//pfkA//paaG//paaC//caiB//lsrK//rsmH//purA//aceF//atoD//treC//argH//ddlB//purH//wrbA//tdcB//guaA//recB//bioD//
PepA	ribA//gadA//
PgrR	deoB//narH//
PhoB	hyaA//cysG//arsC//cyoE//citF//purM//mazG//ssuE//pgk//ogt//ada//entB//moaA//frdA//mngB//
PhoP	recD//gltB//rutD//
PspF	pnp//
PurR	chbF//nfsB//fadI//phnN//paaH//folE//lldD//murQ//frc//tam//fbaA//bioB//
PutA	cyoE//rutA//
PuuR	entC//moaC//gadA//mhpD//glmU//relA//
QseB	
RbsR	sodA//ddlB//lacA//adhE//truB//gloA//
RcdA	ruvB//
RclR	
RcnR	frdD//
RcsAB	uxuA//polB//
RcsB	ogt//kbaY//
RcsB-BglJ	luxS//glpA//
RelB	argE//
RelB-RelE	ynfG//
RhaR	
RhaS	entC//wzb//uxuA//gcl//
Rob	tyrB//gadB//yqhD//umuD//
RstA	ulaE//
RutR	gdhA//uxuB//cadA//entH//ugpQ//nrdA//cdd//ascB//tnaA//ynfH//
SdiA	
SgrR	purB//gntK//tnaA//
SlyA	nagA//glcE//rbsD//udp//hcaC//dgkA//fabB//caiB//dgcZ//
SoxR	hycB//
SoxS	gcl//lsrF//pck//nrdF//gcvP//citG//araB//hycD//ftnA//mhpE//appA//deoA//phnI//phoA//gntK//rbsK//
StpA	hycD//
SutR	argD//galE//
TdcA	napB//alkB//nanE//recB//cysG//
TdcR	argB//poxB//hycB//deoB//hypB//
TorR	argI//paaB//argC//fbaA//
TreR	fabB//mraY//
TrpR	napA//feaB//ribA//alaS//uxuB//pdeL//mngB//purH//nanM//
TtdR	folE//tdcE//
TyrR	lacZ//dgcC//wrbA//dkgA//umuD//glpD//ttdB//pykF//bioA//
UhpA	fabA//
UlaR	tdcG//astA//hemH//glcB//paaJ//
UvrY	udp//nfsA//
UxuR	eno//cynS//deoA//
XylR	nadB//pgaC//pyrC//
YdeO	murC//paaY//glpA//
YefM	deoA//
YefM-YoeB	fumB//
YhaJ	
YjjQ	
YpdB	
YqhC	puuA//ssuE//
YqjI	torA//
ZntR	atoA//
ZraR	
Zur	entE//
