# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	phnH//gdhA//
KdpE	add//
LacI	galE//glpX//entF//
LeuO	melA//caiC//purC//
LexA	mhpE//truB//mhpD//argA//mraY//pgaD//gpmA//gloA//tdcB//
LldR	dkgA//dapB//
LrhA	
LsrR	hypF//frdB//fdhF//hyaA//atoD//
MalI	glcF//paaZ//
MalT	astE//purC//lsrG//citD//
MarA	frdD//tauD//hycF//astD//lpd//cysG//lpd//ynfH//phnG//rutB//guaA//entB//
MarR	
MatA	nanA//
MazE	putA//
MazE-MazF	lpxC//
McbR	
MelR	ilvC//citF//
MetJ	astA//pspE//sodA//lpd//napG//
MetR	ynfE//torC//dgcZ//
MhpR	xylA//fumC//ssuD//cysK//malP//argF//
Mlc	murC//citF//yqjH//
MlrA	atoA//
MngR	fadE//fadD//
MntR	ahpF//
ModE	ascB//eda//metE//fadE//hemH//umuC//codA//rutA//ftsI//phnN//dapB//argG//aroL//alaC//nanK//
MprA	glpQ//
MqsA	gltB//mdh//
MraZ	mtlD//nrfA//argB//astB//hyaA//fabA//deoA//treC//guaB//murQ//
MurR	gntK//glxK//pflB//
Nac	yedX//iscS//fes//entC//
NadR	tdcD//
NagC	yqhD//aroF//citX//nrfD//purN//pflB//icd//malQ//aldA//tauD//citC//nfsB//fabH//moaE//
NanR	truB//astE//cynS//paaG//astC//tam//
NarL	lacA//zwf//rimK//mtlD//nrdE//codA//rutE//nirB//ruvB//chbG//ssuE//fau//argB//glpK//purN//guaA//nrdE//allB//epd//uxuB//caiB//umpH//paaI//hycB//
NarP	caiB//ilvC//ychF//folA//ribA//cdd//fumC//narI//ppiA//
NemR	paaJ//cadA//
NhaR	edd//ugpQ//glpA//gltB//ftnA//
NikR	argI//
NimR	bioB//
NorR	hyaC//
NrdR	alkB//phnM//fadH//galE//
NsrR	gcl//tauD//hyaA//ccp//astA//fumB//
NtrC	metE//purF//entA//caiC//hyaC//aroH//arsC//aroL//
OmpR	ftnA//moaD//tynA//mhpF//eno//gloA//nrdF//gadB//
OxyR	gdhA//mhpF//uvrB//fau//nemA//narG//glpA//ttdA//hyaC//gloA//glmU//dmsC//carB//
PaaX	paaF//argE//moaD//rutA//nirD//phnH//ahpC//gltD//ada//
PdeL	citE//
PdhR	cynS//murG//araB//ldtC//deoA//purB//rsmH//ribA//treC//zwf//hycE//pgaB//glyA//astC//uvrB//dmsB//purN//polB//galE//gcvH//mhpA//nanA//
PepA	mngB//ahpC//
PgrR	dmsB//citE//
PhoB	uxuB//fes//gcl//paaH//phnP//tyrA//glcB//citE//moaA//ulaE//tauD//argE//caiD//galK//zwf//
PhoP	treC//entE//bioD//
PspF	mpaA//
PurR	rbsK//torC//yfdE//ugpQ//glcB//purA//fau//mpaA//ttdA//ldtC//glyA//guaB//
PutA	nrdD//pykF//
PuuR	pnp//ulaG//galE//pfkA//putA//fabI//
QseB	
RbsR	dgcC//ulaD//ftsI//nrfD//garR//narH//
RcdA	allB//
RclR	
RcnR	purD//
RcsAB	caiB//rutA//
RcsB	entA//araB//
RcsB-BglJ	ndh//deoD//
RelB	pgaC//
RelB-RelE	puuD//
RhaR	
RhaS	wzb//moaE//ddlB//nanM//
Rob	wzb//pflB//fadH//aceF//
RstA	tnaA//
RutR	mngB//icd//adhE//sodA//gloA//metA//ulaF//cueO//fabD//waaY//
SdiA	
SgrR	gadB//argI//appA//
SlyA	ssuD//hcaE//epd//citD//ldtC//ung//alkB//edd//glpC//
SoxR	malY//
SoxS	nanA//carA//fadI//aroF//rhaD//ldtD//feaB//fau//ugpQ//citC//cynT//rhaD//citX//murD//folA//bioF//
StpA	deoD//
SutR	hycD//argH//
TdcA	araB//fabG//yqjH//edd//pnp//
TdcR	pfkA//argC//wzc//fadI//gcl//
TorR	glpD//hyaA//torC//appA//
TreR	malY//gcvT//
TrpR	ulaD//uxuB//hycG//pdeL//adiA//fabG//hcp//gloA//hcaE//
TtdR	hmp//truB//
TyrR	dgcC//ssuD//pnp//frdC//slt//purN//phnP//chbG//fabI//
UhpA	lsrF//
UlaR	hcaD//phoA//fadD//paaH//pgaD//
UvrY	hycF//rutD//
UxuR	napH//tdcE//codA//
XylR	allA//ftnA//tdcG//
YdeO	cysM//mngB//ddlB//
YefM	xylA//
YefM-YoeB	moaE//
YhaJ	
YjjQ	
YpdB	
YqhC	gapA//mraY//
YqjI	pgaD//
ZntR	trpE//
ZraR	
Zur	tnaA//
