# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fadI//gntK//
RcsB-BglJ	glyA//galK//
RelB	appA//
RelB-RelE	lacA//
RhaR	
RhaS	fabB//wzb//katG//mngB//
Rob	eda//ynfG//trpB//purB//
RstA	ygeA//
RutR	fabG//ulaF//hypB//cysG//hypF//hycG//gltB//accD//fabI//lacZ//
SdiA	
SgrR	mpaA//deoA//bglB//
SlyA	paaH//phoA//cysM//edd//purB//ribA//hycG//pgk//paaK//
SoxR	ttdA//
SoxS	lpxC//citX//phnH//argE//ulaD//recD//paaZ//fumB//ydcS//phnN//purM//uxuB//rnpB//kbaY//tynA//deoC//
StpA	nfsA//
SutR	argI//trpA//
TdcA	bglB//paaK//pykF//hcaF//rutD//
TdcR	gdhA//ahpC//bioB//glpB//puuC//
TorR	frc//aceE//ftnA//appA//
TreR	hemL//murG//
TrpR	murF//umuD//poxB//glyA//dmsB//ynfG//argG//argC//entB//
TtdR	torA//hyaA//
TyrR	metA//rutB//recB//wrbA//nrdB//purA//bioC//metF//torA//
UhpA	accD//
UlaR	murG//purM//folE//ynfE//glpC//
UvrY	atoB//gcvP//
UxuR	lsrF//eda//lldD//
XylR	yedX//bioD//moaD//
YdeO	ruvB//phnJ//fabH//
YefM	gntK//
YefM-YoeB	truB//
YhaJ	
YjjQ	
YpdB	
YqhC	rutA//hcaD//
YqjI	fabA//
ZntR	gadB//
ZraR	
Zur	lsrG//
