# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysM//araB//
RcsB	fabD//aceA//
RcsB-BglJ	hycF//eda//
RelB	glpC//
RelB-RelE	caiD//
RhaR	
RhaS	nrdD//nanK//citG//fau//
Rob	phnN//putA//tdcG//lysA//
RstA	rbsD//
RutR	murE//yedX//aceA//paaZ//fbaA//paaK//ahpC//fdhF//moaD//hmp//
SdiA	
SgrR	citD//paaA//tyrA//
SlyA	dmsC//rutD//argA//phnI//cueO//nagA//gdhA//wrbA//caiD//
SoxR	argB//
SoxS	torC//bioF//glcB//citG//pnp//argE//zwf//cadA//tnaA//ung//fabH//hyaA//tynA//malQ//glpC//ynfF//
StpA	fumB//
SutR	lldD//murQ//
TdcA	dapB//rhaD//metC//sodA//lysC//
TdcR	caiC//argC//yqhD//bioB//narI//
TorR	feaB//nanK//astE//mngB//
TreR	luxS//trpC//
TrpR	aceA//polB//cdd//hcaD//garL//napB//glxK//rutE//mtlD//
TtdR	malQ//pdeR//
TyrR	tynA//dapB//gcvH//bioA//dmsB//umuC//pyrC//ascB//mtlD//
UhpA	hyaA//
UlaR	nagB//hcaC//citF//uvrB//ynfF//
UvrY	waaZ//entE//
UxuR	malQ//accA//pdeR//
XylR	patD//fadI//glxK//
YdeO	caiB//garK//allB//
YefM	dmsA//
YefM-YoeB	ribA//
YhaJ	
YjjQ	
YpdB	
YqhC	rsmH//puuE//
YqjI	astD//
ZntR	melA//
ZraR	
Zur	sbcD//
