# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glpK//chbF//
MngR	murC//udp//
MntR	cysK//
ModE	carA//wzb//hypB//dkgA//hemH//cadA//fadH//ruvB//cysM//moaC//fabD//ynfE//pspE//ascB//rhaD//
MprA	patD//
MqsA	waaY//cysG//
MraZ	bioD//uvrB//deoC//aroG//tdcB//tdcE//appA//rimK//glpB//purN//
MurR	rhaD//ynfG//phnG//
Nac	gpmA//aldA//lacZ//hemL//
NadR	gpmA//
NagC	purD//fdhF//glcE//lsrK//gntK//nanE//yedX//garL//ynfG//xylB//dgcZ//hycD//hycD//acnA//
NanR	araA//narG//cadA//rhaD//aldA//fau//
NarL	nemA//hyaA//uxuA//ssuE//dmsC//ulaD//ycjG//allA//fes//caiB//gcvH//nrfC//fumC//trpD//galM//hyaC//cynT//folE//glpX//frdC//eno//yfdE//fau//pdeR//
NarP	fabI//aceA//purA//astB//gpmA//hycG//aceE//trpB//sbcC//
NemR	yedX//cysG//
NhaR	edd//gadA//astC//bioD//ubiX//
NikR	metA//
NimR	mhpA//
NorR	galE//
NrdR	accC//phnJ//ydcS//pck//
NsrR	ahpC//yedX//hycD//hycB//sufS//sbcD//
NtrC	cadA//epd//katG//katG//rutA//hycG//nanM//phoA//
OmpR	pdeL//murQ//phnH//waaZ//yqhD//malY//glpX//hycG//
OxyR	purN//cysM//hemL//waaZ//pykF//metE//mhpB//citF//umuC//fadI//folE//cysG//narH//
PaaX	ddlB//phnG//pnp//garL//pdeR//hycC//glpK//mhpA//atoB//
PdeL	ndh//
PdhR	argI//guaB//lsrG//fabA//dkgA//ulaF//ndh//bioF//ugpQ//carA//kbaY//mtlD//atoD//rhaD//hycC//nfsA//lysC//garK//paaF//argA//ribA//gloA//
PepA	paaF//dapB//
PgrR	lpxC//atoD//
PhoB	ynfG//nadB//aceB//aceE//trpC//lsrG//rimK//hcaE//allB//glyA//glpQ//ulaE//ccp//hyi//fabH//
PhoP	fadH//nanM//aceA//
PspF	hyaB//
PurR	putA//eda//alkA//phnP//putA//ahpF//argD//atoB//aroG//frdD//murD//napH//
PutA	murQ//gpmA//
PuuR	phnJ//glpA//paaE//astD//ruvA//nrdF//
QseB	
RbsR	galM//nrdF//fdhF//metA//gapA//nrfC//
RcdA	aceB//
RclR	
RcnR	ada//
RcsAB	ynfE//waaZ//
RcsB	napG//cysG//
RcsB-BglJ	icd//murD//
RelB	nanE//
RelB-RelE	frdA//
RhaR	
RhaS	malP//nrfD//astB//icd//
Rob	glpB//chbG//malY//phnG//
RstA	uxuB//
RutR	hyaA//rimK//lsrF//nirB//trpA//phnI//rhaA//hemL//trpA//paaA//
SdiA	
SgrR	ugpQ//purD//gntK//
SlyA	fabI//metC//alaC//umuD//aroL//trpE//aldA//mhpF//purD//
SoxR	caiD//
SoxS	fdhF//mhpB//metE//aldA//paaY//wzb//folE//dgcZ//hyi//tdcB//uxuB//cyoE//sbcD//malY//entD//ydcS//
StpA	cynS//
SutR	astC//deoA//
TdcA	cueO//fadD//nrdB//fumB//nadB//
TdcR	garL//pck//glpB//argE//cysM//
TorR	gntK//glcB//glmU//galE//
TreR	cadA//polB//
TrpR	rbsK//cadA//paaE//ulaF//patD//lsrK//entB//purF//folE//
TtdR	mngB//murE//
TyrR	glpA//ynfF//argF//puuA//aceE//ygeA//pdeR//uxuB//bioC//
UhpA	entF//
UlaR	paaF//nrdB//ahpF//dkgA//carB//
UvrY	ulaE//rutC//
UxuR	hemH//alkB//ygeA//
XylR	astD//citC//aceB//
YdeO	glpC//nrfC//puuE//
YefM	carB//
YefM-YoeB	galT//
YhaJ	
YjjQ	
YpdB	
YqhC	mhpC//phnG//
YqjI	caiA//
ZntR	napA//
ZraR	
Zur	adiA//
