# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	yqhD//galT//
PuuR	mpaA//tynA//pgaC//bioB//wzb//ttdA//
QseB	
RbsR	add//uxuA//hyi//ilvC//dmsB//ssuD//
RcdA	narH//
RclR	
RcnR	ndh//
RcsAB	xylA//deoD//
RcsB	recF//nfsA//
RcsB-BglJ	carA//dapD//
RelB	gdhA//
RelB-RelE	rhaD//
RhaR	
RhaS	hcaD//allA//carB//ulaG//
Rob	puuA//wrbA//hycE//glpC//
RstA	recF//
RutR	pck//purN//lacA//nagA//tam//garK//paaY//citG//rimK//zwf//
SdiA	
SgrR	uxuA//ruvB//bglB//
SlyA	pnp//frdA//alkA//deoB//ruvB//hyaB//aroG//phnO//pgaC//
SoxR	puuB//
SoxS	ruvA//narG//hemH//ugpQ//ulaG//glcD//rimK//garK//fau//argA//adiA//murF//entE//umuD//recB//frdB//
StpA	glcF//
SutR	bioA//murF//
TdcA	phnL//yedX//nagB//tdcG//napG//
TdcR	eda//gdhA//murF//torA//feaB//
TorR	lsrF//atoD//nirD//entH//
TreR	fabB//phnO//
TrpR	ilvC//glpD//nrdB//pdeR//glpQ//lacA//tdcG//fadE//lpxC//
TtdR	rsmH//fadI//
TyrR	nrdF//metE//ygeA//fabG//hycG//gadA//tam//nrdE//glcE//
UhpA	ycjG//
UlaR	waaZ//nrdA//hemL//allA//fes//
UvrY	purH//ydcS//
UxuR	ssuD//luxS//nanM//
XylR	gloA//caiC//nanM//
YdeO	trpD//dmsC//puuA//
YefM	torC//
YefM-YoeB	lpd//
YhaJ	
YjjQ	
YpdB	
YqhC	ynfG//phnG//
YqjI	glcB//
ZntR	entF//
ZraR	
Zur	nanM//
