# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	adiA//dmsC//
OmpR	argC//guaB//aceA//paaG//rutD//polB//hyaC//rimK//
OxyR	entE//murC//fumC//metF//bglB//purD//phnL//mhpE//tauD//tyrB//malQ//melA//ulaF//
PaaX	accD//glmU//paaY//slt//deoB//glpA//malP//ynfE//nemA//
PdeL	glpA//
PdhR	nfsA//fes//dapD//mngB//nrfD//hyaC//accD//gcvP//folE//katG//gcvP//gapA//bioD//pfkA//hemH//murG//malP//icd//accA//gcvT//glyA//paaJ//
PepA	edd//cueO//
PgrR	frdA//nirD//
PhoB	alkA//ogt//galE//fabA//fabI//mhpF//umuC//hyaB//metE//entC//carA//deoA//argH//tam//deoA//
PhoP	atoD//edd//nadB//
PspF	relA//
PurR	recD//gdhA//ftnA//hcaD//hcaE//pfkA//add//fes//mngB//lacA//entB//nanK//
PutA	ascB//uvrB//
PuuR	rhaD//cysG//iscS//garK//fadD//ldtC//
QseB	
RbsR	bglB//dgkA//sbcC//hypF//rbsK//hmp//
RcdA	sbcD//
RclR	
RcnR	ung//
RcsAB	aroH//malY//
RcsB	frdB//rutB//
RcsB-BglJ	glpK//ttdA//
RelB	oxc//
RelB-RelE	bglB//
RhaR	
RhaS	phnJ//ilvC//tdcE//mpaA//
Rob	bioC//rhaD//gcvT//tnaA//
RstA	nadB//
RutR	lpd//umpH//paaG//rutB//sbcD//paaF//fabD//yedX//grxA//nanK//
SdiA	
SgrR	hyaB//napA//phnJ//
SlyA	gcvH//hyaC//puuC//hcaD//fabD//hcaF//purD//fdhF//tdcG//
SoxR	deoB//
SoxS	argG//fadH//lacA//umpH//hcaB//rsmH//chbF//metA//fumB//fabD//pykF//glmS//nanM//gcl//pgaC//cueO//
StpA	cysK//
SutR	accA//hyaB//
TdcA	fabH//lsrG//citG//murI//rhaA//
TdcR	glyA//lysC//citF//srkA//garL//
TorR	carB//fabD//phnN//glpX//
TreR	nanM//lysA//
TrpR	nanA//paaB//hypB//adhE//argA//ttdA//paaZ//rutD//glcF//
TtdR	hyaA//folE//
TyrR	codA//accC//epd//iscS//tauD//lldD//mraY//gcvH//uxuA//
UhpA	gcvT//
UlaR	slt//citX//ynfH//grxA//hyi//
UvrY	paaJ//nanK//
UxuR	pflB//icd//wzb//
XylR	hycF//ruvB//dmsB//
YdeO	hyaA//ynfE//umuC//
YefM	murI//
YefM-YoeB	entB//
YhaJ	
YjjQ	
YpdB	
YqhC	paaC//folA//
YqjI	add//
ZntR	cynS//
ZraR	
Zur	caiD//
