# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hycC//malY//
DinJ-YafQ	fadH//
DnaA	citG//bioC//gntK//pspE//hyaB//umpH//
DpiA	purA//aroF//frc//pspE//purA//
EnvR	pfkA//napH//
EvgA	napA//tynA//phnG//accD//treC//
ExuR	
FabR	astB//treC//tynA//
FadR	bioA//paaB//glpX//ldtC//cysG//dkgA//carB//gadA//xylB//accD//aroH//kbaY//yqjH//trpD//rbsK//
FeaR	murF//uvrB//
FhlA	alkB//waaY//ribA//tnaA//rbsD//slt//paaJ//
FlhDC	entE//astC//
FliZ	fes//entA//gcvH//fabA//ycjG//
Fur	phnH//glpQ//glpB//glcB//paaJ//chbF//nfsB//pspE//lsrK//adiA//bglB//uxuA//mhpE//murG//cynT//gcvH//astB//nanK//fabA//hcp//galT//hycC//yedX//gntK//ung//hemL//argA//ldtD//ssuD//napG//cysG//
GadE	nanA//waaZ//mazG//
GadE-RcsB	araD//mhpE//paaI//codA//recB//
GadW	nanE//hcp//bioF//
GadX	atoA//dmsA//gcvP//hcaB//sbcC//
GalR	lacZ//luxS//udp//nfsB//melA//
GalS	ruvA//mazG//paaZ//napH//recB//
GcvA	yedX//gpmA//lpxC//
GlcC	glcF//nagA//putA//
GlpR	ubiX//rsmH//hcaE//recD//glpB//citE//malQ//
GlrR	
GntR	aldA//rimK//paaI//sodA//srkA//
HU	phnJ//nanM//malP//ada//
HcaR	puuB//torC//
HdfR	
HigA	fabG//
HigB-HigA	frdB//
HipAB	sbcD//entD//
HipB	recB//mhpF//frdD//
HprR	argI//murF//
HypT	glmU//gltB//
IclR	aroF//cysG//trpD//
IlvY	cysG//
IscR	fadH//phnP//ldtD//argG//ulaD//recB//nrfA//
KdgR	napH//
KdpE	hycC//
LacI	cdd//fadJ//gcvP//
LeuO	ftnA//fdhF//guaB//
LexA	guaA//atoA//oxc//nemA//narG//accA//paaB//galE//katG//
LldR	nagA//tyrB//
LrhA	
LsrR	gadA//ruvB//argG//nanM//entB//
MalI	entD//tam//
MalT	fadE//argC//phnM//glxK//
MarA	glpD//nrdA//metA//poxB//mtlD//dapD//rsmH//frdA//nemA//allA//wzb//murG//
MarR	
MatA	slt//
MazE	paaG//
MazE-MazF	fumB//
McbR	
MelR	phnG//ttdB//
MetJ	fes//paaG//dmsA//fabH//trpC//
MetR	paaK//uxuA//purB//
MhpR	dkgA//hcaB//ynfG//rutB//feaB//fadD//
Mlc	ftsI//ruvB//murQ//
MlrA	nadB//
MngR	glcF//entH//
MntR	frdD//
ModE	argH//entC//ynfH//galT//aroF//caiC//ung//araD//tauD//pgk//accD//umuC//udp//umuC//cynT//
MprA	glpK//
MqsA	edd//citE//
MraZ	mhpB//rutA//hemL//polB//pgaB//glcE//slt//hycB//folE//eda//
MurR	pyrC//puuB//wzb//
Nac	paaZ//hcp//glcD//argF//
NadR	atoA//
NagC	epd//rbsD//feaB//pck//nagB//mhpE//ulaD//eda//citD//mngB//caiA//phnO//ahpF//hypB//
NanR	purM//paaF//ulaD//moaA//pgaB//cynS//
NarL	glyA//paaC//pgaB//rimK//purM//slt//fbaA//treC//codA//fumB//aceF//hyaC//nrfD//recD//glcD//nrdE//lsrG//sodA//tam//purA//polA//nagB//araD//fadH//
NarP	gapA//citD//gltD//araB//lsrK//rbsK//chbG//rutC//fadH//
NemR	gcvH//citD//
NhaR	truB//yqjH//glcF//aroF//fumC//
NikR	adhE//
NimR	fau//
NorR	puuD//
NrdR	glcF//dgcZ//aceF//hypB//
NsrR	napH//bioA//cysE//pgk//puuE//ruvB//
NtrC	pdeL//nrdB//trpB//eda//frdA//pdeL//recF//nrfD//
OmpR	argD//nrdB//codA//yqjH//eno//ppsA//gltB//allB//
OxyR	edd//ldtC//fabB//aspA//ahpF//eda//paaF//fabB//uxuB//pdeL//sufS//purF//pspE//
PaaX	nrdB//nrdF//garK//uvrB//ribA//gcvT//hcaC//eda//phoA//
PdeL	trpE//
PdhR	puuB//edd//nagB//galM//paaZ//astD//entA//cadA//folE//fabG//oxc//deoC//entC//cyoE//hycF//lysC//ulaG//dgcC//yqhD//mazG//tdcB//cueO//
PepA	lpd//phoA//
PgrR	hcaB//rbsK//
PhoB	hycF//fumC//waaZ//purA//mhpB//glpK//bioD//waaZ//ascB//paaF//sbcD//wzb//malY//trpD//araB//
PhoP	nfsA//tam//rbsD//
PspF	ydcS//
PurR	moaD//alkB//bioC//paaJ//pdeR//rsmH//fumC//ppiA//carA//argE//aceE//ldtD//
PutA	lsrK//nfsB//
PuuR	trpD//ruvB//adhE//caiB//trpE//paaC//
QseB	
RbsR	glxK//carB//umpH//pfkA//cysG//paaZ//
RcdA	bioC//
RclR	
RcnR	napG//
RcsAB	pyrC//phnM//
RcsB	murF//gloA//
RcsB-BglJ	bioA//dgcC//
RelB	glpC//
RelB-RelE	umuD//
RhaR	
RhaS	torA//tnaA//gapA//entD//
Rob	gadB//lysA//argF//luxS//
RstA	accD//
RutR	folE//astD//fabI//deoA//pyrC//nrdD//hycG//trpD//hemL//dmsA//
SdiA	
SgrR	hycG//cysE//argG//
SlyA	tnaA//murF//fabI//moaA//rutB//phnH//murG//bioD//glcF//
SoxR	ulaD//
SoxS	purA//cyoE//frc//ogt//iscS//fabA//adiA//frdD//citC//torC//ssuE//phnN//nirD//glmU//mhpE//folE//
StpA	gdhA//
SutR	aceE//malY//
TdcA	cadA//fadE//nrfA//gntK//napA//
TdcR	paaG//purA//phnN//moaC//glpK//
TorR	paaC//gntK//mhpE//argD//
TreR	paaY//pgaC//
TrpR	lsrK//nanK//purB//gdhA//lsrF//recB//aroG//ynfG//carA//
TtdR	alkA//tyrB//
TyrR	frdD//glpC//mtlD//ldtC//galT//ung//melA//glpB//ribA//
UhpA	umpH//
UlaR	relA//tam//glcE//frdA//nanA//
UvrY	gcvT//trpA//
UxuR	murD//nirB//sbcC//
XylR	nagA//argG//metA//
YdeO	ynfH//frdB//rutC//
YefM	umuD//
YefM-YoeB	ilvC//
YhaJ	
YjjQ	
YpdB	
YqhC	mraY//aroG//
YqjI	trpC//
ZntR	ldtD//
ZraR	
Zur	aceB//
