# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	murQ//phoA//
Fur	gadA//trpA//umpH//glnA//rimK//gcvH//murD//bioC//nrdA//aceA//rutB//patD//argD//ndh//citC//gpmA//argF//nrfA//phnL//phnN//purD//lpxC//frdB//mhpD//araB//rutD//lysC//frdB//entC//fumC//deoC//
GadE	cysG//putA//glpQ//
GadE-RcsB	rnpB//ppiA//murI//gadA//malY//
GadW	garL//folA//pyrC//
GadX	mpaA//katG//puuB//icd//citD//
GalR	phnL//rutC//ccp//zwf//mraY//
GalS	gadB//nfsA//fdhF//argC//appA//
GcvA	napB//gltD//frdB//
GlcC	ttdA//phnG//melA//
GlpR	eda//umuC//yedX//xylA//dapB//caiB//hemH//
GlrR	
GntR	glyA//accC//umuD//ascB//citX//
HU	accD//hcp//ydcS//murI//
HcaR	mhpF//galM//
HdfR	
HigA	mhpD//
HigB-HigA	ynfG//
HipAB	cueO//cdd//
HipB	aceA//pnp//hycD//
HprR	malY//garR//
HypT	yedX//sbcD//
IclR	ynfE//alkA//ppsA//
IlvY	hycF//
IscR	citE//hypB//ftsI//poxB//rbsK//lacZ//cadA//
KdgR	adhE//
KdpE	wzc//
LacI	puuC//ldtD//metF//
LeuO	phnH//glyA//pgaD//
LexA	mdh//guaB//argF//aceB//nrdB//ttdB//ahpF//murI//argD//
LldR	accD//metF//
LrhA	
LsrR	fadE//entH//aceE//hcaF//dapB//
MalI	bioB//luxS//
MalT	araB//nanA//murF//phnH//
MarA	hycF//entF//glmS//argA//paaA//waaY//glpA//gloA//fabA//ssuE//recD//tdcG//
MarR	
MatA	uvrB//
MazE	glxR//
MazE-MazF	glcB//
McbR	
MelR	rhaB//trpA//
MetJ	dapD//fabB//lpxC//nanE//chbF//
MetR	rutD//nfsA//tnaA//
MhpR	puuE//ychF//rhaB//pfkA//ribA//hycF//
Mlc	mtlD//feaB//ychF//
MlrA	uxuA//
MngR	trpE//glcF//
MntR	moaE//
ModE	fumB//murG//nagB//ubiX//xylB//glpD//ugpQ//truB//polA//hycE//mazG//frdB//nanE//arsC//metA//
MprA	pgaD//
MqsA	glmU//glpB//
MraZ	nrdD//ygeA//ruvB//aceE//ascB//ahpC//entF//iscS//ssuE//ulaG//
MurR	bioC//galM//nanM//
Nac	ynfE//mhpF//alkB//pgk//
NadR	trpC//
NagC	hemH//rutC//nanK//nanK//hmp//ssuD//hypF//tnaA//mhpE//purM//gcl//ssuE//glxK//ulaG//
NanR	rbsK//malQ//hycD//ssuE//trpE//metC//
NarL	glpQ//metA//paaK//rbsD//ascB//argE//rutE//fadH//pgaD//recD//sufS//malY//glxR//glpB//astC//allA//nrfA//nrdF//astA//pgaD//entB//sodA//ldtC//ynfE//
NarP	tdcE//waaY//malP//nrdA//alaS//hycD//rsmH//hyaB//argB//
NemR	ugpQ//rhaD//
NhaR	ygeA//glpB//malP//cynS//napG//
NikR	ttdA//
NimR	melA//
NorR	moaD//
NrdR	pgaD//lysC//argD//purC//
NsrR	citC//tdcD//cyoE//ftsI//folE//lldD//
NtrC	frdA//citG//waaY//phnH//paaY//hycD//gadB//gltB//
OmpR	dkgA//pgaD//fadI//fadI//purN//argD//metF//carB//
OxyR	argG//gadB//polB//rnpB//ascB//fumB//nrfA//ycjG//tdcB//rnpB//frdA//tdcE//glcE//
PaaX	caiC//rutC//cysK//ftnA//caiC//hyi//hycE//fdhF//dapD//
PdeL	bglB//
PdhR	rutD//rhaD//pfkA//galK//entH//paaA//ccp//garR//ilvC//gcvH//treC//frdC//phnG//murE//dmsB//ulaG//eno//phoA//ydcS//adiA//accC//purN//
PepA	nrdF//cueO//
PgrR	ccp//ulaG//
PhoB	entE//metA//deoD//gadB//paaB//purB//poxB//ddlB//puuE//lsrG//nrdF//gcvP//aldA//pck//rutA//
PhoP	napB//sodA//phnL//
PspF	nrdE//
PurR	ssuD//umuC//nfsB//accC//dapB//murQ//cynT//ynfF//nagA//nrfD//allB//entB//
PutA	lsrK//rhaB//
PuuR	ndh//aldA//aldA//gadA//hyi//slt//
QseB	
RbsR	pgaD//glpQ//rutE//pnp//entE//ttdB//
RcdA	garL//
RclR	
RcnR	gdhA//
RcsAB	ftsI//glcE//
RcsB	gltD//pflB//
RcsB-BglJ	glmS//bioF//
RelB	torC//
RelB-RelE	hypB//
RhaR	
RhaS	fabI//ttdA//paaE//napA//
Rob	tdcB//ubiX//ynfH//umpH//
RstA	xylA//
RutR	glpQ//codA//iscS//frdC//entA//aroL//moaD//moaA//entD//phnL//
SdiA	
SgrR	fadH//ydcS//entB//
SlyA	mhpA//ldtC//dmsB//uxuA//glcE//pflB//lacA//ldtD//fadH//
SoxR	nrfD//
SoxS	ynfF//yqjH//torA//pnp//nanE//moaC//ugpQ//slt//paaK//putA//sbcC//tnaA//murQ//cynS//lsrG//icd//
StpA	ygeA//
SutR	lpd//hyaB//
TdcA	garK//murE//acnA//glcF//nrfD//
TdcR	mhpF//lpxC//pdeR//frc//mpaA//
TorR	napG//ruvB//trpD//accC//
TreR	glcF//hycF//
TrpR	accA//nfsB//astE//melA//hcaE//carA//phnG//torA//paaK//
TtdR	trpD//entA//
TyrR	ynfF//puuD//citC//glyA//ulaD//dkgA//eda//cysK//lldD//
UhpA	entE//
UlaR	yedX//xylB//phnG//metA//nirB//
UvrY	luxS//mhpC//
UxuR	tdcD//hcaF//ycjG//
XylR	ruvA//feaB//paaH//
YdeO	pnp//mazG//epd//
YefM	rimK//
YefM-YoeB	frdD//
YhaJ	
YjjQ	
YpdB	
YqhC	dkgA//murF//
YqjI	glpX//
ZntR	hycC//
ZraR	
Zur	napB//
