# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	pnp//ldtD//
LeuO	entF//mngB//guaA//
LexA	nagB//garL//ahpC//murG//purD//murI//yqhD//pdeR//cynT//
LldR	ftnA//fumC//
LrhA	
LsrR	fau//aceA//gloA//fabD//hycG//
MalI	frdA//caiC//
MalT	glcD//poxB//bglB//ulaE//
MarA	sufS//alaC//entH//paaJ//narI//frdD//ogt//pnp//murG//fbaA//murG//lsrG//
MarR	
MatA	alkB//
MazE	cysE//
MazE-MazF	nrdF//
McbR	
MelR	argC//ogt//
MetJ	hypF//yfdE//alaC//purF//waaZ//
MetR	astE//carA//eda//
MhpR	paaK//paaH//purF//glpB//tdcB//xylB//
Mlc	cdd//mraY//ahpF//
MlrA	moaA//
MngR	metF//hcaE//
MntR	phnI//
ModE	rnpB//fau//mngB//rutE//luxS//citC//ilvC//narG//acnA//glpB//ydcS//fadH//atoA//araA//astA//
MprA	argC//
MqsA	hemL//gcvH//
MraZ	glcD//mdh//fadJ//nrdE//trpC//rbsD//lysC//argI//nrfA//eda//
MurR	glxK//katG//yqhD//
Nac	phnG//wrbA//frdA//murC//
NadR	ydcS//
NagC	glcE//caiB//hycF//mhpE//puuB//glcB//ruvB//entF//citF//ruvA//argH//bioA//ulaG//mhpF//
NanR	paaC//nagA//ydcS//nrdB//aldA//puuD//
NarL	garL//garK//acnA//ynfF//pck//icd//napA//citG//ynfG//mazG//puuB//torA//recF//ascB//tdcE//acnA//murC//nfsB//tyrB//aldA//melA//gloA//pspE//ahpF//
NarP	mazG//ddlB//aroF//yqhD//caiB//phnG//mhpA//lpd//trpC//
NemR	pspE//gcvP//
NhaR	argH//pdeR//allA//ygeA//murG//
NikR	garK//
NimR	ynfF//
NorR	yedX//
NrdR	fadE//purC//trpC//arsC//
NsrR	ulaF//srkA//pnp//uxuB//glpB//mhpF//
NtrC	ycjG//hcaF//citD//dmsA//ribA//hycG//kbaZ//chbF//
OmpR	moaD//trpC//oxc//nagA//bioB//aldA//lldD//phnO//
OxyR	sbcD//lysC//yedX//entH//galT//glmU//purN//paaE//wrbA//ftsI//tdcG//ydcS//rbsD//
PaaX	aceE//pdeL//paaA//mhpB//ugpQ//hcaD//entH//purB//allB//
PdeL	slt//
PdhR	alaC//ulaD//umuC//astA//tdcD//murD//paaF//recD//umuC//purA//cadA//aldA//fdhF//purC//moaA//eda//alaS//glpB//glxK//ccp//glpK//lysC//
PepA	fes//phnP//
PgrR	gadA//sodA//
PhoB	gcvT//phnJ//citC//rbsK//recD//frdA//alkA//hycB//phnH//hycG//ulaG//metA//metF//folA//tnaA//
PhoP	oxc//lsrG//pck//
PspF	fadH//
PurR	rutD//ribA//purM//aroL//glcE//garK//eno//glcD//gltD//carB//ulaG//glnA//
PutA	relA//ftnA//
PuuR	gcvH//cysG//galE//ldtD//entH//paaH//
QseB	
RbsR	dapB//hcaF//ada//napG//truB//rhaB//
RcdA	hycG//
RclR	
RcnR	purB//
RcsAB	alaS//ulaF//
RcsB	iscS//treC//
RcsB-BglJ	paaA//fabH//
RelB	sbcC//
RelB-RelE	phnO//
RhaR	
RhaS	uvrB//hyaB//paaZ//napG//
Rob	moaC//paaB//paaG//pykF//
RstA	hycG//
RutR	pck//paaH//murE//rutD//melA//mhpC//ynfH//paaG//argC//cueO//
SdiA	
SgrR	ruvA//hyaC//argH//
SlyA	rutA//chbG//ynfF//gltB//fbaA//glcE//nrfD//pyrC//chbF//
SoxR	glcE//
SoxS	yqjH//sbcD//narH//fdhF//frdB//frdA//murF//nanE//mngB//fau//ycjG//ftsI//ruvA//garL//paaY//gloA//
StpA	wzb//
SutR	napA//nrdA//
TdcA	nagB//srkA//glpQ//add//nrdF//
TdcR	paaK//paaC//purH//murE//nadB//
TorR	gapA//fabG//epd//mhpF//
TreR	ccp//gloA//
TrpR	narG//lldD//pgk//citX//mhpF//puuD//udp//ulaF//hycE//
TtdR	aceA//gadB//
TyrR	umuC//ccp//ynfF//ahpF//ppsA//add//acnA//nrdE//ttdA//
UhpA	bioD//
UlaR	torC//nfsA//fadH//rimK//gltD//
UvrY	glcE//fbaA//
UxuR	aroH//hyaC//dmsB//
XylR	hyaA//add//caiC//
YdeO	fadE//mpaA//nagB//
YefM	mpaA//
YefM-YoeB	ygeA//
YhaJ	
YjjQ	
YpdB	
YqhC	torA//phnH//
YqjI	recB//
ZntR	ahpC//
ZraR	
Zur	araB//
