# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	frc//ung//
PdhR	metE//nagA//paaI//kbaZ//tyrB//lldD//trpB//galT//wzc//pgaD//napG//phoA//metC//nagB//ribA//glpK//ndh//ygeA//bglB//cysK//ddlB//gadB//
PepA	recF//ccp//
PgrR	trpD//deoA//
PhoB	paaB//phnP//pykF//hmp//waaY//murE//tdcB//citF//ruvB//mhpC//gadA//tdcD//glpX//hmp//glcB//
PhoP	hypF//tyrB//fabG//
PspF	pspE//
PurR	glcF//tnaA//purN//sbcC//ydcS//moaE//uvrB//lysC//slt//pspE//mhpB//glmU//
PutA	narI//ppiA//
PuuR	slt//murG//appA//fabD//ldtC//galT//
QseB	
RbsR	murI//murE//melA//mpaA//umuC//galT//
RcdA	ynfE//
RclR	
RcnR	ldtC//
RcsAB	chbF//narG//
RcsB	metC//argA//
RcsB-BglJ	puuC//napH//
RelB	nrfA//
RelB-RelE	nanM//
RhaR	
RhaS	accD//yfdE//pyrC//rnpB//
Rob	wzb//aroF//ulaD//hyaC//
RstA	ygeA//
RutR	eno//chbG//rhaA//feaB//galT//puuE//tdcG//caiA//guaA//poxB//
SdiA	
SgrR	murF//aroH//trpD//
SlyA	bioA//kbaY//ogt//tdcB//caiC//acnA//malQ//wzb//hcaB//
SoxR	umuD//
SoxS	mngB//garR//rimK//argD//paaA//codA//argB//ppsA//waaY//hcaF//acnA//metF//uvrB//cynT//mhpE//entH//
StpA	astC//
SutR	oxc//alkB//
TdcA	rhaB//argE//ssuE//napB//folE//
TdcR	ynfH//nirD//ndh//ndh//narG//
TorR	entC//caiA//phnI//rnpB//
TreR	alkA//bioA//
TrpR	torA//recD//fadI//srkA//murI//pfkA//putA//mraY//ttdA//
TtdR	frdB//argE//
TyrR	lpd//ynfE//frdC//entA//galM//entD//xylA//eno//glpD//
UhpA	napH//
UlaR	cysE//atoD//garK//paaZ//pgaB//
UvrY	ynfF//hycE//
UxuR	lacZ//citC//hmp//
XylR	paaI//glpX//gcvH//
YdeO	citX//sodA//gapA//
YefM	entA//
YefM-YoeB	feaB//
YhaJ	
YjjQ	
YpdB	
YqhC	nrdB//glxK//
YqjI	hycC//
ZntR	ugpQ//
ZraR	
Zur	ubiX//
