# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	wzb//gapA//
FlhDC	moaA//galM//
FliZ	rsmH//narI//yfdE//moaC//mhpD//
Fur	glcF//cysE//phnH//metC//lpxC//bioD//icd//mazG//ahpF//citF//argA//glxK//truB//rhaA//puuB//ulaD//entC//pflB//poxB//kbaZ//appA//dgcC//pgaC//tauD//atoB//astE//citE//nemA//nrdD//treC//nfsB//
GadE	ydcS//nrdA//rhaA//
GadE-RcsB	argA//ldtC//aceB//patD//ilvC//
GadW	lldD//ruvB//purD//
GadX	ssuE//edd//bioC//umuC//glpQ//
GalR	citX//tnaA//garK//adhE//fes//
GalS	metA//fabA//dgkA//argH//edd//
GcvA	waaY//rbsD//torC//
GlcC	glpK//cysK//ogt//
GlpR	fadH//tyrB//nirB//entH//chbF//uxuB//nrfA//
GlrR	
GntR	tynA//narG//phnN//yfdE//dgkA//
HU	mdh//sufS//dapD//fdhF//
HcaR	cyoE//rutD//
HdfR	
HigA	argC//
HigB-HigA	moaA//
HipAB	murD//guaA//
HipB	nadB//sbcC//rimK//
HprR	garR//gcl//
HypT	galM//uxuB//
IclR	waaY//glcE//pgaB//
IlvY	glpQ//
IscR	lacZ//caiA//udp//purB//cueO//glmS//mpaA//
KdgR	trpE//
KdpE	appA//
LacI	ynfE//ynfE//hycD//
LeuO	fabA//folA//deoD//
LexA	nrfC//galK//lsrG//pspE//trpC//ssuD//ychF//napH//hycF//
LldR	tdcE//mhpE//
LrhA	
LsrR	murQ//relA//glcB//malQ//recB//
MalI	rhaA//codA//
MalT	moaE//nrfD//fabA//paaC//
MarA	feaB//hycE//gapA//ftnA//hcaC//ddlB//garK//feaB//ahpF//umuD//feaB//garR//
MarR	
MatA	glcD//
MazE	slt//
MazE-MazF	deoA//
McbR	
MelR	astD//hcaE//
MetJ	glpB//cynS//ygeA//paaB//wzb//
MetR	katG//nrdF//gloA//
MhpR	glpC//caiC//dmsB//narG//ddlB//treC//
Mlc	hypB//rutC//folA//
MlrA	ung//
MngR	rutC//srkA//
MntR	phnO//
ModE	glpD//rimK//malQ//feaB//rhaA//paaY//tam//chbG//mazG//eda//ccp//paaE//alkB//astC//phnO//
MprA	paaJ//
MqsA	garR//napH//
MraZ	citE//tdcB//accC//accD//nrdE//metF//rbsD//epd//murD//fabD//
MurR	dapD//mdh//torA//
Nac	pflB//rnpB//murD//paaY//
NadR	allB//
NagC	cysM//yqhD//dmsA//hycG//galT//aroH//pgaC//bioC//gcvT//eda//allA//eno//lysA//bioC//
NanR	paaK//feaB//ahpF//purD//lpxC//fabH//
NarL	paaF//frdC//bioC//glpA//galM//puuB//adiA//accD//yqjH//ynfH//ldtD//wrbA//sbcD//ada//citD//glmU//glpK//hemL//sufS//folA//nagA//slt//fadD//ynfF//
NarP	tdcD//tdcE//glcE//fabA//paaA//hypB//gloA//nagA//entC//
NemR	paaG//argD//
NhaR	tnaA//fbaA//glpQ//wrbA//ndh//
NikR	hypF//
NimR	pnp//
NorR	atoA//
NrdR	frdA//entD//astE//mhpC//
NsrR	fumC//argA//adhE//rnpB//accC//relA//
NtrC	gloA//ssuD//gcvH//aceA//cyoE//yqhD//napG//nagB//
OmpR	edd//gloA//pgaD//purF//mhpF//gloA//paaZ//gntK//
OxyR	phnO//argG//aceB//rutE//nrdB//ugpQ//xylB//edd//glxK//murQ//mhpF//murC//zwf//
PaaX	hmp//citX//ulaF//hyaB//phnI//ppsA//pdeR//fabG//hycD//
PdeL	glnA//
PdhR	yqhD//garR//pdeR//gloA//rhaD//treC//araB//nrfA//codA//xylA//mhpE//lpd//malQ//rhaD//malP//ygeA//uvrB//hemL//hcaD//lldD//fumC//citF//
PepA	gltB//cynS//
PgrR	glcD//hyaC//
PhoB	sodA//puuA//rutB//grxA//glpC//tam//glpX//rsmH//pgaD//aceA//ttdB//mazG//aroH//nrdF//acnA//
PhoP	umpH//ldtD//hyaB//
PspF	torA//
PurR	deoC//cysM//ulaE//uxuB//nagB//pgaB//gadB//citX//rimK//nrdE//ssuD//bioB//
PutA	ynfF//allA//
PuuR	xylA//ulaF//entC//nirB//lysC//yedX//
QseB	
RbsR	phnH//galT//astC//slt//cynT//araD//
RcdA	paaI//
RclR	
RcnR	chbG//
RcsAB	ada//galE//
RcsB	glpK//yedX//
RcsB-BglJ	narG//lacA//
RelB	murF//
RelB-RelE	paaK//
RhaR	
RhaS	ycjG//oxc//folE//hyaA//
Rob	murI//nrfC//murG//caiB//
RstA	pykF//
RutR	dgcZ//pnp//ppsA//citG//uxuA//cysG//puuB//fabD//napH//bioC//
SdiA	
SgrR	napG//frdD//ppiA//
SlyA	rsmH//paaG//udp//carB//cadA//narI//narH//ppsA//ccp//
SoxR	mpaA//
SoxS	mhpD//pgaC//phnO//hyaA//pdeR//fadJ//hypB//bglB//paaG//purH//napA//pnp//deoC//entE//malY//uxuB//
StpA	aceA//
SutR	aroG//sufS//
TdcA	malY//cyoE//tdcG//umpH//ada//
TdcR	alaS//paaA//luxS//deoD//hmp//
TorR	wzb//argE//malY//purN//
TreR	ydcS//ribA//
TrpR	chbG//ahpC//purN//fdhF//waaY//gdhA//hyaB//mazG//ahpF//
TtdR	glpX//dgcZ//
TyrR	glmS//hycE//lacZ//murC//frc//pspE//sufS//dapD//phoA//
UhpA	grxA//
UlaR	tauD//araD//purM//ssuD//ynfE//
UvrY	nirD//phoA//
UxuR	lpd//mhpF//ttdB//
XylR	kbaY//ddlB//galE//
YdeO	lsrF//narG//bioB//
YefM	glcF//
YefM-YoeB	gcvP//
YhaJ	
YjjQ	
YpdB	
YqhC	wzb//rbsD//
YqjI	ttdB//
ZntR	umuC//
ZraR	
Zur	narG//
