# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	alaS//tnaA//
ModE	sodA//poxB//ftnA//frdC//rutC//phnH//ppiA//ttdB//kbaZ//glcB//cueO//sodA//nemA//hcaC//ruvB//
MprA	ppsA//
MqsA	nrfC//nirB//
MraZ	nagB//paaY//accD//ugpQ//argF//glxK//moaD//cysE//hcaC//glcE//
MurR	dapB//paaK//ulaE//
Nac	garR//frdD//paaI//nfsA//
NadR	argC//
NagC	mhpB//wrbA//nirD//sbcD//glpC//fumB//glcF//uxuB//puuA//ppiA//mraY//paaB//caiA//paaE//
NanR	aceF//bioC//recD//fabA//dmsA//entH//
NarL	rutC//moaD//tynA//paaK//appA//slt//glxK//phnJ//paaF//ppsA//xylB//ftnA//wzb//murD//paaZ//murI//glyA//glpQ//pfkA//glcF//eno//phnN//purH//waaY//
NarP	ddlB//nrdE//add//gloA//bioB//glcD//hcaF//ruvA//ilvC//
NemR	ygeA//dmsC//
NhaR	xylA//deoA//glyA//rimK//pdeL//
NikR	pfkA//
NimR	lsrF//
NorR	torC//
NrdR	hyaA//entH//astD//dmsA//
NsrR	atoD//alaS//deoD//carA//caiB//ftsI//
NtrC	lpd//ttdA//trpC//lysC//ahpC//murI//napG//citG//
OmpR	appA//atoB//metA//bioC//torA//araA//arsC//aroF//
OxyR	eno//rhaA//ndh//citX//alaS//dmsC//phnG//guaB//ahpF//polA//tyrB//narI//mhpC//
PaaX	chbF//ulaD//ldtC//fabD//nrfD//trpA//frc//napB//edd//
PdeL	gltD//
PdhR	garL//phnH//malY//citF//mpaA//tauD//kbaZ//umuD//mngB//citG//pdeR//melA//fadE//lacA//ulaF//ddlB//gltB//wrbA//rutB//ynfH//paaI//murF//
PepA	dmsB//phoA//
PgrR	ynfG//carB//
PhoB	glpA//deoD//paaZ//hycG//mhpA//accA//lysC//nrfD//lldD//hemH//pgaC//hycC//epd//srkA//nemA//
PhoP	wzc//paaC//cdd//
PspF	glpB//
PurR	ada//ddlB//fumC//paaE//alaC//murE//fabD//cyoE//ung//tdcB//pflB//frc//
PutA	paaB//ilvC//
PuuR	mhpF//araB//purH//dmsC//ychF//wrbA//
QseB	
RbsR	fabB//dgcC//allA//ppiA//codA//paaC//
RcdA	glpQ//
RclR	
RcnR	hcaF//
RcsAB	moaA//bioC//
RcsB	glyA//puuA//
RcsB-BglJ	hycG//trpB//
RelB	gadA//
RelB-RelE	nrdE//
RhaR	
RhaS	cynS//mtlD//ldtD//lysA//
Rob	puuE//nrdB//nrfD//cyoE//
RstA	tdcE//
RutR	rhaA//metC//wrbA//accA//murD//umuC//entC//murG//fadH//napG//
SdiA	
SgrR	entC//cynS//lysC//
SlyA	aroH//metE//entC//murF//murC//cyoE//waaY//ssuE//metF//
SoxR	pdeL//
SoxS	hyi//torC//phnG//hycD//sufS//paaK//deoA//rutE//fabH//katG//caiA//ubiX//carA//hcaF//metF//narG//
StpA	epd//
SutR	murE//tyrA//
TdcA	napG//garL//aroG//lldD//ynfE//
TdcR	accD//edd//accC//aroL//dkgA//
TorR	folA//purM//kbaY//glpD//
TreR	hycF//pgk//
TrpR	ynfG//argF//icd//cyoE//glmU//torC//accD//rbsK//glmS//
TtdR	mhpB//napA//
TyrR	paaI//hycG//umpH//pdeL//slt//tdcB//dgcZ//dgcZ//glpK//
UhpA	nrdD//
UlaR	hyaB//gpmA//glpA//tdcG//ssuE//
UvrY	fbaA//alkA//
UxuR	allB//chbF//entC//
XylR	glpD//phnG//araB//
YdeO	lacA//mhpC//glpA//
YefM	murG//
YefM-YoeB	rutC//
YhaJ	
YjjQ	
YpdB	
YqhC	hemH//yqjH//
YqjI	pflB//
ZntR	ssuE//
ZraR	
Zur	acnA//
