# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	deoD//gadA//
LexA	entB//mpaA//murF//fadI//trpA//mraY//gadB//uxuA//kbaZ//
LldR	nrfC//mraY//
LrhA	
LsrR	phnP//ahpF//alkA//astE//nemA//
MalI	ttdA//frdA//
MalT	dgcZ//narH//fabB//ldtD//
MarA	ulaE//dgcC//gapA//narG//garK//edd//hycC//zwf//srkA//fabD//gltB//bglB//
MarR	
MatA	citX//
MazE	hcp//
MazE-MazF	murD//
McbR	
MelR	allB//epd//
MetJ	caiB//galK//aspA//pgaB//uxuB//
MetR	nagB//eda//waaY//
MhpR	araD//astC//hcaB//nanM//mraY//rbsD//
Mlc	carB//ttdB//aroG//
MlrA	mhpB//
MngR	pgk//nrdA//
MntR	glpD//
ModE	ssuE//glmU//nfsA//nirD//sodA//garR//metA//allB//garK//hmp//glcD//glpD//nirD//lsrG//ychF//
MprA	katG//
MqsA	appA//polA//
MraZ	fbaA//aceF//frc//glpK//poxB//lsrK//ldtD//entE//xylA//nrdF//
MurR	alkA//lsrF//mhpF//
Nac	narH//rbsD//puuC//citX//
NadR	entH//
NagC	galE//hcaD//alkB//mngB//hcaF//entA//purF//bioF//cysG//polA//trpB//oxc//phnJ//purA//
NanR	ilvC//nadB//gltB//recF//zwf//alkB//
NarL	nfsB//phnN//hycD//moaE//paaF//mngB//ribA//guaB//dgcC//ynfG//garR//hcaF//astC//dgcZ//hcaB//argE//phoA//paaF//gcvP//mhpB//xylA//nfsB//ppiA//lacZ//
NarP	caiA//dgcC//paaY//ydcS//rimK//mazG//rutE//ldtD//oxc//
NemR	bglB//gapA//
NhaR	gcvP//alaC//rsmH//cynS//tyrA//
NikR	atoD//
NimR	gltD//
NorR	pspE//
NrdR	astE//purD//cysG//moaD//
NsrR	murG//purH//astB//trpC//frdA//citX//
NtrC	ynfG//phnJ//ynfF//garR//nrdA//deoB//pfkA//patD//
OmpR	pflB//aceA//tyrB//murF//poxB//bioF//treC//phnH//
OxyR	yqhD//luxS//waaY//udp//dgcC//tynA//aroG//mhpB//phnL//uxuA//gapA//pspE//rutB//
PaaX	yqhD//lacZ//ribA//cysE//nirB//adiA//ubiX//nagB//hycF//
PdeL	entF//
PdhR	mhpD//dapB//mngB//lysC//glpQ//frdC//gapA//tam//ulaE//pdeR//astC//glcE//dgcZ//frdA//metF//trpA//tam//fumC//hyaA//fumB//cysG//phnH//
PepA	ftnA//icd//
PgrR	bioF//gloA//
PhoB	fadJ//allB//hycC//nagB//hcp//allA//ulaE//aroH//entB//hyaB//cysE//ndh//cynT//argD//frdD//
PhoP	hypB//lysA//aroL//
PspF	galT//
PurR	caiC//cdd//paaY//entF//tnaA//murQ//alaS//citG//ycjG//atoD//aceE//puuA//
PutA	glpA//uxuB//
PuuR	bglB//nfsB//argF//araB//hcaD//narI//
QseB	
RbsR	glcF//bioB//purA//phnN//adiA//dgcC//
RcdA	rsmH//
RclR	
RcnR	polB//
RcsAB	glpD//sbcD//
RcsB	nfsB//wzb//
RcsB-BglJ	tdcG//dkgA//
RelB	melA//
RelB-RelE	nanK//
RhaR	
RhaS	gadB//gpmA//sufS//alaC//
Rob	recF//glmS//iscS//trpB//
RstA	tdcD//
RutR	fau//rutC//hypB//treC//murE//fadD//rutD//yfdE//puuC//fabD//
SdiA	
SgrR	narH//nrfA//mhpC//
SlyA	argH//citC//glpB//alaC//citF//pdeR//nirB//deoB//purC//
SoxR	gltD//
SoxS	hyaA//alaC//adiA//luxS//glmU//lsrK//hcaC//citE//xylB//codA//ahpC//ychF//hcaC//rutC//ppiA//rbsK//
StpA	tynA//
SutR	puuB//mhpB//
TdcA	mhpF//citF//ruvA//deoA//ribA//
TdcR	cueO//ynfF//rutE//entF//rutE//
TorR	tdcD//ilvC//dgcZ//alaC//
TreR	gcl//ppsA//
TrpR	melA//gltB//nirD//purC//lacA//fbaA//glcF//ulaG//fadI//
TtdR	phnM//metE//
TyrR	wzc//aroH//hycG//caiA//paaI//lacA//torC//fadE//ssuD//
UhpA	iscS//
UlaR	argH//truB//rutA//paaG//bioA//
UvrY	glxK//moaC//
UxuR	moaC//narI//arsC//
XylR	srkA//hcaE//lsrG//
YdeO	rimK//moaC//glcB//
YefM	dgcC//
YefM-YoeB	hycE//
YhaJ	
YjjQ	
YpdB	
YqhC	astC//icd//
YqjI	dgcC//
ZntR	ssuD//
ZraR	
Zur	lpd//
