# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ahpC//astE//
GlpR	paaI//rhaA//wrbA//luxS//nrdE//nemA//mhpB//
GlrR	
GntR	appA//relA//ldtC//ycjG//tdcB//
HU	aceF//nrfA//ydcS//paaB//
HcaR	rutC//garL//
HdfR	
HigA	ugpQ//
HigB-HigA	appA//
HipAB	paaK//allB//
HipB	appA//ahpF//rbsK//
HprR	wrbA//hcp//
HypT	phnN//entH//
IclR	argE//zwf//gpmA//
IlvY	glxR//
IscR	lldD//nirB//fabG//garR//nanK//fabB//ttdB//
KdgR	pspE//
KdpE	putA//
LacI	frdB//mhpB//caiC//
LeuO	pgaC//paaK//relA//
LexA	alkB//murI//aroL//luxS//hycE//bglB//astD//udp//udp//
LldR	accC//umuD//
LrhA	
LsrR	tdcB//cysG//nrdD//hemL//gadA//
MalI	tdcB//paaI//
MalT	patD//glpQ//aspA//glcD//
MarA	bioD//gltB//polB//trpD//nfsB//uxuA//argF//ppsA//glyA//accA//slt//add//
MarR	
MatA	ynfE//
MazE	lldD//
MazE-MazF	paaY//
McbR	
MelR	gcvT//puuA//
MetJ	trpE//astB//aceA//dmsC//atoD//
MetR	dmsA//aspA//argH//
MhpR	ygeA//sbcC//purM//ruvA//pgaC//paaK//
Mlc	gcvH//metE//ahpC//
MlrA	chbG//
MngR	glpQ//xylA//
MntR	pyrC//
ModE	rutA//argI//pdeL//gadB//folE//pgk//citG//nanA//frc//deoD//tam//tyrA//ribA//galE//glmS//
MprA	polA//
MqsA	phnH//garR//
MraZ	malP//ppsA//glcD//fabA//mazG//sufS//mhpB//rhaD//nagA//umuD//
MurR	frdB//nanK//guaB//
Nac	atoA//glpA//nfsB//hycC//
NadR	paaC//
NagC	hycF//gcl//hyaB//frdA//gdhA//atoA//paaJ//aldA//fes//srkA//aceA//metC//fbaA//allB//
NanR	rutB//glcD//mhpE//entD//mdh//caiA//
NarL	glpQ//pflB//paaA//puuC//glcF//katG//araB//argH//alkA//entE//uvrB//murG//allA//kbaZ//entC//hycB//hemL//nanK//entD//ruvA//carA//ynfF//tdcD//recD//
NarP	citE//adhE//dapB//entH//alkB//polB//paaH//phnO//xylA//
NemR	cdd//metF//
NhaR	hypB//dmsB//accC//ftnA//pdeR//
NikR	napH//
NimR	oxc//
NorR	nrfC//
NrdR	adiA//pgaD//yfdE//pnp//
NsrR	bioF//deoD//ydcS//ccp//murI//murQ//
NtrC	cueO//gadA//sbcD//fumC//phoA//garL//ldtC//glmS//
OmpR	aceE//nemA//aroH//murG//paaE//astE//purB//fabI//
OxyR	glxR//gcvT//araA//waaZ//wzb//relA//ruvB//galT//glcB//tyrB//glmS//pykF//hypB//
PaaX	torA//purM//zwf//alkB//entA//sbcC//phnJ//paaA//bioA//
PdeL	paaE//
PdhR	garK//mhpA//carA//phnJ//glpX//argH//rnpB//pyrC//frdD//phoA//cynT//argG//lpd//hyaB//cdd//deoC//fabH//wzc//cysK//eda//oxc//ddlB//
PepA	entH//hmp//
PgrR	fabA//bioA//
PhoB	glcB//lysC//pgaC//putA//caiB//pflB//eno//fau//nrdA//ascB//galK//rutA//kbaY//entF//dapD//
PhoP	araA//iscS//dgcC//
PspF	citF//
PurR	rutB//nfsB//nagB//glpX//fabB//folE//phnJ//aldA//metA//paaY//paaH//wzc//
PutA	nemA//pfkA//
PuuR	metC//argI//lsrG//moaE//gcl//malP//
QseB	
RbsR	nadB//murC//folE//phnM//moaA//deoD//
RcdA	ogt//
RclR	
RcnR	napB//
RcsAB	napG//recF//
RcsB	paaY//hcp//
RcsB-BglJ	aceF//glxR//
RelB	alkA//
RelB-RelE	ttdB//
RhaR	
RhaS	pykF//fabH//astB//sufS//
Rob	moaA//mazG//phnH//galK//
RstA	fabH//
RutR	garK//pflB//paaA//murF//malP//recD//phnH//napG//hemH//wrbA//
SdiA	
SgrR	ssuE//trpA//bioD//
SlyA	galT//bioF//fabI//ahpC//frc//gcvP//ddlB//gpmA//astC//
SoxR	rhaB//
SoxS	slt//entH//tyrB//mhpE//hcaB//cysM//murQ//dgkA//gadB//ynfF//ftsI//rutC//dgcC//purN//gadB//aceE//
StpA	hycB//
SutR	napH//glpQ//
TdcA	pfkA//hycE//narH//wrbA//dmsB//
TdcR	phnI//sodA//lsrK//ldtC//moaA//
TorR	phnI//pyrC//accA//wzb//
TreR	narI//chbF//
TrpR	araB//nirB//nanK//paaA//tnaA//allA//fdhF//rutE//glpD//
TtdR	paaK//murI//
TyrR	murC//astD//alkA//rnpB//glpQ//fdhF//adiA//dmsB//nrdD//
UhpA	argB//
UlaR	xylA//cynT//deoB//citD//sbcD//
UvrY	ubiX//puuA//
UxuR	nrdE//rsmH//chbG//
XylR	recF//rbsK//rnpB//
YdeO	ung//citE//pgaD//
YefM	malQ//
YefM-YoeB	yqhD//
YhaJ	
YjjQ	
YpdB	
YqhC	ldtC//metE//
YqjI	metA//
ZntR	mdh//
ZraR	
Zur	lysA//
