# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	guaB//nadB//
MqsA	entB//murG//
MraZ	lysC//glpK//tauD//fabI//ribA//galK//entC//paaC//paaY//galM//
MurR	glyA//guaA//glnA//
Nac	alkA//pdeL//umuC//cadA//
NadR	trpD//
NagC	ppiA//ndh//xylB//paaB//srkA//rhaB//nanE//patD//aroF//cynS//hycF//entD//murF//hypF//
NanR	mhpA//murF//guaB//nanE//mpaA//phnI//
NarL	paaJ//murD//glpX//aceB//bioF//fadH//mhpA//fadJ//purB//aceB//araA//tynA//rutD//gloA//pflB//mhpF//dapD//deoB//citX//pnp//ugpQ//paaH//tdcD//ulaG//
NarP	slt//hycD//caiB//atoD//narG//pdeR//moaA//glpA//napH//
NemR	mhpB//malQ//
NhaR	guaB//torA//paaB//icd//paaI//
NikR	frdD//
NimR	grxA//
NorR	ttdB//
NrdR	gltD//dapD//glmU//ldtC//
NsrR	ycjG//purA//aspA//frdD//moaC//purF//
NtrC	glpA//hmp//frdA//phnP//nrdD//atoB//nrdE//fumB//
OmpR	treC//ftsI//ttdA//entF//astE//cueO//relA//phnG//
OxyR	ruvB//nrfD//nanA//glmS//cynS//malP//fumB//acnA//gcvP//tyrB//glpC//cueO//purB//
PaaX	ada//ftsI//frdC//dmsB//yfdE//pnp//ascB//ttdA//phnH//
PdeL	pnp//
PdhR	paaI//lacZ//deoB//fes//caiA//astA//ulaD//napB//fumB//fabD//ydcS//bioA//garL//astD//ssuE//ulaE//polA//dmsC//malP//tyrA//entE//tyrA//
PepA	hmp//waaZ//
PgrR	dapB//frdB//
PhoB	folA//metF//hcp//ftsI//hmp//edd//pflB//hcaD//truB//rimK//galT//grxA//nanA//puuE//mpaA//
PhoP	mazG//paaB//ugpQ//
PspF	dapD//
PurR	nirD//narG//ftnA//caiB//ilvC//hycB//nirD//sbcD//tdcB//tynA//tdcB//phnM//
PutA	cynS//rimK//
PuuR	glnA//ahpF//sodA//adhE//paaC//nanK//
QseB	
RbsR	moaC//accC//zwf//aceF//frdD//cyoE//
RcdA	bioF//
RclR	
RcnR	murD//
RcsAB	slt//melA//
RcsB	ycjG//caiD//
RcsB-BglJ	argH//glcE//
RelB	nanM//
RelB-RelE	napH//
RhaR	
RhaS	phnO//metC//mazG//ulaF//
Rob	allB//entA//codA//malP//
RstA	hycF//
RutR	cynS//phnG//glcF//galT//epd//glpK//ldtD//glmU//ldtC//sodA//
SdiA	
SgrR	glxR//ttdB//gntK//
SlyA	nanK//fabH//glpD//sbcD//ahpF//dmsA//glcD//fadJ//garR//
SoxR	cysK//
SoxS	frdC//aspA//mraY//citE//pflB//adiA//atoA//pgaC//nanK//bglB//ung//eno//rutA//pnp//glpC//astA//
StpA	feaB//
SutR	sodA//galE//
TdcA	entE//murC//nrdE//purH//dmsC//
TdcR	mngB//glmS//hmp//phoA//entD//
TorR	melA//icd//astE//hemH//
TreR	nrdD//pflB//
TrpR	glcB//hcp//hyi//malQ//paaH//tdcG//tdcE//nrfD//ynfE//
TtdR	nrfA//adhE//
TyrR	phnG//guaB//rhaD//mtlD//narG//metC//pgk//gadA//umuD//
UhpA	bioB//
UlaR	rnpB//napA//udp//puuB//deoB//
UvrY	pyrC//glpX//
UxuR	paaG//entA//rnpB//
XylR	ftsI//glcD//dapD//
YdeO	glcF//pdeR//ynfE//
YefM	metC//
YefM-YoeB	lysA//
YhaJ	
YjjQ	
YpdB	
YqhC	glcF//fadJ//
YqjI	argC//
ZntR	citE//
ZraR	
Zur	glpC//
