# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	purC//lysC//
IclR	hyaA//ydcS//adiA//
IlvY	appA//
IscR	putA//tyrA//lysA//mraY//aspA//paaH//polB//
KdgR	ccp//
KdpE	allB//
LacI	murC//gltB//chbF//
LeuO	gpmA//pfkA//mpaA//
LexA	puuE//ilvC//patD//gcvH//murG//lysC//cyoE//dapD//citF//
LldR	tdcG//ilvC//
LrhA	
LsrR	aspA//tdcB//paaA//purF//rutE//
MalI	tdcD//mdh//
MalT	carA//hcaE//hycB//aroL//
MarA	fbaA//iscS//garK//purH//aceA//murF//moaC//pgaD//srkA//astD//slt//ynfG//
MarR	
MatA	glpQ//
MazE	fabA//
MazE-MazF	cysE//
McbR	
MelR	nfsB//gloA//
MetJ	pspE//iscS//moaD//folE//tam//
MetR	argG//hyaA//hcaF//
MhpR	poxB//lldD//murC//allB//astD//nrdD//
Mlc	nirD//bioC//phnJ//
MlrA	fadJ//
MngR	aceF//yqhD//
MntR	aroH//
ModE	puuE//ada//nanE//gapA//umpH//fabD//allA//gcvP//poxB//aroG//dmsC//fdhF//paaI//fes//rsmH//
MprA	glpD//
MqsA	sbcC//trpE//
MraZ	glxK//hcaB//aspA//hycG//ulaE//entA//hycD//glcD//nrfD//murG//
MurR	waaY//tdcB//purC//
Nac	glxR//yqjH//aroG//hycC//
NadR	hemL//
NagC	rimK//umuC//nrdE//murG//eda//nemA//fabA//accA//ruvB//glpK//waaZ//nagA//tdcB//fabD//
NanR	fdhF//add//rnpB//waaZ//gcvP//galE//
NarL	puuB//ada//astD//entC//rnpB//pgk//paaZ//murG//nadB//citD//nirD//lpd//mngB//cysE//astE//aspA//katG//paaK//atoD//pfkA//polA//gltB//nrfA//aceB//
NarP	acnA//nanE//gntK//cysE//purF//lacZ//phnJ//nrdE//lysA//
NemR	astC//ldtC//
NhaR	ulaF//phnI//hycF//fau//ttdA//
NikR	cynS//
NimR	trpB//
NorR	fes//
NrdR	sodA//astB//nrfC//rsmH//
NsrR	hemH//astB//nrdB//appA//torC//putA//
NtrC	moaE//rsmH//paaA//hcaB//hcaE//lpd//umuD//hycB//
OmpR	murI//bioC//rnpB//citG//sbcD//puuB//garL//phnO//
OxyR	frc//pflB//hypF//entD//paaB//aldA//ruvA//garL//caiB//ulaE//carA//hyaC//paaY//
PaaX	pgaD//fabD//kbaY//ssuE//mraY//frdA//fabH//pgaC//pgaB//
PdeL	katG//
PdhR	purD//rbsD//sbcC//purM//phnH//entA//aceF//argA//pnp//ung//araB//chbF//murD//aroG//argD//ruvA//phnI//nagA//feaB//accC//deoA//ahpC//
PepA	nrdD//purD//
PgrR	accD//paaA//
PhoB	caiC//argD//cadA//chbF//hcaB//ynfG//tyrA//eda//lsrK//aldA//entE//zwf//paaY//pfkA//kbaZ//
PhoP	citE//pyrC//dgkA//
PspF	citC//
PurR	kbaZ//glcF//alkA//aroL//puuD//pgaB//paaA//trpB//sufS//ynfH//add//tyrA//
PutA	frc//udp//
PuuR	murE//argA//atoD//ada//ydcS//nanK//
QseB	
RbsR	entC//lldD//mhpA//galK//trpC//ldtC//
RcdA	aldA//
RclR	
RcnR	allA//
RcsAB	fadH//argA//
RcsB	gdhA//glpK//
RcsB-BglJ	rutA//alkA//
RelB	bioA//
RelB-RelE	cysG//
RhaR	
RhaS	lpd//sbcD//nagB//epd//
Rob	gltD//ynfG//gadB//uxuA//
RstA	paaK//
RutR	iscS//narH//mhpE//hmp//ruvB//fadE//dmsC//lpd//polB//lldD//
SdiA	
SgrR	fabH//dmsA//ssuD//
SlyA	ahpC//hyaC//narH//mhpA//cynS//citD//glcD//dkgA//atoA//
SoxR	glcE//
SoxS	nagA//oxc//ascB//polA//rbsD//sodA//gltB//lysC//trpD//nanA//relA//glmU//fadE//dkgA//ubiX//alaS//
StpA	alaC//
SutR	glcF//katG//
TdcA	glnA//srkA//glxR//pspE//frdA//
TdcR	pgaD//glpA//astD//ribA//glpB//
TorR	hcaB//aroL//rhaA//chbG//
TreR	puuD//citX//
TrpR	hyi//puuA//paaB//paaA//murD//polA//paaE//ndh//glcE//
TtdR	galM//aceF//
TyrR	nanE//galT//relA//fbaA//rbsK//malQ//phnI//nrfD//tynA//
UhpA	hyaA//
UlaR	adiA//phoA//dapB//rutD//ttdA//
UvrY	patD//carA//
UxuR	frdC//hcaD//nagA//
XylR	alkA//phnN//hyaC//
YdeO	accA//garK//argC//
YefM	gltD//
YefM-YoeB	astC//
YhaJ	
YjjQ	
YpdB	
YqhC	phnI//pgaB//
YqjI	nanK//
ZntR	rimK//
ZraR	
Zur	frdC//
