# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rutE//waaZ//
RutR	tnaA//dgcZ//argE//atoB//hyaB//lysA//aceB//nirD//uvrB//moaC//
SdiA	
SgrR	phnL//ulaD//sufS//
SlyA	hemL//bioC//guaA//rhaA//hypF//trpA//fumB//entH//purH//
SoxR	cueO//
SoxS	torA//accD//paaZ//ulaG//aldA//astB//rhaB//glpA//ilvC//nrfC//ttdB//caiB//ldtC//fbaA//phnP//paaK//
StpA	hmp//
SutR	ycjG//cueO//
TdcA	tynA//frdD//astB//phnI//waaZ//
TdcR	entA//guaA//nirB//ahpC//pyrC//
TorR	umuC//ldtC//trpB//napH//
TreR	treC//hemL//
TrpR	ynfE//purN//murD//ruvA//lysA//umuD//phnM//rutC//hyi//
TtdR	cadA//yqhD//
TyrR	ogt//moaA//ulaG//pnp//citE//poxB//purH//rutA//hycC//
UhpA	hyaC//
UlaR	lpd//umuD//hycD//aroG//guaA//
UvrY	lldD//cysE//
UxuR	tynA//xylA//mhpF//
XylR	glpQ//wzc//nirB//
YdeO	waaZ//ddlB//hemL//
YefM	phnG//
YefM-YoeB	alaS//
YhaJ	
YjjQ	
YpdB	
YqhC	nanE//hcaE//
YqjI	cadA//
ZntR	ygeA//
ZraR	
Zur	pgaB//
