# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glcF//gpmA//
DicA	
DinJ-YafQ	astE//
DnaA	lpxC//ttdA//frdB//purF//rutD//fadJ//
DpiA	citG//phnI//purD//dmsC//citG//
EnvR	recD//metF//
EvgA	atoB//napB//citG//torC//deoC//
ExuR	
FabR	mhpE//lsrG//iscS//
FadR	malY//trpC//deoC//frc//lpxC//fadD//umuC//tdcB//ssuD//glcE//bioA//accA//ung//kbaZ//ldtD//
FeaR	feaB//ubiX//
FhlA	phnN//citD//folA//hypF//glxK//malQ//alkA//
FlhDC	gntK//sbcD//
FliZ	galT//hycE//ftnA//pgaD//cysM//
Fur	phnL//paaC//epd//gcl//treC//paaY//mdh//frdD//folE//aspA//purN//ynfF//umuD//ycjG//tam//chbF//rutA//nirD//cadA//hyi//glpX//torA//entD//citD//katG//umuC//ftsI//pgaD//bglB//uvrB//ydcS//
GadE	truB//metA//hyi//
GadE-RcsB	accC//hyi//cysM//ugpQ//gcvP//
GadW	lpd//rhaD//fumB//
GadX	hyaC//ynfE//hypB//deoC//bioF//
GalR	aceB//mazG//astB//sodA//dgcC//
GalS	araB//yedX//astE//galE//ychF//
GcvA	moaE//atoB//murG//
GlcC	bglB//dkgA//rnpB//
GlpR	wzc//waaY//tauD//fadD//puuB//hcp//phnJ//
GlrR	
GntR	edd//arsC//ugpQ//mpaA//nanA//
HU	glxK//lsrK//phnO//patD//
HcaR	nrfD//glcD//
HdfR	
HigA	cdd//
HigB-HigA	argF//
HipAB	malY//citC//
HipB	ulaD//mpaA//glxK//
HprR	frdD//argF//
HypT	galM//trpB//
IclR	ccp//araD//recB//
IlvY	luxS//
IscR	codA//waaY//ruvB//ynfH//entH//astB//aspA//
KdgR	phnG//
KdpE	hyaA//
LacI	hycC//nagA//nfsA//
LeuO	gcvH//polA//trpC//
LexA	murF//chbG//pgk//bioA//glcE//oxc//fadH//glyA//tnaA//
LldR	glnA//putA//
LrhA	
LsrR	dmsB//lpd//yqhD//slt//grxA//
MalI	poxB//argE//
MalT	entE//rutD//galE//accA//
MarA	hyaB//moaC//glcE//murD//frdB//bglB//nanA//cysG//paaE//caiD//poxB//ftsI//
MarR	
MatA	glxR//
MazE	hypF//
MazE-MazF	nanE//
McbR	
MelR	allA//add//
MetJ	fadJ//argC//astA//entH//araB//
MetR	hcp//fau//cysE//
MhpR	hyaC//mhpE//phnH//puuB//yfdE//pgk//
Mlc	puuB//rutD//allB//
MlrA	rsmH//
MngR	kbaY//atoA//
MntR	tdcD//
ModE	fadD//sbcC//argH//nfsB//nrdE//glyA//guaA//glcF//nrdD//deoA//tnaA//adiA//moaA//metC//astA//
MprA	galK//
MqsA	xylA//glmS//
MraZ	ssuD//polB//allA//paaA//malQ//aceB//katG//guaA//bioB//eno//
MurR	napA//gcvT//nrdD//
Nac	alaS//astB//citX//deoC//
NadR	citX//
NagC	paaA//nanA//glxK//hcaD//paaA//galK//oxc//dkgA//guaA//pdeL//ruvA//pgk//caiC//murF//
NanR	treC//carA//fadH//ydcS//pdeR//atoB//
NarL	aceB//tyrB//pspE//pgaB//luxS//phnH//ttdA//nrdE//arsC//edd//guaA//phnJ//dgkA//dkgA//phnG//araB//nrfD//narI//puuD//garL//fau//relA//gpmA//frdA//
NarP	gloA//edd//ppsA//frdB//caiA//slt//luxS//atoD//nemA//
NemR	caiB//rnpB//
NhaR	kbaY//metC//gapA//hcaF//wrbA//
NikR	allB//
NimR	mazG//
NorR	ugpQ//
NrdR	acnA//gltD//mhpA//citX//
NsrR	glcB//dapB//polA//srkA//lacZ//nfsA//
NtrC	add//wzc//moaA//truB//feaB//citD//argF//nrdF//
OmpR	ftsI//ssuE//sodA//glyA//eda//gloA//ada//hcaB//
OxyR	aroF//ynfH//phnP//aroL//phnM//rnpB//chbF//fabB//deoD//phnN//bioD//accC//deoC//
PaaX	waaZ//nrdE//alaS//carB//argD//murI//pgaD//ascB//ccp//
PdeL	wzb//
PdhR	ynfG//phnH//feaB//aceB//argG//rutB//glxK//accA//astD//glmS//napG//rbsK//phnM//aroL//guaB//fumC//hcaD//wzb//gapA//ynfG//glnA//glmS//
PepA	putA//nrdE//
PgrR	glxK//pdeL//
PhoB	deoD//cadA//glpC//umuC//purA//pnp//hcaF//mhpE//pspE//puuC//wzc//mdh//eda//ssuE//glxR//
PhoP	luxS//kbaY//cysM//
PspF	trpC//
PurR	pfkA//argE//wrbA//mhpB//slt//cynT//rhaD//alkB//aroH//ppiA//rimK//fadE//
PutA	pnp//cysE//
PuuR	fabB//aceE//galT//guaB//paaB//phoA//
QseB	
RbsR	citE//aldA//acnA//umuC//rimK//lsrF//
RcdA	phnG//
RclR	
RcnR	ccp//
RcsAB	aceB//pgaC//
RcsB	murC//luxS//
RcsB-BglJ	trpC//tam//
RelB	yfdE//
RelB-RelE	rutA//
RhaR	
RhaS	phnI//torC//alkB//nrdA//
Rob	galT//paaY//atoB//purB//
RstA	nrfD//
RutR	folA//citX//uxuA//nirB//trpE//eda//hmp//nrfD//bioF//ahpF//
SdiA	
SgrR	hemL//ssuE//cysK//
SlyA	nanA//pyrC//mraY//tdcG//glnA//phnP//cynT//atoD//arsC//
SoxR	fabG//
SoxS	nirD//rimK//udp//phnH//tdcD//cysK//yqjH//fadI//nanA//argE//carA//entB//ttdA//nfsA//dmsA//adhE//
StpA	phnH//
SutR	hcaE//icd//
TdcA	glyA//nrfA//caiC//mhpD//nrdB//
TdcR	ynfF//guaB//purD//rhaD//atoD//
TorR	arsC//gapA//bioA//bioF//
TreR	nfsA//caiB//
TrpR	argE//alaC//glcE//sbcC//phoA//paaG//purB//caiA//appA//
TtdR	murD//waaY//
TyrR	lacA//citF//dgcZ//galK//fabG//lsrG//sbcD//atoB//umpH//
UhpA	pgaC//
UlaR	murC//ttdA//tam//hyaA//caiC//
UvrY	gloA//fumC//
UxuR	malY//bioA//sodA//
XylR	hycE//chbF//dmsB//
YdeO	purH//bioF//dgcZ//
YefM	dapB//
YefM-YoeB	narI//
YhaJ	
YjjQ	
YpdB	
YqhC	astC//mpaA//
YqjI	hycB//
ZntR	glcB//
ZraR	
Zur	dgcZ//
