# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	torA//dkgA//
RutR	puuB//nfsB//phnM//hcaD//ldtD//ilvC//aroH//dapB//cynS//uxuA//
SdiA	
SgrR	nrfC//napB//nanM//
SlyA	tnaA//entE//treC//mhpE//glcD//paaB//purH//gcvT//galT//
SoxR	ldtC//
SoxS	astC//puuE//glpC//purC//napB//narH//nirB//pnp//rsmH//nrdD//ogt//napB//pyrC//tnaA//fbaA//trpA//
StpA	glnA//
SutR	paaG//fabI//
TdcA	aroH//aroL//entC//murC//rutE//
TdcR	ynfG//fes//entF//frdB//entH//
TorR	lysA//malY//tdcD//glnA//
TreR	uxuB//torC//
TrpR	feaB//phnL//ubiX//recB//fbaA//nanK//metA//bioB//bioB//
TtdR	arsC//alaS//
TyrR	tynA//torA//ttdB//malY//hyaC//hcp//astC//pspE//mdh//
UhpA	adiA//
UlaR	fabD//katG//hyaA//rhaB//galE//
UvrY	eno//aroF//
UxuR	glpB//hyi//caiA//
XylR	hcaD//galK//pyrC//
YdeO	cynS//uxuB//lsrG//
YefM	polA//
YefM-YoeB	deoA//
YhaJ	
YjjQ	
YpdB	
YqhC	sufS//astD//
YqjI	aceE//
ZntR	iscS//
ZraR	
Zur	pgaB//
