# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hycF//ogt//
HigA	citG//
HigB-HigA	dapD//
HipAB	folE//argA//
HipB	rhaB//hypF//hycG//
HprR	recD//ulaF//
HypT	ychF//purH//
IclR	fabH//ppiA//narI//
IlvY	gntK//
IscR	glpX//argF//dgcC//putA//allB//alkB//paaG//
KdgR	fes//
KdpE	edd//
LacI	citD//puuC//cysK//
LeuO	gdhA//aldA//add//
LexA	glpQ//glcD//lsrK//gloA//ulaD//ugpQ//deoA//rimK//purA//
LldR	glmU//ftnA//
LrhA	
LsrR	mhpF//astE//trpA//dmsC//galK//
MalI	melA//lldD//
MalT	ulaD//deoD//murC//codA//
MarA	tdcB//umpH//sbcD//accA//waaY//argB//allB//luxS//aceF//hyaB//glxK//ulaD//
MarR	
MatA	purM//
MazE	purD//
MazE-MazF	fadJ//
McbR	
MelR	entB//phnL//
MetJ	acnA//phnI//narI//glpQ//entA//
MetR	gpmA//nanA//kbaZ//
MhpR	eda//dgcC//napG//atoA//nrfC//pspE//
Mlc	galE//ahpF//paaE//
MlrA	aroF//
MngR	hycB//argG//
MntR	narH//
ModE	fabA//cdd//paaG//ldtC//caiC//deoA//paaI//ynfE//purB//mhpF//gpmA//hycC//allA//hcaE//fabI//
MprA	rhaA//
MqsA	deoD//mazG//
MraZ	waaY//ssuD//nagA//xylB//phnH//cueO//hycE//phnN//argE//umpH//
MurR	citG//argF//fabD//
Nac	lpd//entH//ttdB//nrdE//
NadR	cynS//
NagC	gntK//glpB//melA//puuB//hyi//nanE//mhpE//ydcS//ydcS//glpQ//paaK//appA//ychF//cyoE//
NanR	glpX//fabH//moaA//nrfA//gdhA//fadH//
NarL	ychF//ccp//cysE//puuB//pgaB//deoC//paaJ//edd//entB//cdd//glpK//pykF//umuD//puuD//umuD//rbsK//srkA//aceA//mhpC//phnN//cysM//bioA//mhpE//ribA//
NarP	melA//paaC//purH//nrdE//galM//ulaF//gadB//hycF//ynfG//
NemR	mhpE//umuD//
NhaR	tnaA//lpd//astC//lsrG//cynS//
NikR	hyi//
NimR	aceB//
NorR	mpaA//
NrdR	malP//sbcD//ulaE//lsrF//
NsrR	ygeA//astB//moaC//ruvA//aceA//mhpB//
NtrC	fbaA//ddlB//purC//pdeL//nadB//rsmH//allB//ascB//
OmpR	paaB//glmU//accC//fbaA//rnpB//ydcS//entE//ppsA//
OxyR	galT//ruvA//phnO//glnA//ycjG//phnM//phnL//phnP//argH//frdA//ftnA//purH//napG//
PaaX	ddlB//fabH//kbaZ//cadA//frdA//udp//bioD//cyoE//fbaA//
PdeL	rbsD//
PdhR	fumB//gadA//recF//mraY//ascB//ung//mhpC//ynfE//add//polA//mhpE//citD//wzc//relA//ugpQ//aspA//ttdB//phnM//malY//lsrG//metC//melA//
PepA	yedX//atoA//
PgrR	aroH//napH//
PhoB	allA//trpA//ynfE//fabH//narI//kbaY//aroG//hycB//hypB//mraY//accD//mhpE//luxS//arsC//ynfG//
PhoP	ftsI//kbaZ//folA//
PspF	nfsB//
PurR	edd//phnP//murD//lysC//galT//puuE//nanA//adiA//wzb//hycF//phnG//garK//
PutA	fabG//glpD//
PuuR	melA//ulaD//citG//ascB//ftnA//paaE//
QseB	
RbsR	mhpD//purB//phnP//eno//carB//hyaC//
RcdA	entH//
RclR	
RcnR	moaE//
RcsAB	dgkA//frdD//
RcsB	glpA//alkA//
RcsB-BglJ	lacZ//ppsA//
RelB	moaE//
RelB-RelE	oxc//
RhaR	
RhaS	purD//gcl//nrfD//bioC//
Rob	purH//lpd//mhpB//adhE//
RstA	araB//
RutR	tdcG//citD//ynfF//ftsI//glcF//glpK//alkA//trpA//ydcS//nrfA//
SdiA	
SgrR	ydcS//gpmA//murC//
SlyA	purM//umuC//deoB//citF//garR//aroH//fabB//nrdD//torC//
SoxR	napG//
SoxS	ttdB//acnA//astA//paaZ//metC//purM//dmsA//ynfG//fdhF//hycD//slt//argC//hcp//narH//cueO//alkA//
StpA	nagB//
SutR	trpB//tauD//
TdcA	ahpF//paaH//ribA//ccp//trpD//
TdcR	paaE//uvrB//purC//uxuB//cysE//
TorR	mhpB//iscS//yqhD//ubiX//
TreR	hcaE//phoA//
TrpR	napH//torC//yedX//paaA//tdcG//tyrB//glpQ//citC//ynfG//
TtdR	hmp//eda//
TyrR	phoA//ubiX//nrdF//ruvB//recB//nrdB//nrdD//ugpQ//hemL//
UhpA	deoB//
UlaR	accA//alaC//polA//ssuE//nrdA//
UvrY	glpA//wrbA//
UxuR	metA//ttdA//araA//
XylR	pnp//bioF//caiD//
YdeO	nrdA//allA//frdB//
YefM	malQ//
YefM-YoeB	cysK//
YhaJ	
YjjQ	
YpdB	
YqhC	citX//yedX//
YqjI	gapA//
ZntR	srkA//
ZraR	
Zur	deoC//
