# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fabA//atoB//
DicA	
DinJ-YafQ	fumB//
DnaA	tyrB//gcvT//arsC//ppiA//aceE//moaA//
DpiA	puuE//purN//puuD//malP//mhpA//
EnvR	polB//phnH//
EvgA	hycG//gadB//phnN//murQ//ynfF//
ExuR	
FabR	pgk//nanA//glpA//
FadR	dmsB//entD//fabD//nrfA//glxR//narH//hcaB//napH//glcD//paaB//dapB//tam//guaB//argH//nanA//
FeaR	arsC//aceA//
FhlA	fadJ//luxS//napH//trpB//oxc//mpaA//fadJ//
FlhDC	glcF//argE//
FliZ	trpB//trpA//cadA//argA//gntK//
Fur	entH//hyaC//grxA//paaC//lysC//fabG//gadA//ribA//adhE//aroL//yqjH//dgcZ//chbF//accC//ttdB//bioF//nanE//citX//gltB//rbsK//ribA//hyaA//putA//rbsD//mtlD//polB//nrdF//lacZ//recD//accD//gadA//
GadE	srkA//rsmH//nrfC//
GadE-RcsB	allB//relA//purN//aroH//mhpB//
GadW	lsrG//allA//fabA//
GadX	fabB//argC//hcaF//aceA//pflB//
GalR	fumC//gpmA//allA//ynfE//glpC//
GalS	malP//mpaA//fadH//nrfC//eda//
GcvA	chbG//rhaD//mhpA//
GlcC	astA//hycD//hcaC//
GlpR	mhpF//hyaA//entH//nagA//carB//pgk//ilvC//
GlrR	
GntR	tdcD//yedX//ynfE//argB//fabD//
HU	narI//narG//sbcC//hyaB//
HcaR	wrbA//ada//
HdfR	
HigA	umpH//
HigB-HigA	glpQ//
HipAB	add//phnP//
HipB	gdhA//hycE//narG//
HprR	ynfG//phnL//
HypT	kbaY//fadE//
IclR	bioC//glcD//mraY//
IlvY	uxuA//
IscR	ycjG//tdcD//puuC//srkA//deoD//recD//galM//
KdgR	citX//
KdpE	alaC//
LacI	ascB//rnpB//dgkA//
LeuO	cysM//nrfD//murQ//
LexA	glpK//tyrA//adhE//ppiA//sbcD//napH//caiD//aldA//gcvH//
LldR	mraY//ttdA//
LrhA	
LsrR	tdcB//umuD//fabD//adiA//lsrK//
MalI	murG//rimK//
MalT	nrdB//grxA//ynfG//hyi//
MarA	glcB//cdd//glmU//patD//nanK//tdcG//ynfE//epd//recD//lsrF//ugpQ//hemH//
MarR	
MatA	mhpB//
MazE	hcaF//
MazE-MazF	fadD//
McbR	
MelR	hyaB//argE//
MetJ	nanA//udp//cyoE//malP//astD//
MetR	tdcG//fabD//hyaA//
MhpR	pspE//gcvT//ynfG//fadI//mngB//fadE//
Mlc	deoA//hemH//lldD//
MlrA	srkA//
MngR	argD//alaC//
MntR	glyA//
ModE	moaD//mdh//argI//narH//hycD//recF//lldD//chbF//glcB//fadJ//yfdE//puuD//accD//bioA//tdcD//
MprA	recB//
MqsA	sbcC//tynA//
MraZ	alkA//pgk//oxc//ynfF//ccp//ugpQ//chbF//hcaD//recF//caiC//
MurR	ahpC//garK//aroF//
Nac	bioC//feaB//paaK//fumB//
NadR	appA//
NagC	moaD//ilvC//phnJ//adiA//ddlB//gcvH//ilvC//nfsB//trpC//ttdB//atoB//araB//paaK//pfkA//
NanR	deoD//ulaD//trpD//ascB//hcaE//fabD//
NarL	ribA//glcD//caiD//nirB//ribA//cadA//nirB//galT//slt//srkA//entD//moaA//tdcD//glpK//hycF//garL//cdd//entB//purM//phnI//dmsB//truB//ribA//glpB//
NarP	glpD//iscS//alaC//glpQ//fabA//bioB//lysA//pflB//hyi//
NemR	glyA//cysE//
NhaR	hycF//ssuE//fadI//fumB//dapD//
NikR	purN//
NimR	frdB//
NorR	ychF//
NrdR	rutC//nanE//gcvH//phnM//
NsrR	lsrK//recF//cynT//alaS//eda//ftnA//
NtrC	hyaA//gltD//acnA//paaK//alaS//astE//cynT//bioA//
OmpR	accC//dmsC//galK//rutD//paaJ//puuC//glpD//hmp//
OxyR	rutD//napH//argG//hycD//malY//atoD//sodA//purN//citX//phoA//cysK//hcp//ubiX//
PaaX	accC//guaB//poxB//fes//polB//rutD//garL//carB//paaK//
PdeL	relA//
PdhR	murI//mhpF//sufS//gcl//glpX//feaB//patD//ssuE//ycjG//eda//dapD//paaY//fbaA//dgcC//pykF//ascB//tynA//paaK//nanE//napA//tdcG//phnN//
PepA	pflB//guaA//
PgrR	metA//fadJ//
PhoB	wzc//mazG//cadA//carA//dapD//waaY//gcvT//gcvH//fabI//entA//garR//ruvA//galK//nrfA//glpD//
PhoP	paaH//argB//dmsA//
PspF	lpd//
PurR	rutE//rhaB//feaB//torA//acnA//lacZ//waaY//ddlB//pck//phoA//argA//metF//
PutA	appA//glcE//
PuuR	lpxC//rutA//hemL//fumC//napH//pspE//
QseB	
RbsR	moaD//rbsK//gadB//wrbA//garK//rhaB//
RcdA	trpC//
RclR	
RcnR	argI//
RcsAB	rhaD//ynfF//
RcsB	hycB//sbcD//
RcsB-BglJ	hcp//argC//
RelB	citG//
RelB-RelE	glmS//
RhaR	
RhaS	argD//grxA//rbsK//ttdB//
Rob	lsrK//glmS//mhpA//pdeR//
RstA	ulaF//
RutR	argI//hyaB//garR//fbaA//lpd//napG//murD//accA//murQ//garR//
SdiA	
SgrR	frc//cysE//allB//
SlyA	hyi//guaA//tam//citC//napG//aspA//hypF//fadH//argA//
SoxR	aroL//
SoxS	paaB//moaA//fadI//trpD//nanK//murE//caiC//glpX//lacA//purH//hcaE//paaF//hcaB//phnJ//deoB//argE//
StpA	sodA//
SutR	melA//argG//
TdcA	galT//alaC//entD//ynfF//putA//
TdcR	hypF//hemL//bioD//rutC//ddlB//
TorR	caiB//deoB//sbcD//kbaY//
TreR	entF//trpA//
TrpR	frdA//hcp//hycG//rbsK//ada//murI//tdcG//pdeR//slt//
TtdR	rutB//fabI//
TyrR	frc//gcvT//hycG//citX//caiD//iscS//gadB//ssuD//murI//
UhpA	cyoE//
UlaR	rutA//argE//narH//murC//nrdF//
UvrY	alaS//rutD//
UxuR	glxR//napA//murF//
XylR	nrfA//ldtC//hcaC//
YdeO	deoC//argF//caiA//
YefM	ftsI//
YefM-YoeB	nanE//
YhaJ	
YjjQ	
YpdB	
YqhC	araB//entB//
YqjI	mtlD//
ZntR	glcE//
ZraR	
Zur	entF//
