# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	tdcE//gpmA//
NtrC	entF//poxB//glcE//aceB//bioC//narG//ulaG//cyoE//
OmpR	glnA//caiD//cysG//pykF//paaK//trpD//ynfG//yqjH//
OxyR	lsrF//nrdB//hcaC//murQ//recF//truB//pflB//ulaF//citX//pdeL//nagA//folE//argE//
PaaX	phnM//gapA//wzc//hemH//mhpD//rhaA//dmsB//hyaC//mhpE//
PdeL	glmS//
PdhR	fadD//frc//fadH//ung//pgaC//fdhF//argA//gpmA//xylA//gntK//glpX//aceB//lsrF//nrfC//galT//murF//cynS//glpK//napA//entC//glxR//uxuB//
PepA	yqjH//tauD//
PgrR	zwf//tdcG//
PhoB	glpC//trpB//purC//mhpF//xylA//frc//ddlB//alaS//araA//waaY//cysK//xylA//purC//pck//metA//
PhoP	allA//frdD//argF//
PspF	deoA//
PurR	truB//ynfE//murF//nadB//ribA//astC//paaF//rnpB//accC//argD//phnG//ydcS//
PutA	tdcD//gloA//
PuuR	glxK//narG//glpX//argC//paaI//gntK//
QseB	
RbsR	hcaE//nrdE//ruvB//tauD//folA//yqjH//
RcdA	sbcD//
RclR	
RcnR	nirB//
RcsAB	hcaE//hemH//
RcsB	zwf//uvrB//
RcsB-BglJ	fadD//purC//
RelB	fabG//
RelB-RelE	yqhD//
RhaR	
RhaS	araD//lsrG//guaB//cadA//
Rob	moaE//ychF//fadJ//narH//
RstA	ttdA//
RutR	lsrG//yqjH//rutC//lsrG//aroL//gltD//pck//recF//lsrK//lpd//
SdiA	
SgrR	paaC//umuD//srkA//
SlyA	argA//argE//yedX//fadH//lsrK//xylA//ribA//paaZ//aroF//
SoxR	citE//
SoxS	nanE//mdh//murC//nanK//nadB//paaK//paaY//napH//hcaC//mtlD//tdcB//paaH//ugpQ//caiD//nagB//mhpB//
StpA	dkgA//
SutR	ycjG//fabD//
TdcA	entD//fabI//phoA//nanK//appA//
TdcR	waaY//tdcE//rhaD//phnI//lacA//
TorR	aceF//glpD//garK//carA//
TreR	paaE//glxK//
TrpR	glmS//ubiX//glpX//argI//galT//mdh//glpB//entA//lacA//
TtdR	dgcC//nrfD//
TyrR	hcaD//mraY//fadE//hycG//lsrF//tdcB//phoA//nemA//ftnA//
UhpA	fadJ//
UlaR	narI//phnN//galM//cysM//tynA//
UvrY	caiA//nirD//
UxuR	ruvA//murE//uxuB//
XylR	rutC//nagB//nanE//
YdeO	cynS//yfdE//cueO//
YefM	ldtD//
YefM-YoeB	dmsC//
YhaJ	
YjjQ	
YpdB	
YqhC	nrfD//cynS//
YqjI	ftnA//
ZntR	trpE//
ZraR	
Zur	dgcC//
