# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nrdB//murC//
SlyA	polA//pykF//entB//cysG//araB//gpmA//nfsA//hyaB//ruvB//
SoxR	atoA//
SoxS	lpxC//hcaC//glcF//folE//fabD//ahpC//recB//caiD//acnA//citC//uxuA//citX//glxR//purN//paaF//cysE//
StpA	ssuE//
SutR	napH//nagA//
TdcA	hyaC//entF//gapA//puuC//adhE//
TdcR	hycF//mhpA//gltB//torC//trpD//
TorR	hcaB//hyaB//aceF//nirB//
TreR	cysK//hypB//
TrpR	kbaZ//pdeL//purA//gltB//ddlB//tynA//mngB//ilvC//mngB//
TtdR	rutB//caiC//
TyrR	hycD//tdcB//acnA//murE//bioB//tdcG//ldtD//hycG//phoA//
UhpA	hcaB//
UlaR	rutE//ssuD//ppsA//hyaB//gcvP//
UvrY	ugpQ//aceA//
UxuR	pdeL//araD//phnO//
XylR	aceE//cysE//metC//
YdeO	rsmH//adhE//aroF//
YefM	umuD//
YefM-YoeB	hemH//
YhaJ	
YjjQ	
YpdB	
YqhC	fabA//wzb//
YqjI	argB//
ZntR	ssuE//
ZraR	
Zur	citX//
