# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaJ//murE//
PhoP	hycC//dmsC//mhpE//
PspF	napH//
PurR	recF//entB//cdd//cdd//folE//yqjH//glyA//nirD//pykF//pgaB//garR//caiB//
PutA	garL//ssuE//
PuuR	glpD//purM//paaH//frdC//aceB//murD//
QseB	
RbsR	fumC//phnG//tam//rbsD//dmsC//rnpB//
RcdA	caiB//
RclR	
RcnR	phnP//
RcsAB	hcaC//nagA//
RcsB	carA//sodA//
RcsB-BglJ	astB//tynA//
RelB	hcaF//
RelB-RelE	purM//
RhaR	
RhaS	narG//murD//lacA//aroF//
Rob	paaY//zwf//rsmH//hemH//
RstA	uvrB//
RutR	allA//hycF//cueO//gadA//cdd//paaY//glxK//murC//torA//polB//
SdiA	
SgrR	nrdF//argD//fumC//
SlyA	phnN//fbaA//fumC//rutE//nirD//pdeL//purN//oxc//fabA//
SoxR	alaC//
SoxS	lldD//hyaC//ynfH//deoA//astD//argG//fadJ//pgaB//fadE//ppiA//dmsB//waaZ//hmp//moaD//accA//glpD//
StpA	hycF//
SutR	purA//paaE//
TdcA	rimK//ugpQ//fdhF//frdA//gdhA//
TdcR	recD//glpX//ada//cysG//paaJ//
TorR	hypB//aroF//ynfE//lacA//
TreR	ulaD//murE//
TrpR	glcD//phnN//tnaA//araD//lsrF//fumB//fabD//purB//argE//
TtdR	citE//wrbA//
TyrR	bioA//paaE//wzb//mngB//ynfG//lpxC//tdcB//rutC//murC//
UhpA	xylA//
UlaR	gltD//atoA//accC//nadB//citG//
UvrY	entF//rsmH//
UxuR	pgk//phnO//katG//
XylR	folA//nagB//ilvC//
YdeO	aceA//rnpB//waaY//
YefM	glcF//
YefM-YoeB	tynA//
YhaJ	
YjjQ	
YpdB	
YqhC	lsrG//ycjG//
YqjI	paaI//
ZntR	alkB//
ZraR	
Zur	mraY//
