# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	entC//hyaA//
LrhA	
LsrR	moaE//citC//murG//tauD//dgcC//
MalI	gdhA//nanM//
MalT	ddlB//mngB//hcaC//caiD//
MarA	mhpE//purH//gadA//glyA//recB//hycG//ppiA//hyaB//nfsB//purM//aceA//nanA//
MarR	
MatA	napG//
MazE	metC//
MazE-MazF	tdcE//
McbR	
MelR	eno//citC//
MetJ	aroF//hcp//malY//metC//fumC//
MetR	astD//folA//aceB//
MhpR	metA//waaZ//dkgA//fabG//nirD//deoB//
Mlc	entE//citE//glxK//
MlrA	frc//
MngR	murI//paaE//
MntR	carA//
ModE	phnG//accA//nfsB//mhpD//hycG//atoB//lpxC//phnL//murE//glcE//hemH//argG//yqjH//hcaB//hcp//
MprA	frdC//
MqsA	yedX//tdcD//
MraZ	rutE//carA//fabB//xylA//deoA//nrfD//ulaG//umuD//hycB//uxuA//
MurR	tauD//bioC//fumB//
Nac	hycF//nfsA//purM//garK//
NadR	rutE//
NagC	rhaD//hycF//purF//puuA//cynS//caiB//melA//glpA//aroH//cysG//argF//accD//glpC//xylB//
NanR	frdB//mhpD//rhaA//hypF//phnM//adiA//
NarL	fau//phoA//araB//ahpF//alaC//polB//phnM//nrdB//waaZ//aroF//iscS//lysC//metE//puuB//hyaB//phoA//bioF//rutB//moaE//glpQ//paaH//torA//wzc//gcvH//
NarP	recD//astB//fes//nrdE//glmU//nanM//fabG//entE//lacZ//
NemR	glpC//sbcC//
NhaR	cysM//deoA//ddlB//tnaA//alkA//
NikR	tdcG//
NimR	wzc//
NorR	epd//
NrdR	paaB//mhpB//glpC//narH//
NsrR	murG//mhpF//nagA//kbaZ//lsrK//guaB//
NtrC	hycB//recF//ppsA//alaS//glpA//uxuB//rhaD//citF//
OmpR	ccp//paaK//uvrB//alkB//tynA//carA//ribA//lpd//
OxyR	galT//fabH//pdeR//gloA//slt//glpA//argG//ccp//moaE//hcaC//argB//ribA//wzc//
PaaX	pgaD//uxuB//carB//ssuD//argF//citD//ygeA//accC//argA//
PdeL	poxB//
PdhR	lysC//nagA//rhaD//rhaA//puuC//torC//epd//nrdA//lldD//hcaD//ldtC//nrfA//murF//ynfH//aspA//garR//citX//melA//fabB//trpB//acnA//lsrK//
PepA	paaA//deoC//
PgrR	ogt//ygeA//
PhoB	deoB//paaH//phoA//alkA//aceF//ulaD//moaE//gntK//eno//argB//lacZ//galK//trpD//gcvP//kbaY//
PhoP	rsmH//puuD//rnpB//
PspF	cdd//
PurR	arsC//deoB//fumC//glyA//ruvA//glpX//yqhD//mhpD//rnpB//bglB//recF//hcaE//
PutA	hycF//poxB//
PuuR	moaA//murE//carA//fabI//ssuD//ulaF//
QseB	
RbsR	ftnA//pgaD//hcp//ppiA//galE//phoA//
RcdA	fadE//
RclR	
RcnR	ppiA//
RcsAB	gcvP//rutB//
RcsB	gltB//garK//
RcsB-BglJ	fumB//ruvA//
RelB	feaB//
RelB-RelE	alaC//
RhaR	
RhaS	phnN//garL//umpH//cadA//
Rob	edd//paaE//gpmA//garR//
RstA	entF//
RutR	lsrK//fabH//gntK//argH//narG//ppsA//deoC//umuD//dmsB//gcvH//
SdiA	
SgrR	aceF//ssuE//argC//
SlyA	paaH//nagB//nagB//lsrF//aceF//malP//murI//hyi//metC//
SoxR	lysC//
SoxS	atoA//metE//slt//araD//narI//rutD//argI//ruvB//galT//purF//astA//tdcG//ddlB//gdhA//lsrK//nanE//
StpA	ldtC//
SutR	frdA//hycB//
TdcA	chbF//deoB//astA//nadB//paaK//
TdcR	murC//nemA//murD//nemA//deoD//
TorR	gcvT//rhaB//glpB//paaJ//
TreR	lsrF//uvrB//
TrpR	ahpC//argC//rbsK//fabD//nfsB//ydcS//arsC//narH//entE//
TtdR	gpmA//murG//
TyrR	puuE//accA//citF//ssuD//pgaB//garR//uvrB//nrfC//mhpA//
UhpA	ssuE//
UlaR	tyrB//bioD//rimK//umuC//slt//
UvrY	ssuE//purH//
UxuR	codA//accD//murQ//
XylR	phnL//citC//accD//
YdeO	ssuD//putA//murG//
YefM	purB//
YefM-YoeB	hycD//
YhaJ	
YjjQ	
YpdB	
YqhC	tam//yedX//
YqjI	oxc//
ZntR	rutA//
ZraR	
Zur	nrdB//
