# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	udp//pykF//
NarL	garK//ribA//narH//rutA//nrdE//gpmA//glcB//gntK//aceF//dmsA//dapD//folA//lysA//rutD//cynT//glcD//nrfA//eno//cysE//recB//kbaY//paaY//garL//purH//
NarP	ung//paaI//rsmH//argA//recF//lsrK//add//araB//metC//
NemR	bioA//yqjH//
NhaR	moaD//cadA//dgcZ//hcaC//metA//
NikR	paaA//
NimR	dapB//
NorR	puuE//
NrdR	tyrA//ldtC//glpC//metF//
NsrR	treC//cueO//putA//mhpE//moaC//gadB//
NtrC	ahpF//folA//uxuB//gadB//rhaB//nanE//ddlB//carA//
OmpR	fadH//lysC//ung//nanK//glpQ//argI//murF//gdhA//
OxyR	ppiA//araD//poxB//trpC//nanM//ssuE//lacA//edd//nrdE//gltD//phnP//cynT//rhaA//
PaaX	cysG//chbF//caiA//ttdB//fabI//argD//murQ//pflB//hemH//
PdeL	wrbA//
PdhR	paaI//allA//araD//yqhD//atoB//paaE//purN//caiC//deoB//glpD//relA//wzc//glpX//treC//glpC//fadI//ccp//umuC//nirB//ygeA//torA//cysK//
PepA	purD//rnpB//
PgrR	waaZ//aroH//
PhoB	tdcE//folE//lldD//lldD//purM//torC//tynA//murC//feaB//recD//gdhA//ycjG//purB//ahpC//fadD//
PhoP	frdC//ugpQ//metE//
PspF	recF//
PurR	entD//nanM//xylB//narH//hycD//puuA//pgaD//glpC//ccp//cysM//alaC//glxR//
PutA	malY//truB//
PuuR	hyaA//hcaE//accD//nrdE//atoD//mpaA//
QseB	
RbsR	hypB//gpmA//nanM//napH//glmS//guaB//
RcdA	cynS//
RclR	
RcnR	nagA//
RcsAB	trpB//entH//
RcsB	hyaB//fadE//
RcsB-BglJ	puuD//nfsB//
RelB	pykF//
RelB-RelE	argH//
RhaR	
RhaS	wzb//mazG//hycF//lpxC//
Rob	moaD//gadA//paaJ//purF//
RstA	ddlB//
RutR	gcvT//narG//poxB//mhpA//ygeA//mpaA//lsrF//glyA//dgkA//ruvB//
SdiA	
SgrR	deoC//nrfA//glpB//
SlyA	purF//glxK//aspA//aceE//dapD//gltB//sbcC//ttdB//cysG//
SoxR	phnH//
SoxS	ascB//purC//bioC//tam//nrdF//luxS//dmsB//hycF//hcaB//astD//bioA//argE//argG//caiA//gadA//uxuA//
StpA	ndh//
SutR	frdD//ldtD//
TdcA	nrdD//paaG//tnaA//paaA//srkA//
TdcR	citC//nemA//trpB//araA//alkB//
TorR	galE//lysA//cueO//trpD//
TreR	dgcC//purN//
TrpR	tynA//tdcG//allA//astA//frdB//lacZ//araA//epd//dgkA//
TtdR	sufS//folE//
TyrR	pgk//puuD//gltB//waaZ//aceF//paaJ//cynT//fadD//astC//
UhpA	argF//
UlaR	ogt//gpmA//ilvC//mdh//purB//
UvrY	uxuA//rutC//
UxuR	glpX//malQ//moaC//
XylR	fes//truB//nadB//
YdeO	tauD//glmS//trpD//
YefM	malP//
YefM-YoeB	umuD//
YhaJ	
YjjQ	
YpdB	
YqhC	glcF//garR//
YqjI	rbsD//
ZntR	sufS//
ZraR	
Zur	accC//
