# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynT//paaI//
MalT	mhpF//fdhF//entB//ppsA//
MarA	paaK//gntK//malP//hcaE//yedX//argC//mhpF//moaA//glpA//rhaB//rsmH//glyA//
MarR	
MatA	add//
MazE	glxR//
MazE-MazF	zwf//
McbR	
MelR	narI//truB//
MetJ	glmU//nagA//murD//lysA//phnL//
MetR	entF//pgaB//glcD//
MhpR	luxS//hcaB//glpC//ddlB//mazG//dapB//
Mlc	atoD//galM//glpA//
MlrA	slt//
MngR	paaB//ribA//
MntR	argD//
ModE	allB//entH//fabH//gadA//gapA//cysK//aroF//aroL//lpxC//yfdE//dapB//murE//ldtD//yedX//adiA//
MprA	galM//
MqsA	metF//hycB//
MraZ	paaK//nrfD//glnA//grxA//dkgA//uvrB//fes//wzc//frdB//frdB//
MurR	mhpF//ulaE//moaC//
Nac	pykF//hycD//rhaD//hycG//
NadR	tynA//
NagC	srkA//paaG//metE//wzb//sufS//tyrA//adiA//phnJ//hcaB//citX//fadE//mhpE//pfkA//caiB//
NanR	ascB//astB//pck//ynfG//frc//mazG//
NarL	fadI//gcvP//argB//tyrA//napH//lysC//ppiA//gltB//uxuB//ygeA//ldtD//cynS//ssuD//eda//accC//nrdA//ssuD//sbcC//paaJ//kbaY//nfsB//citG//gloA//hyaA//
NarP	caiC//galK//mhpB//alkA//epd//ldtD//appA//nadB//gcvH//
NemR	murE//deoD//
NhaR	purF//ynfH//treC//paaG//glpD//
NikR	mazG//
NimR	araA//
NorR	caiB//
NrdR	uxuB//eda//deoB//argA//
NsrR	phnP//rbsD//paaF//phnM//guaB//hyaB//
NtrC	ynfE//murF//appA//lpd//rhaA//glcF//atoB//codA//
OmpR	murF//umuC//phnI//puuB//hemL//fumC//citX//paaG//
OxyR	treC//deoD//dgkA//hcaE//paaA//araB//rutD//phnH//adhE//garK//bioF//fbaA//pfkA//
PaaX	lysA//gdhA//frc//ddlB//purB//napG//atoD//wzb//aroL//
PdeL	ribA//
PdhR	torA//hyaA//ahpC//fabA//tdcG//ruvB//tynA//nrdB//narH//grxA//sbcD//moaA//recD//grxA//nirB//hyi//citC//purM//murF//tdcE//trpC//metA//
PepA	ssuE//fadE//
PgrR	citF//fabG//
PhoB	mhpD//argE//citX//gadB//ppsA//citG//hemH//nfsB//mhpE//phnN//moaA//aceE//slt//caiD//hemH//
PhoP	cadA//alaS//alaS//
PspF	hemL//
PurR	purM//tnaA//aceF//mhpC//dgcZ//glyA//murE//purC//malQ//rutE//araD//fumB//
PutA	nrfD//ftnA//
PuuR	nrfA//frdB//polB//entH//caiD//phnN//
QseB	
RbsR	alaS//napB//argG//lsrK//mhpD//gpmA//
RcdA	torC//
RclR	
RcnR	pgaD//
RcsAB	slt//hmp//
RcsB	malY//murC//
RcsB-BglJ	glpX//frdB//
RelB	guaB//
RelB-RelE	fabG//
RhaR	
RhaS	acnA//xylB//gltD//nfsB//
Rob	fbaA//gapA//gntK//ygeA//
RstA	aroF//
RutR	gapA//glpA//ppsA//rsmH//purC//glcD//fabH//glxK//ppsA//fadJ//
SdiA	
SgrR	alaS//adhE//argC//
SlyA	galT//rhaD//purM//phnH//tdcD//acnA//pgaC//gadB//nirB//
SoxR	metA//
SoxS	lsrK//aroH//paaI//frdA//glcF//hyaA//mazG//ogt//fdhF//nemA//fabI//ydcS//nemA//phnN//nrdF//nadB//
StpA	murG//
SutR	tdcG//puuE//
TdcA	mtlD//phoA//aceA//purM//paaG//
TdcR	paaY//katG//bioC//gcvH//yqjH//
TorR	ynfF//alaS//narI//citX//
TreR	paaZ//sbcD//
TrpR	cdd//aroL//frdB//entE//glpD//xylA//malQ//cdd//rimK//
TtdR	umuD//tynA//
TyrR	nadB//yqjH//phnN//aldA//ssuD//polB//astE//metA//argD//
UhpA	yqhD//
UlaR	glyA//paaJ//ppiA//hcaF//uxuB//
UvrY	nrdD//cysM//
UxuR	chbF//garK//wzc//
XylR	fau//nrdE//ycjG//
YdeO	polB//nagB//acnA//
YefM	pgaB//
YefM-YoeB	nrdD//
YhaJ	
YjjQ	
YpdB	
YqhC	bioA//uvrB//
YqjI	metF//
ZntR	mhpC//
ZraR	
Zur	cadA//
