# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	gntK//ruvB//
MqsA	gapA//garR//
MraZ	fadI//ydcS//bioC//rhaA//accD//fadD//cynT//metF//fau//poxB//
MurR	atoB//hcaB//tyrB//
Nac	lsrK//ulaD//hyi//atoD//
NadR	entB//
NagC	atoA//napB//ssuE//chbG//citX//argD//entD//trpE//accA//patD//alaC//glcD//ttdB//araB//
NanR	rimK//napH//xylA//argG//lysC//phnM//
NarL	mngB//tam//lacZ//paaC//ruvB//xylB//rbsD//nrfD//hypB//lysC//umuD//aroG//lldD//rbsK//adiA//tyrB//cynS//lsrK//poxB//phoA//umpH//dgkA//phnG//rutD//
NarP	ahpF//mazG//phnJ//aceA//pyrC//dapB//dkgA//polB//nfsB//
NemR	trpC//atoA//
NhaR	ldtC//ruvA//rbsD//ygeA//pflB//
NikR	ynfG//
NimR	moaD//
NorR	sufS//
NrdR	tdcE//hycF//mraY//cysM//
NsrR	mraY//hycE//cysG//ddlB//mhpA//frdB//
NtrC	galK//hcp//nfsB//truB//glcD//nagB//torC//recB//
OmpR	icd//wrbA//cysM//trpC//lpd//bioC//nanM//eda//
OxyR	mhpE//paaF//puuA//glcE//aroG//hyi//cynT//ogt//mpaA//cadA//lacA//glpA//phnM//
PaaX	cynT//pgaC//ttdB//nrdD//patD//allB//bioF//frdD//uxuA//
PdeL	slt//
PdhR	lysC//hcaD//edd//glpA//atoB//dgkA//fadD//udp//ulaG//pgk//fabA//fumC//gltD//fabD//cysK//gloA//hycE//astD//paaJ//tyrA//wzc//mhpE//
PepA	gltB//kbaY//
PgrR	fadH//relA//
PhoB	chbF//atoB//argG//argF//nanA//gloA//mhpD//purA//cysG//rbsK//sufS//galK//fbaA//yqhD//napB//
PhoP	cyoE//mraY//purH//
PspF	hcaE//
PurR	glnA//uvrB//puuB//iscS//metC//hcp//glpK//frdD//lsrG//phnH//mtlD//luxS//
PutA	pykF//puuB//
PuuR	deoC//puuB//glxK//entC//ldtD//glpD//
QseB	
RbsR	napH//hcaB//alaS//ftnA//dmsB//ada//
RcdA	astA//
RclR	
RcnR	hcaC//
RcsAB	gloA//citC//
RcsB	rutB//iscS//
RcsB-BglJ	garK//aceB//
RelB	add//
RelB-RelE	nagA//
RhaR	
RhaS	frdB//trpC//aspA//glmS//
Rob	frdD//yfdE//phnO//deoA//
RstA	ssuE//
RutR	mhpA//nrdB//glpX//paaF//tdcE//accC//hcaB//paaJ//glcB//glmU//
SdiA	
SgrR	aroG//glxR//moaC//
SlyA	aceA//ccp//citC//ttdB//glmU//glpX//metA//atoA//rutD//
SoxR	glcF//
SoxS	gadB//tnaA//recB//appA//murG//xylB//pgaC//citC//rnpB//tauD//bioC//glpC//glpC//hyi//trpB//gcl//
StpA	udp//
SutR	allB//ppiA//
TdcA	murD//nrfC//srkA//sufS//glpD//
TdcR	lpxC//alkA//waaZ//rbsK//bglB//
TorR	ung//ftsI//tynA//umuD//
TreR	malQ//treC//
TrpR	hyi//acnA//metE//rbsD//gcvH//wrbA//purC//phnI//fau//
TtdR	gdhA//napA//
TyrR	entH//hypF//cadA//paaF//dmsB//nrdD//wrbA//paaF//argH//
UhpA	sbcD//
UlaR	metF//narG//galM//uvrB//kbaZ//
UvrY	lsrK//ddlB//
UxuR	fabA//araB//ppsA//
XylR	caiC//rsmH//wzb//
YdeO	nirB//hcaF//allB//
YefM	slt//
YefM-YoeB	hyi//
YhaJ	
YjjQ	
YpdB	
YqhC	fadJ//gpmA//
YqjI	deoD//
ZntR	murG//
ZraR	
Zur	argE//
