# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	melA//fabB//
DinJ-YafQ	rnpB//
DnaA	ftsI//araD//codA//paaF//murD//allB//
DpiA	bioC//cysK//accA//nanK//fau//
EnvR	fabH//yqjH//
EvgA	mpaA//phnM//umuD//pspE//hcaC//
ExuR	
FabR	ogt//murF//dkgA//
FadR	glpA//polB//kbaY//pdeR//entB//lsrF//ynfH//hyaC//nagA//nirD//atoD//araB//galK//atoD//tyrA//
FeaR	trpD//hcaC//
FhlA	tdcG//glxR//cysK//tyrA//allA//recD//malP//
FlhDC	rnpB//argH//
FliZ	fdhF//nrdF//rbsK//phnM//bglB//
Fur	nanK//hycC//waaZ//ribA//paaI//hycC//putA//moaC//cyoE//purH//glpC//wzb//caiD//atoD//treC//tynA//guaA//glxK//pfkA//pfkA//glmU//ynfG//phnO//phnM//dmsA//dapB//tynA//rimK//sbcD//ascB//nanM//
GadE	ygeA//glxK//fbaA//
GadE-RcsB	narG//hmp//atoB//waaZ//umpH//
GadW	hycF//moaA//frdC//
GadX	narH//entA//nanK//sbcD//mngB//
GalR	bioD//phnH//accA//recD//hyaC//
GalS	ftnA//rhaB//citC//rnpB//nfsA//
GcvA	uvrB//recD//frdD//
GlcC	pfkA//acnA//glxR//
GlpR	atoD//napH//caiC//fau//puuE//putA//ppsA//
GlrR	
GntR	hycB//zwf//mdh//fadE//pykF//
HU	argI//ynfE//frdC//tdcD//
HcaR	slt//aceE//
HdfR	
HigA	murG//
HigB-HigA	phnI//
HipAB	frdD//hcaF//
HipB	nanA//nrdA//fau//
HprR	glcE//phnN//
HypT	puuD//nadB//
IclR	rbsK//galM//chbG//
IlvY	citE//
IscR	narI//phnO//yedX//paaE//napH//ftsI//dmsA//
KdgR	fadJ//
KdpE	edd//
LacI	lpxC//hcaE//glpD//
LeuO	nanE//phnO//metC//
LexA	ttdB//fadD//nanA//rbsK//ugpQ//yqhD//ulaF//xylB//uxuB//
LldR	mdh//gpmA//
LrhA	
LsrR	purN//atoB//folE//hyaB//metA//
MalI	hycD//pflB//
MalT	aroF//uvrB//gadA//metA//
MarA	glpK//gcvT//nanA//astC//garL//cynT//umuC//paaH//rutA//hyaC//poxB//ynfG//
MarR	
MatA	purD//
MazE	glpQ//
MazE-MazF	aspA//
McbR	
MelR	frdC//ahpF//
MetJ	bglB//narH//galK//luxS//frdD//
MetR	hcaE//malP//mraY//
MhpR	citF//glcF//rutB//paaE//cynS//fumC//
Mlc	ftnA//ftsI//glxK//
MlrA	umuC//
MngR	nanA//pck//
MntR	yqhD//
ModE	truB//fbaA//lysC//guaB//bioF//waaZ//icd//nrdD//gcl//aldA//gntK//hypF//astC//nrfC//bglB//
MprA	treC//
MqsA	acnA//purF//
MraZ	rsmH//caiB//phnN//purH//sbcC//glyA//paaG//aceA//frdB//ssuE//
MurR	ssuD//aroG//arsC//
Nac	katG//fadI//glpX//fabH//
NadR	phnG//
NagC	icd//frdC//fabG//ssuD//nrdE//araB//rutE//glyA//moaC//eno//poxB//pdeL//icd//atoA//
NanR	folA//ruvB//ddlB//paaF//hycB//murC//
NarL	metF//acnA//purC//astC//torA//lsrF//pnp//phnJ//citX//sodA//argI//fau//dgcZ//ubiX//mhpF//hypF//carB//grxA//glpX//ulaD//glyA//cadA//hycF//phnL//
NarP	cysK//uxuB//uxuA//cynS//deoA//astD//nrdA//citD//iscS//
NemR	frdD//mazG//
NhaR	pgaB//lpxC//bioC//glmS//astD//
NikR	lysA//
NimR	iscS//
NorR	cynS//
NrdR	accC//phnM//zwf//nirD//
NsrR	citX//phnM//narI//gapA//dgcC//glcF//
NtrC	nfsB//ldtC//murD//umuC//hcp//atoB//citE//eno//
OmpR	ruvA//murI//rbsD//ccp//yqjH//astB//tam//guaA//
OxyR	ccp//argG//nadB//carA//ulaD//recD//nanE//frc//atoD//mhpA//fabA//ycjG//acnA//
PaaX	entD//malY//aspA//paaK//garL//bioA//hycB//gapA//citE//
PdeL	pnp//
PdhR	trpA//yqhD//lsrF//paaH//torA//dapD//purC//frdC//citD//murQ//edd//pspE//umuD//murQ//citE//napA//purF//srkA//chbF//yedX//aceE//hyaA//
PepA	xylA//grxA//
PgrR	paaA//rhaA//
PhoB	ynfF//ndh//lysC//carB//bglB//rimK//hycD//tdcG//ygeA//ttdB//frdC//citD//mraY//epd//murD//
PhoP	nagA//fdhF//ogt//
PspF	lpxC//
PurR	phnJ//gloA//nrfD//xylB//yedX//tyrB//tynA//glmU//nagB//nrfD//epd//dapD//
PutA	nrfD//entD//
PuuR	sodA//lysC//argD//ubiX//napA//dapB//
QseB	
RbsR	ttdA//mngB//ynfH//patD//recF//uvrB//
RcdA	paaH//
RclR	
RcnR	gntK//
RcsAB	moaE//moaC//
RcsB	umpH//sbcD//
RcsB-BglJ	tynA//caiC//
RelB	yqjH//
RelB-RelE	nanM//
RhaR	
RhaS	garR//astD//nirD//glcB//
Rob	entD//paaC//pck//napH//
RstA	nirB//
RutR	pflB//fau//aceF//alaC//glpQ//napH//glxR//caiD//fbaA//purC//
SdiA	
SgrR	moaD//gadB//pspE//
SlyA	lacZ//waaY//rnpB//epd//pnp//frdC//eno//hycF//rhaA//
SoxR	paaE//
SoxS	lysA//lpd//argB//trpB//trpA//fumC//ulaG//aroF//argI//pyrC//bglB//caiA//citX//astD//ydcS//rhaD//
StpA	ssuE//
SutR	argF//metA//
TdcA	paaE//moaE//glpX//patD//aceE//
TdcR	argE//fadH//pck//ychF//mhpD//
TorR	hemH//aroL//slt//sbcC//
TreR	citG//ycjG//
TrpR	purC//fadE//rutD//phnL//ccp//cysK//glyA//aroL//eda//
TtdR	pdeR//nrfC//
TyrR	caiC//frc//srkA//allA//edd//caiA//galT//srkA//murF//
UhpA	katG//
UlaR	argH//tdcD//dkgA//hyaC//puuA//
UvrY	hmp//purC//
UxuR	pflB//gcvT//gadA//
XylR	adiA//icd//glyA//
YdeO	cyoE//aroG//lacZ//
YefM	uvrB//
YefM-YoeB	nrdB//
YhaJ	
YjjQ	
YpdB	
YqhC	pfkA//ubiX//
YqjI	rutC//
ZntR	feaB//
ZraR	
Zur	glpC//
