# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	murI//dgcC//
LsrR	sodA//sodA//chbG//rbsD//lsrF//
MalI	ldtC//argH//
MalT	bioA//mhpD//ung//dapD//
MarA	napH//napB//trpE//aceF//dgcZ//ynfH//astB//mhpA//garL//ruvB//phnL//gloA//
MarR	
MatA	moaC//
MazE	gcl//
MazE-MazF	ssuD//
McbR	
MelR	gcvT//ulaG//
MetJ	hemL//yqhD//narI//fbaA//argH//
MetR	arsC//pgaB//pck//
MhpR	puuE//hcaB//grxA//ccp//alaC//puuC//
Mlc	rsmH//treC//fabA//
MlrA	gntK//
MngR	katG//tyrA//
MntR	argC//
ModE	entB//garK//nanM//dapD//rutB//uxuB//narG//purN//glcD//ahpF//entC//umuC//paaA//trpD//murE//
MprA	garR//
MqsA	garR//gcvH//
MraZ	alaS//kbaZ//gadB//pfkA//pspE//cynT//argC//aspA//galK//moaA//
MurR	pgaB//glcD//dgcZ//
Nac	glcB//dkgA//truB//tauD//
NadR	tdcE//
NagC	glmU//mpaA//glpB//nrdA//ynfE//rhaA//phnL//ascB//oxc//pgaC//nfsA//mhpD//nagB//pnp//
NanR	tnaA//argB//fumC//purB//glmS//murD//
NarL	galE//sbcC//phnO//galE//phnG//glmU//mdh//yedX//tyrA//gltB//astD//hcp//adhE//entH//alkB//entH//rutC//ppsA//aroL//rutC//frdD//hycD//astB//nrdF//
NarP	citF//mngB//narH//cynS//murC//ulaD//rhaA//nanE//purF//
NemR	lysA//purA//
NhaR	ruvB//nfsA//yqhD//nrfC//nfsA//
NikR	gltD//
NimR	fes//
NorR	cysM//
NrdR	oxc//eda//nirD//entB//
NsrR	tam//accD//hcaC//tdcB//mraY//lysC//
NtrC	kbaZ//iscS//gadB//bioD//glcE//puuB//feaB//galK//
OmpR	astB//carA//trpD//narH//rbsD//nanE//cyoE//uvrB//
OxyR	lacZ//nagA//carA//glcD//alkA//aceB//deoA//yqhD//fumB//ssuD//paaJ//argB//aroL//
PaaX	cdd//mhpF//nanK//nadB//fabI//murQ//aroL//guaA//slt//
PdeL	pgk//
PdhR	polB//uvrB//appA//gadA//nrfA//murI//entA//feaB//malQ//purD//umuD//phnL//mhpF//ldtC//lacZ//accD//nirB//tam//ilvC//gltD//glyA//ahpC//
PepA	pfkA//atoD//
PgrR	argE//nirB//
PhoB	waaY//arsC//gcvH//entC//dmsC//mazG//tdcE//gntK//gadB//ppiA//adiA//fdhF//wzc//pflB//ttdA//
PhoP	mhpB//accA//cynT//
PspF	entC//
PurR	umuD//nanK//narG//argA//trpC//nemA//luxS//glpA//glpA//eda//mngB//pfkA//
PutA	ppsA//citD//
PuuR	ssuD//cynT//murE//katG//glxK//guaA//
QseB	
RbsR	chbF//hyaA//entF//aceA//feaB//cueO//
RcdA	rbsK//
RclR	
RcnR	frc//
RcsAB	rutA//hycC//
RcsB	mdh//hemH//
RcsB-BglJ	glmU//aspA//
RelB	ppiA//
RelB-RelE	malP//
RhaR	
RhaS	cdd//alkA//ppiA//cysG//
Rob	chbG//eda//feaB//malP//
RstA	mhpC//
RutR	puuC//nagA//hyaB//napA//moaE//nagA//truB//pdeR//fabI//pgaC//
SdiA	
SgrR	ulaD//gntK//paaB//
SlyA	ahpF//ulaE//entC//fadH//fabH//lysC//argF//tynA//murE//
SoxR	lsrK//
SoxS	dmsC//cysE//ahpC//paaI//frdC//ppiA//murD//guaB//moaD//hypF//ycjG//aceF//recD//rbsD//bioA//glnA//
StpA	caiB//
SutR	nrdD//kbaY//
TdcA	puuE//trpA//aldA//hmp//puuD//
TdcR	hcaC//pgaD//lacZ//entE//dmsA//
TorR	ftnA//tnaA//dgcZ//ldtC//
TreR	cysK//lldD//
TrpR	mraY//epd//ascB//umuD//hyaC//ttdB//fbaA//phnO//ada//
TtdR	yqhD//glmS//
TyrR	entB//bioC//nrfA//gntK//ttdB//mhpC//ttdB//ruvA//adhE//
UhpA	tdcG//
UlaR	ugpQ//ascB//waaZ//argB//nrfA//
UvrY	rutB//hyaA//
UxuR	ribA//ldtC//pgaD//
XylR	pgaC//fadE//nrdE//
YdeO	recF//fabD//glpB//
YefM	bioD//
YefM-YoeB	narH//
YhaJ	
YjjQ	
YpdB	
YqhC	glpX//codA//
YqjI	hycD//
ZntR	umuD//
ZraR	
Zur	tyrB//
