# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mpaA//argF//
PhoB	rutD//fadD//tyrB//moaD//paaJ//fes//murD//frdB//mazG//ulaF//frdB//hcp//metE//phnL//relA//
PhoP	rutC//glcE//hemH//
PspF	galT//
PurR	cynS//gltB//metC//cysM//aceE//fabG//murF//hypB//hypB//accC//moaA//argI//
PutA	xylA//gadA//
PuuR	narG//carB//puuC//frdC//phnP//hyaC//
QseB	
RbsR	paaI//rutE//nadB//mtlD//dgcC//hyaB//
RcdA	ycjG//
RclR	
RcnR	entC//
RcsAB	murQ//cysK//
RcsB	dapD//umuC//
RcsB-BglJ	rnpB//lsrG//
RelB	hycD//
RelB-RelE	glcF//
RhaR	
RhaS	fadE//tdcD//kbaZ//fabD//
Rob	astC//mraY//rimK//udp//
RstA	pspE//
RutR	puuA//hycC//hcaD//phnP//phnN//argF//phnH//fabH//entE//citG//
SdiA	
SgrR	ilvC//pgaB//argD//
SlyA	glcB//murI//nanM//ulaG//kbaZ//glcD//paaE//gloA//glmS//
SoxR	nemA//
SoxS	hyaB//astC//rsmH//ada//frdB//caiB//tynA//ynfF//uxuA//tdcB//cysM//nemA//frdD//nfsA//fdhF//napB//
StpA	ynfE//
SutR	ppsA//melA//
TdcA	aroG//umuC//tyrB//nagB//cueO//
TdcR	trpB//glxR//hyi//fadJ//fdhF//
TorR	hcaD//citD//relA//dapB//
TreR	rutC//adiA//
TrpR	umpH//putA//ssuE//aceE//trpC//cysE//hmp//deoC//hyi//
TtdR	gadA//ruvA//
TyrR	cysE//nanM//galT//fau//pgaD//nagB//add//hycB//araB//
UhpA	yqjH//
UlaR	malY//torC//argH//cdd//puuD//
UvrY	astB//astA//
UxuR	paaZ//mngB//argA//
XylR	fabG//caiB//atoA//
YdeO	gcvP//fadI//citD//
YefM	pflB//
YefM-YoeB	caiD//
YhaJ	
YjjQ	
YpdB	
YqhC	entA//mhpB//
YqjI	ftnA//
ZntR	hemL//
ZraR	
Zur	hmp//
