# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	accA//nrfD//
IscR	ssuE//nanA//argB//ribA//astC//dgkA//edd//
KdgR	hycF//
KdpE	ttdB//
LacI	bglB//deoA//caiD//
LeuO	entC//murQ//cysK//
LexA	adhE//frdC//tyrA//rutD//xylB//fabB//moaE//paaB//fadI//
LldR	acnA//mtlD//
LrhA	
LsrR	nrfA//xylA//atoA//hyaA//arsC//
MalI	nirD//purM//
MalT	frdC//glmS//lsrF//aroL//
MarA	araB//purD//uvrB//fumB//hcaF//tnaA//gcl//aceA//nrdF//nanM//tdcG//rimK//
MarR	
MatA	metE//
MazE	rutA//
MazE-MazF	gcvH//
McbR	
MelR	ogt//glpQ//
MetJ	paaG//dapD//cynT//tam//murE//
MetR	recD//aspA//feaB//
MhpR	astC//cynS//fumB//polA//moaA//gapA//
Mlc	entE//icd//ynfE//
MlrA	citD//
MngR	hemH//glnA//
MntR	frc//
ModE	pfkA//glpC//purF//paaG//napG//murC//citC//argG//lldD//rnpB//fadI//glpX//paaE//dgkA//fadH//
MprA	sufS//
MqsA	allA//napG//
MraZ	fadD//cadA//hycF//murI//deoC//paaA//gltB//entE//hmp//glxR//
MurR	rhaD//gcvH//atoB//
Nac	nanA//hypF//entF//fabB//
NadR	nrdA//
NagC	hycD//purC//rutB//icd//argA//ssuE//aroH//uxuA//gcvT//murF//torA//deoA//luxS//astA//
NanR	lsrK//accA//glpC//cyoE//nrdE//patD//
NarL	xylB//alaC//nanA//luxS//fumB//melA//grxA//gloA//cysE//umuD//ddlB//nrdD//fabH//hcaD//nrdF//rhaD//frdA//phoA//aroF//araB//rbsK//galK//glpA//rutE//
NarP	gntK//tdcE//ulaE//relA//hcaD//cysE//accC//mhpC//napG//
NemR	astC//cadA//
NhaR	uvrB//hycF//purM//alaC//hcaB//
NikR	astA//
NimR	ynfH//
NorR	citF//
NrdR	gadB//astC//edd//tdcG//
NsrR	galT//argF//slt//ldtD//hyaB//fadI//
NtrC	paaJ//ftnA//hycG//gntK//glpX//cysG//fadE//astC//
OmpR	ynfE//puuA//lsrF//hcaF//accA//rutB//moaA//fumB//
OxyR	fumB//phnO//pflB//pck//glpD//nrfC//ldtC//aceF//galT//ung//ogt//mhpD//hycG//
PaaX	aceB//hycG//aceF//glpQ//moaE//accC//metA//alkA//deoD//
PdeL	dgcZ//
PdhR	folE//ssuD//torA//lpd//pdeR//hycD//hycG//dmsA//ycjG//caiB//ulaF//tnaA//araD//trpB//bioC//eno//pdeL//poxB//rutD//zwf//wzb//fadD//
PepA	gltD//mngB//
PgrR	waaY//nanM//
PhoB	ynfH//gadA//nagB//uxuA//fadI//udp//trpA//mhpD//ccp//udp//napB//lysA//polB//alaS//entE//
PhoP	aroG//murI//appA//
PspF	nfsB//
PurR	ftnA//cyoE//ssuD//cysE//aceA//hcaC//garR//entC//phnO//glcE//epd//guaA//
PutA	nirD//alkB//
PuuR	entC//lsrF//murG//pflB//bioA//uxuA//
QseB	
RbsR	murF//rhaD//murI//paaF//ldtC//hyaA//
RcdA	ldtC//
RclR	
RcnR	putA//
RcsAB	phnO//metE//
RcsB	glpK//relA//
RcsB-BglJ	putA//fabD//
RelB	fabG//
RelB-RelE	puuA//
RhaR	
RhaS	glxR//lpxC//kbaZ//rhaA//
Rob	paaC//lacA//citG//arsC//
RstA	fdhF//
RutR	bglB//ppiA//paaJ//citC//glcD//aroF//phnH//trpA//glmU//cysK//
SdiA	
SgrR	phnL//glyA//garR//
SlyA	citX//rutD//rutE//citE//allA//citF//dmsA//aceA//murQ//
SoxR	paaI//
SoxS	nemA//hcaF//rbsD//deoB//entH//cadA//ttdB//umuD//entE//hycB//ydcS//paaA//gloA//pykF//citX//hcaD//
StpA	eda//
SutR	purA//ahpF//
TdcA	nrdE//ynfE//lpxC//rutC//dapB//
TdcR	galE//recD//paaK//edd//umpH//
TorR	accD//srkA//argC//ycjG//
TreR	glcE//hypF//
TrpR	epd//fau//acnA//murD//ruvA//lacZ//murD//garL//moaE//
TtdR	lpxC//edd//
TyrR	hcaF//tauD//accA//yqjH//aldA//garR//nfsA//citC//glmS//
UhpA	pgaD//
UlaR	pykF//eno//umpH//aceE//ahpC//
UvrY	epd//tdcB//
UxuR	dmsB//deoA//polB//
XylR	dmsB//fumC//kbaZ//
YdeO	sodA//nanK//tyrA//
YefM	galE//
YefM-YoeB	garR//
YhaJ	
YjjQ	
YpdB	
YqhC	yqjH//argE//
YqjI	ldtC//
ZntR	glcE//
ZraR	
Zur	cdd//
