# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaC//purD//
IlvY	arsC//
IscR	luxS//argF//glxK//rbsK//fes//yedX//nanE//
KdgR	gltB//
KdpE	paaB//
LacI	xylA//lysA//ogt//
LeuO	nadB//fau//phnI//
LexA	add//relA//truB//fabI//wzc//hyi//ppsA//paaZ//atoB//
LldR	guaB//cynT//
LrhA	
LsrR	accA//torA//argI//eda//aldA//
MalI	napB//recF//
MalT	ttdA//tnaA//mtlD//hcp//
MarA	nagA//atoD//cynT//gpmA//wrbA//paaH//tyrB//lsrF//lsrG//deoB//mhpB//puuE//
MarR	
MatA	pykF//
MazE	frdD//
MazE-MazF	lysA//
McbR	
MelR	astB//alkA//
MetJ	garR//cdd//fadD//tam//lldD//
MetR	mdh//ribA//dgcC//
MhpR	nirD//mdh//fau//citX//mngB//fabA//
Mlc	deoC//pgaD//deoD//
MlrA	cynT//
MngR	glpX//nanM//
MntR	allA//
ModE	ccp//araD//nemA//ahpF//mpaA//dmsA//rbsD//fes//aceE//yqjH//aspA//tyrA//cynT//ynfF//nagB//
MprA	grxA//
MqsA	rbsD//edd//
MraZ	galM//cynS//ynfE//zwf//frc//glnA//paaC//napH//nrdD//putA//
MurR	rbsD//malP//tauD//
Nac	fabB//lsrF//paaB//frc//
NadR	glpK//
NagC	fadD//ahpF//aroF//moaC//bioB//mngB//yedX//ssuE//ynfE//nfsA//rsmH//purM//ugpQ//gadB//
NanR	trpD//ttdB//nrfD//guaA//acnA//lldD//
NarL	ulaG//entD//napA//rhaB//lpxC//moaE//lacZ//ndh//ubiX//fabH//hcaF//pgaD//citF//puuE//ulaD//truB//epd//recB//nirD//garL//nfsA//ubiX//lsrK//paaH//
NarP	ilvC//kbaZ//puuB//nanK//atoB//nanE//rhaD//bioC//nrdB//
NemR	hcp//mraY//
NhaR	argC//ddlB//gdhA//glpX//paaB//
NikR	adiA//
NimR	adiA//
NorR	grxA//
NrdR	argD//napG//hypB//atoB//
NsrR	hcaD//sodA//purB//glpK//ulaD//ynfH//
NtrC	paaC//cueO//hmp//ynfE//ulaD//tnaA//rsmH//polA//
OmpR	trpC//glcD//ssuE//rimK//wzc//ubiX//phnO//pck//
OxyR	pflB//ndh//glpC//rhaB//ugpQ//dgkA//paaA//gadB//bioA//pgk//bioA//deoD//xylB//
PaaX	ulaE//trpD//poxB//astC//paaC//metE//araA//citF//fumC//
PdeL	nagB//
PdhR	gadB//ssuE//argI//glpX//argE//nemA//hemL//metA//phnP//atoB//adiA//moaE//ddlB//ulaG//murD//napH//yqjH//glnA//uxuB//moaE//napG//hycC//
PepA	aspA//entA//
PgrR	entE//ldtC//
PhoB	grxA//nfsB//ldtD//chbG//arsC//entF//trpE//narI//hcaD//cynS//codA//patD//ruvB//citC//phnP//
PhoP	araA//hyaC//napB//
PspF	ogt//
PurR	glcE//fabA//argG//paaZ//purA//ada//lsrG//rhaD//caiD//hyaC//frdB//torC//
PutA	ynfG//hycC//
PuuR	fabI//paaJ//gloA//pgaD//adhE//sufS//
QseB	
RbsR	ttdA//deoA//bioB//metE//mraY//moaC//
RcdA	folA//
RclR	
RcnR	ahpF//
RcsAB	cyoE//pfkA//
RcsB	dapB//hcaC//
RcsB-BglJ	puuD//ynfE//
RelB	trpE//
RelB-RelE	ppsA//
RhaR	
RhaS	allA//cysM//galE//nirB//
Rob	pck//tauD//deoA//treC//
RstA	puuE//
RutR	glpC//garL//argH//paaC//ppiA//purH//caiA//kbaZ//glpD//paaB//
SdiA	
SgrR	ftsI//hyaB//fadE//
SlyA	mazG//paaI//murE//hycE//glpA//ynfH//paaH//rbsD//adhE//
SoxR	aroL//
SoxS	ugpQ//ynfF//fumB//paaK//eda//putA//cysK//entD//entD//nrdB//pgaC//gdhA//mhpE//nrfC//citG//glyA//
StpA	ndh//
SutR	metC//aceB//
TdcA	glyA//hcaD//ogt//glpC//polB//
TdcR	astC//metE//acnA//ulaD//adiA//
TorR	ttdB//truB//uxuB//argH//
TreR	nemA//rutD//
TrpR	argA//ssuE//argD//astB//purC//phnM//wrbA//murC//fadE//
TtdR	epd//carB//
TyrR	grxA//paaZ//ubiX//ssuD//deoC//bglB//glpB//murQ//ulaD//
UhpA	citX//
UlaR	paaE//ulaF//mngB//paaI//pck//
UvrY	pspE//gltD//
UxuR	glpQ//glcF//fbaA//
XylR	ilvC//purD//sbcD//
YdeO	lysC//lysC//entD//
YefM	fabI//
YefM-YoeB	garR//
YhaJ	
YjjQ	
YpdB	
YqhC	trpA//frc//
YqjI	ilvC//
ZntR	eda//
ZraR	
Zur	adiA//
