# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glpK//ydcS//
OxyR	bioC//astE//mtlD//nanA//pgaB//atoD//pspE//mpaA//hmp//purA//astC//yfdE//araB//
PaaX	fumC//glpC//hyaB//ttdB//ppiA//aroF//aroH//frdB//hycG//
PdeL	yfdE//
PdhR	entF//truB//gcvT//bioD//kbaZ//dgcC//glcB//moaC//fes//entF//hypB//gltB//edd//glpQ//gltB//recF//chbG//glpA//sufS//cynT//uxuB//nagA//
PepA	add//hypB//
PgrR	sbcC//hcp//
PhoB	udp//nfsA//puuC//dapB//hcaE//astD//eno//entF//pdeR//metA//nagB//katG//fadH//trpC//fadE//
PhoP	entC//hypF//relA//
PspF	astA//
PurR	ilvC//gadB//arsC//hycG//rutE//tyrB//aroH//sbcC//ssuE//pykF//allB//truB//
PutA	glyA//glmU//
PuuR	nrfC//dgcZ//moaE//mhpB//moaC//acnA//
QseB	
RbsR	napH//lpxC//tdcE//murI//gntK//citD//
RcdA	rhaD//
RclR	
RcnR	galK//
RcsAB	ynfF//cysG//
RcsB	trpC//purF//
RcsB-BglJ	fumB//torC//
RelB	eda//
RelB-RelE	cynT//
RhaR	
RhaS	rsmH//add//gntK//mhpB//
Rob	atoA//puuC//murI//wrbA//
RstA	trpD//
RutR	phnN//eno//aldA//lsrF//paaI//murE//tynA//paaF//citC//paaA//
SdiA	
SgrR	nanA//hyaC//tyrB//
SlyA	hemL//cynS//carA//dapD//recB//nanE//pyrC//pdeL//gloA//
SoxR	gadA//
SoxS	glcB//yqjH//pgk//moaC//paaZ//aceA//dmsB//garL//feaB//fabA//nemA//metF//caiD//frc//gntK//hcaD//
StpA	nrfC//
SutR	lysA//argA//
TdcA	trpD//ruvA//frc//bioA//phnL//
TdcR	frc//trpA//bglB//araD//allB//
TorR	aroF//paaG//garL//phnG//
TreR	chbF//paaC//
TrpR	glpK//umuC//glxR//deoB//ychF//rutB//purD//napA//gcvH//
TtdR	rnpB//hcaF//
TyrR	patD//alaC//patD//astB//astB//lsrK//fabB//ftsI//deoC//
UhpA	wzc//
UlaR	truB//bioF//ilvC//hycF//treC//
UvrY	waaY//purM//
UxuR	argI//ccp//lacZ//
XylR	purN//accA//truB//
YdeO	glpK//hcaB//eno//
YefM	tdcG//
YefM-YoeB	nrdB//
YhaJ	
YjjQ	
YpdB	
YqhC	ppsA//tnaA//
YqjI	glcD//
ZntR	frdC//
ZraR	
Zur	rutC//
