# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nfsA//rutE//
NemR	bioB//trpB//
NhaR	citF//phnJ//ung//phoA//umpH//
NikR	cadA//
NimR	mhpB//
NorR	hyaA//
NrdR	umuC//phnP//phoA//ychF//
NsrR	nrfC//astC//argC//entD//purF//gntK//
NtrC	paaJ//purD//lsrF//mraY//nrdE//waaZ//dkgA//rutB//
OmpR	gpmA//nfsB//glcF//nanK//murQ//grxA//hycC//glpD//
OxyR	ahpC//folE//lysA//fabA//narH//lacZ//fadI//mngB//hycF//deoB//hcaF//fabI//fadE//
PaaX	mdh//ygeA//recF//atoB//mhpD//entE//wrbA//paaF//ulaG//
PdeL	frc//
PdhR	citD//mhpE//ynfG//glcF//napH//mhpA//metE//nfsA//purM//pykF//dgcZ//xylB//cueO//tdcE//glnA//fabB//pflB//araB//argF//murF//citF//araB//
PepA	murF//ogt//
PgrR	guaB//accD//
PhoB	nrdA//nrdE//pgaC//citF//ahpC//relA//relA//hcaD//cynT//narG//appA//hcaE//ddlB//entH//ccp//
PhoP	oxc//ftsI//pspE//
PspF	sbcC//
PurR	ahpC//cueO//hcaF//deoC//rhaD//nrdB//entF//rbsD//xylA//ppsA//dgcZ//phnO//
PutA	allB//bioB//
PuuR	argG//entH//rutC//frdA//srkA//tnaA//
QseB	
RbsR	ulaE//deoB//cysG//accD//ycjG//hemH//
RcdA	tdcG//
RclR	
RcnR	fadE//
RcsAB	pgaC//alkB//
RcsB	mhpE//glnA//
RcsB-BglJ	paaA//recF//
RelB	lacZ//
RelB-RelE	glpD//
RhaR	
RhaS	mhpB//cdd//zwf//dmsB//
Rob	ruvA//recB//caiA//lacZ//
RstA	citE//
RutR	patD//alaS//tauD//purM//gcvP//purA//cynT//frdA//slt//hycD//
SdiA	
SgrR	ribA//nrfA//gcvP//
SlyA	feaB//murD//napA//fadI//relA//murF//ldtC//nanA//cysM//
SoxR	glmU//
SoxS	alkA//accD//fadJ//caiC//phnH//entD//slt//recF//paaY//cdd//galT//purD//gcvP//nirD//cynT//phnI//
StpA	frdD//
SutR	rsmH//bglB//
TdcA	metE//guaA//kbaZ//hyaA//slt//
TdcR	fadJ//paaK//ugpQ//nanM//acnA//
TorR	cynT//bioF//rbsD//ulaF//
TreR	carA//nanM//
TrpR	nemA//alaS//waaY//rbsK//paaY//hypB//gadB//eno//araD//
TtdR	ccp//hcp//
TyrR	ppiA//tdcE//pykF//hmp//purF//purC//ruvA//moaE//nanK//
UhpA	lpd//
UlaR	ulaD//nrdE//hycD//nagB//entC//
UvrY	fau//sbcC//
UxuR	phnP//purA//astB//
XylR	putA//purC//atoD//
YdeO	nrfA//putA//napG//
YefM	glxK//
YefM-YoeB	patD//
YhaJ	
YjjQ	
YpdB	
YqhC	dmsA//gcvP//
YqjI	pykF//
ZntR	gltD//
ZraR	
Zur	caiA//
