# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nrfD//mngB//
RelB	nanA//
RelB-RelE	nadB//
RhaR	
RhaS	cdd//puuE//ldtD//phnH//
Rob	rhaD//puuD//luxS//entD//
RstA	allB//
RutR	moaA//tyrB//fbaA//bioA//ynfF//deoC//codA//guaB//bglB//torC//
SdiA	
SgrR	accC//oxc//aceF//
SlyA	ychF//citD//hcaF//murD//nagA//frdC//gdhA//ada//metA//
SoxR	murF//
SoxS	phnO//phnN//metE//aroH//ilvC//recF//appA//kbaY//kbaY//astD//fumB//ppsA//ahpF//putA//hypB//aroF//
StpA	hcaC//
SutR	nemA//trpE//
TdcA	aceB//guaA//sufS//hemL//xylA//
TdcR	codA//fabH//atoD//glmS//lldD//
TorR	edd//gcvT//ppiA//fabI//
TreR	hypB//aspA//
TrpR	acnA//narH//iscS//purM//pdeR//nrdA//aroH//umuC//phnJ//
TtdR	tyrB//pgk//
TyrR	rutE//frdC//uxuA//nrdA//astB//mraY//fadH//frdD//atoD//
UhpA	fdhF//
UlaR	pykF//sbcC//aroG//puuC//umuD//
UvrY	nrdA//allB//
UxuR	truB//nanM//allB//
XylR	argE//fdhF//frdB//
YdeO	cysG//pdeL//dapD//
YefM	tdcB//
YefM-YoeB	pgaD//
YhaJ	
YjjQ	
YpdB	
YqhC	mngB//rsmH//
YqjI	ssuD//
ZntR	caiA//
ZraR	
Zur	entF//
