# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	caiB//yqjH//
MalI	gdhA//phnJ//
MalT	nemA//sufS//tdcG//ldtD//
MarA	fabG//icd//gadB//dmsC//yqjH//rbsD//paaE//poxB//lsrK//citC//metA//rutB//
MarR	
MatA	dapD//
MazE	umuC//
MazE-MazF	hemH//
McbR	
MelR	cysG//phnJ//
MetJ	pflB//astD//paaY//nagA//fabD//
MetR	galM//recF//ribA//
MhpR	glnA//aceA//nrdE//aceF//recD//bglB//
Mlc	pdeR//pdeL//aceE//
MlrA	entH//
MngR	ahpC//wzb//
MntR	paaZ//
ModE	umuD//dgkA//sbcC//napA//tdcD//fumC//mpaA//murC//bioF//glcE//lsrF//accC//murD//waaY//waaY//
MprA	accC//
MqsA	fabA//nrdA//
MraZ	nanM//gntK//chbF//rutC//uvrB//ung//mhpB//carA//uvrB//nirB//
MurR	malP//dapD//atoB//
Nac	alaC//puuD//fabA//glcB//
NadR	argC//
NagC	narI//fabH//glxR//arsC//tam//wzb//fabB//sbcC//gpmA//pflB//wzc//bioA//hycF//entD//
NanR	ynfH//galE//glyA//metA//phnH//nagB//
NarL	mngB//purB//malQ//nrdD//accD//ulaD//aroG//folA//rhaB//fabI//nanK//cdd//feaB//paaF//ruvB//phnN//chbF//purF//fdhF//nrdA//gadB//moaA//rutB//galM//
NarP	deoA//fadE//rhaB//ahpC//fabA//bglB//ppsA//murG//trpE//
NemR	glxK//paaE//
NhaR	accA//treC//hycD//katG//frdD//
NikR	frdB//
NimR	pgaD//
NorR	argE//
NrdR	tdcG//hypB//arsC//ftnA//
NsrR	nrfD//araB//ahpC//cadA//moaC//paaB//
NtrC	codA//lacZ//puuC//purN//pflB//lldD//nanK//ascB//
OmpR	wrbA//torA//appA//ssuE//rhaB//guaB//pfkA//hcaB//
OxyR	murC//hemH//relA//nanM//hcaF//rimK//aspA//astA//astD//glcB//kbaY//poxB//frdD//
PaaX	waaY//bioF//guaB//caiA//sbcD//mhpE//codA//galE//gcvH//
PdeL	gadB//
PdhR	trpD//paaI//ada//gltD//murF//ttdB//yfdE//sbcC//zwf//malP//hycD//folE//cysM//fabA//cyoE//entF//rimK//hcaC//mngB//feaB//katG//malP//
PepA	melA//waaY//
PgrR	dmsC//fadE//
PhoB	entB//sbcC//argH//folA//glpA//mhpC//hcaC//fabH//glcE//udp//garR//nanM//umuC//accC//ldtC//
PhoP	araA//mhpB//glxR//
PspF	paaB//
PurR	paaZ//ttdA//pspE//moaC//nanE//murC//argD//frdA//tdcB//glcD//ynfG//aroH//
PutA	ttdA//ahpC//
PuuR	rutE//hyaA//ulaE//ldtC//fabA//sodA//
QseB	
RbsR	purB//nrfC//glpQ//pyrC//glxR//sodA//
RcdA	phnG//
RclR	
RcnR	pdeR//
RcsAB	ppsA//cysM//
RcsB	phnO//gpmA//
RcsB-BglJ	purB//nrdF//
RelB	fabH//
RelB-RelE	adiA//
RhaR	
RhaS	mhpA//aroH//murC//frdC//
Rob	murE//adiA//puuE//yfdE//
RstA	fabA//
RutR	fes//hycF//puuE//xylB//lsrG//adiA//astB//fadH//moaC//nirD//
SdiA	
SgrR	glcF//tdcD//rhaD//
SlyA	astA//sbcD//gapA//nrfA//fadE//grxA//purA//xylA//dapD//
SoxR	murG//
SoxS	fadD//narI//deoA//moaA//pfkA//glpD//polB//araA//dmsB//recB//ygeA//puuE//phnP//alkB//garL//mngB//
StpA	ycjG//
SutR	udp//tdcB//
TdcA	entE//rhaD//yfdE//trpA//mhpD//
TdcR	yfdE//lpxC//puuE//torC//dmsB//
TorR	nrfC//fabH//nirB//pnp//
TreR	hyaA//adiA//
TrpR	caiC//add//gcvP//dmsB//malP//glnA//hyaB//purB//hyaC//
TtdR	waaZ//uxuB//
TyrR	adhE//torC//accA//astB//deoA//cysE//ulaE//mhpA//ycjG//
UhpA	nemA//
UlaR	tdcG//fumC//dmsA//araD//mhpF//
UvrY	araA//torC//
UxuR	tnaA//glpD//pdeL//
XylR	mhpF//arsC//metF//
YdeO	paaH//alaS//lpd//
YefM	paaJ//
YefM-YoeB	alkA//
YhaJ	
YjjQ	
YpdB	
YqhC	nfsB//gcvH//
YqjI	cysK//
ZntR	glpB//
ZraR	
Zur	moaD//
