# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	feaB//ldtD//
NadR	umpH//
NagC	sodA//kbaY//yedX//yedX//glpC//entC//uxuB//cueO//citE//cdd//phnH//accD//deoD//hycF//
NanR	arsC//mhpA//tyrB//bioD//astB//phnJ//
NarL	nirD//glpX//mhpC//astD//aceF//nrdD//bioC//hcaF//wzb//ynfH//lsrF//murF//argC//astB//argD//gcl//gcvP//uxuA//cynS//treC//umuC//cadA//entB//umuD//
NarP	mtlD//nanA//bioA//waaZ//aceE//pgaC//tdcG//sodA//sbcC//
NemR	tynA//nanK//
NhaR	argF//dapB//narG//folA//paaH//
NikR	gltD//
NimR	kbaZ//
NorR	ppsA//
NrdR	gapA//nrdD//aroH//allB//
NsrR	rhaB//paaE//wzb//argI//recF//aroG//
NtrC	metF//purF//paaC//galT//dmsB//paaF//paaH//garL//
OmpR	deoD//treC//argH//ttdA//rnpB//glcB//nrdE//lacA//
OxyR	glpC//lysA//murC//hcp//polA//patD//ynfH//ruvB//ada//mhpF//mraY//tdcE//ydcS//
PaaX	garL//ynfH//entE//murE//metA//napA//aceF//aspA//add//
PdeL	rutE//
PdhR	citX//folA//glyA//ssuD//citG//umpH//paaB//tynA//kbaZ//alkB//hmp//lysC//pdeL//hycF//alkB//murC//tdcD//wzb//glcF//wrbA//mraY//argI//
PepA	atoD//cysM//
PgrR	lldD//umpH//
PhoB	mtlD//nrdB//appA//mtlD//rutE//fabD//nrdA//slt//hemL//fadH//oxc//gloA//malQ//purB//dmsC//
PhoP	dgcC//gntK//metC//
PspF	narI//
PurR	tyrB//citC//deoC//nfsA//nrdA//argE//mhpD//sbcC//icd//lacZ//kbaZ//deoB//
PutA	wrbA//dmsC//
PuuR	mpaA//gpmA//mazG//ccp//glpK//torC//
QseB	
RbsR	appA//rhaB//paaB//mhpA//galT//pgaD//
RcdA	accA//
RclR	
RcnR	aceF//
RcsAB	mtlD//gcvT//
RcsB	entF//paaF//
RcsB-BglJ	hcaE//rbsD//
RelB	acnA//
RelB-RelE	phnI//
RhaR	
RhaS	gdhA//lldD//hycF//atoB//
Rob	astE//alaC//pdeL//treC//
RstA	rhaB//
RutR	atoB//hcaC//hcaE//kbaZ//glpC//cueO//ftnA//trpB//mhpF//gcvP//
SdiA	
SgrR	argG//narI//astB//
SlyA	tyrA//deoA//wzb//rhaA//ascB//alaS//luxS//lacZ//pflB//
SoxR	dapB//
SoxS	napG//patD//caiC//ruvB//dmsC//wzb//puuB//puuE//hcaB//nirD//mhpB//gltB//nrfD//alaC//puuA//ssuE//
StpA	hyi//
SutR	entF//phnH//
TdcA	zwf//galM//hycC//trpA//narI//
TdcR	mazG//lpd//tam//dgcC//purD//
TorR	argE//aldA//araB//carB//
TreR	gdhA//paaA//
TrpR	nrfD//tdcG//umpH//glpC//fumC//metE//glcF//paaI//napA//
TtdR	puuB//adhE//
TyrR	aspA//malQ//glpD//deoA//ydcS//glcE//chbF//pck//cysG//
UhpA	ribA//
UlaR	pykF//waaY//carA//relA//frdD//
UvrY	gltB//sufS//
UxuR	garR//nrfA//argB//
XylR	cynS//rutA//ppiA//
YdeO	codA//lpd//hycB//
YefM	purA//
YefM-YoeB	hcaB//
YhaJ	
YjjQ	
YpdB	
YqhC	hcaB//murD//
YqjI	glmS//
ZntR	hcaE//
ZraR	
Zur	relA//
