# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argH//nrfA//
GadX	deoC//accA//fbaA//putA//narI//
GalR	aceA//aceA//entD//rutD//ttdB//
GalS	murQ//rbsD//phnN//paaZ//dmsB//
GcvA	pgaB//carB//aroH//
GlcC	appA//araB//nfsB//
GlpR	bioD//fabB//putA//dgkA//gadB//pdeR//tdcB//
GlrR	
GntR	bglB//fadE//pspE//pgaD//lpd//
HU	gapA//pck//pgk//pnp//
HcaR	gltD//bioC//
HdfR	
HigA	slt//
HigB-HigA	slt//
HipAB	wrbA//pdeL//
HipB	argH//fadE//araD//
HprR	metA//galK//
HypT	glpK//astB//
IclR	malQ//ssuE//udp//
IlvY	puuD//
IscR	trpE//hycC//nrfD//rutC//lysA//ynfG//fabG//
KdgR	phoA//
KdpE	entC//
LacI	entA//lysC//deoA//
LeuO	mhpA//hypF//deoA//
LexA	citE//pdeL//slt//kbaZ//moaE//pykF//aroF//ynfE//acnA//
LldR	aroL//hemL//
LrhA	
LsrR	araD//arsC//ruvA//ulaG//paaC//
MalI	deoA//eno//
MalT	luxS//nadB//waaY//adiA//
MarA	adiA//ldtC//bioA//iscS//frdC//napH//guaB//sufS//argG//hcaC//aspA//gapA//
MarR	
MatA	relA//
MazE	moaE//
MazE-MazF	arsC//
McbR	
MelR	paaB//glmU//
MetJ	pck//dapB//torA//ruvB//phnL//
MetR	adhE//phnL//ubiX//
MhpR	citG//torC//araB//accA//hmp//ldtC//
Mlc	alaS//polB//cysE//
MlrA	rutC//
MngR	feaB//napB//
MntR	hyaC//
ModE	cynS//torC//astB//slt//wzb//entA//fabB//glmU//nagA//cdd//cysE//tdcG//tdcB//tyrB//metC//
MprA	aroF//
MqsA	cyoE//moaA//
MraZ	udp//mhpF//glcE//trpD//yqjH//ubiX//deoA//ldtC//moaE//astA//
MurR	fadI//icd//dapB//
Nac	mhpD//hcaC//mraY//ulaD//
NadR	cdd//
NagC	hycD//cadA//hypB//ulaF//rutD//hmp//aroH//aldA//garR//bioA//hycG//purF//hyaB//srkA//
NanR	nrdF//patD//nrfD//gltD//purF//atoB//
NarL	glpC//moaD//appA//hcaC//fadD//tyrB//paaB//ynfE//aroF//garL//lldD//mazG//nagA//umuC//mhpE//entC//hcaF//trpC//ynfE//tdcD//alaS//fbaA//alaC//recD//
NarP	gadA//paaG//eda//astE//phnG//rutB//uvrB//mhpB//hypB//
NemR	rbsD//fadJ//
NhaR	hcp//hcaC//paaA//puuD//aroG//
NikR	phnH//
NimR	glxK//
NorR	gadA//
NrdR	araB//rsmH//nrfD//hemL//
NsrR	fadI//glxK//lpxC//add//nrfA//caiC//
NtrC	polB//recB//sufS//waaY//aldA//kbaY//rhaD//glyA//
OmpR	alaS//pgk//paaC//wzb//grxA//glmU//tdcG//citC//
OxyR	entE//ruvA//pgaD//entD//paaI//carB//rnpB//phnO//eno//astA//cyoE//waaZ//araA//
PaaX	caiA//fumB//ppsA//glmU//trpA//hycB//ttdB//nanA//zwf//
PdeL	nanA//
PdhR	lpd//luxS//napA//fadI//hyaA//ulaE//allB//ubiX//nfsB//ruvB//fdhF//argH//glcE//glmU//uxuB//murG//dapB//citX//murQ//puuB//dapB//argA//
PepA	torC//lpxC//
PgrR	dapB//wzb//
PhoB	nagB//astC//glnA//cdd//ahpC//lacA//gapA//glpA//galE//folE//paaH//hypF//fabG//galM//mraY//
PhoP	tam//nirD//pgaD//
PspF	trpD//
PurR	glpX//nrdD//tauD//fadI//ygeA//argF//phnP//recF//phnL//purH//phnN//garR//
PutA	argI//fadJ//
PuuR	fabD//eda//aceE//nrdA//recB//caiD//
QseB	
RbsR	hcp//nrdA//gntK//lsrF//allA//ulaF//
RcdA	nagA//
RclR	
RcnR	ulaG//
RcsAB	nanM//mdh//
RcsB	citC//dmsC//
RcsB-BglJ	ynfG//hycE//
RelB	bioF//
RelB-RelE	fadD//
RhaR	
RhaS	aspA//rbsD//argE//citD//
Rob	astB//hcaD//polB//mtlD//
RstA	hcaB//
RutR	lpd//napB//ssuD//torA//glcF//rsmH//rimK//glpQ//pck//moaC//
SdiA	
SgrR	purC//fabA//argH//
SlyA	lsrG//murE//mhpB//frc//purF//sodA//gapA//lsrG//hyaA//
SoxR	hycE//
SoxS	torA//citX//alkA//cysE//uxuA//appA//ppiA//phnL//deoA//rutD//gcvT//phoA//argB//fabB//aroL//dmsB//
StpA	argD//
SutR	aceF//aceA//
TdcA	epd//phnM//phnL//mazG//mpaA//
TdcR	lsrK//alaS//ppiA//malP//nirD//
TorR	argC//rutC//slt//araB//
TreR	ahpC//pyrC//
TrpR	hcaD//nagB//icd//tam//nrfC//aceE//citG//citE//argA//
TtdR	ssuE//ugpQ//
TyrR	mhpE//allB//mtlD//paaI//gcvT//dapD//hcaC//slt//galT//
UhpA	hemL//
UlaR	garK//wrbA//purC//aceA//frdB//
UvrY	arsC//hcaE//
UxuR	malQ//rutD//feaB//
XylR	rbsK//dgcC//torC//
YdeO	nanK//argE//moaA//
YefM	ruvB//
YefM-YoeB	oxc//
YhaJ	
YjjQ	
YpdB	
YqhC	puuA//frdD//
YqjI	mpaA//
ZntR	tyrB//
ZraR	
Zur	pdeL//
