# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	recF//acnA//
MetR	adiA//ruvB//polA//
MhpR	moaE//gcvH//gntK//nrdE//ulaG//ilvC//
Mlc	ynfF//argF//hemL//
MlrA	ascB//
MngR	puuA//dgkA//
MntR	hcaD//
ModE	aldA//galM//metE//hycD//rbsD//fau//lsrG//lacA//gadA//aceF//moaA//poxB//aceA//tauD//bioD//
MprA	citE//
MqsA	mazG//narI//
MraZ	ogt//gcvH//gpmA//dapD//add//cysG//nanM//mhpB//metF//frdB//
MurR	ulaG//fadI//glnA//
Nac	phnL//torA//nemA//rhaD//
NadR	ynfF//
NagC	ydcS//sbcC//waaZ//citD//caiB//alkB//trpC//phnN//tdcG//truB//argF//fumB//argC//nrdB//
NanR	recD//glmS//caiD//hycG//sbcC//gcvH//
NarL	rutB//ilvC//moaD//cadA//codA//gloA//fadI//trpE//lacA//hemH//citF//paaY//cynT//entB//ssuE//purD//cysK//narI//cueO//lysC//nfsB//gcvH//frdD//poxB//
NarP	cadA//phnH//mhpE//codA//puuA//pgaC//napG//adiA//paaZ//
NemR	tdcG//nirB//
NhaR	grxA//lysC//umpH//tyrA//glpQ//
NikR	ulaD//
NimR	ynfF//
NorR	fadJ//
NrdR	tyrB//iscS//gpmA//nrfD//
NsrR	napH//alkB//alaC//glpC//caiC//lpd//
NtrC	xylA//entB//tdcE//recD//dmsC//accD//pgaD//gltB//
OmpR	paaJ//xylA//putA//relA//lysC//ruvA//iscS//katG//
OxyR	ynfF//metF//nirB//tdcE//icd//paaG//folE//sodA//caiD//nrdD//adhE//ulaF//bioF//
PaaX	hemL//lacZ//tdcD//mraY//adhE//phnL//phnM//gcvH//entF//
PdeL	napH//
PdhR	narH//metE//frdB//argE//hyi//cysM//entA//ulaE//ssuE//xylA//purC//hcaE//purF//putA//arsC//umuC//lacA//cysK//cysM//atoB//guaA//rsmH//
PepA	puuB//frdD//
PgrR	hcp//dapB//
PhoB	puuB//tdcB//entH//entC//dgcC//argD//aceF//entF//galK//metC//nagB//argB//trpC//bioD//yedX//
PhoP	arsC//kbaZ//gltB//
PspF	caiB//
PurR	edd//adiA//tdcD//recD//cynS//hycB//pdeR//araA//fadI//rhaA//codA//ulaF//
PutA	citE//caiC//
PuuR	ilvC//mhpE//icd//pgaC//adhE//galT//
QseB	
RbsR	dgkA//tyrB//cynT//tnaA//dgcC//atoD//
RcdA	pdeL//
RclR	
RcnR	pdeR//
RcsAB	mtlD//gltB//
RcsB	pdeR//malY//
RcsB-BglJ	aldA//pnp//
RelB	glpC//
RelB-RelE	hycC//
RhaR	
RhaS	gltD//purC//citG//fabA//
Rob	ynfE//folA//glpX//astA//
RstA	araD//
RutR	entB//caiD//astC//metF//dmsB//puuD//recD//mhpE//ilvC//ynfF//
SdiA	
SgrR	ribA//rbsK//trpE//
SlyA	ulaF//yqjH//hyi//hycE//phnL//citD//nrfC//purN//pfkA//
SoxR	gcvP//
SoxS	malY//melA//gcvP//paaZ//alaS//nirD//malY//fdhF//alaC//phnL//glpA//ulaE//argD//garK//rutC//ynfG//
StpA	trpA//
SutR	frdA//gadA//
TdcA	wzc//puuB//fadI//puuD//purD//
TdcR	accD//hcaD//gltD//trpD//bioA//
TorR	phnP//mhpC//allB//fadD//
TreR	napA//torA//
TrpR	hyi//glpB//glcF//lpxC//paaH//moaE//allB//bglB//ddlB//
TtdR	cysM//chbG//
TyrR	yfdE//moaD//cysE//araD//narG//atoB//katG//ttdA//cadA//
UhpA	ulaD//
UlaR	galE//nirB//astA//fumB//ynfE//
UvrY	trpC//metA//
UxuR	dgcC//cynT//ulaE//
XylR	tdcE//ahpC//tdcB//
YdeO	murD//truB//gcvT//
YefM	lysA//
YefM-YoeB	rbsK//
YhaJ	
YjjQ	
YpdB	
YqhC	arsC//cyoE//
YqjI	codA//
ZntR	narG//
ZraR	
Zur	entA//
