# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	aroH//chbF//
RstA	alaS//
RutR	glpX//napB//purB//yqjH//cysK//truB//ftsI//bglB//phnJ//ppiA//
SdiA	
SgrR	paaH//nrfD//gdhA//
SlyA	ndh//ulaF//argI//lacZ//mhpA//fabA//araA//phnM//galT//
SoxR	carB//
SoxS	paaJ//argD//tauD//puuC//hyaB//caiB//ugpQ//phoA//trpE//accA//kbaZ//edd//astC//codA//sodA//atoA//
StpA	patD//
SutR	argG//cueO//
TdcA	hycD//trpB//ogt//entB//glcB//
TdcR	pfkA//ndh//nagA//wzc//kbaY//
TorR	fadD//ruvA//fbaA//grxA//
TreR	fabG//deoA//
TrpR	ygeA//carB//galT//glmU//epd//nrdF//metF//glpD//ddlB//
TtdR	carA//gcl//
TyrR	fabB//cueO//fau//rhaD//fabH//galK//hyaC//bioD//oxc//
UhpA	puuE//
UlaR	hycG//araD//bioC//argF//paaI//
UvrY	argG//glpX//
UxuR	torC//nrdA//sbcD//
XylR	galE//glmU//bioB//
YdeO	ftnA//atoB//ribA//
YefM	pdeL//
YefM-YoeB	dapD//
YhaJ	
YjjQ	
YpdB	
YqhC	glpD//gcvT//
YqjI	hyaB//
ZntR	paaC//
ZraR	
Zur	mhpE//
