# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	alkA//glpX//
GadW	hcaF//frdC//nrdE//
GadX	trpD//nfsA//fes//purF//rutE//
GalR	dmsB//fadJ//hcp//allB//glnA//
GalS	hyaA//bioB//paaA//glcE//narG//
GcvA	ada//ulaE//lpd//
GlcC	relA//pfkA//paaA//
GlpR	caiB//sbcC//lysA//tdcG//ogt//putA//garL//
GlrR	
GntR	rhaA//galK//fes//guaA//tyrB//
HU	fadI//umuC//purB//ribA//
HcaR	ulaE//rutD//
HdfR	
HigA	glpD//
HigB-HigA	nrdF//
HipAB	rnpB//lsrK//
HipB	mraY//argH//allA//
HprR	gltB//narI//
HypT	rhaB//frdA//
IclR	nrdB//yqhD//hyaB//
IlvY	sodA//
IscR	lsrG//ttdB//ldtC//bioB//nfsB//fabI//moaC//
KdgR	tyrB//
KdpE	fumC//
LacI	aroL//araA//gapA//
LeuO	glnA//purN//napB//
LexA	bioB//cueO//citD//gloA//ydcS//gapA//paaE//xylA//ychF//
LldR	waaY//caiD//
LrhA	
LsrR	polB//yedX//nrfA//garL//dapD//
MalI	ada//araA//
MalT	hycD//umpH//moaA//kbaZ//
MarA	cueO//cysE//nfsB//gltB//galM//fabB//ulaD//rhaD//atoB//hcaD//tynA//ung//
MarR	
MatA	moaD//
MazE	deoA//
MazE-MazF	napH//
McbR	
MelR	pflB//cadA//
MetJ	fbaA//argC//aceA//lsrF//ndh//
MetR	waaZ//dmsC//pdeL//
MhpR	dapD//fadJ//hcaB//mraY//trpC//ynfE//
Mlc	ubiX//rnpB//frc//
MlrA	puuC//
MngR	alkA//garL//
MntR	mhpE//
ModE	mazG//kbaZ//narI//folE//uvrB//fabI//argG//poxB//chbF//glpQ//glyA//mhpC//ydcS//mdh//ruvB//
MprA	gdhA//
MqsA	lldD//mpaA//
MraZ	tdcD//ruvA//citD//entH//glpK//purN//aroF//alaS//mdh//hycG//
MurR	phnG//dmsB//fabI//
Nac	narH//glpX//melA//fabB//
NadR	folA//
NagC	puuD//dgcC//rutE//pgk//paaA//fumB//citX//paaH//nrdE//paaI//dapD//fadD//fumC//nfsA//
NanR	ydcS//fadI//grxA//gadB//tdcE//phnL//
NarL	nadB//paaJ//zwf//gntK//ppiA//phnH//lpxC//nanM//hcaD//tyrB//ung//ruvA//aldA//mhpD//folE//pfkA//paaH//ynfH//aceA//gapA//purH//ydcS//atoA//umpH//
NarP	tam//kbaZ//caiA//ychF//rutB//fabG//argI//hcaC//phoA//
NemR	tnaA//hemH//
NhaR	rimK//ygeA//puuC//eda//tdcD//
NikR	citD//
NimR	pgaD//
NorR	iscS//
NrdR	paaI//umuD//murF//fau//
NsrR	nemA//torC//paaI//mhpE//nanA//metE//
NtrC	trpD//glcD//appA//phoA//arsC//citE//hemH//araA//
OmpR	hyaB//hemL//nrfD//add//dmsA//pspE//ppiA//nirB//
OxyR	phnJ//paaJ//lsrG//rimK//kbaZ//folE//umuD//alkB//rimK//glpD//citD//udp//entH//
PaaX	gdhA//glcF//ynfG//cysK//glcE//entE//gloA//aceE//atoA//
PdeL	aceB//
PdhR	bioA//hcaC//gadB//nanK//citF//metA//folA//paaC//purD//glpB//cdd//cysM//moaA//malY//gdhA//aceA//uxuB//moaA//frc//pspE//phnL//fumB//
PepA	accA//lpxC//
PgrR	tdcG//murD//
PhoB	argH//glpD//umpH//fabA//phnJ//ulaF//gntK//gadA//nfsB//paaY//phoA//moaC//rbsD//hycB//caiD//
PhoP	wzc//deoA//acnA//
PspF	dkgA//
PurR	tyrA//murQ//ldtC//luxS//pykF//nanK//hemL//deoA//dmsC//argC//gpmA//iscS//
PutA	add//pdeR//
PuuR	araA//ung//rimK//ilvC//astE//fadH//
QseB	
RbsR	pfkA//hycB//astA//aceB//rutB//cyoE//
RcdA	murC//
RclR	
RcnR	astA//
RcsAB	ubiX//nanA//
RcsB	aroF//phoA//
RcsB-BglJ	puuE//paaY//
RelB	folE//
RelB-RelE	argG//
RhaR	
RhaS	rutC//ruvB//glpK//narI//
Rob	atoB//lldD//phnI//murE//
RstA	pykF//
RutR	garR//ychF//caiB//hyaA//phnN//ydcS//sbcC//dapB//rimK//tdcE//
SdiA	
SgrR	napG//fadD//phnM//
SlyA	hcaC//ycjG//aroG//ppsA//wzc//phnJ//galK//fadH//glnA//
SoxR	glxR//
SoxS	frdC//glpD//puuB//nanE//hycD//adiA//ilvC//tnaA//citD//glpK//trpC//rhaD//rbsK//puuB//dmsC//poxB//
StpA	pspE//
SutR	gcvH//phnM//
TdcA	metE//metC//rnpB//glxK//pgaC//
TdcR	phnO//guaA//hcaF//iscS//metF//
TorR	sbcD//ychF//argI//atoD//
TreR	accC//argB//
TrpR	rhaA//folE//argA//murQ//gapA//xylB//mhpF//ada//glxR//
TtdR	napB//fabB//
TyrR	ttdB//ynfF//rhaA//poxB//nrdB//bglB//rsmH//glpD//epd//
UhpA	arsC//
UlaR	entD//citC//alaS//tynA//cadA//
UvrY	hycB//ulaF//
UxuR	torC//rutD//mraY//
XylR	metC//ccp//rbsK//
YdeO	truB//phnO//sodA//
YefM	paaB//
YefM-YoeB	hypB//
YhaJ	
YjjQ	
YpdB	
YqhC	tdcE//astC//
YqjI	gpmA//
ZntR	tdcE//
ZraR	
Zur	bioF//
