# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	astE//nanK//
LeuO	metC//galE//dapB//
LexA	appA//slt//nanM//entB//melA//zwf//araD//paaI//entE//
LldR	cysG//dmsB//
LrhA	
LsrR	nanA//ddlB//ulaE//astB//mhpA//
MalI	metA//hyaC//
MalT	fabG//rutD//hypB//hyaB//
MarA	ulaF//chbG//gloA//deoA//lpd//rhaA//ulaF//katG//napB//paaK//pnp//gntK//
MarR	
MatA	guaB//
MazE	srkA//
MazE-MazF	citD//
McbR	
MelR	atoD//hycC//
MetJ	mhpB//gltD//fes//putA//ulaF//
MetR	paaC//glcF//deoD//
MhpR	gcl//cyoE//dapD//aldA//murC//aceA//
Mlc	tnaA//paaI//purB//
MlrA	ubiX//
MngR	purM//ilvC//
MntR	nfsA//
ModE	aceE//dmsA//napG//gltD//eno//carB//deoD//mhpE//galM//hycG//tdcG//ssuE//hycF//ulaF//mhpD//
MprA	trpD//
MqsA	aceE//gltB//
MraZ	gltB//eda//cysM//bioC//glcB//waaY//galT//grxA//galM//paaE//
MurR	lacA//pspE//ldtC//
Nac	mngB//mazG//nanK//argE//
NadR	nanM//
NagC	ynfG//puuD//argG//edd//pgaC//purM//cysE//pgaD//ribA//feaB//pflB//argB//fabD//bioC//
NanR	gntK//gadB//glxR//frdB//entE//aroG//
NarL	gltB//murC//pgaD//hcaB//ynfE//ada//nanK//yedX//pgaD//srkA//ruvB//tdcE//poxB//gltD//icd//puuE//paaZ//nrdD//pgk//mhpA//pflB//ulaE//ftsI//hcaD//
NarP	pgaD//tdcB//aroG//paaB//uxuA//phnH//puuC//phnM//aroH//
NemR	malY//fabB//
NhaR	paaC//rhaD//wrbA//nfsA//xylA//
NikR	yqhD//
NimR	nanM//
NorR	truB//
NrdR	lysA//gadB//wrbA//adhE//
NsrR	phnI//icd//hyaB//aroL//citX//entC//
NtrC	melA//garL//atoD//xylB//wzc//patD//ruvB//moaC//
OmpR	rutD//purM//ahpC//fabA//gltB//atoB//atoA//dmsB//
OxyR	ttdA//fabH//moaE//caiA//alaS//lpd//ycjG//pspE//purN//hycF//paaG//carA//argG//
PaaX	mpaA//tdcB//rutD//nagB//wzc//paaE//argI//hmp//pgaC//
PdeL	gadB//
PdhR	lpxC//glxR//umuD//hyaB//rhaA//aceB//tauD//narI//murI//rsmH//mtlD//epd//napA//lsrG//ppiA//ndh//hcp//wzb//napA//trpA//purB//ddlB//
PepA	glxR//ribA//
PgrR	paaI//phnP//
PhoB	nadB//nirB//lsrG//cynT//lsrG//atoD//accA//fadI//nirD//fadI//bioA//deoA//moaC//purN//luxS//
PhoP	ynfG//caiC//bioB//
PspF	gcvP//
PurR	torC//wzc//polB//entH//fabG//frdC//guaA//argG//hcaB//frc//hypB//galE//
PutA	adhE//zwf//
PuuR	citX//ttdB//pdeL//astB//frdD//pgaB//
QseB	
RbsR	adiA//ung//garL//napA//entD//kbaZ//
RcdA	ynfG//
RclR	
RcnR	paaK//
RcsAB	wzc//lacZ//
RcsB	metF//phnI//
RcsB-BglJ	aroH//citE//
RelB	tnaA//
RelB-RelE	glpX//
RhaR	
RhaS	accD//paaJ//hyaC//citE//
Rob	pykF//carA//adiA//pflB//
RstA	bioB//
RutR	xylB//luxS//cyoE//waaY//umpH//aroH//phnL//phnM//feaB//metF//
SdiA	
SgrR	ilvC//fabG//ynfE//
SlyA	add//feaB//paaF//ynfF//nadB//citX//wzb//ahpC//gdhA//
SoxR	ulaG//
SoxS	moaC//umuD//allB//ygeA//xylA//gloA//argG//lsrF//fadJ//dkgA//gntK//citX//ruvA//citF//phnP//glnA//
StpA	pgaD//
SutR	gadA//sodA//
TdcA	argB//gltD//rutD//aroF//cynS//
TdcR	malY//entE//gpmA//ddlB//yfdE//
TorR	aroF//ygeA//ssuE//glxK//
TreR	metA//puuE//
TrpR	ynfF//cyoE//entH//ynfG//nfsB//rutE//gadA//deoB//slt//
TtdR	paaF//glpX//
TyrR	purM//pykF//rhaA//sbcC//kbaZ//mhpF//hyaA//edd//ssuD//
UhpA	uvrB//
UlaR	glxR//moaA//kbaY//ynfH//ogt//
UvrY	nadB//glpA//
UxuR	pyrC//rhaD//gloA//
XylR	entA//lysC//galE//
YdeO	paaZ//pgaB//purH//
YefM	gdhA//
YefM-YoeB	argI//
YhaJ	
YjjQ	
YpdB	
YqhC	yqhD//hcp//
YqjI	entH//
ZntR	galK//
ZraR	
Zur	hyi//
