# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argG//purC//
GlrR	
GntR	nemA//pgaB//paaJ//gdhA//entB//
HU	narH//ttdB//allA//uxuA//
HcaR	accA//citE//
HdfR	
HigA	mhpA//
HigB-HigA	cyoE//
HipAB	ldtC//gdhA//
HipB	caiC//ulaF//phnP//
HprR	gloA//fadH//
HypT	tam//fumC//
IclR	bglB//dgkA//rhaD//
IlvY	nanE//
IscR	sodA//galK//treC//umuD//nrfC//aroH//murI//
KdgR	ychF//
KdpE	kbaZ//
LacI	oxc//bioF//frc//
LeuO	pykF//hypF//alkB//
LexA	murF//ung//napH//polB//murC//icd//paaH//puuE//moaC//
LldR	glpQ//moaC//
LrhA	
LsrR	allA//phnJ//aroF//glnA//hyaC//
MalI	nfsB//paaG//
MalT	hcaC//allB//gltD//allA//
MarA	yedX//paaK//icd//nrdA//nrfD//lysA//hycE//argF//ssuD//edd//araA//pnp//
MarR	
MatA	trpD//
MazE	ycjG//
MazE-MazF	umuC//
McbR	
MelR	citD//glcD//
MetJ	glxK//sbcC//paaB//uvrB//cyoE//
MetR	caiB//fadD//ftnA//
MhpR	sodA//nadB//moaE//mhpB//accC//pck//
Mlc	glcB//poxB//glcD//
MlrA	gpmA//
MngR	rhaD//wzb//
MntR	nrdB//
ModE	ldtC//purC//mngB//araB//ubiX//rnpB//fabI//dapD//carB//ycjG//nfsB//dgcZ//frdC//paaG//bioF//
MprA	hcaF//
MqsA	nanE//ttdA//
MraZ	puuA//gltB//purF//mdh//frdB//nanK//argD//nanK//fabB//glxK//
MurR	purH//guaB//hyaC//
Nac	entC//argH//astA//caiA//
NadR	dkgA//
NagC	fau//citD//entD//torA//nemA//citG//purB//bioC//araB//murF//epd//eno//ppiA//metE//
NanR	nanE//mhpD//nrfA//putA//chbG//ilvC//
NarL	pck//pyrC//ahpC//uxuA//hyi//hycC//tam//ccp//narH//fumB//fabB//dgcC//glpB//lpxC//wzb//gcvT//pgaC//ldtC//dmsA//treC//aroF//purH//guaB//hemL//
NarP	gltD//phnL//cadA//argG//fdhF//ahpF//lacA//gntK//lpd//
NemR	malQ//ynfG//
NhaR	cueO//ahpC//srkA//aceA//ruvB//
NikR	araB//
NimR	fadD//
NorR	murI//
NrdR	fadJ//trpD//pgaB//glxR//
NsrR	sufS//ppsA//acnA//pfkA//phnN//pck//
NtrC	purA//ftsI//umuC//alaC//carB//ulaF//pgaC//ttdA//
OmpR	acnA//glnA//carB//astE//sbcD//nanE//xylB//ribA//
OxyR	accD//paaE//nrfA//trpB//hycB//ccp//deoC//narG//luxS//entH//udp//paaJ//hycC//
PaaX	glyA//puuE//tdcG//gadB//frc//hycF//malP//accA//bglB//
PdeL	aroH//
PdhR	tdcD//astE//alaC//astB//ftsI//caiD//nanM//ahpF//fabH//tnaA//aldA//hycD//rhaD//lpxC//puuB//araA//rutE//paaF//phoA//dgkA//glpD//rbsK//
PepA	lysC//allA//
PgrR	mhpF//poxB//
PhoB	entH//atoB//rutD//glcB//dkgA//murG//edd//cynT//recB//ppiA//phnP//hemL//fau//citF//rnpB//
PhoP	narG//citE//ubiX//
PspF	ftsI//
PurR	nrfC//kbaZ//xylA//fumB//murG//nanM//ynfF//entF//glxR//mhpA//frdA//citF//
PutA	metE//astA//
PuuR	hcaB//purN//nagA//gcvP//phoA//wzc//
QseB	
RbsR	appA//mhpE//tauD//ynfE//fabD//moaA//
RcdA	lsrK//
RclR	
RcnR	nagA//
RcsAB	sbcD//phnJ//
RcsB	frdD//caiD//
RcsB-BglJ	frdD//lpxC//
RelB	araB//
RelB-RelE	dgcZ//
RhaR	
RhaS	murC//chbG//acnA//pdeL//
Rob	tyrA//hcaB//alaS//rsmH//
RstA	entC//
RutR	ynfH//allB//gcvT//paaF//aroG//hyaA//cynS//phnM//nemA//sufS//
SdiA	
SgrR	tam//ynfE//mpaA//
SlyA	polA//tdcE//argD//mdh//paaC//pdeL//atoD//glcD//ubiX//
SoxR	alkB//
SoxS	sodA//citG//oxc//hemH//sbcD//citC//gdhA//accC//polA//metA//hemL//entC//appA//bioB//nrfC//mhpC//
StpA	metC//
SutR	napH//caiA//
TdcA	lpd//ddlB//fumB//argH//napA//
TdcR	torC//paaJ//entB//adiA//puuB//
TorR	tdcD//bioF//mazG//astC//
TreR	allA//cysG//
TrpR	hcp//folA//paaY//citE//zwf//atoA//ttdA//glcE//purB//
TtdR	entF//rbsK//
TyrR	entF//metE//aceA//paaH//kbaY//narI//xylA//metF//guaB//
UhpA	caiC//
UlaR	nagA//aroG//glyA//ssuE//galT//
UvrY	purH//kbaY//
UxuR	metF//bioA//yfdE//
XylR	rbsK//citC//hyaB//
YdeO	gltD//hcaC//mtlD//
YefM	pgaB//
YefM-YoeB	paaY//
YhaJ	
YjjQ	
YpdB	
YqhC	glpB//ung//
YqjI	fbaA//
ZntR	kbaY//
ZraR	
Zur	alkB//
