# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	entC//glpK//
PhoB	purC//dapB//astB//ccp//gapA//lsrK//ftsI//rbsK//paaE//murC//citG//murQ//entB//ppiA//entH//
PhoP	epd//phnH//garL//
PspF	rimK//
PurR	ssuE//iscS//pgk//trpD//slt//rutD//cynT//ulaE//trpC//entA//aroF//ogt//
PutA	caiA//pgaB//
PuuR	fadI//sbcC//aceF//gcvP//ndh//hycD//
QseB	
RbsR	araA//glxK//gcvT//hcaB//mtlD//allA//
RcdA	glmS//
RclR	
RcnR	bioB//
RcsAB	murE//ycjG//
RcsB	purB//ascB//
RcsB-BglJ	accA//phnN//
RelB	cadA//
RelB-RelE	wzc//
RhaR	
RhaS	ftnA//arsC//aceA//acnA//
Rob	paaI//grxA//allA//alaS//
RstA	nemA//
RutR	sodA//metE//mpaA//deoA//paaH//deoB//fdhF//glpC//cyoE//udp//
SdiA	
SgrR	nrfC//lsrG//rutD//
SlyA	glcD//aceB//galE//umpH//nanE//purD//paaH//hycF//phnG//
SoxR	aceE//
SoxS	folE//dmsC//frc//araD//galK//nfsB//narH//pgk//dmsA//wzc//aroL//ung//fdhF//mhpB//aceE//icd//
StpA	recB//
SutR	recD//add//
TdcA	umpH//paaE//phnH//pnp//fumB//
TdcR	napA//udp//hypF//napG//ldtD//
TorR	bglB//murC//rsmH//mhpE//
TreR	recD//hcaE//
TrpR	astE//galM//hemL//ldtC//aroG//gltD//hcp//glcB//phnL//
TtdR	trpE//hcaB//
TyrR	purH//hmp//eno//hyaC//cyoE//entF//tyrB//dgcC//mhpF//
UhpA	moaA//
UlaR	frc//rutD//phnL//moaE//argA//
UvrY	folE//deoD//
UxuR	dapB//astE//hycF//
XylR	lsrF//lsrF//nemA//
YdeO	melA//citE//moaE//
YefM	ttdB//
YefM-YoeB	argB//
YhaJ	
YjjQ	
YpdB	
YqhC	glcD//argB//
YqjI	hycE//
ZntR	ddlB//
ZraR	
Zur	umpH//
