# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynS//gadB//
HypT	metF//adhE//
IclR	pdeL//citX//fadI//
IlvY	mhpB//
IscR	argH//recF//nirD//edd//fes//ycjG//rnpB//
KdgR	pgaD//
KdpE	aldA//
LacI	ldtC//cysE//hyaA//
LeuO	tauD//fau//pgaC//
LexA	glmU//acnA//fabB//mdh//dgcC//trpB//yqjH//cysG//allB//
LldR	yfdE//tdcE//
LrhA	
LsrR	sufS//nrfA//nrdE//hcaE//puuA//
MalI	entH//alaS//
MalT	atoB//rutE//fabD//nadB//
MarA	citE//paaG//murE//ubiX//metA//galT//carA//trpA//ldtD//citF//ftsI//pyrC//
MarR	
MatA	tynA//
MazE	glpB//
MazE-MazF	umpH//
McbR	
MelR	napH//trpB//
MetJ	ulaG//paaC//phnO//rbsD//ulaD//
MetR	carA//fabD//lysC//
MhpR	ada//mraY//fes//kbaZ//accA//cysM//
Mlc	hypF//accC//argH//
MlrA	nanM//
MngR	ilvC//hycF//
MntR	hycB//
ModE	entB//dapB//ycjG//gltD//narI//ynfH//napG//purM//phnM//hycD//deoD//ttdB//metF//atoB//hyaA//
MprA	lacZ//
MqsA	dmsC//ogt//
MraZ	argB//ldtD//deoB//phnM//paaB//kbaZ//eno//paaE//hycB//paaH//
MurR	entC//poxB//paaG//
Nac	pykF//frdB//tyrB//fau//
NadR	mtlD//
NagC	alaC//nrdD//appA//dmsA//metA//atoA//pdeL//pfkA//accA//metA//ynfF//pfkA//pnp//polB//
NanR	hemL//fabH//paaE//purA//aceF//carA//
NarL	fabD//chbG//purB//pspE//sbcC//puuA//phoA//adiA//dmsB//aceA//ssuD//pnp//hyaB//ulaE//bioF//ogt//ynfH//fabB//paaI//rhaA//atoD//recD//hcaF//hycB//
NarP	nemA//puuC//glcE//glpB//paaZ//bioA//dapB//ahpF//lsrK//
NemR	moaD//tdcE//
NhaR	pgaD//dkgA//nfsA//argC//argI//
NikR	purM//
NimR	fdhF//
NorR	dgcZ//
NrdR	entD//paaE//ssuD//gpmA//
NsrR	chbG//rimK//araB//fadD//argH//pfkA//
NtrC	accD//torC//deoA//aroF//dmsC//fumB//paaH//waaY//
OmpR	rnpB//paaY//mazG//hycB//phnN//lsrG//glcB//alkA//
OxyR	melA//patD//torA//codA//paaZ//murD//gadB//deoA//glpA//allB//ogt//nfsA//ynfH//
PaaX	garR//gadA//entD//sodA//araB//ynfE//argF//glpX//uxuB//
PdeL	rutC//
PdhR	araA//kbaY//luxS//trpE//gpmA//hyi//ppsA//frdA//hycG//fumC//glxK//fabI//umpH//metE//entC//trpE//astC//uvrB//fabB//murI//cyoE//lysC//
PepA	alkA//glmU//
PgrR	fumB//ascB//
PhoB	entB//narH//fabH//fabB//yfdE//nirD//guaA//torC//ycjG//recB//murQ//ung//nirD//paaF//gltD//
PhoP	torA//gloA//ilvC//
PspF	phoA//
PurR	fadI//garR//frdC//araA//fadD//fau//mdh//astE//citG//folE//caiB//entE//
PutA	umuC//cadA//
PuuR	dmsC//caiC//mraY//astD//malP//mdh//
QseB	
RbsR	glpQ//dgkA//lacZ//ulaE//gdhA//ung//
RcdA	fadJ//
RclR	
RcnR	hycB//
RcsAB	entB//mhpD//
RcsB	atoB//accD//
RcsB-BglJ	gcl//hypB//
RelB	aceA//
RelB-RelE	recD//
RhaR	
RhaS	fdhF//phnN//hyi//frc//
Rob	glxK//glcE//murC//gcvP//
RstA	entH//
RutR	pdeR//mngB//ahpF//glxK//polB//ung//ulaE//pspE//nirD//pgaB//
SdiA	
SgrR	fes//hcaC//pykF//
SlyA	ddlB//rutC//atoB//umpH//frdB//narH//argA//rsmH//hyi//
SoxR	nrfC//
SoxS	glpB//pyrC//glmS//caiC//yedX//srkA//nagB//aceA//nadB//fadE//dmsB//umpH//fadI//caiA//luxS//dmsC//
StpA	udp//
SutR	lacA//nrdA//
TdcA	moaA//torA//caiA//srkA//aldA//
TdcR	argG//yfdE//umuD//cyoE//pdeL//
TorR	gdhA//nemA//recF//ascB//
TreR	sbcC//astE//
TrpR	umuD//caiB//phnO//napB//folE//appA//galE//allB//gadB//
TtdR	ynfG//yedX//
TyrR	frdB//glpA//pgaD//lysC//galT//purF//yqhD//ndh//hcaC//
UhpA	nirB//
UlaR	bioD//hypB//phnI//ada//phnH//
UvrY	fabD//rimK//
UxuR	ccp//citD//deoB//
XylR	hycG//glpA//fabB//
YdeO	ulaE//cynT//epd//
YefM	pgk//
YefM-YoeB	waaY//
YhaJ	
YjjQ	
YpdB	
YqhC	recD//hyaC//
YqjI	purD//
ZntR	lacA//
ZraR	
Zur	carB//
